gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5470708006,lose,Ranked Solo,2021-09-23 19:28:48,31m 4s,7,7,6,1.86:1,empty,empty,Zed,Grandmaster,empty,Aatrox,미소의눈동자,Zed,나는변신할것이다,Sylas,Gen G Dice,Ziggs,SPG BaeKHo,Blitzcrank,Practice,Graves,KT Castle,Talon,난 무조건 잘 돼,Lulu,사랑이 하고싶어,Aphelios,길고먼여행지,Thresh,DWG Muru
5470772690,lose,Ranked Solo,2021-09-23 18:45:10,25m 4s,12,8,3,1.88:1,Double Kill,ACE,Zed,Grandmaster,empty,Irelia,북극곰 아프다,Zed,나는변신할것이다,Galio,NEED HER,Miss Fortune,가민준,Pyke,tnedifnoc syawla,Fiora,Fiora,Ekko,난 무조건 잘 돼,Qiyana,강의 구글 제드팀,Aphelios,X1LANX1LANX1LAN,Lulu,SPG BaeKHo
5470643488,lose,Ranked Solo,2021-09-23 17:25:36,21m 21s,3,5,4,1.40:1,ACE,empty,Lucian,Grandmaster,empty,Sylas,Tangyuando,Nocturne,Hengzzz,Akshan,Indexy,Lulu,Fiora,Rakan,Honpi,Quinn,카사돌,Lee Sin,06 05 19,Twisted Fate,CIoudburst,Lucian,나는변신할것이다,Karma,Shadow FA 03
5469797682,lose,Ranked Solo,2021-09-23 03:37:49,25m 6s,4,11,5,0.82:1,empty,empty,Ziggs,Grandmaster,empty,Fiora,ke bei,Qiyana,a little story,Vladimir,Gen G Burdol,Ziggs,나는변신할것이다,Trundle,EatDIE EATdie,Riven,오동1,Zac,역시폭군,Diana,who is niuma,Yasuo,viper3,Gragas,옆동산외계인
5469873872,lose,Ranked Solo,2021-09-23 02:54:21,26m 25s,3,6,5,1.33:1,empty,empty,Qiyana,Challenger,empty,Riven,오동1,Gragas,우울적울컥,Lucian,나는 준일하다,Ashe,JJ0ng 묻었네,Amumu,옆동산외계인,Shen,BRO Hena,Qiyana,나는변신할것이다,Akali,Fox B Mg,Miss Fortune,DK Kingdom,Rakan,DFM GAENG
5469811236,lose,Ranked Solo,2021-09-23 02:20:34,30m 54s,3,8,8,1.38:1,empty,empty,Zed,Grandmaster,empty,Riven,오동1,Zed,나는변신할것이다,Sylas,Fox B Mg,Kai'Sa,SPG BaeKHo,Lulu,SHCH0,Aatrox,dustmqdyd12,Talon,Hengzzz,Syndra,미북이,Ashe,JJ0ng 묻었네,Rakan,Honpi
5469698542,lose,Ranked Solo,2021-09-23 01:42:13,21m 30s,6,6,3,1.50:1,empty,empty,Qiyana,Grandmaster,empty,Jayce,ziyou,Diana,Hengzzz,Yone,은가뉴,Heimerdinger,PhasedKiller,Amumu,곽곽보성,Aatrox,미소의눈동자,Qiyana,나는변신할것이다,Irelia,dustmqdyd12,Ziggs,DK ShowMaker,Rell,SHCH0
5469712535,win,Ranked Solo,2021-09-23 01:09:15,34m 5s,20,10,13,3.30:1,Double Kill,empty,Qiyana,Grandmaster,empty,Aatrox,dustmqdyd12,Karthus,byz,Tryndamere,으 하하 맛 있 어,Lucian,짐승 잡종 인간,Nami,곽곽보성,Akali,미소의눈동자,Qiyana,나는변신할것이다,Vayne,갱붕이,Miss Fortune,N0T Angry,Xerath,옆동산외계인
5469678648,lose,Ranked Solo,2021-09-23 00:27:55,15m 54s,3,5,1,0.80:1,empty,empty,Diana,Grandmaster,empty,Camille,Gen G Burdol,Graves,N0T Angry,Ryze,단군의청춘부재,Caitlyn,길고먼여행지,Thresh,Shadow Winsome,Jax,MIDKlNG,Diana,나는변신할것이다,Qiyana,못할 때도 있지,Aphelios,hao yun bao bei,Karma,곽곽보성
5469559886,lose,Ranked Solo,2021-09-22 23:34:11,15m 25s,1,7,0,0.14:1,empty,empty,Draven,Grandmaster,empty,Kennen,깨달음을얻은남자,Viego,CITRU5,Lulu,커피물조절장인,Draven,나는변신할것이다,Blitzcrank,concesslon,Sylas,간다라쿤다,Qiyana,아크샨밴의 신,Galio,wulaidafa,Kai'Sa,bai si yyds,Rakan,Kimwinter
