gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490280278,win,Ranked Solo,2021-10-04 06:45:29,21m 8s,8,2,7,7.50:1,Double Kill,MVP,Xin Zhao,Grandmaster,empty,Anivia,nakreB v2,Viego,Roulette,Ryze,RGE Larssεn,Ezreal,hiro3,Nami,Qnoxs,Camille,chance no exist,Xin Zhao,Expecto Patrounm,Galio,Chemera,Draven,Ryan McCombs,Bard,SPEEDOBEAR
5490200213,win,Ranked Solo,2021-10-04 06:04:14,41m 6s,10,4,8,4.50:1,MVP,empty,Viego,Master,empty,Graves,KMROPGPS,Qiyana,gaengsin,Lissandra,Twopan,Jinx,kcvawsreiuyopdgz,Blitzcrank,brKm,Teemo,Nice Guy Ben,Viego,Expecto Patrounm,LeBlanc,nukëduck,Caitlyn,CREØN,Thresh,ight
5490210989,lose,Ranked Solo,2021-10-04 04:50:48,17m 37s,4,7,2,0.86:1,empty,empty,Talon,Master,empty,Poppy,Seminol,Nunu & Willump,A41G Blank,Aurelion Sol,Heart of Nazgul ,Draven,DIGESTHUMANFLESH,Nami,Kuuuu,Ezreal,mol4at doma,Talon,Expecto Patrounm,Syndra,123Tarzan,Graves,Firefl0wer,Yuumi,woshidoinb
5490134663,win,Ranked Solo,2021-10-04 04:19:01,15m 19s,7,3,8,5.00:1,empty,empty,Lillia,Grandmaster,empty,Anivia,nakreB v2,Lillia,Expecto Patrounm,Zed,CS Big Boss,Lucian,Icelandwinter,Nami,euw tourist,Yone,FrozenHuntsman,Hecarim,Airron,Ekko,iLL F13RC3 ,Miss Fortune,WTX Scripter,Yuumi,Qnoxs
5490040434,lose,Ranked Solo,2021-10-04 03:55:21,15m 36s,0,6,2,0.33:1,empty,empty,Galio,Grandmaster,empty,Zed,CS Big Boss,Hecarim,Airron,Anivia,nakreB v2,Jinx,morcillα,Thresh,MORG3NSHTERN,Trundle,FrozenHuntsman,Graves,Kirei sama,Galio,Expecto Patrounm,Kai'Sa,Arktoso,Nautilus,Efias
5489974824,win,Ranked Solo,2021-10-04 03:22:31,23m 57s,8,3,11,6.33:1,Double Kill,MVP,Poppy,Grandmaster,empty,Fiora,Wu Guan Fèng Yuè,Poppy,Expecto Patrounm,Sylas,ten and a half,Draven,quack1,Pyke, JungDostoevskiy,Kennen,dofaminu,Jarvan IV,J3kko,Irelia,ég jojopyun,Ezreal,maybe f keys ,Rakan,i dream lucid
5489807499,win,Ranked Solo,2021-10-04 02:39:53,26m 6s,7,4,12,4.75:1,Double Kill,empty,Lillia,Grandmaster,empty,Graves,SMB NuQ,Lillia,Expecto Patrounm,Irelia,Saulius 10,Kai'Sa,lucker3,Leona,sixsixsi666,Shen,Shending LP,Nunu & Willump,zillakami dogboy,Zed,knight9źź,Xerath,židovskej cigan,Rakan,Myrtus
5489531111,win,Ranked Solo,2021-10-04 00:54:33,25m 59s,7,3,15,7.33:1,Double Kill,MVP,Jarvan IV,Grandmaster,empty,Kled,Katchy22,Shaco,tb5,Viktor,152cm187kg24cm,Jhin,MajorAlexander1,Morgana,Ambiguously,Urgot,bausffs movement,Jarvan IV,Expecto Patrounm,LeBlanc,Fressko,Ezreal,II Anyone,Amumu,nap ability
5489413492,win,Ranked Solo,2021-10-04 00:20:49,32m 14s,9,3,7,5.33:1,empty,empty,Talon,Grandmaster,empty,Shen,Shen1v9King,Viego,Happy Alexx,Ziggs,FYN Jackson,Draven,i abuse ie ,Janna,Dark StarZscream,Mordekaiser,Shadowraze,Talon,Expecto Patrounm,Yasuo,BROHAN AND SEKKI,Ezreal,maybe f keys ,Alistar,Toro Adventures
5489381352,lose,Ranked Solo,2021-10-03 23:35:29,3m 15s,0,0,0,0.00:1,empty,empty,Twisted Fate,Grandmaster,empty,Aatrox,Seminol,Sett,H0m1,Talon,Sebeks,Draven,Kaττen,Twisted Fate,Expecto Patrounm,Akshan,SL0WDEATH,Viego,Roulette,Karthus,Robert Sapolsky,Vayne,EllamCompany,Amumu,qweqweqwe
5489263881,lose,Ranked Solo,2021-10-03 23:18:35,30m 7s,8,11,6,1.27:1,ACE,empty,Viego,Grandmaster,empty,Diana,Kamus,Viego,Expecto Patrounm,Irelia,Kiooo,Miss Fortune,Kaττen,Thresh,S10 l R1,Fiora,NattyNatt,Zed,SLY Djoko,Kassadin,Œµß,Draven,LDLC Gumayusi,Rakan,twrapamemonopanw
5489168171,win,Ranked Solo,2021-10-03 22:25:34,12m 50s,1,1,3,4.00:1,empty,empty,Galio,Grandmaster,empty,Darius,WAO RANK 1 ,Graves,FPX Peanut,Nami,fastFF,Lucian,TakeSet sama,LeBlanc,Chemera,Gnar,H ι r o,Talon,Loumuis,Galio,Expecto Patrounm,Ezreal,Guuuubs,Soraka,High Øn Life
5489153632,win,Ranked Solo,2021-10-03 22:03:52,23m 29s,1,2,17,9.00:1,empty,empty,Jarvan IV,Grandmaster,empty,Gnar,H ι r o,Jarvan IV,Expecto Patrounm,LeBlanc,Chemera,Kai'Sa,Guuuubs,Leona,Undercover CraB,Yasuo,Dzukill,Nidalee,khanzir slayer,Zed,TwTv iljimaeLoL,Jhin,TakeSet sama,Sona,Schuhbart
5489120544,win,Ranked Solo,2021-10-03 21:31:39,18m 3s,13,2,6,9.50:1,Double Kill,MVP,Diana,Master,empty,Aatrox,Best Life,Xin Zhao,lövhögen,Ryze,ZWYRØØ,Varus,Teą,Sona,Schuhbart,Gwen,lennylennylenny,Diana,Expecto Patrounm,Graves,jiaVX PaoPaoPW,Jhin,morcillα,Thresh,Chouineur 1
5488918682,win,Ranked Solo,2021-10-03 20:10:54,37m 8s,17,6,7,4.00:1,Double Kill,empty,Talon,Grandmaster,empty,Yone,00N Smurfegutten,Talon,Expecto Patrounm,Lissandra,dehastee,Jhin,Ayrton Edison,Rakan,mYi Flay,Fiora,Xhen Doo,Fiddlesticks,AØH,LeBlanc,fastFF,Caitlyn,Ruined Crazyadri,Lulu,wowx
5488648878,win,Ranked Solo,2021-10-03 10:19:54,30m 36s,20,1,8,28.00:1,Double Kill,MVP,Viego,Grandmaster,empty,Aatrox,Wufo,Talon,OnerKING,Karthus,quack1,Draven,LDLC Gumayusi,Nautilus,ight,Renekton,masked gamer XD,Viego,Expecto Patrounm,Pantheon,Armoured Dragon,Brand,Undercover CameL,Lulu,HAHHAHAHAHAXXDDD
5488615874,win,Ranked Solo,2021-10-03 09:23:53,30m 47s,21,4,16,9.25:1,Triple Kill,empty,Lillia,Grandmaster,empty,Irelia,chance no exist,Diana,tempsjgjlgslchok,Yasuo,Tοαst,Seraphine,nrmn,Karthus,LIMIT12345,Aatrox,Adorable N1 Fan,Lillia,Expecto Patrounm,Qiyana,vvaena,Lucian,Kaor1,Rakan,lolNash
5488591078,win,Ranked Solo,2021-10-03 08:13:26,14m 21s,2,1,2,4.00:1,empty,empty,Diana,Grandmaster,empty,Wukong,SołdSoulForLp,Lee Sin,blrzr,Sylas,sajatoruu,Jhin,SAUCE WALKA,Rakan,UOL Doedalo,Garen,H ι r o,Diana,Expecto Patrounm,Irelia,ég jojopyun,Lucian,Kaor1,Yuumi,Roulette
5488555801,win,Ranked Solo,2021-10-03 07:44:09,15m 42s,7,2,8,7.50:1,MVP,empty,Jarvan IV,Grandmaster,empty,Zilean,TheDisconnect,Jarvan IV,Expecto Patrounm,LeBlanc,Reu,Lucian,quack1,Pyke,Traypo,Vex,msfvetheo1,Qiyana,jungle dream,Singed,Let me fling you,Draven,a red rain,Nami,Leon der Leon
5488531211,lose,Ranked Solo,2021-10-03 07:21:33,31m 24s,12,8,11,2.88:1,Double Kill,empty,Viego,Grandmaster,empty,Akali,wakeuptoreaIity,Viego,Expecto Patrounm,Malphite,GODZILLA66666666,Lucian,quack1,Nami,LDNU Nyzah,Fiora,pr1meé ,Lillia,Temporal Warden,Sylas,TC Hú Táo,Ezreal,hgotdsxz,Bard,LiL TommyG
5487275796,win,Ranked Solo,2021-10-02 09:30:53,29m 8s,42,7,8,7.14:1,Quadra Kill,empty,Qiyana,Grandmaster,empty,Gwen,Crowno,Graves,Tu po zi wo,Ryze,Goldguns88,Miss Fortune,Seelame,Amumu,Hantera1,Sylas,Oggman,Qiyana,Expecto Patrounm,Yone,EllamCompany,Lucian,Emtest,Nami,Aegis fangirlQAQ
5487214520,win,Ranked Solo,2021-10-02 08:52:40,26m 6s,11,1,17,28.00:1,Double Kill,MVP,Jarvan IV,Master,empty,Gangplank,Robert Lae,Jarvan IV,Expecto Patrounm,Zoe,Goldguns88,Ezreal,Emtest,Leona,PQPAANLS,Fiora,XLeQu,Talon,Cóbb,Ekko,Tu po zi wo,Draven,DIGESTHUMANFLESH,Nami,Prosfair
5487179418,lose,Ranked Solo,2021-10-02 08:14:16,21m 1s,4,3,1,1.67:1,ACE,empty,Graves,Grandmaster,empty,Lillia,NATANATANATANATA,Lee Sin,fooling around,Anivia,nakreB v2,Lucian,Emtest,Nami,Aegis fangirlQAQ,Trundle,FrozenHuntsman,Graves,Expecto Patrounm,Seraphine,lolNash,Aphelios,Namex,Thresh,Christian Lenz
5487108668,win,Ranked Solo,2021-10-02 07:43:26,12m 47s,4,0,4,Perfect,MVP,empty,Diana,Grandmaster,empty,Poppy,KURU DUT,Evelynn,Lοvelorn,Yone,msfvetheo1,Jhin,nrmn,Blitzcrank,lolNash,Fiora,Tokz,Diana,Expecto Patrounm,Twisted Fate,maybe f keys ,Aphelios,purelove4,Thresh,Christian Lenz
5487162320,lose,Ranked Solo,2021-10-02 07:15:51,21m 5s,7,7,4,1.57:1,Double Kill,empty,Qiyana,Grandmaster,empty,Aatrox,wakeuptoreaIity,Taliyah,Icelandwinter,Tryndamere,Tu po zi wo,Samira,mihaitzaboss,Nautilus,azerty1,Camille,CLS TGDUELIST,Qiyana,Expecto Patrounm,Malphite,purelove4,Lucian,bean3,Nami,BenBenaset
5486598882,win,Ranked Solo,2021-10-02 04:53:02,25m 15s,13,2,11,12.00:1,Double Kill,MVP,Jarvan IV,Grandmaster,empty,Tahm Kench,LiL TommyG,Zed,LIMIT12345,Irelia,sajatoruu,Soraka,gdgd,Sona,spaghetti bud,Trundle,FrozenHuntsman,Jarvan IV,Expecto Patrounm,LeBlanc,ten and a half,Lucian,hgotdsxz,Nami,schifosoemerdoso
5486615059,lose,Ranked Solo,2021-10-02 04:20:19,15m 59s,2,4,1,0.75:1,empty,empty,Xin Zhao,Grandmaster,empty,Mordekaiser,IAimToMisbehave,Viego,best viego ever,Ryze,ten and a half,Lucian,EDG Innaxe,Nami,LIMIT12345,Camille,pr1meé ,Xin Zhao,Expecto Patrounm,Syndra,maybe f keys ,Caitlyn,Ryan McCombs,Lux,Qnoxs
