gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471783940,win,Ranked Solo,2021-09-24 04:43:55,25m 55s,13,3,7,6.67:1,Double Kill,MVP,Qiyana,Grandmaster,empty,Irelia,T1 Zeus,Qiyana,a little story,Sylas,샤오 쑤,Aphelios,평범한 숟가락,Gragas,wodesry,Jax,간다라쿤다,Ekko,     la ji game,Talon,전상득,Lucian,하 루 가절 반 ,Sett,우울적울컥
5471831587,lose,Ranked Solo,2021-09-24 03:49:48,20m 56s,7,10,3,1.00:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Tristana,물에 젖은 장작,Jarvan IV,ke bei,Sylas,화원 아기,Ezreal,아이러니하구만,Lulu,메이 츄르 좋아해,Volibear,우울적울컥,Lee Sin,a little story,Twisted Fate,KT VicLa,Lucian,black kitty2000,Yuumi,Dnehraw
5471769166,lose,Ranked Solo,2021-09-24 03:18:22,25m 52s,6,9,6,1.33:1,empty,empty,Nidalee,Grandmaster,empty,Tristana,물에 젖은 장작,Nidalee,a little story,Zed,온 재,Lucian,black kitty2000,Lulu,Dnehraw,Poppy,돌이킬 수 있는,Olaf,eightzz,Galio,간다라쿤다,Aphelios,평범한 숟가락,Rakan,T1 F0rest
5471707336,lose,Ranked Solo,2021-09-24 02:41:44,28m 24s,7,8,3,1.25:1,empty,empty,Zed,Grandmaster,empty,Graves,wodesry,Taliyah,T1 F0rest,Zed,a little story,Samira,어제보단잘하자,Sett,awsdrfgyhjik,Pantheon,난 무조건 잘 돼,Zac,xiao adc,Tristana,물에 젖은 장작,Kai'Sa,평범한 숟가락,Maokai,Practice
5471684022,lose,Ranked Solo,2021-09-24 02:06:18,31m 41s,9,10,13,2.20:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Jayce,ignominious,Lee Sin,a little story,Seraphine,평범한 숟가락,Miss Fortune,어제보단잘하자,Leona,xiao adc,Jarvan IV,wodesry,Ekko,Cuzz,Zed,너혹시엘소드하니,Jhin,irasu1,Janna,HLE Gift1
5471690131,win,Ranked Solo,2021-09-24 01:21:24,21m 31s,12,3,4,5.33:1,Double Kill,MVP,Zed,Grandmaster,empty,Shen,xiao adc,Lee Sin,Cuzz,Orianna,구체맛좀볼래,Miss Fortune,RiHoo,Sett,awsdrfgyhjik,Trundle,난 워낙 노빠꾸라,Zed,a little story,Sylas,사랑이 하고싶어,Ziggs,SPG BaeKHo,Amumu,kaixin1dian
5471576312,lose,Ranked Solo,2021-09-24 00:55:38,17m 38s,2,3,2,1.33:1,empty,empty,Zed,Grandmaster,empty,Graves,xiao adc,Zed,a little story,Ryze,Co24,Lucian,SPG BaeKHo,Karma,하 루 가절 반 ,Gnar,BJ갈배,Diana,자장면잠봉당수육,Sylas,새콤달콤 하 다,Kalista,hong he wo de,Maokai,Destiny
5471552211,win,Ranked Solo,2021-09-24 00:30:49,20m 32s,9,4,8,4.25:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Fiora,ke bei,Jarvan IV,Xiaohao9,Galio,권 지 인,Miss Fortune,SPG BaeKHo,Amumu,밤몽길,Vayne,물에 젖은 장작,Lee Sin,a little story,Orianna,구체맛좀볼래,Kindred,아라드,Lulu,shenzhenshaoye
5470960765,win,Ranked Solo,2021-09-23 20:59:17,33m 1s,13,4,12,6.25:1,Triple Kill,empty,Lee Sin,Grandmaster,empty,Poppy,포동포동아기물개,Xin Zhao,3donghezecaoxian,LeBlanc,KT VicLa,Tristana,Betty9,Leona,Shadow Nia,Gwen,La K game,Lee Sin,a little story,Talon,화원 아기,Vayne,JJ0ng 묻었네,Bard,Purpo지니
5470875310,lose,Ranked Solo,2021-09-23 20:18:53,22m 28s,3,3,2,1.67:1,empty,empty,Zed,Grandmaster,empty,Aatrox,i am Decade,Nidalee,포동포동아기물개,Pantheon,잠은허송세월,Caitlyn,pilotl0l,Braum,햄스터쳇바퀴인생,Irelia,따봉 람머스,Zed,a little story,Syndra,KT VicLa,Lucian,JJ0ng 묻었네,Amumu,Shadow Nia
5470692723,win,Ranked Solo,2021-09-23 18:31:29,16m 34s,4,2,2,3.00:1,empty,empty,Qiyana,Grandmaster,empty,Sett,우따따따따따뚜겐,Lee Sin,eightzz,Akali,갱값하는미드,Aphelios,black kitty2000,Nautilus,망토와단검,Dr. Mundo,Jzzcjmzh,Qiyana,a little story,Tryndamere,a new beginn1ng,Lucian,pilotl0l,Zac,02년생 자크
5470607729,win,Ranked Solo,2021-09-23 18:04:04,29m 55s,7,7,8,2.14:1,Double Kill,empty,Qiyana,Grandmaster,empty,Sylas,시간의 숲,Qiyana,a little story,Talon,화원 아기,Vayne,zszzz,Janna,cer,Gragas,dangyadangyadang,Zac,02년생 자크,Galio,퀸 세연,Aphelios,black kitty2000,Pyke,기모링딩동1
5470664479,lose,Ranked Solo,2021-09-23 17:28:11,15m 43s,0,7,4,0.57:1,empty,empty,Qiyana,Grandmaster,empty,Irelia,거북이사건,Qiyana,a little story,Galio,퀸 세연,Aphelios,black kitty2000,Sett,강하다 별,Sion,길고먼여행지,Nidalee,BRO Listo,Aatrox,우따따따따따뚜겐,Draven,long yan jing yi,Thresh,Yi bing chao
5470518631,lose,Ranked Solo,2021-09-23 16:46:06,23m 35s,6,11,6,1.09:1,Double Kill,empty,Qiyana,Grandmaster,empty,Jax,한타 잘하고싶당,Lee Sin,Jzzcjmzh,LeBlanc,7777케이,Samira,향 깃,Amumu,kukuking,Camille,울라프뿌삐워웍,Qiyana,a little story,Galio,heisiwodezuiai,Vayne,wu tiao jian,Zac,02년생 자크
5470540886,lose,Ranked Solo,2021-09-23 15:49:25,28m 35s,15,7,7,3.14:1,Quadra Kill,empty,Talon,Grandmaster,empty,Quinn,살퀸레,Kindred,Hengzzz,Azir,쭌 베,Kai'Sa,북극곰 아프다,Galio,Let me sup,Aatrox,KT R TOP,Talon,a little story,Jayce,워 드,Lucian,항상배고픈코그모,Sett,밤몽길
5470476519,lose,Ranked Solo,2021-09-23 15:00:12,19m 25s,4,7,2,0.86:1,empty,empty,Qiyana,Grandmaster,empty,Camille,Saint Diana,Qiyana,a little story,Syndra,Gen G Quid,Aphelios,cer,Lulu,hggbexrloo,Irelia,DK Lucid,Talon,byz,Cassiopeia,Chang Min ,Vayne,hao yun bao bei,Blitzcrank,전서방 닭갈비
5469849587,lose,Ranked Solo,2021-09-23 04:30:25,19m 37s,0,2,5,2.50:1,ACE,empty,Zed,Grandmaster,empty,Graves,거북이사건,Jarvan IV,ke bei,Akali,Aileri,Lucian,zszzz,Nami,MNTNMNTNM,Jayce,kfo,Zed,a little story,Kassadin,검색 구글 제드팀,Ezreal,짐승 잡종 인간,Morgana,Kwon TW
5469797682,lose,Ranked Solo,2021-09-23 03:37:49,25m 6s,8,11,4,1.09:1,Double Kill,empty,Qiyana,Grandmaster,empty,Fiora,ke bei,Qiyana,a little story,Vladimir,Gen G Burdol,Ziggs,나는변신할것이다,Trundle,EatDIE EATdie,Riven,오동1,Zac,역시폭군,Diana,who is niuma,Yasuo,viper3,Gragas,옆동산외계인
5469813907,lose,Ranked Solo,2021-09-23 02:45:33,23m 51s,6,7,2,1.14:1,empty,empty,Zed,Master,empty,Karma,썬더드래곤,Lee Sin,WJDAKFDJWLFJQEK,Zoe,화원 아기,Miss Fortune,호두두,Alistar,김은지전용노예,Graves,BMX1234,Zed,a little story,Aurelion Sol,현 솔,Aphelios,Slayder,Amumu,xixixlxix
5469708732,win,Ranked Solo,2021-09-23 01:43:20,18m 58s,9,2,9,9.00:1,Triple Kill,MVP,Qiyana,Grandmaster,empty,Sion,Fox B Mg,Graves,byz,Rumble,모두모두항복하걸,Lucian,JJ0ng 묻었네,Nami,DFM GAENG,Kennen,AASSH,Qiyana,a little story,Talon,xhr,Aphelios,짐승 잡종 인간,Lulu,옆동산외계인
5467571462,win,Ranked Solo,2021-09-22 04:31:08,18m 47s,8,1,9,17.00:1,MVP,empty,Taliyah,Grandmaster,empty,Lulu,응애응애1212,Lee Sin,06 05 19,Syndra,off Myself,Lucian,Kle3,Anivia,douyu TV 9018814,Kassadin,LunaLina,Taliyah,a little story,Qiyana,못할 때도 있지,Ezreal,메 피,Leona,짜요짜요먹고싶어
