gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490199698,win,Ranked Solo,2021-10-04 05:45:15,25m 16s,4,7,26,4.29:1,empty,empty,Yuumi,Master,empty,Vayne,Sorest,Xin Zhao,Noerring,Orianna,zj1099,Lucian,Gasteizko Onena,Nami,owwx,Garen,Myw the king,Jarvan IV,woshilqs,Anivia,Bannis De LoL,Ezreal,n 456,Yuumi,Heimskáut réfur
5488889529,lose,Ranked Solo,2021-10-03 20:03:14,27m 46s,2,8,26,3.50:1,ACE,empty,Amumu,Master,empty,Irelia,Stargazer7,Nunu & Willump,Jigoa,Sylas,ATL Lingwi,Miss Fortune,Cutepatootie,Amumu,Heimskáut réfur,Yone,lIIIlllIIlllIIIl,Jarvan IV,J3kko,Malzahar,Koenraad II,Vayne,FYN Notiko,Rakan,GNLGNL
5488605504,win,Ranked Solo,2021-10-03 09:14:38,26m 7s,11,6,24,5.83:1,Double Kill,empty,Amumu,Master,empty,Irelia,Stargazer7,Taliyah,Lil Ûzi Vert,Qiyana,SOU LINDOO,Varus,ToasterM8,Nautilus,F tier supp,Fiora,David Nalbandian,Graves,Cedeiix,Ryze,II Anyone,Draven,11235,Amumu,Heimskáut réfur
5488582301,win,Ranked Solo,2021-10-03 08:40:38,30m 33s,12,6,24,6.00:1,Double Kill,empty,Yuumi,Master,empty,Tahm Kench,ΚenT1,Kha'Zix,Tanu,Diana,DUALIPAadfhgkdgk,Ezreal,ToasterM8,Yuumi,Heimskáut réfur,Lillia,woshidoinb,Nidalee,ImJony,Qiyana,Goldguns88,Lucian,Please try hard,Nami,F tier supp
5488526428,win,Ranked Solo,2021-10-03 08:04:59,37m 15s,25,12,14,3.25:1,Quadra Kill,MVP,Lucian,Master,empty,Gangplank,Beartree,Evelynn,Μaverick,Tryndamere,woshilqs,Draven,11235,Soraka,JΑΝNΑ,Aatrox,ΚenT1,Hecarim,Doaenel Hecarim,Lissandra,TC Hú Táo,Lucian,Heimskáut réfur,Janna,Ødın
5488531107,win,Ranked Solo,2021-10-03 07:17:18,27m 21s,0,5,25,5.00:1,empty,empty,Yuumi,Master,empty,Gangplank,Kimchi warrior1,Lee Sin,WeS Trizzy,Katarina,Lianhuaboy77,Aphelios,dzc,Amumu,ACKERMÁN,Sett,Not nexo rdy,Talon,tempsjgjlgslchok,Zed,S11Tian,Ezreal,StephenChe,Yuumi,Heimskáut réfur
5488406923,lose,Ranked Solo,2021-10-03 06:43:05,27m 36s,5,12,6,0.92:1,Double Kill,empty,Kennen,Master,empty,Kennen,Heimskáut réfur,Xin Zhao,Kudy,Vex,Alþhinaud,Miss Fortune,CREØN,Amumu,potatoporcupine1,Aatrox,Kosan,Nidalee,DEEBO SAMUEL,LeBlanc,ELF Valin,Lucian,moxokx,Rakan,Traypo
5488063439,win,Ranked Solo,2021-10-03 02:03:46,33m 36s,7,10,21,2.80:1,empty,empty,Amumu,Diamond 1,empty,Graves,Nuevo Chimbote,Hecarim,Špatný hráč1,Vladimir,UNΛVERAGE,Karthus,Tamara Lautari,Thresh,Teta Derecha,Lee Sin,GS 5,Diana,Düt düüüüüüt,LeBlanc,FB Kunduz1,Kai'Sa,New Pretty Dawn,Amumu,Heimskáut réfur
5487545503,win,Ranked Solo,2021-10-02 19:43:11,24m 55s,12,4,11,5.75:1,Double Kill,MVP,Aatrox,Master,empty,Sion,ZombieKungen,Nidalee,WRDN,Sylas,Loftician,Ezreal,Jopa1,Karma,ACKERMÁN,Aatrox,Heimskáut réfur,Xin Zhao,Keule183,Riven,Harbo,Karthus,Symeοn,Bard,Ben Cristovao
5487254712,lose,Ranked Solo,2021-10-02 09:02:12,21m 58s,4,9,11,1.67:1,empty,empty,Annie,Master,empty,Darius,XΥZ,Lee Sin,SMB Kireas,LeBlanc,Dvek,Lucian,LBJLBJLBJLBJ1111,Annie,Heimskáut réfur,Kennen,Firefl0wer,Fiddlesticks,NoxchiTwitch,Katarina,Twitchtv NyroLoL,Ezreal,daIe manin,Rakan,2021Worlds0173
