gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471679365,win,Ranked Solo,2021-09-24 03:04:29,29m 13s,4,6,25,4.83:1,empty,empty,Seraphine,Grandmaster,empty,Wukong,77GameZting,Zed,     la ji game,Sylas,Gen G Quid,Ashe,BRO Hena,Seraphine,옆동산외계인,Irelia,샤오 쑤,Taliyah,아크샨밴의 신,Qiyana,못할 때도 있지,Jhin,항상배고픈코그모,Senna,심리 건들지마
5471721674,win,Ranked Solo,2021-09-24 01:42:58,26m 16s,0,7,17,2.43:1,empty,empty,Blitzcrank,Grandmaster,empty,Camille,oilf,Lee Sin,Xiaohao9,Zoe,BRO Yaharong,Lucian,참 몬났다,Nami,레일리리,Fiora,샤오 쑤,Ekko,이 차가 식기전에,Tryndamere,화원 아기,Draven,T1 Gumayusi,Blitzcrank,옆동산외계인
5471595830,win,Ranked Solo,2021-09-24 01:04:28,28m 23s,1,7,17,2.57:1,empty,empty,Nami,Grandmaster,empty,Sion,DK Ira,Lee Sin,CITRU5,Lissandra,BRO Yaharong,Kindred,아라드,Nami,옆동산외계인,Jayce,KT R TOP,Jarvan IV,Xiaohao9,LeBlanc,badqwer,Varus,항상배고픈코그모,Galio,밤몽길
5469797682,win,Ranked Solo,2021-09-23 03:37:49,25m 6s,5,5,21,5.20:1,empty,empty,Gragas,Grandmaster,empty,Fiora,ke bei,Qiyana,a little story,Vladimir,Gen G Burdol,Ziggs,나는변신할것이다,Trundle,EatDIE EATdie,Riven,오동1,Zac,역시폭군,Diana,who is niuma,Yasuo,viper3,Gragas,옆동산외계인
5469873872,win,Ranked Solo,2021-09-23 02:54:21,26m 25s,2,5,12,2.80:1,empty,empty,Amumu,Challenger,empty,Riven,오동1,Gragas,우울적울컥,Lucian,나는 준일하다,Ashe,JJ0ng 묻었네,Amumu,옆동산외계인,Shen,BRO Hena,Qiyana,나는변신할것이다,Akali,Fox B Mg,Miss Fortune,DK Kingdom,Rakan,DFM GAENG
5469812328,lose,Ranked Solo,2021-09-23 02:19:58,18m 36s,0,7,5,0.71:1,empty,empty,Ezreal,Grandmaster,empty,Jax,샤오 쑤,Lee Sin,끼릭끼리릭,Akali,나는 준일하다,Ezreal,옆동산외계인,Karma,곽곽보성,Cassiopeia,DK Kingdom,Rek'Sai,우울적울컥,Irelia,미소의눈동자,Katarina,Emilia tan,Rakan,DFM GAENG
5469708732,win,Ranked Solo,2021-09-23 01:43:20,18m 58s,3,2,25,14.00:1,empty,empty,Lulu,Grandmaster,empty,Sion,Fox B Mg,Graves,byz,Rumble,모두모두항복하걸,Lucian,JJ0ng 묻었네,Nami,DFM GAENG,Kennen,AASSH,Qiyana,a little story,Talon,xhr,Aphelios,짐승 잡종 인간,Lulu,옆동산외계인
5469712535,win,Ranked Solo,2021-09-23 01:09:15,34m 5s,9,11,21,2.73:1,MVP,empty,Xerath,Grandmaster,empty,Aatrox,dustmqdyd12,Karthus,byz,Tryndamere,으 하하 맛 있 어,Lucian,짐승 잡종 인간,Nami,곽곽보성,Akali,미소의눈동자,Qiyana,나는변신할것이다,Vayne,갱붕이,Miss Fortune,N0T Angry,Xerath,옆동산외계인
5469626507,win,Ranked Solo,2021-09-23 00:15:30,20m 8s,2,2,14,8.00:1,empty,empty,Seraphine,Grandmaster,empty,Camille,모두모두항복하길,Lee Sin,Love dont stop,Katarina,Emilia tan,Jinx,어제보단잘하자,Thresh,Practice,Fiora,ke bei,Nocturne,Hengzzz,Ryze,haoyunba0bel,Miss Fortune,zxcsazxcazdz,Seraphine,옆동산외계인
5469509713,lose,Ranked Solo,2021-09-22 23:35:46,20m 18s,2,3,7,3.00:1,ACE,empty,Nami,Grandmaster,empty,Riven,오동1,Gragas,우울적울컥,Yasuo,검색 구글 제드팀,Miss Fortune,DK Kingdom,Karma,심리 건들지마,Graves,Yorick,Lee Sin,N0T Angry,Katarina,Emilia tan,Lucian,숟뀨락,Nami,옆동산외계인
