gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490237644,lose,Ranked Solo,2021-10-04 05:40:12,23m 16s,5,3,3,2.67:1,ACE,empty,Jayce,Master,empty,Aatrox,Sack,Lee Sin,WeS Trizzy,Orianna,Cart00nCharacter,Draven,Dinner first,Amumu,ACKERMÁN,Jayce,Kimchi3,Kindred,معزة,Twisted Fate,icelandxuechan,Jinx,Viper sama,Soraka,Erilarion
5488965517,lose,Ranked Solo,2021-10-03 19:42:29,26m 37s,6,6,1,1.17:1,empty,empty,Zed,Master,empty,Ryze,TOYOTA 86 TRUENO,Zed,Kimchi3,Malzahar,broder jonsen,Tristana,lIllIlllIlIIl,Braum,NNForsaken,Camille,Star is coming,Qiyana,Orange Killer,Sylas,nesiseka,Draven,n 456,Ekko,wow cold
5488646104,lose,Ranked Solo,2021-10-03 09:35:03,27m 3s,9,3,9,6.00:1,ACE,empty,Tryndamere,Master,empty,Kled,ZONGO LE DOZØ,Qiyana,Dinner first,Twisted Fate,Dvek,Yasuo,Cypiisuo,Thresh,KiIIuα Zoldyck,Aatrox,Dyoll,Nidalee,LSADSDD,Tryndamere,Kimchi3,Lucian,SAUCE WALKA,Braum,2021Worlds0057
5488643766,win,Ranked Solo,2021-10-03 09:02:12,22m 20s,11,3,3,4.67:1,Triple Kill,MVP,Irelia,Master,empty,Singed,LevelZeroFangirl,Gragas,LngLng,Irelia,Kimchi3,Lucian,Giant Monster,Nami,SiMajk,Sylas,Im fine thx you,Lee Sin,LSADSDD,Twisted Fate,Littlebuffbabe,Ezreal,StephenChe,Yuumi,wow cold
5488601781,win,Ranked Solo,2021-10-03 08:33:09,24m 50s,9,4,11,5.00:1,empty,empty,Yone,Master,empty,Singed,LevelZeroFangirl,Lillia,LngLng,Yone,Kimchi3,Lucian,Soraï1,Amumu,Stunna boy,Yasuo,2deal,Lee Sin,Giant Monster,Sett,eau de jouvence,Kalista,RAAD SAN,Sylas,Ramona Flowers
5488487354,win,Ranked Solo,2021-10-03 07:48:29,22m 20s,9,7,8,2.43:1,MVP,empty,Tryndamere,Master,empty,Sett,Alþhinaud,Kha'Zix,fart like dopa,Tryndamere,Kimchi3,Ziggs,Sanguine Soul,Bard,Kasing 1,Irelia,Mädchen,Ekko,bleeding jng acc,Yone,mid is fighting,Lucian,im cursed 999,Nami,xaroula psilakhs
5488439335,lose,Ranked Solo,2021-10-03 07:07:24,30m 4s,11,10,6,1.70:1,Triple Kill,ACE,Ryze,Master,empty,Gangplank,GO GET IT,Rengar,ΕDGJiejie,Twisted Fate,LGBTQJPGMD,Syndra,2021Worlds0076,Thresh,PINW KAFE,Poppy,Τragödie,Graves,Baldwin lV,Ryze,Kimchi3,Draven,TwTv daudr9,Bard,XAKY
5488030900,win,Ranked Solo,2021-10-03 01:37:25,29m 56s,7,6,12,3.17:1,empty,empty,Annie,Master,empty,Ornn,Xynteki,Graves,a world of love,Annie,Kimchi3,Lucian,sQûiiRReL,Nami,Suken,Camille,wangwangcatdog,Zac,VGIA Th3Antonio,Vex,DeCypher1,Ezreal,FUN k3y,Braum,Everfrost King
5487499287,win,Ranked Solo,2021-10-02 20:01:33,22m 52s,12,2,6,9.00:1,Double Kill,MVP,Sylas,Master,empty,Riven,Âddusto,Kha'Zix,Dopa Apm Hack,Twisted Fate,protågonist,Lucian,2021Worlds0171,Nami,Opsdahin,Yone,VININE MidofWest,Nunu & Willump,Jáximus,Sylas,Kimchi3,Miss Fortune,krysun,Thresh,Such a bad mood
5487264910,win,Ranked Solo,2021-10-02 09:09:25,22m 6s,7,1,8,15.00:1,Double Kill,empty,Taliyah,Master,empty,Vayne,Sorest,Taliyah,Kimchi3,Zed,XXXXX Q0001,Lucian,Ναυάγιο,Lulu,SUP Toxic Keskin,Camille,FOXA Uhtred,Diana,Shrimp Shark,Jayce,déces,Draven,11235,Nami,GALA mashallah
5487241306,win,Ranked Solo,2021-10-02 08:39:18,35m 25s,24,8,19,5.38:1,Triple Kill,MVP,Lee Sin,Master,empty,Graves,HSFFFFFFFFFF,Qiyana,White Whales,Orianna,1k LP mid inc,Tristana,boycott nestle,Pyke,FNC Jeko,Cho'Gath,RZF Bakhaen,Lee Sin,Kimchi3,Twisted Fate,Fearless Ravenno,Lucian,Giant Monster,Lulu,Aloru
5487099434,win,Ranked Solo,2021-10-02 07:55:27,20m 25s,6,2,5,5.50:1,empty,empty,Irelia,Master,empty,Volibear,superbigfun,Trundle,Stoute Makelaar,Cassiopeia,MIDKING SQ,Lucian,Giant Monster,Janna,Ødın,Camille,Âddusto,Elise,HigMec BigMac,Irelia,Kimchi3,Aphelios,CocaCola Monster,Lulu,Bonks
5487115222,win,Ranked Solo,2021-10-02 07:24:10,19m 5s,7,3,6,4.33:1,empty,empty,Graves,Master,empty,Sett,TwTv NMB Jordan,Graves,Kimchi3,LeBlanc, Makòto,Aphelios,happy frog1,Lulu,Only35 Unleashed,Irelia,superbigfun,Nidalee,Pötürgeli xD,Pantheon,S1ayter,Draven,Im Kaiting,Nautilus,Ward addict
5487047495,win,Ranked Solo,2021-10-02 06:56:11,36m 22s,12,5,21,6.60:1,Double Kill,empty,Taliyah,Master,empty,Gwen,Yes its true,Xin Zhao,Pablo Parito,Yasuo,S1ayter,Twitch,Im Kaiting,Nami,Lilieth,Irelia,White Steel Eel,Viego,þetter jng wins,Taliyah,Kimchi3,Jhin,Teddy Kościuszko,Pyke,FNC Jeko
5486058626,win,Ranked Solo,2021-10-02 00:03:17,33m 22s,8,4,9,4.25:1,Double Kill,empty,Galio,Master,empty,Sett,wo hen qinfen,Jarvan IV,Rγoiki Tenkai,Galio,Kimchi3,Ezreal,Yillan,Nami,uX Denner,Tahm Kench,Light above All,Kindred,Neidan,Katarina,Erisu,Lucian,Nitrooo,Rakan,SUP Toxic Keskin
5485873347,win,Ranked Solo,2021-10-01 19:44:17,32m 59s,11,7,9,2.86:1,Double Kill,empty,Ryze,Master,empty,Camille,Çöp,Xin Zhao,Xyllow,Annie,BicycleBilly27,Miss Fortune,Śectumsempra,Janna,Connithrill,Aatrox,HeIsinki,Rammus,ll HAMZA ll,Ryze,Kimchi3,Kai'Sa,CocaCola Monster,Rakan,kkkkkkkkkkkkkkk
5485568057,lose,Ranked Solo,2021-10-01 09:08:04,28m 15s,13,8,2,1.88:1,Double Kill,ACE,Corki,Master,empty,Lillia,Pigheadd,Rek'Sai,Win or Valhalla,Sylas,BEST RIVEN PT,Jhin,Azzam,Nautilus,dempsyya,Jax,MichælMastermind,Viego,The Chewbacca,Corki,Kimchi3,Caitlyn,korean pipinos,Soraka,LPS TMuKK
5485556034,lose,Ranked Solo,2021-10-01 08:24:56,17m 32s,8,2,4,6.00:1,Double Kill,ACE,LeBlanc,Master,empty,Diana,fak,Jarvan IV,Like a n1nja,Jayce,David Nalbandian,Aphelios,2021Worlds0171,Yuumi,             zwc,LeBlanc,Kimchi3,Qiyana,Οbsess,Quinn,Captain Quinn,Lucian,czerń koniczyna,Gragas,byeeeeeee
5485522393,lose,Ranked Solo,2021-10-01 07:56:06,33m 4s,10,6,8,3.00:1,Double Kill,empty,Twisted Fate,Master,empty,Jayce,2021Worlds0113,Lillia,Οbsess,Syndra,Goddess,Lucian,Ruler Jr,Nami,Genius Monster,Malphite,GS 5,Viego,Freakyplayer1,Twisted Fate,Kimchi3,Kai'Sa,CocaCola Monster,Brand,kodanik matu
5485468542,win,Ranked Solo,2021-10-01 07:16:46,21m 2s,8,2,9,8.50:1,MVP,empty,LeBlanc,Diamond 1,empty,Fiora,2021Worlds0113,Taliyah,LSADSDD,Yasuo,Q spammer,Miss Fortune,Ruler Jr,Karthus,ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ,Aatrox,GS 5,Kha'Zix,tempyhdueggzxebb,LeBlanc,Kimchi3,Lucian,CocaCola Monster,Annie,Genius Monster
5484360739,lose,Ranked Solo,2021-09-30 08:30:03,30m 43s,9,3,10,6.33:1,ACE,empty,LeBlanc,Diamond 1,empty,Malphite,Just cold,Lee Sin,9 19 Night,Katarina,elvarázsolt,Lucian,ME WAN BIG BATTY,Sona,NoIngameChatDiff,Sion,WheeezR,Qiyana,NinaAnnaJenny,LeBlanc,Kimchi3,Ashe,ashryver3,Janna,VEGETA IS DZ
5484228133,win,Ranked Solo,2021-09-30 07:51:09,28m 47s,11,8,19,3.75:1,empty,empty,Sylas,Master,empty,Jax,YQSH,Qiyana,Expecto Patrounm,Sylas,Kimchi3,Vayne,WOΕ,Amumu,GNLGNL,Aatrox,Stargazer7,Jarvan IV,This will pass,Irelia,Goldguns88,Karthus,Spray x,Bard,Cest CRlNGE
5484243684,lose,Ranked Solo,2021-09-30 07:13:22,28m 47s,7,9,5,1.33:1,empty,empty,Irelia,Master,empty,Fiora,DD Mental,Sejuani,Dragonite Lv99,Irelia,Kimchi3,Seraphine,Nicholai ,Brand,Kumugadonkis,Singed,LevelZeroFangirl,Lee Sin,UItimatum,LeBlanc,Marcy,Vayne,Maikeu,Bard,XerRaý
5484148817,win,Ranked Solo,2021-09-30 06:37:42,27m 52s,8,2,8,8.00:1,Double Kill,empty,Tryndamere,Master,empty,Camille,Iamsobadsorry,Warwick,SuperHyena ,Tryndamere,Kimchi3,Karthus,Viktorio,Yuumi,USM Herwyn,Jax,lucky iceland ,Diana,dwkpowered,Sion,Wsh Bien,Lucian,MiraiLizu,Nami,jeraa
5483965110,win,Ranked Solo,2021-09-30 04:16:37,21m 57s,6,3,6,4.00:1,Double Kill,empty,Tryndamere,Diamond 1,empty,Malphite,menninkäine,Olaf,BVEBVEA,Xerath,Immortoru,Ezreal,White Whales,Zyra,xProAqua,Sylas,YQSH,Talon,POWLERTALON,Tryndamere,Kimchi3,Syndra,SwitchUnit,Amumu,WKR Sirmake
5483899446,win,Ranked Solo,2021-09-30 03:47:51,24m 36s,7,5,11,3.60:1,empty,empty,Zed,Master,empty,Aatrox,lucky iceland ,Kha'Zix,POWLERTALON,Diana,Immortoru,Lucian,Bôlt,Nami,Omega Panda ,Graves,YQSH,Zed,Kimchi3,Twisted Fate,Jin Mu Wοn,Varus,SwitchUnit,Nautilus,WKR Sirmake
5483903823,win,Ranked Solo,2021-09-30 03:07:46,18m 49s,13,1,3,16.00:1,Double Kill,MVP,Tryndamere,Diamond 1,empty,Nasus,WSL Axe thrower,Olaf,Poopmaker,Katarina,Katarina Macro,Kai'Sa,FNC Upset12,Nautilus,Spaceberry,Kennen,YQSH,Kha'Zix,i wont get mad,Tryndamere,Kimchi3,Lucian,LFT Giubi,Amumu,YTSearch Hanabi
5483461359,lose,Ranked Solo,2021-09-30 00:47:10,30m 38s,4,6,7,1.83:1,empty,empty,Aatrox,Master,empty,Aatrox,Kimchi3,Kayn,little cute cat,Fizz,McFitty,Ezreal,PGE Biquette,Amumu,Genius Here,Riven,BuffRlVEN,Rek'Sai,Hażard ,Ahri,Gianbriele,Kai'Sa,Νihilitas,Sona,Azilo
5483238112,lose,Ranked Solo,2021-09-30 00:09:33,25m 18s,7,5,4,2.20:1,Double Kill,ACE,Irelia,Diamond 1,empty,Jarvan IV,Orious Dread,Kha'Zix,i wont get mad,Karma,MrSaltt,Ezreal,Νihilitas,Janna,BikeRiderTony54,Aatrox,Struggling Angel,Lee Sin,Kluukkluuk,Irelia,Kimchi3,Kai'Sa,FNC Upset12,Amumu,VAT Quest
5482890401,lose,Ranked Solo,2021-09-29 19:40:01,34m 46s,11,11,8,1.73:1,Double Kill,empty,LeBlanc,Diamond 1,empty,Syndra,lucky iceland ,Hecarim,NARCISST EGOIST,LeBlanc,Kimchi3,Varus,Avra 123,Braum,Coke is best,Aatrox,sushicat2,Kha'Zix,hâte u all,Kennen,SBootZ,Tristana,BedbyB8,Amumu,Heimskáut réfur
5482752913,win,Ranked Solo,2021-09-29 08:48:40,24m 24s,1,4,8,2.25:1,empty,empty,Galio,Diamond 1,empty,Aatrox,Envour,Ivern,Domentos,Galio,Kimchi3,Draven,Dinner first,Nami,GOD ALGORITHM,Talon,Honeyβadger,Jarvan IV,Yuujín A,LeBlanc,RAIÐBOSS,Vladimir,lordespárragos,Yuumi, βløssøm 
5482580353,win,Ranked Solo,2021-09-29 08:12:31,33m 26s,9,10,9,1.80:1,Triple Kill,empty,Qiyana,Diamond 1,empty,Fiora,Sigma Batman,Taliyah,Dinner first,Qiyana,Kimchi3,Ezreal,2021Worlds0076,Karma,DemonMeep,Riven,ƒrekte,Lillia,Chouineur 4,Ryze,lordespárragos,Lucian,Scottie Pippen,Nami, βløssøm 
5482653825,win,Ranked Solo,2021-09-29 07:15:45,24m 4s,9,6,14,3.83:1,Double Kill,empty,Kog'Maw,Diamond 1,empty,Jax,Kimchi warrior1,Lee Sin,Dinner first,Kog'Maw,Kimchi3,Kai'Sa,Giant Monster,Pyke,Z15,Camille,Bene Gesserìt,Qiyana,NinaAnnaJenny,Kassadin,Chuánqí Zhànshì,Sett,llamame papi,Lulu,WillyrexFnboy v3
5481712682,win,Ranked Solo,2021-09-28 19:41:52,23m 15s,14,2,5,9.50:1,Double Kill,empty,Sylas,Master,empty,Gangplank,YQSH,Nidalee,stabiles ego,Anivia,Δrticuno,Kog'Maw,SunShine Ali,Nami,TD Gimme,Gnar,reformedxxxF,Lee Sin,Dinner first,Sylas,Kimchi3,Senna,LL MI6,Pyke,MegumiNx
5481426155,win,Ranked Solo,2021-09-28 09:00:03,25m 37s,8,1,10,18.00:1,Double Kill,empty,LeBlanc,Diamond 2,empty,Irelia,byeeeeeee,Nidalee,1v9wheneveriwąnt,Sylas,Kimchi warrior1,Ezreal,iloveyouloveyou,Janna,ASK M7ng,Kennen,nihili5m,Lee Sin,Dinner first,LeBlanc,Kimchi3,Tristana,I can not aa xd,Lulu,mosesmudd
5481422187,win,Ranked Solo,2021-09-28 08:13:37,29m 9s,13,6,11,4.00:1,Triple Kill,empty,Pantheon,Master,empty,Pantheon,Kimchi3,Taliyah,WE Basil,Akali,The Noobi naab,Kai'Sa,Scottie Pippen,Leona,LimTheDestructor,Kassadin,piepinson,Xin Zhao,Vedoluinim,Irelia,Phoenix29LP,Lucian,cirodalA,Bard,Dont Stop Me XD
5481279848,lose,Ranked Solo,2021-09-28 07:38:58,21m 45s,1,12,7,0.67:1,empty,empty,Galio,Diamond 3,empty,Irelia,sushicat2,Graves,knv2,Galio,Kimchi3,Draven,Hí Im Sajator,Blitzcrank,Lucy Ford,Sett,HeIsinki,Taliyah,Kafuu chin0,Talon,woshilqs,Kai'Sa,Scottie Pippen,Anivia,woshidoinb
5481285712,lose,Ranked Solo,2021-09-28 07:10:02,25m 33s,7,6,1,1.33:1,Double Kill,ACE,Irelia,Diamond 3,empty,Shen,FFreaky,Ekko,knv2,Yone,Shenoxyr,Kalista,VictoriαsSecret,Rell,2021Worlds0173,Irelia,Kimchi3,Jarvan IV,Dinner first,Yasuo,R1 TWP,Ziggs,Ryäñ,Vel'Koz,Freakytilter
5481310701,lose,Ranked Solo,2021-09-28 06:28:27,16m 32s,1,4,3,1.00:1,empty,empty,Zed,Diamond 3,empty,Fiora,Thel1ttletiger,Jarvan IV,zYbsdSKyle,Ekko,Flamboyant Fox,Lucian,laozitianye,Yuumi,woshidoinb,Irelia,jjjBarsjjj,Qiyana,Dinner first,Zed,Kimchi3,Draven,WX DratikoEB,Janna,WX ScriptingEB
5481078561,win,Ranked Solo,2021-09-28 05:28:26,26m 13s,6,7,5,1.57:1,empty,empty,Camille,Diamond 4,empty,Camille,Kimchi3,Qiyana,Dinner first,Twisted Fate,woshilqs,Lucian,laozitianye,Yuumi,woshidoinb,Teemo,Charleeees,Shaco,breaking bad1,Diana,kiwi enjoyer 000,Draven,WX DratikoEB,Janna,WX ScriptingEB
5479628565,win,Ranked Solo,2021-09-27 07:58:12,20m 1s,6,3,5,3.67:1,Triple Kill,empty,Camille,Diamond 3,empty,Graves,YQSH,Qiyana,Expecto Patrounm,Yone,Rugemanee,Twitch,Odivonnior,Leona,JANGOOOOOOO V2,Camille,Kimchi3,Jarvan IV,Dinner first,Galio,Viikingr,Ezreal,Icelandwinter,Brand,Cawotte Moe
5479684185,lose,Ranked Solo,2021-09-27 07:28:45,24m 38s,8,12,6,1.17:1,empty,empty,Draven,Diamond 1,empty,Tryndamere,YQSH,Qiyana,Expecto Patrounm,Kassadin,VErneriii,Tristana,St0ne Fr33,Alistar,cirodalA,Kennen,nio top acc,Talon,Dinner first,Draven,Kimchi3,Yasuo,Loghos,Taric,Pablov9
5479550278,win,Ranked Solo,2021-09-27 06:50:53,18m 32s,10,2,6,8.00:1,empty,empty,Zoe,Diamond 3,empty,Jayce,MeIynx,Nidalee,piano gaming,Rumble,FPX Kartongen,Miss Fortune,Emdiel,Amumu,DrewArchiba,Aatrox,EU POLIZEI,Qiyana,Dinner first,Zoe,Kimchi3,Draven,2021Worlds0053,Rell,2021Worlds0055
5479524776,lose,Ranked Solo,2021-09-27 06:19:43,24m 53s,9,10,8,1.70:1,empty,empty,Ekko,Diamond 3,empty,Sett,Ravenous31,Qiyana,Dinner first,Ekko,Kimchi3,Soraka,Princess Dove,Zyra,Duality,Malphite,HealingMark,Ivern,Rift Inspector,Katarina,heaventear,Tristana,91 C LE BRESIL,Yuumi,BenqueRR
