gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5309533702,lose,Ranked Solo,2021-07-08 00:05:13,19m 27s,6,3,2,2.67:1,Double Kill,ACE,Sylas,Master,empty,Jayce,항시 감정조절중 ,Viego,zyf1,Sylas,wrsIt,Varus,문월2,Zilean,고길동의마스터이,Pantheon,멍붕이,Gwen,haoyunsenming,Qiyana,정재만,Samira,수영장파티와노팍,Rakan,Palette6
5309453850,lose,Ranked Solo,2021-07-07 23:31:02,32m 57s,9,5,5,2.80:1,Double Kill,empty,LeBlanc,Master,empty,Camille,DK Leaf,Hecarim,쟁골공원 ,LeBlanc,wrsIt,Kog'Maw,문월2,Alistar,2021Worlds0173,Lee Sin,생기네우리감정선,Volibear,Yurooo,Viktor,2021seeyou,Ezreal,Ottogl,Gragas,햄스터쳇바퀴인생
5308721279,lose,Ranked Solo,2021-07-07 19:30:07,17m 27s,0,5,2,0.40:1,ACE,empty,LeBlanc,Master,empty,LeBlanc,wrsIt,Hecarim,Tar ar aind,Rakan,DangerousBoy ady,Ezreal,yuuu sup,Seraphine,FA Sloth,Camille,BMX1234,Lee Sin,소년가장 원딜,Katarina,zkxkzkxkzkxkzkxk,Aphelios,First time,Lulu,Palette6
5308653368,win,Ranked Solo,2021-07-07 18:40:51,20m 10s,7,3,4,3.67:1,empty,empty,Akali,Master,empty,Xin Zhao,Dn22,Karthus,lIIlIlIlIllIIII,Zed,Roxy Migurdia,Kalista,Nuskin12,Alistar,못맞춥니다,Akali,wrsIt,Kindred,22Melis,Talon,BJX,Kai'Sa,Rumor22,Nautilus,노틸러스서폿
5307606637,lose,Ranked Solo,2021-07-07 01:01:41,16m 29s,2,5,1,0.60:1,empty,empty,Lucian,Grandmaster,empty,Lucian,wrsIt,Diana,잘해질꺼야난,Viego,BSM 조보웅,Kalista,cer,Nautilus,98kiw,Renekton,Hakunaa Matata,Rumble, 엘 림,Zed,Deadly,Kai'Sa,21year0120,Alistar,2021Worlds0173
5286945333,lose,Ranked Solo,2021-06-27 01:01:18,31m 52s,5,7,3,1.14:1,Double Kill,empty,LeBlanc,Grandmaster,empty,Lucian,miemiemie,Xin Zhao,Permaban10535638,LeBlanc,wrsIt,Ezreal,YcxJump77,Braum,R U RD XXX,Quinn,발러야 밥먹자,Gragas,Px8,Irelia,미드 사용법12,Kai'Sa,BM4V,Leona,whisper snow
5286871893,win,Ranked Solo,2021-06-26 23:50:55,18m 18s,8,1,4,12.00:1,Double Kill,empty,Akali,Master,empty,Gwen,Turned to leave,Xin Zhao,wuxuduoyan,Akali,wrsIt,Samira,우울증걸린사람,Shaco,펜니르,Jayce,Z xian,Nidalee,Lia the Cat,Ryze,Tar ar aind,Varus,zszzz,Leona,Slayder
5285838029,lose,Ranked Solo,2021-06-26 18:24:50,12m 38s,2,4,1,0.75:1,ACE,empty,Akali,Grandmaster,empty,Akali,wrsIt,Lee Sin,리액션단돈만원 ,LeBlanc,langmanbusi,Kai'Sa,겜할시간에책읽기,Alistar,별의 순간,Wukong,KDA1점대인사람,Nidalee,파란머리 메이드 ,Lissandra,단군의청춘부재,Ashe,KT R ADC,Lulu,GAM NRG
5285571574,win,Ranked Solo,2021-06-26 15:09:50,26m 45s,9,7,6,2.14:1,empty,empty,Nocturne,Master,empty,Dr. Mundo,04년생 원숭이띠,Nidalee,naiyoubaby,Nocturne,wrsIt,Vayne,디어사이드,Karma,통 준비 아오,LeBlanc,단군의청춘부재,Kayn,haoye,Lee Sin,낭만은죽었어,Ezreal,choubao,Nautilus,1128321
5284724680,lose,Ranked Solo,2021-06-26 03:40:50,24m 55s,4,6,3,1.17:1,empty,empty,Renekton,Master,empty,Jayce,Shadow Ming9,Rumble,Star Supernova,Renekton,wrsIt,Aphelios,승승웅,Thresh,deng wo,Pantheon,llIlIlIIlIllIllI,Lee Sin,Ellyyy,Ahri,교고 여신 아리,Ezreal,ad Noob sorry,Leona,NS Yusin
5284780556,win,Ranked Solo,2021-06-26 03:07:54,27m 8s,7,2,10,8.50:1,Double Kill,MVP,Nocturne,Master,empty,Gwen,xiao ke tang,Lee Sin,Ellyyy,Ryze,교고 여신 아리,Aphelios,yusari,Thresh,소리없이울다,Darius,PandaCCC,Diana,BRO Chieftain,Nocturne,wrsIt,Ezreal,승승웅,Galio,Winsome2
5284605745,lose,Ranked Solo,2021-06-26 02:32:45,31m 47s,5,5,4,1.80:1,empty,empty,Yone,Master,empty,Sylas,오직승리만생각,Nocturne,lIIlIlIlIllIIII,Yone,wrsIt,Aphelios,이상하다아,Leona,Winsome2,Karma,Crucile,Viego,haoye,Zoe,zhuzhulong,Kalista,21 DW 22 1,Thresh,wyhzl
5284651229,lose,Ranked Solo,2021-06-26 01:50:37,15m 45s,3,5,0,0.60:1,empty,empty,Lee Sin,Master,empty,Jayce,Shadow Ming9,Lillia,토닥임,Renekton,병아리크면수탉,Kalista,Ten demons,Karma,zhiwozuiwo,Camille,혼자있기,Nidalee,운명canwin,Lee Sin,wrsIt,Varus,승승웅,Taric,비누 쫌 주워줘
5284585432,lose,Ranked Solo,2021-06-26 01:21:30,15m 12s,2,1,0,2.00:1,ACE,empty,Yasuo,Grandmaster,empty,Camille,1Conor McGregor2,Ekko,beibeibaobao,Sylas,Gen G Ophelia,Kalista,2y1z,Karma,iznad,Yasuo,wrsIt,Diana,alasseo,Viego,사 용 수,Kog'Maw,42141321,Thresh,krole
5284490338,lose,Ranked Solo,2021-06-26 00:59:05,22m 28s,8,7,2,1.43:1,ACE,empty,Jayce,Master,empty,Lucian,너브내서리풀,Lillia,토닥임,Jayce,wrsIt,Swain,망토 펄럭펄럭,Thresh,FAKE LOVEE,Riven,Azhy,Diana,Special Card,Yasuo,구글 검색 제드팀,Varus,2y1z,Karma,iznad
5284433364,win,Ranked Solo,2021-06-26 00:29:32,21m 31s,5,3,9,4.67:1,empty,empty,LeBlanc,Master,empty,Jax,너브내서리풀,Xin Zhao,고단 한 나 날,LeBlanc,wrsIt,Kai'Sa,2y1z,Nautilus,FAKE LOVEE,Lucian,4세대,Udyr,Special Card,Akali,UMBBBBBBBBB,Samira,yusari,Taric,비누 쫌 주워줘
5283885157,win,Ranked Solo,2021-06-25 19:45:40,26m 6s,7,8,3,1.25:1,Double Kill,empty,LeBlanc,Master,empty,Quinn,리얼쿠쿠루쿠쿠쿸,Kayn,2007 xhr,LeBlanc,wrsIt,Tristana,146k,Rakan,BRO Jeong Hoon,Fiora,zika1,Trundle,Return To U,Sylas,나도 질퍽이,Kai'Sa,21 DW 22 1,Sett,C4C
5283789765,win,Ranked Solo,2021-06-25 19:08:55,29m 18s,11,5,8,3.80:1,MVP,empty,Lee Sin,Grandmaster,empty,Dr. Mundo,fashion여자,Elise,나는 잘 하고싶,Lucian,Yagao,Varus,무오래걸리지않게,Karma,xiang bing bing,Gwen,Fix u xxx,Olaf,리액션단돈만원 ,Lee Sin,wrsIt,Jinx,146k,Taliyah,라윤공주
