gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5470597046,win,Ranked Solo,2021-09-23 18:00:23,30m 50s,9,3,11,6.67:1,Double Kill,MVP,Sylas,Grandmaster,empty,Irelia,Saint Diana,Rumble,nodfan,Yasuo,강의 구글 제드팀,Kai'Sa,bai si yyds,Lulu,어딘가좀아픈사람,Fiora,FA Decky,Talon,사랑이 하고싶어,Sylas,미북이,Draven,viper3,Nautilus,fuzhu carry
5469854698,win,Ranked Solo,2021-09-23 03:00:35,25m 47s,10,7,16,3.71:1,Triple Kill,empty,Irelia,Grandmaster,empty,Gragas,hggbexrloo,Diana,Love dont stop,Lee Sin,00000000002,Yasuo,검색 구글 제드팀,Rakan,Practice,Irelia,미북이,Ekko,타 잔,Talon,시간의 숲,Syndra,누쇤퍅,Maokai,끼릭끼리릭
5469811236,win,Ranked Solo,2021-09-23 02:20:34,30m 54s,10,3,8,6.00:1,Penta Kill,empty,Syndra,Grandmaster,empty,Riven,오동1,Zed,나는변신할것이다,Sylas,Fox B Mg,Kai'Sa,SPG BaeKHo,Lulu,SHCH0,Aatrox,dustmqdyd12,Talon,Hengzzz,Syndra,미북이,Ashe,JJ0ng 묻었네,Rakan,Honpi
5469787875,win,Ranked Solo,2021-09-23 01:44:15,21m 7s,4,3,8,4.00:1,empty,empty,Lissandra,Grandmaster,empty,Volibear,우울적울컥,Olaf,끼릭끼리릭,LeBlanc,Hide on bush,Lucian,DK Kingdom,Nami,EIeven2,Jax,샤오 쑤,Jarvan IV, 엘 림,Lissandra,미북이,Aphelios,SPG BaeKHo,Janna,전서방 닭갈비
5469745116,win,Ranked Solo,2021-09-23 01:16:28,20m 51s,4,3,10,4.67:1,empty,empty,Galio,Challenger,empty,Rumble,모두모두항복하걸,Viego,끼릭끼리릭,Irelia,Jh2nhj2rjoh,Samira,SPG BaeKHo,Rakan,우주방패,Jayce,T1 Zeus,Jarvan IV,우울적울컥,Galio,미북이,Miss Fortune,DK Kingdom,Morgana,전서방 닭갈비
5469710490,win,Ranked Solo,2021-09-23 00:47:39,26m 18s,7,2,4,5.50:1,Double Kill,MVP,Irelia,Grandmaster,empty,Kennen,간다라쿤다,Xin Zhao,Gen G Clid,Sylas,피자호팡,Varus,SPG BaeKHo,Maokai,Practice,Cassiopeia,DK Kingdom,Talon,L1sure,Irelia,미북이,Kai'Sa,이기고오쉽당,Trundle,전서방 닭갈비
5469682308,lose,Ranked Solo,2021-09-23 00:12:05,37m 35s,5,6,11,2.67:1,Double Kill,ACE,Yone,Grandmaster,empty,Yone,미북이,Shaco,이젠 안질게,Lulu,Fiora,Lucian,BRO Hena,Gragas,전서방 닭갈비,Rumble,모두모두항복하걸,Jarvan IV,Xiaohao9,Twisted Fate,CIoudburst,Jhin,SPG BaeKHo,Rakan,Honpi
5469524823,lose,Ranked Solo,2021-09-22 23:12:01,20m 26s,2,4,7,2.25:1,ACE,empty,Ryze,Grandmaster,empty,Lulu,Fiora,Graves,아크샨밴의 신,Yone,은가뉴,Syndra,누쇤퍅,Rakan,Honpi,Rumble,FA Decky,Lee Sin,T1 Gumayusi,Ryze,미북이,Aphelios,BRO Hena,Bard,concesslon
5469442586,lose,Ranked Solo,2021-09-22 22:27:27,35m 54s,11,10,13,2.40:1,empty,empty,Tryndamere,Grandmaster,empty,Gwen,강의 듀오 제드팀,Poppy,광팔햄,Tryndamere,미북이,Kai'Sa,bai si yyds,Leona,fuzhu carry,Jayce,Yorick,Lillia,타 잔,Lucian,모두모두항복하길,Ezreal,하 루 가절 반 ,Sett,새콤달콤 하 다
5469221227,lose,Ranked Solo,2021-09-22 20:43:58,32m 19s,8,12,5,1.08:1,empty,empty,Zed,Grandmaster,empty,Kennen,옆동산외계인,Graves,이러다 다 D져,Talon,사랑이 하고싶어,Ezreal,zszzz,Rakan,Yi bing chao,Jayce,아크샨밴의 신,Karthus,멘탈하난좋아 ,Zed,미북이,Lucian,viper3,Thresh,Practice
