gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5363704379,win,Ranked Solo,2021-08-01 18:30:45,14m 4s,3,2,5,4.00:1,empty,empty,Ashe,Grandmaster,empty,Tryndamere,FA Decky,Nidalee,글썽글썽태윤,Lucian,진짜 졸라 빡치네,Aphelios,kcvawsreiuyopdgz,Thresh,MNTNMNTNM,Sylas,몽키 D 짱구,Volibear,타 잔,Jayce,DK Chasy,Ashe,vaemqrlcxvz,Braum,Yi bing chao
5363577935,lose,Ranked Solo,2021-08-01 18:07:38,24m 22s,3,6,1,0.67:1,empty,empty,Lucian,Grandmaster,empty,Camille,it calls echoes,Zac,dangyadangyadang,Sylas,놀이터여행자,Lucian,vaemqrlcxvz,Tahm Kench,four year,Jax,bie tai kuang,Lee Sin,Zhuanxinzhizhi,Qiyana,나는성공할것이다,Ziggs,shenzhenshaoye,Alistar,알레산드로 델
5363561084,win,Ranked Solo,2021-08-01 17:33:02,23m 53s,8,3,11,6.33:1,Triple Kill,empty,Ashe,Grandmaster,empty,Wukong,Saturday Mornlng,Viego,Zhuanxinzhizhi,Corki,카사돌,Samira,Gon1234,Nautilus,Seize the day11,Lee Sin,20time,Nidalee,디킨스이,Jayce,BRO TaNa,Ashe,vaemqrlcxvz,Braum,전서방 닭갈비
5363435684,win,Ranked Solo,2021-08-01 17:04:08,21m 58s,5,4,11,4.00:1,MVP,empty,Ashe,Grandmaster,empty,Wukong,Trisak,Rumble,먼 여행을 떠나,Lee Sin,쭌 베,Aphelios,Fatty,Leona,crycrystal,Tryndamere,갱붕이,Diana,플로리쯔,Jayce,Fox B Osu,Ashe,vaemqrlcxvz,Braum,Let me sup
5363368454,win,Ranked Solo,2021-08-01 16:35:07,23m 37s,14,3,6,6.67:1,Double Kill,empty,Lucian,Grandmaster,empty,Mordekaiser,BRO TaNa,Lee Sin,미드조지기,Irelia, Gen G Bdd,Lucian,vaemqrlcxvz,Braum,shuzu1,Jayce,Gen G Burdol,Nidalee,플로리쯔,Tryndamere,갱붕이,Samira,Fatty,Leona,crycrystal
5363228902,lose,Ranked Solo,2021-08-01 15:52:11,29m 2s,3,5,5,1.60:1,empty,empty,Lucian,Grandmaster,empty,Kalista,wodesry,Shyvana,hyckrrwzsn,Viego,05프로하고싶어요,Lucian,vaemqrlcxvz,Tahm Kench,shuzu1,Quinn,살퀸레,Sejuani,Liiv OnFleek,Renekton,bglxxnm,Ziggs,Clever9,Trundle,전서방 닭갈비
5363157470,win,Ranked Solo,2021-08-01 14:54:33,27m 51s,7,5,11,3.60:1,Double Kill,empty,Syndra,Grandmaster,empty,Tahm Kench,YAYAQAQ,Kayn,JustLikeThatKR,Sett,미북이,Syndra,vaemqrlcxvz,Thresh,Seize the day11,Fiora,아이린,Shaco,이젠 안질게,Talon,전상득,Ziggs,skwhadlrlffo,Pantheon,Gen G Khael
5361991774,win,Ranked Solo,2021-07-31 23:01:53,29m 53s,9,5,12,4.20:1,Double Kill,empty,Ashe,Challenger,empty,Lillia,Gon123,Viego,hai cha de yuan,Renekton,오동1,Aphelios,Gen G Peyz,Karma,Destiny,Orianna,Permaban10555153,Xin Zhao,naiyoubaby,Lee Sin,우제우스,Ashe,vaemqrlcxvz,Tahm Kench,MNTNMNTNM
5334012485,lose,Ranked Solo,2021-07-19 04:06:22,23m 33s,3,7,8,1.57:1,Double Kill,empty,Katarina,Challenger,empty,Trundle,Gon123,Diana,bglxxnm,Katarina,vaemqrlcxvz,Varus,vmaw90m09am34,Karma,Gen G Khael,Fiora,sword god14,Ekko,난 무조건 잘 돼,Lee Sin,zhong men dui ju,Aphelios,jkjkjkjkk,Nautilus,four year
5333909654,win,Ranked Solo,2021-07-19 03:31:50,22m 44s,3,5,2,1.00:1,empty,empty,Kai'Sa,Challenger,empty,Ryze,AF Keine,Lee Sin,JustLikeThatKR,Renekton,sword god14,Kai'Sa,vaemqrlcxvz,Rakan,Honpi,Dr. Mundo,아이린,Sejuani,Gen G Clid,Irelia,GGanbuMid,Varus,zzzzussss,Leona,zxckas0dk
5333819360,lose,Ranked Solo,2021-07-19 02:57:55,16m 45s,3,4,1,1.00:1,empty,empty,Camille,Challenger,empty,Camille,vaemqrlcxvz,Shaco,amc Hold,Gwen,식혜커플존버 ,Aphelios,Gen G Ruler,Thresh,changguiiiiiiiii,Trundle,Gon123,Xin Zhao,Gen G Clid,Kassadin,T1 M1reu,Ezreal,다들말하네yessir,Tahm Kench,곽곽보성
5333638104,win,Ranked Solo,2021-07-19 01:22:20,21m 2s,5,2,6,5.50:1,MVP,empty,Ashe,Challenger,empty,Darius,jingdaijieshu,Gwen,bglxxnm,Lee Sin,혜지명1,Aphelios,아이린,Leona,유경완짜증나,Vayne,xoxooxoxooox,Xin Zhao,T1 Oner,Lulu,Fox B Mg,Ashe,vaemqrlcxvz,Tahm Kench,로이갓전용노예
5332236570,win,Ranked Solo,2021-07-18 16:11:39,15m 41s,4,1,3,7.00:1,empty,empty,Aphelios,Challenger,empty,Camille,따봉 람머스,Xin Zhao,DK Leaf,Zoe,213435,Vayne,Betty9,Thresh,Destiny,Renekton,jingdaijieshu,Olaf,먼 여행을 떠나,Katarina,Emilia tan,Aphelios,vaemqrlcxvz,Nautilus,kukuking
