gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471464522,win,Ranked Solo,2021-09-24 00:32:16,12m 59s,0,2,2,1.00:1,empty,empty,Galio,Challenger,empty,Irelia,디알엑스 제트,Taliyah,T1 Ellim,Jayce,T1 Zeus,Miss Fortune,DK Kingdom,Galio,viper3,Riven,오동1,Talon,nodfan,Sylas,사랑이 하고싶어,Samira,irasu1,Rell,Let me sup
5470692172,lose,Ranked Solo,2021-09-23 18:32:03,20m 54s,3,14,7,0.71:1,empty,empty,Amumu,Grandmaster,empty,Lulu,FA Decky,Qiyana,bilibili wenmo,Yone,Gen G Quid,Aphelios,항상배고픈코그모,Amumu,viper3,Akali,Shadow FA 03,Talon,xhr,Jayce,Tangyuando,Lucian,어딘가좀아픈사람,Galio,Let me sup
5470597046,win,Ranked Solo,2021-09-23 18:00:23,30m 50s,10,5,7,3.40:1,Triple Kill,empty,Draven,Grandmaster,empty,Irelia,Saint Diana,Rumble,nodfan,Yasuo,강의 구글 제드팀,Kai'Sa,bai si yyds,Lulu,어딘가좀아픈사람,Fiora,FA Decky,Talon,사랑이 하고싶어,Sylas,미북이,Draven,viper3,Nautilus,fuzhu carry
5470406872,lose,ARAM,2021-09-23 14:55:45,18m 34s,2,10,20,2.20:1,empty,empty,Zac,empty,empty,Corki,갈매동주둥이왕,Jayce,타 잔,Zac,viper3,Veigar,모렐로나미콘,Nami,lllIIIlllIIllll,Gnar,유 인,Lee Sin,위 느,Lillia,한상빈,Alistar,zl존or기곰돌e,Ashe,조아해요
5469797682,win,Ranked Solo,2021-09-23 03:37:49,25m 6s,16,4,11,6.75:1,Double Kill,MVP,Yasuo,Grandmaster,empty,Fiora,ke bei,Qiyana,a little story,Vladimir,Gen G Burdol,Ziggs,나는변신할것이다,Trundle,EatDIE EATdie,Riven,오동1,Zac,역시폭군,Diana,who is niuma,Yasuo,viper3,Gragas,옆동산외계인
5469873470,win,Ranked Solo,2021-09-23 02:45:40,23m 44s,7,5,4,2.20:1,empty,empty,Lucian,Grandmaster,empty,Gragas,거북이사건,Viego,아크샨밴의 신,Twisted Fate,CIoudburst,Varus,튀자튀자아,Nami,심리 건들지마,Kennen,ke bei,Lee Sin,DRX1234,Sylas,Gen G Burdol,Lucian,viper3,Yuumi,EatDIE EATdie
5469759539,win,Ranked Solo,2021-09-23 02:05:17,29m 16s,8,2,6,7.00:1,Double Kill,empty,Draven,Grandmaster,empty,Zoe,Slowly Song,Lee Sin,06 05 19,Sejuani,이도류,Draven,viper3,Braum,우주방패,Sett,DRX1234,Viego,난 무조건 잘 돼,Ryze,단군의청춘부재,Lucian,원딜은무기력하다,Yuumi,EatDIE EATdie
5469696598,win,Ranked Solo,2021-09-23 01:25:23,21m 13s,2,3,5,2.33:1,empty,empty,Lissandra,Challenger,empty,Gragas,거북이사건,Lee Sin,난 무조건 잘 돼,Lissandra,viper3,Lucian,Gen G Ruler,Nami,호잇이,Mordekaiser,ke bei,Rek'Sai,아크샨밴의 신,LeBlanc,DRX1234,Ezreal,항상배고픈코그모,Karma,RiHoo
5469720691,win,Ranked Solo,2021-09-23 00:53:24,31m 14s,5,10,12,1.70:1,empty,empty,Lucian,Grandmaster,empty,Riven,오동1,Jarvan IV,06 05 19,Zed,ZED99,Lucian,viper3,Nami,호잇이,Fiora,DRX1234,Lillia,아크샨밴의 신,Tryndamere,Tryndamere777,Miss Fortune,어제보단잘하자,Leona,BigFour44
5469685476,win,Ranked Solo,2021-09-23 00:14:07,20m 41s,10,4,8,4.50:1,Double Kill,MVP,Miss Fortune,Grandmaster,empty,Tryndamere,Tryndamere777,Lee Sin,06 05 19,Yone,피자호팡,Jhin,원딜은무기력하다,Camille,호잇이,Pantheon,BJ갈배,Taliyah,Gen G Clid,Graves,blwy1,Miss Fortune,viper3,Amumu,fuzhu carry
