gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5458528865,win,ARAM,2021-09-13 05:50:01,20m 26s,15,7,16,4.43:1,Triple Kill,empty,Kayle,empty,empty,Maokai,Sense8tion,Pantheon,Bonketkkn,Zilean,Blackimpact,Lulu,Tombledore,Qiyana,K E R M Ï T,Kayle,Cléophé lpb,Akali,Zeli0n,Brand,AAH Mr Jeannette,Sona,Azsunah,Nasus,Toni Bonaparte
5456834538,lose,Ranked Solo,2021-09-12 06:00:18,22m 14s,6,7,5,1.57:1,Double Kill,empty,Yorick,Platinum 3,empty,Irelia,plat1 30wr sett,Evelynn,IVERN KEKW ,Yasuo,My Last Run,Varus,Ghettômau5,Vel'Koz,DD PANIC,Yorick,Cléophé lpb,Amumu,jacob li,Ahri,Azsunah,Aphelios,lymet,Yuumi,asdfvisvb
5456668703,win,Ranked Solo,2021-09-12 05:20:34,24m 28s,11,9,3,1.56:1,Double Kill,empty,Kai'Sa,Platinum 3,empty,Yone,bit of an issue,Amumu,MUMMY GO DUMMY,Sylas,Vanilla Bourbon,Kai'Sa,Cléophé lpb,Zyra,Azsunah,Kled,Šnopsls,Elise,KataZed,Twisted Fate,Vettalemi,Caitlyn,Vayne any Iane,Pyke,Pykeáchu
5429020904,lose,Ranked Solo,2021-08-24 23:50:31,22m 1s,2,6,1,0.50:1,empty,empty,Cassiopeia,Diamond 1,empty,Yone,ForgivenBlade14,Shyvana,Jølle Fan,Yasuo,its never enough,Ashe,IIIlllIIIIIIIll,Janna,emirjuan,Cassiopeia,Cléophé lpb,Volibear,Yourek,Viktor,HIVE goose,Draven,WIFIBEATER,Morgana, πΞΞΞΞπ
5417686839,win,Normal,2021-08-17 08:18:19,20m 31s,10,5,4,2.80:1,Double Kill,MVP,Viego,empty,empty,Akali,PopcornQAQ,Master Yi,  Mo Yi Ao Miao ,Zed,ImToxicBro,Lux,Nai You Bu Ding,Xerath,Fu Za  De    Ren,Viego,Cléophé lpb,Vi,soleret,Annie,Missoui,Jinx,InSomnia25,Senna,Perry vK
5410043628,win,ARAM,2021-08-12 06:10:06,21m 42s,17,7,28,6.43:1,Quadra Kill,empty,Heimerdinger,empty,empty,Pantheon,Koarosa,Heimerdinger,Cléophé lpb,Hecarim,Nexode,Seraphine,Azsunah,Kindred,Toni Bonaparte,Vayne,Juuzobis,Shen,Žinedine Žilean,Riven,Hapïn,Illaoi,SoSejii,Tryndamere,Kodokuna kami
5409978281,win,Normal,2021-08-12 05:45:39,29m 30s,28,9,5,3.67:1,Triple Kill,MVP,Kalista,empty,empty,Kalista,Cléophé lpb,Ekko,Koarosa,Lucian,Nexode,Caitlyn,Azsunah,Lux,Toni Bonaparte,Urgot,Mr Shorrtyy,Diana,FluffyFunPanda,Ryze,Affengeiler,Jhin,FluffyBadPanda,Thresh,FluffyFatPanda 
5408584999,win,Ranked Solo,2021-08-11 10:01:59,23m 52s,21,9,0,2.33:1,Quadra Kill,MVP,Irelia,Platinum 1,empty,Vayne,vayne top op wtf,Nocturne,Fledrema,Lucian,Bękedde,Xayah,Jonx,Zyra,RHCP Frusciante,Irelia,Cléophé lpb,Kayn,Zenpakuto,Yasuo,Panthère Noire,Samira,Sibbs,Nami,Azsunah
5405608345,win,ARAM,2021-08-09 08:09:55,19m 46s,31,11,25,5.09:1,Quadra Kill,empty,Viego,empty,empty,Viego,Cléophé lpb,Dr. Mundo,KC KinderPinguis,Quinn,Siouta,Viktor,Azsunah,Tahm Kench,SAKEN1,Varus,Phasemaker,Graves,TheBlindBeatrice,Vel'Koz,Hadrien1er,Caitlyn,DentdeLion,Akshan,Nr1 P4P Khabib
5405604044,win,ARAM,2021-08-09 07:38:02,27m 10s,21,10,19,4.00:1,Double Kill,empty,Zoe,empty,empty,Zoe,Cléophé lpb,Bard,KC KinderPinguis,Akali,Siouta,Kai'Sa,Azsunah,Viego,Toni Bonaparte,Miss Fortune,Pikatoise,Katarina,SCOOBYSN4CK,Ashe,Tohiiii,Ezreal,DeathBlazzer,Kayle,furi57
