gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490461820,win,Ranked Solo,2021-10-04 08:45:22,32m 34s,8,7,9,2.43:1,Double Kill,empty,Ekko,Grandmaster,empty,Trundle,FrozenHuntsman,Ekko,for her sake,Zed,knight9źź,Lucian,Kaor1,Lulu,Kaseko,Jax,XLeQu,Talon,Raiden Shogun C2,Vex,Po Gap,Ziggs,lucker3,Soraka,CG Nio
5490427234,lose,Ranked Solo,2021-10-04 08:05:53,30m 59s,11,12,15,2.17:1,Double Kill,ACE,Taliyah,Master,empty,Tahm Kench,toLyeV,Taliyah,for her sake,Zed,LDNU Koussay3,Lucian,Nero Forte,Braum,Shubber,Graves,UMBBBBBBBBBBB,Talon,daIe manin,Gragas,Stargazer7,Tristana,i abuse ie ,Lulu,Kaseko
5490431241,lose,Ranked Solo,2021-10-04 07:23:59,36m 2s,4,8,8,1.50:1,ACE,empty,Sett,Grandmaster,empty,Camille,Xiaobylenz,Kha'Zix,LMAO OmulFinn,Syndra,Gilius2,Lucian,EDG Innaxe,Nami,livelyfish5,Sett,for her sake,Taliyah,asdfghjklqwe,Graves,Chamana1,Aphelios,David Nutt3r,Nautilus,Rückendeckung
5490307492,win,Ranked Solo,2021-10-04 06:36:54,28m 16s,21,2,3,12.00:1,Triple Kill,MVP,Viego,Grandmaster,empty,Irelia,ΙrreΙevant,Zac,Zac Jones,Pantheon,Undercover CraB,Ezreal,EDGVIPEREDGVIPER,Rakan,TraYtoN,Tryndamere,00N Kerberos,Viego,for her sake,Syndra,TheRoyalKanin,Ziggs,srysry,Sett,Frank Horrigan
5490271694,win,Ranked Solo,2021-10-04 05:55:46,27m 43s,6,9,20,2.89:1,Double Kill,empty,Jarvan IV,Grandmaster,empty,Pantheon,Wufo,Jarvan IV,for her sake,Sylas,TheRoyalKanin,Tristana,SAUCE WALKA,Zyra,NanamiHakuya,Kayn,tiltproof acc XD,Nidalee,C9 Blaberfish2,Zed,TwTv iljimaeLoL,Miss Fortune,LDLC Gumayusi,Leona,livelyfish5
5490194426,win,Ranked Solo,2021-10-04 05:09:07,19m 40s,10,1,2,12.00:1,Double Kill,MVP,Aatrox,Grandmaster,empty,Aatrox,for her sake,Lee Sin,asdfghjklqwe,Malphite,GODZILLA66666666,Vayne,WTX Scripter,Karma,Xenis,Renekton,suh dude xD,Jarvan IV,J3kko,Sylas,C9 Blaberfish2,Lucian,Cutepatootie,Nami,livelyfish5
5488085230,win,Ranked Solo,2021-10-03 03:06:49,25m 22s,7,2,6,6.50:1,MVP,empty,Ekko,Grandmaster,empty,Wukong,SołdSoulForLp,Ekko,for her sake,Irelia,Einard,Kog'Maw,11Lunari Weapons,Thresh,Damgos,Fiora,Czajek9z,Shaco,tb5,Qiyana,TAMAAAAAAAAAAA,Karthus,G 2 3 H 1 Z U ,Karma,SISSY FEMBOY XD
5488029625,win,Ranked Solo,2021-10-03 02:26:22,17m 38s,9,0,4,Perfect,Double Kill,empty,Graves,Grandmaster,empty,Gragas,Babus,Graves,for her sake,Orianna,Pakk,Miss Fortune,II Anyone,Taric,NanamiHakuya,Urgot,bausffs movement,Lee Sin,Loumuis,Malzahar,SL0WDEATH,Karthus,G 2 3 H 1 Z U ,Janna,Fatihcan
5488015853,lose,Ranked Solo,2021-10-03 01:59:25,21m 45s,6,6,0,1.00:1,empty,empty,Diana,Grandmaster,empty,Riven,Ugglaann,Evelynn,Roulette,Qiyana,TC Hú Táo,Draven,DIGESTHUMANFLESH,Rakan,GK Mishal,Gnar,Maynter,Diana,for her sake,Yasuo,BROHAN AND SEKKI,Samira,Iose my mind,Nautilus,14yo smurf 
5487940197,lose,Ranked Solo,2021-10-03 01:26:24,24m 9s,5,5,7,2.40:1,empty,empty,Galio,Grandmaster,empty,Aatrox,Venour,Rammus,BR Lord Semi,Sylas,maybe f keys ,Ezreal,2021WorldsOp3N,Thresh,enjawve,Kled,dont be yikes,Zed,SLY Djoko,Galio,for her sake,Karthus,the super noob,Amumu,WntFindMeLolPros
