gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488243111,win,Ranked Solo,2021-10-03 04:08:02,18m 33s,8,3,8,5.33:1,Double Kill,empty,Lucian,Grandmaster,empty,Aphelios,Undercover ChimP,Lee Sin,OnerKING,Ekko,420WeabooSlayer,Lucian,Meruem12,Nami,FNC Hylissangg,Aatrox,suusuppuun,Viego,Happy Alexx,LeBlanc,Chamana1,Jinx,bean3,Blitzcrank,Frank Horrigan
5486305926,lose,Ranked Solo,2021-10-02 02:14:53,24m 42s,14,7,8,3.14:1,Double Kill,ACE,Lucian,Master,empty,Gnar,ATL Lingwi,Kindred,I Flame in Morse,Talon,TAL7NGXD,Cassiopeia,Stampé,Pyke,SiemaTuBoczek,Garen,REVIENS A KONOHA,Shaco,EtoTudaEtoSuda,Karma,DUMAN,Lucian,Meruem12,Nami,FNC Hylissangg
5485988040,win,Ranked Solo,2021-10-01 22:20:13,15m 29s,7,2,4,5.50:1,Double Kill,empty,Lucian,Master,empty,Irelia,mumus100,Ekko,2021Worlds0000,Tryndamere,aeongi,Miss Fortune,Lee Mιn hyeong,Bard,Ben Cristovao,Shen,D E I D X R A ,Nidalee,War in D4,Gragas,Yami Sukehiro,Lucian,Meruem12,Nami,FNC Hylissangg
5461293098,win,Ranked Solo,2021-09-15 04:51:55,21m 21s,13,6,10,3.83:1,Double Kill,empty,Lucian,Grandmaster,empty,Malphite,GODZILLA66666666,Graves,FPX Peanut,Anivia,nakreB v2,Lucian,Meruem12,Braum,FNC Hylissang,Camille,Guvno7CZ,Ekko,nukëduck,Qiyana,Son of Korea,Aphelios,EDG Innaxe,Thresh,Bartito
5461255758,win,Ranked Solo,2021-09-15 04:18:27,31m 12s,24,6,10,5.67:1,Quadra Kill,empty,Twitch,Master,empty,Irelia,chance no exist,Karthus,20001111,Ryze,nukëduck,Lucian,proxious,Trundle,ClickJJ,Poppy,Invícta,Rammus,BR Lord Semi,Katarina,VıNINE NERO,Twitch,Meruem12,Rakan,FNC Hylissang
5421872981,lose,Ranked Solo,2021-08-20 05:46:59,21m 4s,3,7,2,0.71:1,ACE,empty,Tristana,Master,empty,Sylas,TwTv PROJECT BZ,Viego,blrzr,Lissandra,REAL BC ,Draven,01102018,Janna,marlοn,Yasuo,admire it,Ekko,GSK Tixn,Zed,420WeabooSlayer,Tristana,Meruem12,Rakan,FNC Hylissang
5421203324,lose,Ranked Solo,2021-08-19 21:02:37,20m 51s,6,6,2,1.33:1,ACE,empty,Xayah,Master,empty,Viego,StenBosse,Lillia,Giyuu zzz,Lucian,coconut kid,Xayah,Meruem12,Rakan,FNC Hylissang,Yone,Dzukill,Lee Sin,piesek dawida,Azir,inspxre581295210,Seraphine,Queen ß,Bard,EL BARDOOOO
5420673248,win,Ranked Solo,2021-08-19 06:41:53,17m 18s,5,0,4,Perfect,empty,empty,Aphelios,Grandmaster,empty,Renekton,Ccrazy,Gragas,for her sake,Sylas,dajor25,Aphelios,Meruem12,Thresh,FNC Hylissang,Sett,sohann,Viego,GS Mojito,Graves,S8DiamondDog,Syndra,Undercover SlotH,Nautilus,MORG3NSHTERN
5420082542,lose,Ranked Solo,2021-08-19 02:27:38,26m 5s,5,6,5,1.67:1,ACE,empty,Xayah,Grandmaster,empty,Sion,Whiteakitout,Ekko,noob stomper 69,LeBlanc,Froggen,Xayah,Meruem12,Rakan,FNC Hylissang,Camille,dajor25 movement,Fiddlesticks,his jungler uwu,Tryndamere,inspxre581295210,Jhin,RRRift,Bard,Lathyrus
5408221546,lose,Ranked Solo,2021-08-11 05:03:49,22m 59s,6,9,7,1.44:1,empty,empty,Tristana,Grandmaster,empty,Poppy,Poppuszka,Lee Sin,AIba Madalyon,Seraphine,Happy Mish,Tristana,Meruem12,Sett,RogueTheKangaroo,Renekton,Guvno7CZ,Kha'Zix,Themsta4,Syndra,PEWPEWPEWPEWPEWP,Jhin,quack1,Brand,KwK AlVaRo710
