gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490318975,win,Ranked Solo,2021-10-04 06:44:23,23m 27s,6,5,8,2.80:1,Double Kill,empty,Aatrox,Grandmaster,empty,Aatrox,woshidoinb,Kindred,Shinzouku,Sylas,Blodreinaaaaa,Seraphine,Katherine Pierce,Trundle,GK Mishal,Jax,ˇ sao,Zed,nukëduck,Katarina,ItsSørey,Lucian,2021Worlds0173,Leona,F P Journe
5490306824,win,Ranked Solo,2021-10-04 06:14:13,10m 28s,1,0,0,Perfect,empty,empty,Nami,Master,empty,Katarina,ItsSørey,Jarvan IV,S11Tian,Malphite,Darlik1,Lucian,asdfghjqwert,Nami,woshidoinb,Anivia,Bonya Slade,Hecarim,theNotoriousMMÅ,Jayce,Nillee,Kai'Sa,NOX ilyy,Pyke,GNLGNL
5490262145,lose,Ranked Solo,2021-10-04 05:57:02,27m 34s,5,11,13,1.64:1,Double Kill,empty,Amumu,Master,empty,Darius,toLyeV,Jarvan IV,TTVlateroviann99,Tryndamere,kaymint acc,Karthus,asdfghjqwert,Amumu,woshidoinb,Camille,Darlik1,Fiddlesticks,I Got This,Orianna,Tziz,Draven,DIGESTHUMANFLESH,Braum,FtNx SanPan
5490185761,lose,Ranked Solo,2021-10-04 05:20:32,24m 46s,1,7,16,2.43:1,empty,empty,Nami,Grandmaster,empty,Aatrox,SołdSoulForLp,Nidalee,Vichennnn,Orianna,Tziz,Draven,khanzir slayer,Lux,Apolo y Dafne,Lee Sin,H ι r o,Viego,Whiteakitout,Ryze,Mood rings,Lucian,DIGESTHUMANFLESH,Nami,woshidoinb
5490210989,lose,Ranked Solo,2021-10-04 04:50:48,17m 37s,3,5,6,1.80:1,Double Kill,ACE,Yuumi,Master,empty,Poppy,Seminol,Nunu & Willump,A41G Blank,Aurelion Sol,Heart of Nazgul ,Draven,DIGESTHUMANFLESH,Nami,Kuuuu,Ezreal,mol4at doma,Talon,Expecto Patrounm,Syndra,123Tarzan,Graves,Firefl0wer,Yuumi,woshidoinb
5490067420,win,Ranked Solo,2021-10-04 04:27:30,22m 22s,2,2,13,7.50:1,empty,empty,Lulu,Grandmaster,empty,Poppy,Seminol,Zed,eum virgin,Ekko,Po Gap,Jinx,MajorAlexander1,Thresh,TraYtoN,Karma,qweasdf,Talon,Raiden Shogun C2,Tryndamere,VictimOfBotDif,Kog'Maw,Cóbb,Lulu,woshidoinb
5490042819,lose,Ranked Solo,2021-10-04 03:59:26,23m 30s,0,6,1,0.17:1,empty,empty,Aatrox,Master,empty,Aatrox,woshidoinb,Viego,IIIlIllIIIllIll,Vex,Chamana1,Karthus,the super noob,Leona,FtNx SanPan,Poppy,Seminol,Kindred,nap ability,Orianna,NOX Scythe,Senna,Katherine Pierce,Bard,Damgos
5489109183,lose,Ranked Solo,2021-10-03 22:30:00,20m 57s,0,3,0,0.00:1,empty,empty,Aatrox,Master,empty,Lee Sin,SlXTEN,Nidalee,Baby Tarz1,Orianna,NOX Scythe,Ezreal,NOX ilyy,Leona,Bliio,Aatrox,woshidoinb,Xin Zhao,brKm,Rumble,FROMENXD,Draven,Kaττen,Rakan,NOX Peap
5488886649,win,Ranked Solo,2021-10-03 19:39:00,29m 2s,3,0,15,Perfect,empty,empty,Yuumi,Grandmaster,empty,Fiora,Govna Isusova,Jarvan IV,Aurora time,LeBlanc,aléc,Jhin,gdgd,Bard,Who,Poppy,SLY Eyliph,Xin Zhao,NiuNai,Orianna,zoír,Miss Fortune,HeavenIsFalling,Yuumi,woshidoinb
5488608613,win,Ranked Solo,2021-10-03 09:53:11,24m 45s,7,8,13,2.50:1,Double Kill,empty,Brand,Master,empty,Sett,ANB 9eetoo,Hecarim,Doaenel Hecarim,Ryze,Celterr1,Draven,Cóbb,Thresh,Prosfair,Kennen,David Nalbandian,Rammus,BR Lord Semi,Qiyana,L9 SUSSY BAKA,Varus,ToasterM8,Brand,woshidoinb
5488586110,lose,Ranked Solo,2021-10-03 09:14:13,23m 23s,2,8,3,0.63:1,empty,empty,Brand,Grandmaster,empty,Pantheon,JingleDingle,Ekko,IAimToMisbehave,Yone,BabaGandalf,Ezreal,hgotdsxz,Brand,woshidoinb,Sett,dajor25,Qiyana,BOXDEL NAURA,Sylas,Cóbb,Lucian,Achuu,Karma,KwK AlVaRo710
5488582301,lose,Ranked Solo,2021-10-03 08:40:38,30m 33s,2,10,10,1.20:1,empty,empty,Lillia,Master,empty,Tahm Kench,ΚenT1,Kha'Zix,Tanu,Diana,DUALIPAadfhgkdgk,Ezreal,ToasterM8,Yuumi,Heimskáut réfur,Lillia,woshidoinb,Nidalee,ImJony,Qiyana,Goldguns88,Lucian,Please try hard,Nami,F tier supp
