gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471071115,win,Ranked Solo,2021-09-23 21:57:06,33m 57s,6,11,11,1.55:1,empty,empty,Malphite,Grandmaster,empty,Sylas,Xiaohao9,Zed,Cuzz,Jayce,짐승 잡종 인간,Kalista,항상배고픈코그모,Blitzcrank,심리 건들지마,Malphite,woshissm,Ekko,nodfan,Graves,kaixin1dian,Draven,T1 Gumayusi,Anivia,Kimwinter
5470945746,win,Ranked Solo,2021-09-23 21:14:05,21m 29s,3,4,24,6.75:1,empty,empty,Karma,Grandmaster,empty,Graves,T1 Ellim,Karthus,멘탈하난좋아 ,Lee Sin,xhr,Lucian,항상배고픈코그모,Xin Zhao,심리 건들지마,Gnar,세상이무섭단말야,Jarvan IV,Xiaohao9,Sylas,난 무조건 잘 돼,Draven,T1 Gumayusi,Karma,woshissm
5470951491,win,Ranked Solo,2021-09-23 20:45:40,15m 16s,2,0,11,Perfect,empty,empty,Yuumi,Grandmaster,empty,Fiora,BRO Hena,Lee Sin,난 무조건 잘 돼,Lulu,데아시두스이어링,Ashe,길고먼여행지,Sylas,심리 건들지마,Aatrox,미소의눈동자,Rek'Sai,N0T Angry,Orianna,Gen G Quid,Ezreal,항상배고픈코그모,Yuumi,woshissm
5470705317,win,Ranked Solo,2021-09-23 19:10:37,33m 1s,0,8,18,2.25:1,empty,empty,Leona,Grandmaster,empty,Quinn,살퀸레,Talon,bilibili wenmo,Zoe,Indexy,Ezreal,RiHoo,Lulu,디알엑스 제트,Camille,Azhy,Zed,Co24,Syndra,Gen G Quid,Kai'Sa,짐승 잡종 인간,Leona,woshissm
5470637487,lose,Ranked Solo,2021-09-23 17:51:31,16m 9s,1,6,4,0.83:1,empty,empty,Amumu,Grandmaster,empty,Soraka,Shadow FA 03,Xin Zhao,JD fans,Lulu,CIoudburst,Lucian,길고먼여행지,Amumu,woshissm,Kennen,거북이사건,Graves,이러다 다 D져,Sylas,Tangyuando,Jhin,See u AG,Karma,전서방 닭갈비
5470583371,lose,Ranked Solo,2021-09-23 17:25:01,29m 41s,2,11,15,1.55:1,empty,empty,Amumu,Grandmaster,empty,Gwen,wodesry,Nidalee,JD fans,Qiyana,SanShengWanWu,Vayne,cer,Galio,전서방 닭갈비,Graves,bilibili wenmo,Poppy,이러다 다 D져,Taliyah,7777케이,Kai'Sa,북극곰 아프다,Amumu,woshissm
5470559345,win,Ranked Solo,2021-09-23 16:47:54,14m 40s,0,0,6,Perfect,empty,empty,Blitzcrank,Grandmaster,empty,Fiora,HLE Baut,Nidalee,리액션단돈만원 ,Graves,SanShengWanWu,Kai'Sa,요즘솔랭누가하냐,Ekko,Mocha,Mordekaiser,bilibili wenmo,Talon,부산여행 떠나기,Irelia,북극곰 아프다,Vayne,cer,Blitzcrank,woshissm
5470546002,win,Ranked Solo,2021-09-23 16:27:15,24m 12s,1,9,19,2.22:1,empty,empty,Amumu,Grandmaster,empty,Fiora,La K game,Nidalee,부산여행 떠나기,Qiyana,SanShengWanWu,Vayne,cer,Braum,응애응애1212,Kennen,oilf,Lee Sin,리액션단돈만원 ,Irelia,나도 행복하자,Kai'Sa,북극곰 아프다,Amumu,woshissm
5470523731,lose,Ranked Solo,2021-09-23 15:58:26,15m 29s,2,7,2,0.57:1,empty,empty,Amumu,Grandmaster,empty,Fiora,oilf,Talon,부산여행 떠나기,Sylas,CIozerr,Miss Fortune,고구마태풍,Alistar,cer,Tahm Kench,파나경,Viego,포동포동아기물개,Irelia,La K game,Ziggs,Imaokai,Amumu,woshissm
5469800129,win,Ranked Solo,2021-09-23 02:03:02,25m 43s,7,3,23,10.00:1,MVP,empty,Blitzcrank,Grandmaster,empty,Aatrox,i am Decade,Nidalee,wndus,Tryndamere,Youtube 엉덩국곰,Samira,BTS 아오미네,Alistar,변화하다,Sett,포동포동아기물개,Karthus,일산전영찬,Irelia,Aileri,Lucian,Rumor22,Blitzcrank,woshissm
