gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490267772,lose,Ranked Solo,2021-10-04 06:28:45,23m 37s,12,11,6,1.64:1,ACE,empty,Sylas,Master,empty,Camille,chicken nuggie86,Lee Sin,LngLng,Diana,me and myself2v8,Draven,TwTv daudr9,Amumu,PropaPandah,Graves,Sirius blake,Ivern,WE Basil,Sylas,woshilqs,Lucian,KH Komandata,Rell,Luck is my Waifu
5490199698,win,Ranked Solo,2021-10-04 05:45:15,25m 16s,13,4,16,7.25:1,Double Kill,MVP,Jarvan IV,Master,empty,Vayne,Sorest,Xin Zhao,Noerring,Orianna,zj1099,Lucian,Gasteizko Onena,Nami,owwx,Garen,Myw the king,Jarvan IV,woshilqs,Anivia,Bannis De LoL,Ezreal,n 456,Yuumi,Heimskáut réfur
5490202555,lose,Ranked Solo,2021-10-04 05:06:46,27m 48s,6,7,12,2.57:1,empty,empty,LeBlanc,Master,empty,Darius,Wintęr,Kayn,manumatador,LeBlanc,woshilqs,Lucian,dzc,Bard,Vicky Leandros,Riven,S11 Bad,Nidalee,S11Tian,Azir,Viikingr,Ezreal,Xenxo,Yuumi,ACKERMÁN
5490067136,win,Ranked Solo,2021-10-04 04:32:59,29m 39s,17,4,9,6.50:1,Triple Kill,MVP,Talon,Diamond 1,empty,Aatrox,R174 ZZ RMS,Nidalee,asdgfdjui,Anivia,God Han Wenqing ,Aphelios,Mistr E,Thresh,Atypicalthresh,Akali,Nuguri auf Wish,Lillia,Nidalee is uwu,Talon,woshilqs,Lucian,CocaCola Monster,Nami,ACKERMÁN
5490100862,lose,Ranked Solo,2021-10-04 03:58:17,24m 32s,9,4,4,3.25:1,Double Kill,ACE,Sylas,Master,empty,Camille,HeIsinki,Xin Zhao,TurboMoss,Xerath,yone and kayle,Draven,CocaCola Monster,Yuumi,Genius Monster,Heimerdinger,Blind Ruler,Viego,knv2,Sylas,woshilqs,Lucian,NNForsaken,Nami,PINW KAFE
5489118258,win,Ranked Solo,2021-10-03 22:36:43,33m 3s,13,5,9,4.40:1,Double Kill,empty,Ryze,Master,empty,Azir,XDXDXDXDDDDDDDXD,Kha'Zix,Scrumm,Cho'Gath,KAOS Kejila,Kai'Sa,maoxiandao,Janna,season10tryhard,Ornn,Evenso,Viego,þetter jng wins,Ryze,woshilqs,Aphelios,na strwsoume tpt,Thresh,Karni
5488974892,lose,Ranked Solo,2021-10-03 19:51:07,33m 10s,10,11,4,1.27:1,Triple Kill,ACE,Irelia,Master,empty,Riven,uguysaresobad,Graves,Twtv Strikelol1,Ahri,Modliszka,Draven,Aetinoth,Leona,honor my adc,Aatrox,GO GET IT,Zed,LFT Anonymouss,Irelia,woshilqs,Xerath,NKI Azitor,Janna,nigelf32
5488971641,lose,Ranked Solo,2021-10-03 19:05:51,19m 35s,3,4,0,0.75:1,ACE,empty,Talon,Master,empty,Kennen,SBootZ,Kha'Zix,TERROR NAD WESTA,Twisted Fate,LGBTQJPGMD,Ezreal,LMAO Taremo,Janna,nigelf32,Talon,woshilqs,Nocturne,SLARDAR KINGDOM,Ryze,TOYOTA 86 TRUENO,Samira,lIllIlllIlIIl,Taliyah,Nokomeister
5488859029,lose,Ranked Solo,2021-10-03 18:35:17,24m 56s,1,8,7,1.00:1,empty,empty,Yone,Master,empty,Ryze,TOYOTA 86 TRUENO,Ekko,SLARDAR KINGDOM,Yone,woshilqs,Draven,Arga snickaren,Nautilus,LMAO Taremo,Camille,Alexandre,Jarvan IV,Jungle Njutare,Fizz,SGE Missclick,Vayne,Zeniv     ,Lulu,oli5993
5488526428,lose,Ranked Solo,2021-10-03 08:04:59,37m 15s,12,12,6,1.50:1,Double Kill,empty,Tryndamere,Master,empty,Gangplank,Beartree,Evelynn,Μaverick,Tryndamere,woshilqs,Draven,11235,Soraka,JΑΝNΑ,Aatrox,ΚenT1,Hecarim,Doaenel Hecarim,Lissandra,TC Hú Táo,Lucian,Heimskáut réfur,Janna,Ødın
5488501600,lose,Ranked Solo,2021-10-03 07:19:04,32m 25s,1,15,22,1.53:1,empty,empty,Taliyah,Master,empty,Fiora,Mädchen,Taliyah,woshilqs,Yasuo,2deal,Ezreal,Liv Tyler7,Bard,Nico Senpaii,Sett,2021Worlds0301,Hecarim,Doaenel Hecarim,Talon,SpacegliderMarto,Draven,11235,Yuumi,woshidoinb
5488267024,win,Ranked Solo,2021-10-03 04:35:21,16m 26s,6,3,4,3.33:1,Double Kill,MVP,Irelia,Master,empty,Kennen,IAimToMisbehave,Kha'Zix,Achillês,Irelia,woshilqs,Twitch,Pinky windy,Nami,LP ADDICTED,Akshan,Not nexo rdy,Lee Sin,Cedeiix,Sylas,MightyXDragon v2,Ezreal,table turner44,Yuumi,GNLGNL
