gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490326504,win,Ranked Solo,2021-10-04 06:31:13,26m 29s,10,5,9,3.80:1,Double Kill,empty,Ezreal,Master,empty,Pantheon,GG Gaboesh,Graves,traphouse m,Kayle,always prio wave,Ezreal,maoxiandao,Nami,SeMikee,Camille,Turbo Tuo,Lee Sin,Mohe dance hall,Sylas,FB Genosect,Jinx,Viel Glück,Lulu,tech movement
5489118258,lose,Ranked Solo,2021-10-03 22:36:43,33m 3s,12,7,6,2.57:1,Double Kill,ACE,Kai'Sa,Master,empty,Azir,XDXDXDXDDDDDDDXD,Kha'Zix,Scrumm,Cho'Gath,KAOS Kejila,Kai'Sa,maoxiandao,Janna,season10tryhard,Ornn,Evenso,Viego,þetter jng wins,Ryze,woshilqs,Aphelios,na strwsoume tpt,Thresh,Karni
5488924699,win,Ranked Solo,2021-10-03 19:39:26,38m 9s,7,5,8,3.00:1,Double Kill,empty,Aphelios,Master,empty,Gangplank,CM Difference,Diana,Harrol,Vex,I love mages,Miss Fortune,Xëmon,Bard,CORONA EQUALS 5G,Sett,Iobellan,Kayn,Nico pls,Vel'Koz,MANE ReNo,Aphelios,maoxiandao,Thresh,Such a bad mood
5488618296,win,Ranked Solo,2021-10-03 09:49:27,25m 6s,8,8,16,3.00:1,Double Kill,empty,Lucian,Master,empty,Jax,HIVE reptilezero,Kindred,Neidan,Vex,Lönnar,Lucian,maoxiandao,Nami,ŚCIERWO,Akshan,Veecto,Talon,Yaeow1,Ryze,Haj fan acc,Miss Fortune,si yi kai huo,Yuumi,Owelius
5488635713,lose,Ranked Solo,2021-10-03 09:20:06,21m 30s,5,7,4,1.29:1,ACE,empty,Lucian,Master,empty,Urgot,FOXA Uhtred,Ekko,Want to do well,Katarina,Baby,Lucian,maoxiandao,Nami,Kasing 1,Riven,Riven ff,Evelynn,Μaverick,Talon,beyond reality,Seraphine,something 2 lose,Soraka,player 240
5488583979,lose,Ranked Solo,2021-10-03 08:53:26,26m 26s,6,14,6,0.86:1,empty,empty,Aphelios,Master,empty,Camille,chicken nuggie86,Qiyana,Please God,Graves,Mo Bamba,Karthus,Boycott s11,Soraka,SONO UN ITALIANO,Fiora,Vertigo vincet,Kindred,Sigma Pathing,LeBlanc,gtrik,Aphelios,maoxiandao,Swain,Kandoomagic
5488580729,win,Ranked Solo,2021-10-03 08:15:16,19m 57s,13,5,4,3.40:1,MVP,empty,Lucian,Master,empty,Yone,P A V A R O T T,Kha'Zix,Yaeow1,Lissandra,Zherathor,Ezreal,aere perennius,Karma,10BillionPercent,Fiora,SakurajimaMai122,Ekko,DK Cαnyon,Zed,Zednédine Zedane,Lucian,maoxiandao,Amumu,iMrPresident
5488486107,lose,Ranked Solo,2021-10-03 07:47:22,30m 36s,8,11,12,1.82:1,Double Kill,empty,Samira,Master,empty,Gnar,Naynahm,Lee Sin,RAAD Shadow,Ekko,Akugyo,Samira,maoxiandao,Sett,1roNN,Mordekaiser,gtrik,Nunu & Willump,Jáximus,Yone,sign me already,Jinx,Chucky le moine ,Nami,SUP Toxic Keskin
5488511127,win,Ranked Solo,2021-10-03 07:10:27,26m 9s,13,8,9,2.75:1,Triple Kill,empty,Lucian,Master,empty,Wukong,Naynahm,Nunu & Willump,Jáximus,Tryndamere,Scúffed,Kalista,fat fam,Thresh,colden1,Camille,Âddusto,Taliyah,9 19 Night,Yone,BLACKMETALTERROR,Lucian,maoxiandao,Nami,SUP Toxic Keskin
5488232686,win,Ranked Solo,2021-10-03 04:09:09,22m 54s,12,5,11,4.60:1,Double Kill,empty,Samira,Diamond 1,empty,Tryndamere,ttYeQiu09,Nidalee,cam bardak oIsun,Sylas,RolIing,Samira,maoxiandao,Pyke,farsatacklare12,Wukong,CvB Arbuz,Graves,HSFFFFFFFFFF,Kayle,ravenous hatred,Kai'Sa,ETERNAL LlFE,Yuumi,Negative Gaming
