gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471720508,win,Ranked Solo,2021-09-24 01:32:21,26m 25s,5,10,9,1.40:1,empty,empty,Lucian,Master,empty,Tryndamere,나쿨피쯔아니다,Karthus,M24Xhao,Zoe,zhong men dui iu,Samira,케어가필요합니다,Pyke,JYFzz,Camille,Feel up high,Zed,05 Peanut,Kog'Maw,WaybHome,Lucian,wqnflqwnfoqw,Rell,싸움은그만둡시다
5471485428,lose,Ranked Solo,2021-09-24 00:55:49,30m 37s,5,10,6,1.10:1,empty,empty,Vayne,Master,empty,Urgot,이조전랑,Kindred,Okazaki Tomoya,Twisted Fate,끝난 이야기,Vayne,wqnflqwnfoqw,Rakan,wang e,Jax,kismets,Mordekaiser,ji xing cha,Fizz,BJ영만,Kai'Sa,사랑 멋져요,Leona,1128321
5471238012,win,Ranked Solo,2021-09-24 00:10:57,30m 52s,9,8,10,2.38:1,Double Kill,empty,Lucian,Master,empty,Rengar,한국 렝가,Lee Sin,BTS 김승현,Zoe,챠크라,Jinx,Kratosdw,Taric,Tia Ray,Tahm Kench,rlawlsvy,Viego,YouTube변세윤,Yone,pqandIyh,Lucian,wqnflqwnfoqw,Amumu,가대여신채예린
5471242208,win,Ranked Solo,2021-09-23 23:33:15,24m 0s,5,5,0,1.00:1,empty,empty,Mordekaiser,Master,empty,Sett,넌 빠꾸,Lee Sin,Goddeudeug,Zoe,xiaoxii,Lucian,hopeisdangerous,Seraphine,걱정 안 시킬게,Mordekaiser,wqnflqwnfoqw,Nidalee,Catchx,Jayce,파밍만하는사람a,Ashe,NIF 땅이,Vel'Koz,나는 척준경
5471146743,lose,Ranked Solo,2021-09-23 23:02:32,20m 49s,4,6,4,1.33:1,ACE,empty,Xayah,Master,empty,Lillia,후시패카나,Kha'Zix,SQU4RE,Zed,맛난거먹는사람,Kai'Sa,Est No,Shen,시촌동생,Jayce,보는 각이 달라,Karthus,Lc9,Lucian,v1nboizzzzzz,Xayah,wqnflqwnfoqw,Rakan,3성 라칸
5471048641,lose,Ranked Solo,2021-09-23 22:25:09,25m 40s,13,12,6,1.58:1,Triple Kill,empty,Samira,Master,empty,Sett,판 군,Taliyah,Imagine Legends,Talon,ilili1lilil1ilil,Lucian,q12,Seraphine,cute heart,Malphite,your fearness,Ekko,숨바꼭질,Irelia,할까할땐하자,Samira,wqnflqwnfoqw,Shen,yzwovo
5471070033,win,Ranked Solo,2021-09-23 21:47:40,30m 3s,5,4,14,4.75:1,Double Kill,MVP,Ashe,Master,empty,Camille,Arasaka,Nidalee,Catchx,Zed,기 정 fan,Ashe,wqnflqwnfoqw,Taliyah,Lauv mean it,Kennen,김민민서서,Hecarim,소통을그만두다,Zoe,xiaoxii,Lucian,호감 에서 나오다,Lulu,룰루의아버지
5470934462,win,Ranked Solo,2021-09-23 21:11:59,27m 14s,11,10,8,1.90:1,Double Kill,empty,Irelia,Master,empty,Irelia,wqnflqwnfoqw,Nidalee,스팸에 쌀밥한장,Zed,기 정 fan,Kog'Maw,Est No,Lulu,룰루의아버지,Gragas,카알릭스,Hecarim,소통을그만두다,Akshan,TomendJerry,Lucian,1xn fans,Bard,실 망
5470881665,lose,Ranked Solo,2021-09-23 20:38:16,13m 56s,2,3,1,1.00:1,empty,empty,Lucian,Master,empty,Aatrox,zzyz,Graves,Baby yan,LeBlanc,헌  언,Syndra,파밍만하는사람a,Lulu,예 현,Kassadin,cjsrlwk,Lee Sin,흑두루미의모험,Jax,ordinary top,Lucian,wqnflqwnfoqw,Amumu,yzwovo
5470641806,lose,Ranked Solo,2021-09-23 17:17:46,26m 41s,4,7,3,1.00:1,empty,empty,Lucian,Master,empty,Gnar,동동도로댕,Lee Sin,빈민굴,Galio,SugiKim,Lucian,wqnflqwnfoqw,Braum,주말엔동희와산책,Jayce,영양립밤,Viego,FX honey baby,Ryze,luv rainn,Vayne,약속된 승리의 칼,Leona,astrum1
5468241178,lose,Ranked Solo,2021-09-22 14:39:52,19m 31s,1,10,3,0.40:1,empty,empty,Lucian,Master,empty,Sett,다3정약용,Lee Sin,New Moning,Xerath,PIIs,Kalista,DalKa,Amumu,원조맛대가리,Camille,수성목성금성토성,Nidalee,Serious game,Qiyana,mu ze xi,Lucian,wqnflqwnfoqw,Blitzcrank,나현규
5459565615,win,Ranked Solo,2021-09-18 17:29:13,30m 27s,5,16,4,0.56:1,empty,empty,Irelia,Diamond 1,empty,Irelia,wqnflqwnfoqw,Kindred,통 준비 아오,LeBlanc,sakuradog,Ezreal,04원딜,Trundle,콩알탄콩콩,Jax,Shadow Ming9,Graves,밀림 간 다,Cassiopeia,fggjv,Xayah,eat fan,Leona,RNGqu8323597302
5456398367,lose,Ranked Solo,2021-09-17 03:20:26,13m 38s,0,8,0,0.00:1,empty,empty,Irelia,Master,empty,Darius,다리우스로챌까지,Taliyah,xkffldi,Qiyana,그냥 벽,Samira,zkxx,Gragas,Sw1ss,Irelia,wqnflqwnfoqw,Nidalee,ha enru,Ezreal,Eyes,Kalista,룰루찾아삼만리,Yuumi,lIlIIllIllllllll
5456337166,win,Ranked Solo,2021-09-17 03:00:25,25m 36s,3,5,5,1.60:1,Double Kill,empty,Irelia,Master,empty,Jax,betterr,Nidalee,Main1,Yone,dys wangweiwei,Ezreal,Eyes,Amumu,여우리,Irelia,wqnflqwnfoqw,Kindred,xkffldi,LeBlanc,H Agent,Jinx,kininaru,Thresh,미드를 박다
5456303913,win,Ranked Solo,2021-09-17 02:18:08,30m 56s,16,10,12,2.80:1,Double Kill,empty,Kai'Sa,Diamond 1,empty,Akali,화창한날맑은구름,Qiyana,afghj,Zoe,ByKent,Ezreal,사랑해요 당신율,Amumu,594877,Rumble,재간동실이,Xin Zhao,카타탈론원챔죽어,LeBlanc,헌  언,Kai'Sa,wqnflqwnfoqw,Sett,밤이깊었으면좋겠
5456320444,win,Ranked Solo,2021-09-17 01:32:35,16m 27s,8,3,4,4.00:1,empty,empty,Varus,Diamond 1,empty,Kennen,그럴 쑤 잇지,Lee Sin,농심 사또밥,Zoe,반집승부사,Ezreal,DWG 암Canyon,Lulu,왕 다,Jayce,기 찬,Ekko,Loners,Zed,Peakyman,Varus,wqnflqwnfoqw,Karma,밤이깊었으면좋겠
5456286280,win,Ranked Solo,2021-09-17 01:02:02,16m 27s,19,4,5,6.00:1,Quadra Kill,empty,Samira,Master,empty,Karma,갱봉이,Lee Sin,Dreaming Future,Pyke,2007 Pykeking,Samira,wqnflqwnfoqw,Sett,밤이깊었으면좋겠,Rengar,더기 김경덕,Viego,mohuado,Sylas,하얗고예쁨,Sivir,나비님,Amumu,chensiyuan
5456290527,lose,Ranked Solo,2021-09-17 00:29:49,23m 25s,6,9,4,1.11:1,Double Kill,empty,Vayne,Master,empty,Gangplank,want suicide,Ekko,chensiyuan,Akshan,스쿠알렛,Kai'Sa,91403,Rell,슈퍼문,Jax,최일수,Xin Zhao,runaway99,LeBlanc,Les chiots,Vayne,wqnflqwnfoqw,Alistar,밤이깊었으면좋겠
5456134919,win,Ranked Solo,2021-09-16 23:55:05,24m 7s,16,3,9,8.33:1,Double Kill,MVP,Kai'Sa,Master,empty,Yasuo,제육잘볶는여쟈,Ekko,내가못했소,Zed,라2엇밸패팀앰갈,Vayne,Grandmaster1220,Braum,sysysyy,Gangplank,want suicide,Jarvan IV,선수계정,Sylas,2ED04,Kai'Sa,wqnflqwnfoqw,Leona,밤이깊었으면좋겠
5456097641,win,Ranked Solo,2021-09-16 23:23:00,26m 15s,7,11,13,1.82:1,Quadra Kill,empty,Samira,Diamond 2,empty,Cho'Gath,want suicide,Lee Sin,Lc9,Fizz,피즈커,Miss Fortune,바텀개,Thresh,라코할뻔,Sett,Bluff da shi,Qiyana,afghj,Zoe,ByKent,Samira,wqnflqwnfoqw,Leona,밤이깊었으면좋겠
5454785405,win,Ranked Solo,2021-09-16 02:47:20,34m 27s,0,10,23,2.30:1,empty,empty,Rakan,Master,empty,Cho'Gath,Happy X Happy,Lee Sin,n4uh,Cassiopeia,이판은정글탓이야,Samira,xialu1,Rakan,wqnflqwnfoqw,Sett,Yang Hua,Nidalee,큐티천사혀니,Zed,fsofjsoprjsogfoj,Jinx,Twitch Kimmallae,Thresh,wxxzygpgnlfc
5454772802,win,Ranked Solo,2021-09-16 02:03:56,26m 36s,17,3,8,8.33:1,Double Kill,MVP,Aphelios,Master,empty,Vayne,pzz 1,Lee Sin,6yt7hbu,Anivia,e dal,Aphelios,wqnflqwnfoqw,Leona,placeb0,Fiora,77GameZting,Diana,F7gio9G1QQ3cb3vV,Talon,켈 란,Lucian,beican shenghuo,Braum,몰락한 이슬톡톡
5454732236,win,Ranked Solo,2021-09-16 01:32:03,10m 23s,3,3,2,1.67:1,empty,empty,Gangplank,Master,empty,Jax,Cong Baby9,Taliyah,Klaus8,Aurelion Sol,zuzu ouo,Kai'Sa,Ending9,Karma,섭이스마스,Gangplank,wqnflqwnfoqw,Jarvan IV,사랑 멋져요,LeBlanc,Wo kuaiyao sile,Ezreal,빛의 창기병 렌,Thresh,Spes Agit Mentum
5415018012,lose,Ranked Solo,2021-08-26 03:03:38,24m 27s,5,10,2,0.70:1,Double Kill,empty,Irelia,Master,empty,Camille,zdhl,Ekko,12364213,Qiyana,YM Heng fans ,Kog'Maw,엄청나대단해,Lulu,독기품기,Irelia,wqnflqwnfoqw,Nidalee,octave space,Sett,무조건 탑 동선,Aphelios,znlydgyxyd,Thresh,예쁘게 말해줘요
5415033448,lose,Ranked Solo,2021-08-26 02:02:16,20m 46s,1,15,3,0.27:1,empty,empty,Aphelios,Master,empty,Irelia,who is niuma,Diana,아프리카 마인,Lee Sin,Permaban10553323,Draven,CCRGB,Rell,ruyanruomeng,Sett,cola2,Viego,젠지 엔비,Aurelion Sol,현 솔,Aphelios,wqnflqwnfoqw,Nautilus,alasseo
5385883179,lose,Ranked Solo,2021-08-12 03:13:41,19m 27s,2,11,2,0.36:1,empty,empty,Aphelios,Diamond 1,empty,Fiora,시와먼 곳,Nidalee,난 댕,Qiyana,haoye,Ziggs,난하나도안미안해,Leona,zhlwozuiwo,Renekton,Bzhan 8895416,Taliyah,0306 306,Lee Sin,Butterf1y Effect,Aphelios,wqnflqwnfoqw,Tahm Kench,hy16415083
5334580688,lose,Ranked Solo,2021-07-19 16:12:12,24m 9s,2,7,0,0.29:1,empty,empty,Jax,Master,empty,Irelia,기도하면이긴대요,Viego,contieaks,Aurelion Sol,lin hu zian,Ezreal,stybm,Shen,쉔과나의연결고리,Jax,wqnflqwnfoqw,Lee Sin,쨔루쨔루 진쨔루,Ryze,RODARORADAAAAAA,Kog'Maw,zxsazx,Alistar,Myeong ln
5334405984,win,Ranked Solo,2021-07-19 15:41:50,35m 46s,11,6,9,3.33:1,Triple Kill,empty,Lucian,Master,empty,Dr. Mundo,오홍권,Kindred,얼탱이새키붉은,Aurelion Sol,lin hu zian,Jinx,숟뀨략,Lulu,Fox B fan,Aatrox,내잘못은아닌거야,Graves,너브내서리풀,Twisted Fate,탁윤탁,Lucian,wqnflqwnfoqw,Leona,DDOBAGl
5329848911,lose,Ranked Solo,2021-07-17 15:46:31,19m 30s,2,12,2,0.33:1,empty,empty,Aphelios,Master,empty,Renekton,wlsgusckd123,Rengar,wangluowangzi,LeBlanc,Fahaxiki,Aphelios,wqnflqwnfoqw,Lulu,Winnie13ear,Nocturne,love beijixing,Poppy,AeH,Camille,안오면죽을게1,Ezreal,1v2 1v3,Taliyah,프렐요들탈리야
5328710891,lose,Ranked Solo,2021-07-17 00:09:26,19m 43s,1,4,2,0.75:1,ACE,empty,Caitlyn,Master,empty,Jayce,dofaminu,Viego,stupid yekai,Zoe,Passive,Varus,김따코,Yuumi,jiaojiao,Lee Sin,dingjimeinv,Kha'Zix,pokipon,Xerath,잉슥이1,Caitlyn,wqnflqwnfoqw,Janna,Taliyah01
5327414301,lose,Ranked Solo,2021-07-16 15:04:07,25m 4s,5,8,7,1.50:1,empty,empty,Kalista,Master,empty,Fiora,BlackKnight8,Diana,Xcheng2,Syndra,stybm,Miss Fortune,미스포츈외길인생,Lulu,예 현,Tryndamere,Fix u xxx,Lee Sin,지으자닉네,Viego,talking shlt,Kalista,wqnflqwnfoqw,Blitzcrank,찌 매
5326740260,win,Ranked Solo,2021-07-16 03:07:55,24m 51s,17,3,8,8.33:1,Triple Kill,MVP,Lucian,Master,empty,Gnar,전민혁,Lee Sin,haoyunsenming,Galio,Fahaxiki,Kai'Sa,LikY1225,Thresh,애들아시끄러워,Aatrox,Zooooooom,Diana,zxcvbasdfgq,LeBlanc,너혹시엘소드하니,Lucian,wqnflqwnfoqw,Pyke,Shifang
