gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490324374,win,Ranked Solo,2021-10-04 06:20:26,30m 4s,13,5,8,4.20:1,Double Kill,MVP,Graves,Master,empty,Graves,Stargazer7,Ekko,lövhögen,Zed,BROHAN AND SEKKI,Lucian,Gosberg17,Karma,Phosphophylite,Vladimir,Reu,Nidalee,suh dude xD,Lee Sin,LNGLNGLNG,Aphelios,Chocklad Toppen,Thresh,Ben Cristovao
5490260885,win,Ranked Solo,2021-10-04 05:42:50,20m 52s,8,2,5,6.50:1,Double Kill,MVP,Gwen,Master,empty,Gragas,something 2 lose,Lillia,Scroody,Lissandra,Yosikomo,Lucian,Gosberg17,Rakan,Iabrov fan,Gwen,Stargazer7,Qiyana,Sawyorr,Irelia,ƒallεn angel,Seraphine,Uzi mode1,Rell,PepegaChaarge
5490096417,win,Ranked Solo,2021-10-04 04:23:27,19m 1s,6,2,6,6.00:1,MVP,empty,Aatrox,Master,empty,Mordekaiser,ANB 9eetoo,Viego,Showkz,Katarina,iLL SZYMONiLL4W,Draven,DIGESTHUMANFLESH,Lulu,do me wrong,Aatrox,Stargazer7,Lee Sin,Densii,LeBlanc,Dvek,Heimerdinger,0711 DoggyDingus,Rell,TESLA OPTIMUS
5490071111,lose,Ranked Solo,2021-10-04 03:59:45,28m 1s,5,6,7,2.00:1,ACE,empty,Graves,Master,empty,Poppy,IAimToMisbehave,Kha'Zix,eum virgin,Sylas,Cóbb,Miss Fortune,Abner,Nautilus,i abuse ie ,Graves,Stargazer7,Zed,Undercover CraB,Katarina,STΘNED BΛKER,Ezreal,DIGESTHUMANFLESH,Karma,Ambiguously
5489582798,win,Ranked Solo,2021-10-04 01:07:29,22m 22s,10,1,6,16.00:1,Double Kill,MVP,Irelia,Master,empty,Irelia,Stargazer7,Kindred,Roulette,Twisted Fate,NOV4 FreeParking,Miss Fortune,CREØN,Amumu,niki laudaa,Riven,ΚyM,Kha'Zix,VictimOfBotDif,Diana,Dym le Chagrin,Varus,ToasterM8,Karma,SISSY FEMBOY XD
5489253274,win,Ranked Solo,2021-10-03 23:06:02,23m 37s,13,6,13,4.33:1,Double Kill,empty,Lee Sin,Master,empty,Trundle,SiemaTuBoczek,Jarvan IV,Avril 14th,Orianna,L01 Eren1,Jinx,Pinky windy,Braum,Konami0201,Irelia,Gαlaxy,Nidalee,woman steam ship,Lee Sin,Stargazer7,Aphelios,QQ Pawelek6,Rakan,niki laudaa
5489108501,win,Ranked Solo,2021-10-03 22:29:50,24m 20s,11,2,4,7.50:1,Double Kill,empty,Jayce,Master,empty,Twisted Fate,Con161,Qiyana,S11Tian,Jayce,Stargazer7,Varus,MTLK Filou,Nami,BroIia,Aatrox,Tziz,Graves,jarda jagr,Ryze,Fressko,Jhin,Giant Monster,Bard,Vicky Leandros
5488889529,lose,Ranked Solo,2021-10-03 20:03:14,27m 46s,8,7,9,2.43:1,Double Kill,empty,Irelia,Master,empty,Irelia,Stargazer7,Nunu & Willump,Jigoa,Sylas,ATL Lingwi,Miss Fortune,Cutepatootie,Amumu,Heimskáut réfur,Yone,lIIIlllIIlllIIIl,Jarvan IV,J3kko,Malzahar,Koenraad II,Vayne,FYN Notiko,Rakan,GNLGNL
5488894959,win,Ranked Solo,2021-10-03 19:22:32,26m 33s,5,4,8,3.25:1,empty,empty,Irelia,Master,empty,Irelia,Stargazer7,Rek'Sai,380V Jung ,Viktor,Kοri,Ezreal,Eneino,Lux,spellbonks,Poppy,TheShygenda,Rengar,Shére khán,Ekko,ZFLESZEM  Choco,Lucian,AD723,Rakan,Pehrson
5488605504,lose,Ranked Solo,2021-10-03 09:14:38,26m 7s,4,14,7,0.79:1,empty,empty,Irelia,Master,empty,Irelia,Stargazer7,Taliyah,Lil Ûzi Vert,Qiyana,SOU LINDOO,Varus,ToasterM8,Nautilus,F tier supp,Fiora,David Nalbandian,Graves,Cedeiix,Ryze,II Anyone,Draven,11235,Amumu,Heimskáut réfur
5488621790,lose,Ranked Solo,2021-10-03 08:40:50,24m 41s,4,14,4,0.57:1,Double Kill,empty,Irelia,Master,empty,Tryndamere,SOU LINDOO,Lee Sin,9 19 Night,LeBlanc,ELF Valin,Miss Fortune,SWENZUUUUUUUUUUU,Morgana,training acc 1,Irelia,Stargazer7,Talon,EtoTudaEtoSuda,Twisted Fate,beyond reality,Ziggs,Nero Forte,Amumu,S10 l R1
5488538305,lose,Ranked Solo,2021-10-03 08:11:23,27m 31s,5,7,1,0.86:1,empty,empty,Irelia,Master,empty,Riven,submissiøn,Lee Sin,Doinbibi,Zoe,Its Me InDeed,Jinx,Cóbb,Leona,Efias,Irelia,Stargazer7,Talon,2021Worlds0000,Twisted Fate,Zhìì,Kog'Maw,GROS FIAK MIAM,Braum,F P Journe
5488573143,win,Ranked Solo,2021-10-03 07:38:32,23m 14s,13,4,2,3.75:1,Double Kill,empty,Kennen,Master,empty,Yone,agdang,Kindred,Shinzouku,Kennen,Stargazer7,Ezreal,Xenxo,Sett,robloxmaciek,Wukong,NieUfamCiJezu12,Rengar,Shére khán,Ryze,kimchi open1,Vayne,141414ADADAD,Lulu,wowx
5488189774,win,Ranked Solo,2021-10-03 04:44:36,20m 12s,4,3,7,3.67:1,empty,empty,Graves,Master,empty,Graves,Stargazer7,Rek'Sai,Hero of Ferelden,Ryze,LBJLBJLBJLBJ1111,Miss Fortune,TooThose,Amumu,finnish ming,Tryndamere,Im fine thx you,Diana,tempsjgjlgslchok,Yasuo,7B DerScampi,Ziggs,CocaCola Monster,Nautilus,roy purdy1
5488264617,lose,Ranked Solo,2021-10-03 04:17:47,15m 24s,0,3,1,0.33:1,ACE,empty,Graves,Master,empty,Graves,Stargazer7,Rammus,BR Lord Semi,Qiyana,DÄMONEN,Karthus,Black Sabbath,Sona,LVG White Lotus,Shen,bausffs movement,Evelynn,20001111,Katarina,Kekseres,Lucian,twrapamemonopanw,Amumu,LDNU Nyzah
5488089155,win,Ranked Solo,2021-10-03 03:36:22,25m 3s,11,5,2,2.60:1,Double Kill,empty,Gwen,Master,empty,Gwen,Stargazer7,Talon,S11Tian,Soraka,unlucky jgl gap,Tristana,Yosikomo,Alistar,Genellaunoal,Fiora,Davitzon,Xin Zhao,ChatDisabler97,Ryze,woshilqs,Lucian,League Enjoyer 1,Sona,NHWK
5487898821,win,Ranked Solo,2021-10-03 01:08:25,23m 12s,7,6,6,2.17:1,empty,empty,Aatrox,Master,empty,Aatrox,Stargazer7,Zed,Roulette,Cassiopeia,PEWPEWPEWPEWPEWP,Draven,SWENZUUUUUUUUUUU,Janna,marlοn,Kled,ZONGO LE DOZØ,Fiddlesticks,EUW VILLAIN,Irelia,MCES Artoria,Aphelios,MetroArcher,Rakan,PIYCRIGY
5487942564,lose,Ranked Solo,2021-10-03 00:38:43,27m 45s,8,8,9,2.13:1,Double Kill,ACE,Gwen,Master,empty,Gwen,Stargazer7,Kha'Zix,Tanu,Akshan,L9 SUSSY BAKA,Aphelios,ad is bait,Thresh,NOX Peap,Darius,WAO RANK 1 ,Fiddlesticks,A41G Blank,Irelia,SAe Relative,Jhin,coza,Seraphine,TESLA OPTIMUS
5487874115,lose,Ranked Solo,2021-10-03 00:03:23,46m 12s,13,9,9,2.44:1,Double Kill,empty,Graves,Grandmaster,empty,Graves,Stargazer7,Kayn,Lοvelorn,Akali,phlaty,Miss Fortune,BlauBarschBube,Leona,NOX Peap,Kled,SMB NuQ,Zed,Polish Bwipo,Veigar,GODZILLA66666666,Seraphine,XOURA1,Galio,Aesenar
5487486726,win,Ranked Solo,2021-10-02 19:35:50,21m 17s,3,8,4,0.88:1,empty,empty,Renekton,Master,empty,Renekton,Stargazer7,Evelynn,VictimOfBotDif,Yone,woshilqs,Jinx,Cóbb,Amumu,Low BPM player,Camille,Firefl0wer,Lee Sin,Ye Xiu3,Sylas,Booker DeWitt 77,Veigar,SWENZUUUUUUUUUUU,Thresh,GK Mishal
5486615946,win,Ranked Solo,2021-10-02 04:35:44,25m 44s,7,4,6,3.25:1,empty,empty,Kennen,Master,empty,Irelia,NIX kev1n,Shyvana,EtoTudaEtoSuda,Zed,TrL Zedophile,Seraphine,JAMES HUNT,Nami,I Satanael I,Kennen,Stargazer7,Lee Sin,daIe manin,Vex,I love mages,Lucian,Mindrago,Rakan,G2 ViggoEdits
