gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5444538710,lose,Ranked Solo,2021-09-10 21:30:07,20m 15s,5,4,3,2.00:1,ACE,empty,Kennen,Grandmaster,empty,Malphite,fa 01 top,Xin Zhao,BRO Chieftain,Yasuo,은가뉴,Varus,lIlIIIIlIIIlIIII,Karma,zxczcxzczcxzcczx,Kennen,asdfgasdf,Talon,팡탈리,Sion,Fox B Mg,Lucian,zxcsazxcazdz,Yuumi,manmanO
5444493612,lose,Ranked Solo,2021-09-10 21:04:15,22m 37s,3,6,2,0.83:1,empty,empty,Gangplank,Grandmaster,empty,Gangplank,asdfgasdf,Nidalee,20200902start,LeBlanc,213435,Jhin,Gen G Ruler,Trundle,manmanO,Ornn,자장면잠봉당수육,Lee Sin,우울적울컥,Heimerdinger,PhasedKiller,Samira,가민준,Rell,밤몽길
5441509055,win,Ranked Solo,2021-09-09 01:59:20,16m 1s,1,0,4,Perfect,empty,empty,Gragas,Grandmaster,empty,Tryndamere,갱붕이,Jarvan IV,Hengzzz,Gragas,asdfgasdf,Ezreal,42141321,Morgana,permaban991132,Riven,Azhy,Nidalee,See u AG,Galio,행복하고싶다하하,Vayne,DK Kingdom,Rakan,T1 Gumayusi
5425028445,lose,Ranked Solo,2021-08-31 03:41:57,23m 38s,2,6,4,1.00:1,empty,empty,Jarvan IV,Master,empty,Jarvan IV,asdfgasdf,Karthus,   Lay   waste,Zed,너혹시엘소드하니,Ezreal,o권지훈o,Maokai,zxcssdkqwdlf,Karma,로se,Graves,opqqpo,Sylas,1234564321,Ashe,소년가장 원딜,Sett,Kimwinter
5424973622,lose,Ranked Solo,2021-08-31 02:11:59,29m 10s,4,10,9,1.30:1,empty,empty,Kennen,Grandmaster,empty,Kennen,asdfgasdf,Nidalee, 엘 림,Kled,Naehyun,Kindred,아프리카 아라드,Leona,전서방 닭갈비,Camille,농심 리치,Rumble,beibeibaobao,Qiyana,워 드,Ezreal,가민준,Braum,R U RD XXX
5423252901,win,Ranked Solo,2021-08-30 03:08:47,27m 19s,14,7,11,3.57:1,Triple Kill,empty,Jayce,Grandmaster,empty,Jayce,asdfgasdf,Nidalee,Liiv OnFleek,Renekton,항상배고픈코그모,Ezreal,viper3,Pyke,Honpi,Camille,농심 리치,Kha'Zix,nodfan,Sett,자장면잠봉당수육,Cassiopeia,DK Kingdom,Rakan,XIAN IG
5423192279,win,Ranked Solo,2021-08-30 02:36:16,19m 39s,13,6,4,2.83:1,MVP,empty,Jayce,Grandmaster,empty,Jayce,asdfgasdf,Zac,역시폭군,Lucian,jkjkjkjkk,Ziggs,asdzlttjj,Bard,점수나락감,Irelia,사랑해 쩡이,Nidalee,nodfan,Ryze,T1 Gumayusi,Aphelios,deokdam,Nautilus,자장면잠봉당수육
5423049056,win,Ranked Solo,2021-08-30 02:07:10,25m 25s,4,6,10,2.33:1,empty,empty,Jayce,Master,empty,Fiora,DoRun,Viego,우울적울컥,Twisted Fate,흐물흐물 파테,Ashe,어딘가좀아픈사람,Thresh,im trash,Jayce,asdfgasdf,Rumble,Z RyeoKR,Camille,넘어진 심슨,Aphelios,돼지와함께춤을a,Maokai,일 편
5421563544,win,Ranked Solo,2021-08-29 14:56:54,29m 33s,9,12,8,1.42:1,empty,empty,Gwen,Grandmaster,empty,Gwen,asdfgasdf,Lee Sin,타 잔,Qiyana,강의 구글 제드팀,Syndra,Gen G Ruler,Leona,krole,Camille,xoxooxoxooox,Viego,HLE Willer,Zoe,youtube 비브이,Lucian,deokdam,Bard,심리 건들지마
5420510982,win,Ranked Solo,2021-08-28 23:38:18,31m 27s,7,7,10,2.43:1,Double Kill,empty,Gangplank,Grandmaster,empty,Dr. Mundo,DK Kingdom,Gragas,배터리충전해,Lucian,BRO Yaharong,Varus,jkjkjkjkk,Alistar,돼지와함께춤을a,Renekton,L1sure,Nidalee,GOODBOYBD,Gangplank,asdfgasdf,Kindred,아프리카 아라드,Heimerdinger,참새크면비둘기
5420350418,lose,Ranked Solo,2021-08-28 22:49:18,25m 55s,3,6,6,1.50:1,Double Kill,empty,Gragas,Grandmaster,empty,Gragas,asdfgasdf,Lee Sin,DRX 홍창현,Zoe,현주입니다,Kindred,아라드,Trundle,Asaka1,Jayce,Trisak,Jarvan IV,L1sure,Azir,뮤즈아쿠아니지동,Ezreal,돼지와함께춤을a,Leona,Secret
5420252074,win,Ranked Solo,2021-08-28 22:13:05,27m 33s,4,3,14,6.00:1,MVP,empty,Jayce,Grandmaster,empty,Riven,오동1,Kayn,xhr,Ziggs,혜지명1,Draven,weuyuhajshdk,Thresh,점수나락감,Jayce,asdfgasdf,Nidalee,Fu4kTheworld,Zoe,쪼렙이다말로하자,Ezreal,impupupu,Leona,L1sure
5419241392,win,Ranked Solo,2021-08-28 15:10:59,32m 7s,7,7,9,2.29:1,Double Kill,empty,Gwen,Grandmaster,empty,Camille,Liiv Howling,Graves,mnbvcxze,Ryze,ruanruantuan,Aphelios,항상배고픈코그모,Thresh,hao yun bao bei,Gwen,asdfgasdf,Karthus,weuyuhajshdk,Talon,에 넥,Varus,viper3,Trundle,Yi bing chao
5417301070,win,Ranked Solo,2021-08-27 14:10:26,27m 5s,3,8,11,1.75:1,empty,empty,Irelia,Master,empty,Irelia,asdfgasdf,Elise,아프면살기힘들다,Yone,우성우성,Ziggs,zzzzzzzzzzzz111,Thresh,나는이제원딜러,Renekton,레넥톤 장인,Jarvan IV,SUPKINGYO,Galio,우으으어어엉,Aphelios,길고먼여행지,Braum,2021Worlds0173
5415335497,lose,Ranked Solo,2021-08-26 13:49:20,23m 17s,1,7,3,0.57:1,empty,empty,Gwen,Master,empty,Jayce,1582485,Lee Sin,594877,Sylas,save me again1,Ezreal,Denls,Karma,BoKGu,Gwen,asdfgasdf,Kayn,zao chen,Yone,늙고병들어버린나,Xerath,방탈출카페장인,Leona,Purpo지니
5415061177,win,Ranked Solo,2021-08-26 03:52:16,26m 53s,6,4,12,4.50:1,empty,empty,Lee Sin,Master,empty,Gwen,룬 곰,Viego,heimanba24,Irelia,미북이,Ezreal,어딘가좀아픈사람,Maokai,풀잎팀 와드,Lee Sin,asdfgasdf,Ekko,젬민잉,Qiyana,langmanbusi,Syndra,하 루 가절 반 ,Leona,qweiowqeo
5414985097,win,Ranked Solo,2021-08-26 02:19:48,25m 38s,0,3,2,0.67:1,empty,empty,Gnar,Grandmaster,empty,Gnar,asdfgasdf,Nidalee,Golden mole,Lucian,탕볶밥에반했다,Kalista,항상배고픈코그모,Rakan,fuzhu carry,Darius,TuTuTuTuT,Jarvan IV,JD fans,Azir,KT R MID,Ziggs,asdzlttjj,Trundle,Secret
5414915612,lose,Ranked Solo,2021-08-26 00:54:12,23m 32s,3,6,3,1.00:1,ACE,empty,Jayce,Grandmaster,empty,Jayce,asdfgasdf,Ekko,Gen G Clid,Tryndamere,갱붕이,Aphelios,누쇤퍅,Thresh,Secret,Lucian,DRX1234,Viego,Liiv Croco,Ryze, Gen G Bdd,Syndra,T1 Gumayusi,Trundle,Seize the day11
