gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5423095685,win,Ranked Solo,2021-08-30 01:31:58,15m 31s,7,3,2,3.00:1,empty,empty,Jayce,Challenger,empty,Jayce,늘 완벽하고싶다,Nidalee,Liiv OnFleek,Renekton,자장면잠봉당수육,Ziggs,항상배고픈코그모,Bard,점수나락감,Wukong,1Conor McGregor2,Graves,xhr,Orianna,Fox B Mg,Syndra,T1 Gumayusi,Pyke,참새크면비둘기
5404526436,lose,Ranked Solo,2021-08-21 03:16:12,22m 58s,1,10,7,0.80:1,empty,empty,Jayce,Challenger,empty,Wukong,1Conor McGregor2,Ekko,포식자,Lucian,KT Castle,Jinx,ruanruantuan,Tahm Kench,곽곽보성,Jayce,늘 완벽하고싶다,Nidalee,laozishifanpai,Zed,Indexy,Aphelios,짐승 잡종 인간,Rakan,Honpi
5402664333,win,Ranked Solo,2021-08-20 04:39:06,16m 54s,4,1,4,8.00:1,MVP,empty,Jayce,Grandmaster,empty,Jayce,늘 완벽하고싶다,Nidalee,Caipangshihua,Kassadin,Gen G Ophelia,Jhin,09 AD klng,Rakan,qweiowqeo,Malphite,BJ갈배,Viego,산속의 토끼,Azir,뮤즈아쿠아니지동,Ashe,KT Way,Leona,BigFour44
5402652525,lose,Ranked Solo,2021-08-20 02:31:34,36m 13s,15,11,5,1.82:1,Double Kill,ACE,Jayce,Challenger,empty,Jayce,늘 완벽하고싶다,Lee Sin,JUGKlNG,LeBlanc,BRO Yaharong,Ezreal,ruanruantuan,Trundle,곽곽보성,Irelia,Burdoll,Graves,xhr,Lissandra,GGGori,Ashe,jkjkjkjkk,Tahm Kench,참새크면비둘기
5402570678,lose,Ranked Solo,2021-08-20 01:32:30,32m 54s,3,10,5,0.80:1,empty,empty,Gragas,Challenger,empty,Kennen,A2ST,Lee Sin,oabco,LeBlanc,Gen G Dice,Ashe,42141321,Blitzcrank,concesslon,Gragas,늘 완벽하고싶다,Viego,kaixin1dian,Lissandra,BRO Yaharong,Samira,Gen G Envy,Trundle,곽곽보성
5402512956,win,Ranked Solo,2021-08-20 00:34:13,25m 40s,6,10,5,1.10:1,empty,empty,Jayce,Challenger,empty,Lucian,Two more Chance,Lee Sin,naiyoubaby,Ryze,BRO Yaharong,Syndra,jkjkjkjkk,Rakan,밤몽길,Jayce,늘 완벽하고싶다,Diana,Gen G Clid,Sion,Fox B Mg,Aphelios,SPG BaeKHo,Thresh,zxczcxzczcxzcczx
5401343664,lose,Ranked Solo,2021-08-19 14:48:50,30m 33s,10,12,9,1.58:1,Double Kill,empty,Jayce,Grandmaster,empty,Jayce,늘 완벽하고싶다,Diana,나는변신할것이다,Talon,우울1,Jhin,홀플레인,Blitzcrank,0008000,Camille,따봉 람머스,Ekko,a little story,Lucian,AF Keine,Aphelios,viper3,Leona,LSB Utility
5400790467,lose,Ranked Solo,2021-08-19 03:36:47,29m 38s,7,7,5,1.71:1,Double Kill,empty,Lucian,Challenger,empty,Lucian,늘 완벽하고싶다,Zac,역시폭군,Irelia,AF Keine,Ziggs,BRO Hena,Trundle,Kimwinter,Gwen,갱붕이,Kindred,T1 Ellim,Syndra,Gen G Quid,Vayne,viper3,Leona,zxckas0dk
5400667756,lose,Ranked Solo,2021-08-19 03:00:01,30m 34s,7,7,5,1.71:1,empty,empty,Gwen,Challenger,empty,Ryze,Liiv Croco,Lee Sin,Gen G Clid,Tristana,viper3,Lucian,이기고오쉽당,Leona,Lehends,Gwen,늘 완벽하고싶다,Zac,역시폭군,Yasuo,디알엑스 제트,Ashe,it calls echoes,Soraka,호잇이
5399983431,lose,Ranked Solo,2021-08-18 19:58:19,15m 33s,0,8,1,0.13:1,empty,empty,Irelia,Challenger,empty,Camille,A2ST,Sejuani,T1 Cuzz,Sylas,BRO Yaharong,Kai'Sa,DK Kingdom,Rakan,Honpi,Irelia,늘 완벽하고싶다,Poppy,a little story,LeBlanc,진짜 졸라 빡치네,Ziggs,참 몬났다,Lulu,오동1
5399980186,lose,Ranked Solo,2021-08-18 19:34:46,15m 20s,0,3,0,0.00:1,empty,empty,Jayce,Grandmaster,empty,Jayce,늘 완벽하고싶다,Graves,Permaban10553090,Azir,KT R MID,Ezreal,항상배고픈코그모,Bard,점수나락감,Riven,오동1,Viego,a little story,LeBlanc,BRO Yaharong,Kindred,Twitch아라드,Lulu,쪼렙이다말로하자
5399923420,win,Ranked Solo,2021-08-18 18:56:27,19m 39s,5,4,7,3.00:1,Double Kill,empty,Gwen,Challenger,empty,Malzahar,Big story,Lee Sin,a little story,Graves,BRO TaNa,Ezreal,SPG BaeKHo,Trundle,Av0cadoda,Lucian,전설이 될 남자,Jarvan IV,Juhana,Gwen,늘 완벽하고싶다,Aphelios,New ADC,Thresh,점수나락감
5399269709,lose,Ranked Solo,2021-08-18 14:38:11,17m 39s,1,3,4,1.67:1,ACE,empty,Jayce,Grandmaster,empty,Syndra,모두 화이팅 하자,Graves,Shadow HamBak ,Gragas,supi,Aphelios,weuyuhajshdk,Thresh,concesslon,Renekton,DK Ira,Nidalee,kaixin1dian,Jayce,늘 완벽하고싶다,Vayne,나라카일,Leona,GAM NRG
5398947887,lose,Ranked Solo,2021-08-18 05:15:54,22m 42s,5,9,3,0.89:1,ACE,empty,Jayce,Grandmaster,empty,Camille,Saint Diana,Rengar,먼지 한 알,Sylas,20time,Ezreal,By 불비,Galio,호잇이,Jayce,늘 완벽하고싶다,Nidalee,shuangmaweiyujie,Yasuo,우으으어어엉,Kai'Sa,opqqpo,Rakan,Honpi
5398973474,win,Ranked Solo,2021-08-18 04:07:41,29m 8s,3,6,10,2.17:1,empty,empty,Irelia,Grandmaster,empty,Irelia,늘 완벽하고싶다,Viego,늪에 빠지다1,Ryze,Gen G Karis,Varus,참 몬났다,Taric,통 준비 아오,Sett,skwhadlrlffo,Xin Zhao,짐승 짭종 인간,Rumble,워 드,Syndra,이기고오쉽당,Pantheon,호잇이
5398962831,win,Ranked Solo,2021-08-18 03:10:13,21m 20s,6,2,5,5.50:1,Double Kill,empty,Jayce,Challenger,empty,Camille,FA Decky,Lee Sin,Big story,LeBlanc,AF Keine,Aphelios,skwhadlrlffo,Blitzcrank,Kimwinter,Jayce,늘 완벽하고싶다,Viego,a little story,Sylas,류병준입니다,Caitlyn,viper3,Thresh,A2ST
5398859679,lose,Ranked Solo,2021-08-18 02:34:01,24m 37s,3,9,2,0.56:1,empty,empty,Jayce,Challenger,empty,Jarvan IV,농심 리치,Viego,Liiv OnFleek,LeBlanc,롤듀오 코코팀,Jinx,deokdam,Thresh,참새크면비둘기,Jayce,늘 완벽하고싶다,Rumble,laozishifanpai,Lucian,류병준입니다,Ezreal,BRO Hena,Blitzcrank,호잇이
5398823333,lose,Ranked Solo,2021-08-18 01:38:18,32m 59s,9,2,6,7.50:1,Double Kill,ACE,Irelia,Grandmaster,empty,Irelia,늘 완벽하고싶다,Graves,Z RyeoKR,Sylas,어서잊어,Kai'Sa,gfdgsr111,Galio,supremacy,Lee Sin,wodesry,Kha'Zix,처피뱅 카와이,Kayle,Gengarnold,Ziggs,Gen G Khael,Trundle,szygszn
5397900799,lose,Ranked Solo,2021-08-17 18:55:53,29m 14s,3,9,3,0.67:1,empty,empty,Irelia,Challenger,empty,Kennen,Big story,Lee Sin,나는변신할것이다,Ryze,디알엑스 제트,Aphelios,Gen G Peyz,Thresh,점수나락감,Irelia,늘 완벽하고싶다,Nidalee,롤 강의 코코팀,Jayce,나라카일,Syndra,viper3,Leona,참새크면비둘기
5397746625,win,Ranked Solo,2021-08-17 18:06:36,26m 50s,7,8,8,1.88:1,Double Kill,empty,Gwen,Grandmaster,empty,Akali,어서잊어,Diana,먼지 한 알,Irelia,Aileri,Aphelios,qhwkdlru,Gragas,BRO Hoya,Gwen,늘 완벽하고싶다,Viego,미드잘하는정글러,Karma,2005 07 06,Vayne,Gen G Peyz,Alistar,돼지와함께춤을a
5397106025,win,Ranked Solo,2021-08-17 03:44:09,15m 27s,2,1,0,2.00:1,empty,empty,Gragas,Grandmaster,empty,Yasuo,1Conor McGregor2,Diana,laozishifanpai,Kennen,wodesry,Jhin,viper3,Nautilus,manmanO,Gragas,늘 완벽하고싶다,Viego,Jzzcjmzh,Yone,uppi,Ashe,항상배고픈코그모,Leona,awsdrfgyhjik
