gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490382051,win,Ranked Solo,2021-10-04 06:57:50,16m 43s,3,3,9,4.00:1,empty,empty,Rakan,Master,empty,Akali,Rythrod,Master Yi,PD Zapdo,Karma,Owelius,Akshan,Salvied,Pyke,EYG Orcinus,Kennen,Mohe dance hall,Lee Sin,FYN Jackson,Katarina,Bad Player v2,Miss Fortune,Regostern,Rakan,heal ad plz
5490243907,win,Ranked Solo,2021-10-04 06:00:23,24m 30s,2,4,20,5.50:1,empty,empty,Leona,Diamond 1,empty,Fiora,NG Dawn,Nocturne,Skylìnè,Zoe,leavemeaIone2,Aphelios,yong whu zhi jin,Leona,heal ad plz,Riven,Flexi Returns,Qiyana,Rulfchen,Orianna,R174 ZZ RMS,Vex,ad27,Alistar,scamber
5490233293,lose,Ranked Solo,2021-10-04 05:28:29,36m 50s,3,8,16,2.38:1,empty,empty,Leona,Master,empty,Ornn,NIX kev1n,Qiyana,a shine rises,Ivern,raptus bloom,Draven,Sphericity,Zyra,faeces,Darius,Nicoups,Kha'Zix,RnS,Galio,Polkα,Cassiopeia,Políko,Leona,heal ad plz
5490128953,win,Ranked Solo,2021-10-04 04:44:55,23m 35s,10,2,9,9.50:1,Double Kill,MVP,Kha'Zix,Master,empty,Irelia,chicken nuggie86,Graves,DoubleAiM,Corki,Wÿse,Ezreal,S G,Zyra,faeces,Yone,BèAnn,Kha'Zix,heal ad plz,Viktor,Sphericity,Karthus,ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ,Leona,Yenzae
5490081777,lose,Ranked Solo,2021-10-04 04:13:23,36m 6s,2,7,14,2.29:1,Double Kill,ACE,Leona,Master,empty,Ornn,TwTv Makkro0,Lee Sin,WE Basil,Seraphine,Naori Imeris,Tristana,Broeki,Braum,Bôwa,Irelia,zhugemeng,Kayn,Momo Statham,Twisted Fate,Jin Mu Wοn,Ziggs,Sanguine Soul,Leona,heal ad plz
5489420417,lose,Ranked Solo,2021-10-04 00:57:15,26m 21s,2,9,8,1.11:1,empty,empty,Amumu,Master,empty,Jax,Jida de Gaishan,Lee Sin,SMB Kireas,Corki,WOL Justas,Tristana,Gαlaxy,Rakan,Yomsito,Ornn,TwTv Makkro0,Ekko,Spirgius,Galio,Silverdrunks V2,Draven,Rαbi,Amumu,heal ad plz
5489365695,lose,Ranked Solo,2021-10-04 00:24:32,29m 33s,3,4,10,3.25:1,empty,empty,Rakan,Master,empty,Jax,Jida de Gaishan,Xin Zhao,1nition,Azir,XDXDXDXDDDDDDDXD,Jinx,1k soon,Rakan,heal ad plz,Aatrox,NB Ilyxøu,Lee Sin,WhiskyFace,Galio,Silverdrunks V2,Miss Fortune,Luntear,Soraka,LPS TMuKK
5489219307,lose,Ranked Solo,2021-10-03 23:45:41,31m 28s,5,5,12,3.40:1,Double Kill,empty,Graves,Master,empty,Poppy,Quinncidence v3,Lee Sin,mr poIska,Xerath,4856379,Kai'Sa,Flowsnake Ice,Amumu,uguysaresobad,Jax,Jida de Gaishan,Graves,heal ad plz,Vex,PST Alex,Jhin,JABUT1CABA,Galio,Aglaro
5488713733,lose,Ranked Solo,2021-10-03 11:39:20,27m 39s,4,3,7,3.67:1,empty,empty,Evelynn,Master,empty,Jayce,Thel1ttletiger,Evelynn,heal ad plz,Irelia,kimchi open1,Caitlyn,2021Worlds0150,Karma,Such a bad mood,Tahm Kench,tbh just kill me,Kayn,erased jgl,Anivia,Bonya Slade,Lucian,Whiterog,Rakan,Yomsito
5488761464,lose,Ranked Solo,2021-10-03 11:03:30,15m 36s,1,2,0,0.50:1,empty,empty,Ekko,Master,empty,Tahm Kench,IHateLosersQueue,Sejuani,FTE e4ever24,Rumble,Fei17,Ezreal,CG CHECKFIDER,Senna,2021Worlds0057,Irelia,BedbyB8,Ekko,heal ad plz,Twisted Fate,LEO BRICHTA,Kai'Sa,DM Fandar,Lulu,10iq jungler uwu
