gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5443448619,lose,Ranked Solo,2021-09-10 04:05:03,37m 18s,3,7,19,3.14:1,ACE,empty,Senna,Diamond 1,empty,Fiora,미란다커가슴커,Kha'Zix,goodboylee,Anivia,오늘 잘 자,Lucian,AD KING ZZZZZ,Yuumi,톰X제리,Renekton,87Kepler,Taliyah,6 fu xing,Akshan,이름 없는Mid,Ziggs,원딜어때,Senna,tes zhu0
5424964184,lose,Ranked Solo,2021-08-31 01:01:23,28m 59s,1,5,8,1.80:1,empty,empty,Thresh,Diamond 1,empty,Malphite,승찬이 척추,Nidalee,REERERER,Zoe,몽키스패너 장인,Aphelios,정말죽기싫은사람,Thresh,tes zhu0,Camille,KMNZ,Rengar,쌍 꽁,Galio,근 본 아 펠,Kai'Sa,Rex ADC,Gragas,못가못가
5424870531,lose,Ranked Solo,2021-08-31 00:23:00,30m 41s,1,7,15,2.29:1,ACE,empty,Trundle,Diamond 2,empty,Jax,KMNZ,Nidalee,응애 나 애기땅우,Zoe,다현이는 서포터,Jhin,KT UP,Rakan,Iove xayah,Camille,해일해2해삼,Lee Sin,lIllIIIIllllIIII,Katarina,노약자석양보안함,Ziggs,맵 좀 봐,Trundle,tes zhu0
5424782790,lose,Ranked Solo,2021-08-30 23:34:26,24m 1s,5,6,8,2.17:1,ACE,empty,Alistar,Master,empty,Shen,키자루 센세,Ekko,타조통다리구이,Anivia,또이커,Ezreal,고 틱,Alistar,tes zhu0,Gwen,Nuguri fans1,Evelynn,lllllIlIlIlIIlIl,Zed,다시올라가보자,Kai'Sa,아가 승현,Maokai,popop
5424724804,lose,Ranked Solo,2021-08-30 23:04:28,29m 19s,2,4,8,2.50:1,empty,empty,Bard,Master,empty,Renekton,고추장문기,Shaco,01077426012,Katarina,고깃집박하도둑,Aphelios,아가 승현,Bard,tes zhu0,Jayce,슈퍼빅고수,Kha'Zix,린 주,LeBlanc,Rank is Hell,Varus,목베개도마뱀,Lulu,설 흰
5424485794,lose,Ranked Solo,2021-08-30 22:25:20,35m 22s,4,10,15,1.90:1,empty,empty,Rell,Master,empty,Kennen,flame03,Jarvan IV,Huynh Nhu,Sett,EKKO01,Ashe,chopsticks king,Rell,tes zhu0,Rengar,렝 길,Graves,2777443516024704,Qiyana,리신3인칭시점,Ezreal,지조있게,Lulu,매일 어지러워
5423284986,lose,Ranked Solo,2021-08-30 03:40:18,15m 5s,3,5,3,1.20:1,ACE,empty,Alistar,Diamond 1,empty,Camille,아레나올사람,Elise,엔터빼고정글로만,Ryze,임창준,Kalista,Come be,Alistar,tes zhu0,Renekton,고아전문치료사,Taliyah,해태는 멍멍,Qiyana,내가 누구게 키키,Varus,안녕생선 유튜브,Trundle,안내문진거가위바
5423214918,lose,Ranked Solo,2021-08-30 03:20:03,16m 21s,3,8,2,0.63:1,Double Kill,ACE,Xin Zhao,Diamond 1,empty,Sett,집 사,Taliyah,청년김민관,Wukong,아레나올사람,Jinx,우연이 운명이 된,Galio,IDKIDKIDK,Aphelios,콩은검,Xin Zhao,tes zhu0,Ryze,쉔영진,Jayce,Wasurerarenaino,Lulu,말랑제리
5423242255,lose,Ranked Solo,2021-08-30 02:58:11,28m 44s,7,7,14,3.00:1,ACE,empty,Xin Zhao,Diamond 1,empty,Nasus,imings,Shaco,Jerang2,Caitlyn,회전dok2,Samira,1040327del,Sion,패드립전용계정,Sylas,느낌없는사람1,Xin Zhao,tes zhu0,Yasuo,RGA poss,Kai'Sa,raojianuo,Pyke,이 날이 가기전에
5423077704,lose,Ranked Solo,2021-08-30 01:55:12,21m 29s,0,5,0,0.00:1,empty,empty,Trundle,Master,empty,Camille,홍낙현,Twitch,쥐배자,Qiyana,2000000000000002,Kai'Sa,prax 02,Trundle,tes zhu0,Akali,나버섯,Kha'Zix,린 주,Talon,osshun wave,Samira,서연누나 사랑해,Nautilus,필승 쓰레쉬
5422665451,win,Ranked Solo,2021-08-29 21:34:37,16m 25s,2,1,9,11.00:1,empty,empty,Karma,Master,empty,Camille,Wasurerarenaino,Karthus,동 슐,Pantheon,백화요랑,Sivir,OSG,Karma,tes zhu0,Wukong,근 두,Nidalee,곰돌이와토끼,Graves,Nagha,Ziggs,아래개,Thresh,천안날다람쥐
5422499630,win,Ranked Solo,2021-08-29 21:13:15,25m 9s,3,4,22,6.25:1,empty,empty,Senna,Master,empty,Quinn,매판잘할수는없어,Elise,jinghuan,Sylas,2009 09 24,Ashe,변경소환사이름,Senna,tes zhu0,Jax,Wasurerarenaino,Jarvan IV,화난찬미,Ekko,papillae,Ezreal,x1xx2,Trundle,왕눈이입니다
5422553360,lose,Ranked Solo,2021-08-29 20:41:28,15m 52s,1,4,4,1.25:1,empty,empty,Trundle,Diamond 1,empty,Jax,Wasurerarenaino,Ekko,김해김씨김성태,Talon,chao dog zz,Ashe,레이디스,Blitzcrank,떡잎마을 시민4,Sylas,발자국 녹기전에,Kindred,star bugers,Jayce, youraa,Varus,K T 19,Trundle,tes zhu0
5422220048,win,Ranked Solo,2021-08-29 17:43:48,15m 17s,2,0,17,Perfect,empty,empty,Yuumi,Master,empty,Talon,Tangyuando,Ekko,hold out hope ,Kled,Liyuu fans,Tristana,babylce,Yuumi,tes zhu0,Nasus,DogMan21,Elise,펜션청소장인,Yone,4 포,Aphelios,lol adc,Karma,와드장사꾼
5422084708,lose,Ranked Solo,2021-08-29 17:21:47,15m 22s,4,5,3,1.40:1,empty,empty,Alistar,Diamond 1,empty,Malzahar,mute all 올차단 ,Graves,경북전문대불주먹,Sylas,Tangyuando,Ezreal,고점 높은 원딜,Leona,팀못하면대충함0,Yasuo,소혜누나 예쁘다,Diana,정신차리자건우야,Jayce,Sihyun1030,Ashe,lilyknight1,Alistar,tes zhu0
5421571001,lose,Ranked Solo,2021-08-29 14:27:49,15m 52s,0,6,5,0.83:1,empty,empty,Rell,Master,empty,Renekton,3top,Elise,정글orGG,Aurelion Sol,꼬마 지렁이,Xayah,저아니 우결,Taric,202020202002020,Dr. Mundo,고춘맘1,Kindred,ol재승,Ryze,이율츠다,Ezreal,엉덩국,Rell,tes zhu0
5421171717,lose,Ranked Solo,2021-08-29 03:52:29,18m 19s,2,7,1,0.43:1,empty,empty,Renekton,Master,empty,Renekton,tes zhu0,Jarvan IV,우유괴물,Galio,복슬복슬겨드랑이,Aphelios,정흥호,Trundle,savior gm,Fiora,시와먼 곳,Nidalee,무림고수 손석희,Zed,DeadIy,Varus,서연누나 사랑해,Lulu,와르가르
5421049160,win,Ranked Solo,2021-08-29 03:22:00,23m 57s,3,4,18,5.25:1,Double Kill,empty,Senna,Master,empty,Irelia,KINGRELIA,Fiddlesticks,예티 막대기,Gwen,Jessicar,Tristana,윤 하,Senna,tes zhu0,Jax,난폭한 양,Olaf,선 뭉,Katarina,너무 많이 사랑해,Ezreal,안약넣을나이,Blitzcrank,머랭머랭닥치랭
5421027148,lose,Ranked Solo,2021-08-29 02:51:56,23m 25s,1,5,1,0.40:1,empty,empty,Rell,Master,empty,Maokai,귀여운작은얼음,Lee Sin,선 뭉,Xerath,PIIs,Ashe,IlIlllIlIIIlIIl,Blitzcrank,비밀투성2,Jayce,zdhl,Gwen,woshizds,Yone,Zhaozhiyue,Jhin,안망설여,Rell,tes zhu0
5420557668,lose,Ranked Solo,2021-08-29 00:03:46,22m 46s,2,6,7,1.50:1,empty,empty,Bard,Master,empty,Renekton,현상금사냥꾼개미,Rengar,렝 황,Qiyana,새콤달콤 하 다,Ezreal,bottom g4me,Bard,tes zhu0,Tristana,물에 젖은 장작,Rumble,ha enru,Zed,Laeis,Kindred,물이끊어지다,Nami,잠수빈
5417270961,lose,Ranked Solo,2021-08-27 13:57:48,18m 40s,3,2,1,2.00:1,ACE,empty,Renekton,Master,empty,Renekton,tes zhu0,Lee Sin,Alone N,Katarina,love mo yan,Kai'Sa,ali4s,Rell,수련지옥,Yasuo,흘 결,Karthus,CamilleToT,Singed,DOK GAS,Samira,Ying hua,Alistar,뒤질게
5417008128,win,Ranked Solo,2021-08-27 13:30:35,22m 28s,1,7,14,2.14:1,empty,empty,Thresh,Master,empty,Malphite,AfreecaTV 다움,Lee Sin,큐티천사혀니,Katarina,love mo yan,Aphelios,mute5,Thresh,tes zhu0,Gnar,wlsgusckd123,Taliyah,아직 배우지 않음,Zed,왁타버스,Samira,남우기둥,Leona,SP100
5416737555,lose,Ranked Solo,2021-08-27 05:34:11,29m 55s,0,4,3,0.75:1,empty,empty,Senna,Master,empty,Irelia,Shadow Lelitz,Elise,펜션청소장인,Singed,IG smoke,Jhin,Eyes,Maokai,jia mao dung zz,Vayne,AF Roast,Jarvan IV,xkffldi,Orianna,석효신,Ezreal,TRG,Senna,tes zhu0
5416737142,win,Ranked Solo,2021-08-27 04:55:34,9m 49s,1,1,2,3.00:1,empty,empty,Senna,Master,empty,Singed,IG smoke,Kindred,2786323553175072,Lissandra,icequeen,Ezreal,TRG,Nami,하린둥이,Senna,tes zhu0,Rengar,idou,Galio,삼립꿀호떡,Ashe,Eyes,Kennen,정글차이를극복중
5416667043,win,Ranked Solo,2021-08-27 04:32:08,22m 52s,1,2,13,7.00:1,empty,empty,Alistar,Master,empty,Kennen,정글차이를극복중,Lee Sin,사랑 멋져요,Pyke,dansafakez,Ashe,AFTV 수노,Alistar,tes zhu0,Darius,bwdchzb,Jarvan IV,woshizds,Galio,2659042570659424,Samira,원딜프로지망인,Rell,창우유
5416665950,win,Ranked Solo,2021-08-27 04:04:44,24m 48s,2,2,21,11.50:1,MVP,empty,Yuumi,Master,empty,Tahm Kench,챔피언 늘리기,Nidalee,DLRUQHWKK,Renekton,who is niuma,Ezreal,떠있어 정글 위,Yuumi,tes zhu0,Jarvan IV,서울고속도로,Diana,stupid yekai,Orianna,백 쿠,Aphelios,Od eye,Soraka,소라카만 해요
