gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471496873,lose,Ranked Solo,2021-09-24 00:55:14,19m 39s,1,4,5,1.50:1,empty,empty,Karma,Master,empty,Renekton,your fearness,Taliyah,daobile,Qiyana,weiweiruoruo,Jinx,바다를 찾아서,Thresh,hhjbb,Irelia,good team,Kayn,믜 진,Ryze,속고만살았나보다,Ezreal,Futaba Anzu2,Karma,xibaxiba
5471280247,win,Ranked Solo,2021-09-23 23:36:53,34m 7s,4,7,19,3.29:1,empty,empty,Amumu,Master,empty,Aatrox,Kimiwakireida,Lee Sin,yiyezhiqiu,Ryze,qldurtms,Lucian,로아하고시퍼요,Pyke,2007 Pykeking,Sejuani,TW Choco,Graves,버기해적단 버기,Sylas,Fzz gege,Miss Fortune,cute white fox,Amumu,xibaxiba
5471105099,lose,Ranked Solo,2021-09-23 22:53:02,23m 9s,0,3,2,0.67:1,empty,empty,Malphite,Master,empty,Malphite,xibaxiba,Ekko,lucky boy2,Yone,화원 아기,Kai'Sa,eat fan,Rell,mmx,Camille,ignominious,Xin Zhao,Nation Blue,Syndra,bompu,Jhin,Learn everyday,Alistar,Gaga baby
5470996769,win,Ranked Solo,2021-09-23 22:12:57,25m 41s,2,4,12,3.50:1,empty,empty,Amumu,Master,empty,Aatrox,BlackKnight8,Talon,xu yao gu li,LeBlanc,sbkongjuzheng,Kai'Sa,IG1749193239Q,Amumu,xibaxiba,Jax,Yang Hua,Lee Sin,장꾸유,Ryze,크으리,Lucian,Sadman1,Leona,G yuzhe
5471011076,lose,Ranked Solo,2021-09-23 21:37:15,18m 27s,1,5,3,0.80:1,empty,empty,Gragas,Diamond 1,empty,Fiora,kur0m1,Ekko,u cant die,Graves,EDG XIAMU,Kai'Sa,yaojiwang,Rell,mmx,Aatrox,슬픔TnT,Lee Sin,시간 침전,Sylas,borenzhuan,Ezreal,yusari,Gragas,xibaxiba
5470963967,lose,Ranked Solo,2021-09-23 21:09:06,24m 42s,2,3,4,2.00:1,empty,empty,Amumu,Master,empty,Wukong,77GameZting,Graves,EDG XIAMU,Syndra,bompu,Miss Fortune,부르릉비켜나세여,Anivia,douyu TV 9018814,Lulu,서창훈,Karthus,언젠가의 이야기,Zed,borenzhuan,Lucian,dont stop mebaby,Amumu,xibaxiba
5470818756,win,Ranked Solo,2021-09-23 20:28:03,15m 23s,1,2,10,5.50:1,empty,empty,Amumu,Master,empty,Sett,기모링딩동1,Zed,EDG XIAMU,LeBlanc,xwbzgsjsd,Samira,Gon1234,Fiora,kur0m1,Vayne,bompu,Taliyah,밀림 간 다,Lissandra,sakuradog,Lucian,향 깃,Amumu,xibaxiba
5470623086,lose,Ranked Solo,2021-09-23 17:23:53,24m 40s,0,10,11,1.10:1,empty,empty,Amumu,Master,empty,Fiora,kur0m1,Rumble,EDG XIAMU,Talon,화원 아기,Lucian,초보원딜러,Sett,기모링딩동1,Lee Sin,youtube 비브이,Jarvan IV,orah,Katarina,청춘단검,Kai'Sa,hao yun bao bei,Amumu,xibaxiba
5470555991,win,Ranked Solo,2021-09-23 16:26:14,21m 59s,1,5,12,2.60:1,empty,empty,Amumu,Master,empty,Shen,zhao si ma gun,Taliyah,Love dont stop,Akshan,critique,Miss Fortune,미로 속 미르,Alistar,yangyu XD,Jayce,wuliaodexianshi,Diana,xccccccvb,Yasuo,yyzx,Tristana,Imaokai,Amumu,xibaxiba
5470500293,win,Ranked Solo,2021-09-23 15:33:24,20m 10s,2,2,10,6.00:1,empty,empty,Amumu,Master,empty,Maokai,강철기사단헤카림,Lee Sin,NeverLand,Ryze,LSB Pungyeon,Miss Fortune,부르릉비켜나세여,Amumu,xibaxiba,Pantheon,순보에 와드,Olaf,ftyui,Akali,군대간 지성,Aphelios,BerylSKS,Thresh,FNmhoMmaITl8Z50I
