gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471543612,win,Ranked Solo,2021-09-24 00:31:57,15m 23s,9,1,6,15.00:1,Double Kill,empty,Nidalee,Master,empty,Aatrox,기 찬,Nidalee,594877,Malphite,UZ Yet,Ezreal,13990,Pantheon,ALLlinerrr,Fiora,w t,Lee Sin,mohuado,Ekko,pqandIyh,Samira,아프리카박고보기,Galio,박고 보기
5471270603,win,Ranked Solo,2021-09-23 23:35:09,32m 39s,17,6,14,5.17:1,Double Kill,MVP,Graves,Master,empty,Irelia,혜지싫어,Graves,594877,Kassadin,기 정 fan,Syndra,tnaistacmdoimeoa,Thresh,LoL Xiangchai,Sylas,bingbingfan,Xin Zhao,Sw1ss,Yone,pqandIyh,Aphelios,실수는실력,Zilean,GrayCraken
5471123146,lose,Ranked Solo,2021-09-23 22:50:44,29m 39s,2,11,7,0.82:1,empty,empty,Graves,Master,empty,Graves,594877,Lee Sin,벌레가된사람,Ryze,SugiKim,Xerath,방탈출카페장인,Bard,Wand3rlust,Camille,홍낙현,Nidalee,U Han,Kled,qkralfm,Lucian,cute white fox,Janna,DK Arami
5470988314,lose,Ranked Solo,2021-09-23 22:09:24,15m 50s,1,5,0,0.20:1,empty,empty,Graves,Master,empty,Graves,594877,Viego,EDG XIAMU,Twisted Fate,sakuradog,Kai'Sa,eat fan,Rell,mmx,Lulu,서창훈,Kindred,밀림 간 다,LeBlanc,헌  언,Tristana,hong he wo de,Braum,G4MBLEER
5470937302,lose,Ranked Solo,2021-09-23 21:27:56,28m 10s,5,7,8,1.86:1,Double Kill,empty,Aatrox,Master,empty,Aatrox,594877,Graves,kkooii,Zoe,srysrysryz,Taliyah,HIDE ON 페이커,Pantheon,Mambaking,Camille,Iove song,Talon,전준혁입니다만,Anivia,트위치티비호붕이,Jhin,lol adc,Zilean,시계왕
5470900902,win,Ranked Solo,2021-09-23 20:45:02,21m 55s,4,3,10,4.67:1,empty,empty,Graves,Master,empty,Heimerdinger,딩거명인,Lee Sin,luv rainn,Lissandra,귀여운작은얼음,Samira,say lt ,Amumu,하나나사랑해요,Jayce,순단무,Graves,594877,Fizz,flawless love,Miss Fortune,LongTaiZi,Blitzcrank,Gen G Lunar
5469782192,lose,Ranked Solo,2021-09-23 00:59:18,21m 16s,6,6,7,2.17:1,ACE,empty,Qiyana,Master,empty,Rengar,한국 렝가,Qiyana,594877,LeBlanc,기 정 fan,Miss Fortune,너의 달을 줘 ,Gragas,cleannn,Kled,딸기바나나소프트,Lillia,토닥임,Lucian,gfdgsr111,Jhin,째끼춘,Shen,HakosBaelzFan1
5469497295,lose,Ranked Solo,2021-09-22 23:26:46,23m 29s,6,7,7,1.86:1,Double Kill,ACE,Qiyana,Master,empty,Zoe,지원 여친여치니 ,Qiyana,594877,Lillia,멸망의인도자,Lucian,웅이애옹,Thresh,2601898377668288,Aatrox,리젠스,Nidalee,c1shengbuhuan,Pantheon,애니보는게죄냐,Kai'Sa,Axiyo,Gragas,아랄아랄아랄해
5468273139,lose,Ranked Solo,2021-09-22 14:45:50,15m 15s,1,5,5,1.20:1,empty,empty,Aatrox,Diamond 1,empty,Aatrox,594877,Nidalee,Meng Li Tian,Pantheon,디 테 일,Ezreal,eat fan,Bard,Uneasy0o0,Sett,critique,Taliyah,침착맨삼국지여포,Yone,고슴도치의딜레마,Miss Fortune,서서담,Rell,하나나사랑해요
5461334322,lose,Ranked Solo,2021-09-19 14:43:29,20m 11s,3,5,4,1.40:1,ACE,empty,Taliyah,Master,empty,Jayce,time or time,Xin Zhao,mohuado,Sylas,Moonbr,Ezreal,Shirakami Fubuk1,Leona,병권좌,Fiora,v나르샤v,Taliyah,594877,Irelia,청춘단검,Miss Fortune,Fzz gege,Nautilus,응애응애1212
