gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490289520,lose,Ranked Solo,2021-10-04 06:48:03,27m 0s,5,7,10,2.14:1,ACE,empty,Taliyah,Master,empty,Sylas,23iko,Xin Zhao,Chelouche,Katarina,Tempo Suta,Caitlyn,Kzed,Amumu,Low BPM player,Darius,ΚenT1,Taliyah,S11Tian,Yone,BLACKMETALTERROR,Ziggs,FLIP FliiZee,Alistar,XERSUS7
5490306824,win,Ranked Solo,2021-10-04 06:14:13,10m 28s,3,0,2,Perfect,empty,empty,Jarvan IV,Master,empty,Katarina,ItsSørey,Jarvan IV,S11Tian,Malphite,Darlik1,Lucian,asdfghjqwert,Nami,woshidoinb,Anivia,Bonya Slade,Hecarim,theNotoriousMMÅ,Jayce,Nillee,Kai'Sa,NOX ilyy,Pyke,GNLGNL
5490202555,win,Ranked Solo,2021-10-04 05:06:46,27m 48s,7,4,12,4.75:1,MVP,empty,Nidalee,Master,empty,Darius,Wintęr,Kayn,manumatador,LeBlanc,woshilqs,Lucian,dzc,Bard,Vicky Leandros,Riven,S11 Bad,Nidalee,S11Tian,Azir,Viikingr,Ezreal,Xenxo,Yuumi,ACKERMÁN
5490105983,win,Ranked Solo,2021-10-04 04:28:23,26m 5s,14,3,14,9.33:1,Double Kill,MVP,Talon,Master,empty,Ornn,2021Worlds0301,Talon,S11Tian,Sylas,ECkz,Miss Fortune,Nero Forte,Thresh,Linkkey1,Lee Sin,mr poIska,Rek'Sai,SidonSidonSidon,Malzahar,Koenraad II,Lucian,Kaττen,Nami,twenty one
5489108501,win,Ranked Solo,2021-10-03 22:29:50,24m 20s,12,3,11,7.67:1,MVP,empty,Qiyana,Master,empty,Twisted Fate,Con161,Qiyana,S11Tian,Jayce,Stargazer7,Varus,MTLK Filou,Nami,BroIia,Aatrox,Tziz,Graves,jarda jagr,Ryze,Fressko,Jhin,Giant Monster,Bard,Vicky Leandros
5488934878,lose,Ranked Solo,2021-10-03 19:44:26,39m 39s,12,12,11,1.92:1,Triple Kill,empty,Lee Sin,Master,empty,Irelia,Headache Man,Xin Zhao,ARMATejani2,Zoe,ShowMakerVillain,Ziggs,T1 Sorry zz,Amumu,Motleyy Crew,Jax,Schwabbelmadron,Lee Sin,S11Tian,Corki,Unyielding Hero,Lucian,Shyelander,Karma,Paolocannone
5488591374,win,Ranked Solo,2021-10-03 08:26:09,24m 8s,8,3,7,5.00:1,Double Kill,empty,Graves,Master,empty,Jax,YQSH,Lee Sin,Headache Man,Syndra,kimchi open1,Vayne,u r dead wrong,Lulu,Capitana Nugget,Yone,89 fds 126,Graves,S11Tian,LeBlanc,Λ R V E N ,Soraka,Kasing 1,Senna,Motleyy Crew
5488574331,win,Ranked Solo,2021-10-03 07:51:52,26m 46s,12,4,8,5.00:1,Double Kill,MVP,Taliyah,Master,empty,Fiora,Thel1ttletiger,Lee Sin,1v9wheneveriwąnt,Sylas,Demon Pun1sher,Lucian,2021Worlds0171,Nami,ACKERMÁN,Jayce,Headache Man,Taliyah,S11Tian,Yone,byeeeeeee,Aphelios,dzc,Lulu,Kandoomagic
5488531107,win,Ranked Solo,2021-10-03 07:17:18,27m 21s,10,6,9,3.17:1,Double Kill,empty,Zed,Master,empty,Gangplank,Kimchi warrior1,Lee Sin,WeS Trizzy,Katarina,Lianhuaboy77,Aphelios,dzc,Amumu,ACKERMÁN,Sett,Not nexo rdy,Talon,tempsjgjlgslchok,Zed,S11Tian,Ezreal,StephenChe,Yuumi,Heimskáut réfur
5488089155,win,Ranked Solo,2021-10-03 03:36:22,25m 3s,2,2,8,5.00:1,empty,empty,Talon,Master,empty,Gwen,Stargazer7,Talon,S11Tian,Soraka,unlucky jgl gap,Tristana,Yosikomo,Alistar,Genellaunoal,Fiora,Davitzon,Xin Zhao,ChatDisabler97,Ryze,woshilqs,Lucian,League Enjoyer 1,Sona,NHWK
5487556458,win,Ranked Solo,2021-10-02 19:44:58,15m 46s,4,3,4,2.67:1,empty,empty,Kha'Zix,Master,empty,Jax,mam dość tej gry,Lee Sin,This will pass,Talon,SpacegliderMarto,Jinx,scrxptlxss,Vel'Koz,Campi0ne,Gragas,Headache Man,Kha'Zix,S11Tian,Yone,SANTORYU USER,Kai'Sa,Laa7ch ,Amumu,Aglaro
5487485463,win,Ranked Solo,2021-10-02 19:21:45,20m 38s,10,1,6,16.00:1,Double Kill,empty,Ekko,Master,empty,Irelia,superbigfun,Ekko,S11Tian,Talon,SpacegliderMarto,Ezreal,scrxptlxss,Karma,Haeryung,Fiora,Headache Man,Viego,aeongi,Karthus,Miwcio,Draven,K Λ M l,Rakan,Aglaro
5487250777,win,Ranked Solo,2021-10-02 08:37:33,38m 9s,19,11,9,2.55:1,Triple Kill,MVP,Qiyana,Master,empty,Darius,AngryBros,Lee Sin,yellowskin devil,Orianna,GALA mashallah,Draven,11235,Rakan,Rencha,Trundle,SniIIer,Qiyana,S11Tian,Zoe,QYURRYUS1,Lucian,2021Worlds0171,Nami,SUP Toxic Keskin
5487157129,win,Ranked Solo,2021-10-02 07:53:04,24m 10s,18,6,4,3.67:1,Double Kill,empty,Qiyana,Master,empty,Darius,RZF Bakhaen,Lee Sin,WE Basil,Cho'Gath,The egion,Miss Fortune,UP5 yuya,Nami,Brøøk,Graves,HSFFFFFFFFFF,Qiyana,S11Tian,Viktor,VEC Tráce,Vayne,GALA mashallah,Amumu,Boltox
5487105516,win,Ranked Solo,2021-10-02 07:21:57,15m 19s,4,3,3,2.33:1,Double Kill,empty,Aatrox,Master,empty,Irelia,SLIMKIDD,Nunu & Willump,Baby,Karthus,FNC Jeko,Draven,the hood Jcll,Zilean,Delirium Trémens,Aatrox,S11Tian,Talon,R4M3,LeBlanc,sign me already,Ezreal,UP5 yuya,Karma,Mariah Angeliq
5487039992,win,Ranked Solo,2021-10-02 06:59:41,24m 3s,7,6,10,2.83:1,empty,empty,Taliyah,Master,empty,Aatrox,xqgxnbjxn,Qiyana,Οbsess,Twisted Fate,Fresh wallah,Lucian,AbbottnC,Thresh,Zekorysama,Kled,Qert,Taliyah,S11Tian,Vladimir,Last Cat,Draven,the hood Jcll,Yuumi,kittenlover5
