gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5470528984,lose,Ranked Solo,2021-09-23 16:44:15,17m 11s,3,2,3,3.00:1,Double Kill,ACE,Qiyana,Grandmaster,empty,Camille,blwy1,Qiyana,ziyou,Syndra,Gen G Quid,Lucian,Rumor22,Nami,R U RD XXX,Riven,Azhy,Graves,이러다 다 D져,Katarina,Emilia tan,Kai'Sa,hao yun bao bei,Leona,HHHoney
5470553338,win,Ranked Solo,2021-09-23 16:05:40,23m 14s,6,6,8,2.33:1,Double Kill,empty,Xin Zhao,Grandmaster,empty,Graves,KT Castle,Xin Zhao,ziyou,Sylas,놀이터여행자,Kai'Sa,bai si yyds,Amumu,R U RD XXX,Yone,Gen G Quid,Jarvan IV,oabco,Galio,퀸 세연,Lucian,zxckas0dk,Ekko,전서방 닭갈비
5469698542,win,Ranked Solo,2021-09-23 01:42:13,21m 30s,3,2,5,4.00:1,empty,empty,Jayce,Grandmaster,empty,Jayce,ziyou,Diana,Hengzzz,Yone,은가뉴,Heimerdinger,PhasedKiller,Amumu,곽곽보성,Aatrox,미소의눈동자,Qiyana,나는변신할것이다,Irelia,dustmqdyd12,Ziggs,DK ShowMaker,Rell,SHCH0
5460741607,win,Ranked Solo,2021-09-19 00:46:12,22m 31s,5,6,3,1.33:1,Double Kill,empty,Mordekaiser,Grandmaster,empty,Mordekaiser,ziyou,Graves,데아시두스이어링,Camille,이제는 웃고싶다,Kindred,아프리카 아라드,Amumu, 엘 림,Twisted Fate,CIoudburst,Talon,mnbvcxze,Jax,FA Decky,Twitch,irasu1,Maokai,Destiny
5460644077,win,Ranked Solo,2021-09-19 00:00:28,15m 54s,6,2,7,6.50:1,empty,empty,Talon,Grandmaster,empty,Aatrox,i am Decade,Rek'Sai,ScyIIa,Galio,happygameII,Lucian,Mangja,Nami,고등학생,Graves,load L92k8UEM6QZ,Talon,ziyou,Ryze,Hide on bush,Kai'Sa,little hamburger,Blitzcrank,치쯔스틱
5458487025,win,Ranked Solo,2021-09-18 03:27:55,19m 5s,2,4,2,1.00:1,empty,empty,Mordekaiser,Grandmaster,empty,Mordekaiser,ziyou,Rek'Sai,우울적울컥,Lee Sin,MIDKlNG,Aphelios,짐승 잡종 인간,Thresh,Let me sup,Yone,갱붕이,Zed,a little story,Fiora,A2ST,Syndra,항상배고픈코그모,Blitzcrank,SHCH0
5458512522,win,Ranked Solo,2021-09-18 02:47:14,20m 51s,10,2,8,9.00:1,MVP,empty,Lee Sin,Grandmaster,empty,Gnar,A2ST,Lee Sin,ziyou,Galio,Xiaohao9,Aphelios,항상배고픈코그모,Blitzcrank,Let me sup,Kennen,AASSH,Zed,a little story,Yone,갱붕이,Ezreal,심리 건들지마,Thresh,Shadow Winsome
5458396244,win,Ranked Solo,2021-09-18 01:50:27,15m 12s,9,0,11,Perfect,Double Kill,MVP,Ekko,Grandmaster,empty,Yone,갱붕이,Ekko,ziyou,Jayce,KT R TOP,Aphelios,유머1234,Braum,응애응애1212,Aatrox,DK Pullbae,Lee Sin,kaixin1dian,Akali,KT VicLa,Draven,BRO Hena,Leona,DWG Muru
5420917923,win,Ranked Solo,2021-08-29 01:54:56,36m 26s,6,7,9,2.14:1,empty,empty,Ekko,Challenger,empty,Jayce,Liiv Howling,Zac,Liiv OnFleek,Zed,Z2D04,Cassiopeia,DK Kingdom,Rakan,누쇤퍅,Viego,KT Ucal,Ekko,ziyou,Riven,사막낙타,Ziggs,항상배고픈코그모,Leona,Yi bing chao
5420950506,lose,Ranked Solo,2021-08-29 01:04:18,20m 12s,7,7,4,1.57:1,empty,empty,Lee Sin,Grandmaster,empty,Riven,사막낙타,Lee Sin,ziyou,LeBlanc,FATE,Jhin,lIlIIIIlIIIlIIII,Bard,Let me sup,Camille,AASSH,Ekko,Hengzzz,Irelia,huntiandi1,Ashe,으라차차으라차차,Braum,zxczcxzczcxzcczx
5420794531,win,Ranked Solo,2021-08-29 00:34:42,22m 12s,4,4,8,3.00:1,empty,empty,Jayce,Grandmaster,empty,Jayce,ziyou,Viego,mnbvcxze,Akali,00000000002,Ezreal,Secret,Rakan,Honpi,Lucian,사막낙타,Diana,Hengzzz,Yasuo,Fox B Mg,Aphelios,cxzqweasd,Trundle,woshissm
5419438572,win,Ranked Solo,2021-08-28 16:49:16,32m 0s,6,8,21,3.38:1,Double Kill,empty,Jarvan IV,Grandmaster,empty,Zilean,험악한분위기조성,Jarvan IV,ziyou,Galio,happygameII,Ezreal,어딘가좀아픈사람,Trundle,MNTNMNTNM,Camille,Saint Diana,Lee Sin,Zhuanxinzhizhi,Twisted Fate,xwbzgsjsd,Aphelios,chaojibaobeijojo,Leona,기므태이
5416469947,win,Ranked Solo,2021-08-27 00:48:52,20m 54s,10,1,8,18.00:1,MVP,empty,Lee Sin,Grandmaster,empty,Gangplank,윤용호,Viego,naiyoubaby,Azir,woshijty,Aphelios,jkjkjkjkk,Thresh,zxczcxzczcxzcczx,Sett,Liiv gyuvee,Lee Sin,ziyou,Orianna,K T,Jinx,deokdam,Lulu,q7mm
5412788759,win,Ranked Solo,2021-08-25 00:31:36,20m 25s,9,1,11,20.00:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Fiora,강의 듀오 제드팀,Lee Sin,ziyou,Zed,Z2D04,Aphelios,Gen G Envy,Rakan,qweiowqeo,Viego,Hakunaa Matata,Diana,Love dont stop,Tryndamere,Gengarnold,Jinx,이기고오쉽당,Braum,옆동산외계인
5411024771,lose,Ranked Solo,2021-08-24 02:48:56,22m 4s,8,4,7,3.75:1,ACE,empty,Viego,Challenger,empty,Irelia,fashion여자,Viego,ziyou,Zoe,디알엑스 제트,Ziggs,Hakunaa Matata,Pyke,JUGKlNG,Fiora,Big story,Lee Sin,Liiv Croco,Ryze,Indexy,Sivir,항상배고픈코그모,Rakan,Honpi
5403031835,win,Ranked Solo,2021-08-20 14:20:56,15m 14s,3,4,2,1.25:1,empty,empty,Diana,Grandmaster,empty,Lillia,FA Azhi,Diana,ziyou,Graves,a little story,Varus,항상배고픈코그모,Thresh,고등학생,Sett,But you,Viego,나는변신할것이다,Ryze,KT Dove,Sivir,shenzhenshaoye,Karma,심리 건들지마
5402582311,lose,Ranked Solo,2021-08-20 01:40:44,24m 32s,9,7,4,1.86:1,empty,empty,Diana,Challenger,empty,Gnar,Big story,Lee Sin,Fu4kTheworld,Katarina,분신컨트롤,Aphelios,이기고오쉽당,Braum,KT Way,Renekton,changguiiiiiiiii,Diana,ziyou,Graves,쭌 베,Ashe,Kle3,Thresh,Hermessss
