gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471683599,lose,Ranked Solo,2021-09-24 01:47:27,16m 8s,0,4,0,0.00:1,empty,empty,Sylas,Grandmaster,empty,Tryndamere,Turned to leave,Taric,DangerousBoy ady,LeBlanc,은정우,Lucian,pilotl0l,Nautilus,BigFour44,Camille,miemiemie,Lee Sin,ke bei,Sylas,La K game,Jhin,베인장인요맨,Karma,메이 츄르 좋아해
5471209097,win,Ranked Solo,2021-09-24 00:19:02,32m 39s,9,6,13,3.67:1,empty,empty,Jayce,Grandmaster,empty,Kennen,elole,Talon,리액션단돈만원 ,Cassiopeia,사막낙타,Lucian,kaixin1dian,Braum,Practice,Jayce,La K game,Kha'Zix,처피뱅 카와이,Qiyana,못할 때도 있지,Tristana,튀자튀자아,Rakan,BigFour44
5471167344,lose,Ranked Solo,2021-09-23 23:21:28,36m 32s,3,9,9,1.33:1,ACE,empty,Jayce,Grandmaster,empty,Malphite,04년생 원숭이띠,Kha'Zix,JD fans,Lulu,LunaLina,Aphelios,SPG BaeKHo,Pyke,bai si yyds,Jayce,La K game,Gragas,JustLikeThatKR,Syndra,DK Lucid,Samira,SnowFlow2r,Maokai,페퍼 파퍼
5471090099,win,Ranked Solo,2021-09-23 22:32:26,27m 49s,8,10,3,1.10:1,Double Kill,empty,Jayce,Grandmaster,empty,Jayce,La K game,Nidalee,hyc0505,Sylas,7777케이,Ezreal,BTS 아오미네,Leona,Myeong ln,Lee Sin,Roach,Jarvan IV,Jzzcjmzh,LeBlanc,CIozerr,Draven,매사에 긍정,Galio,Practice
5470993250,win,Ranked Solo,2021-09-23 21:50:21,21m 11s,10,2,2,6.00:1,Double Kill,MVP,Jax,Master,empty,Katarina,분신컨트롤,Hecarim,이 차가 식기전에,Camille,orah,Aphelios,ljyouxi,Anivia,douyu TV 9018814,Jax,La K game,Lee Sin,담미온 부대국밥,Zoe,CIozerr,Xayah,아 나이뜨,Blitzcrank,햄스터쳇바퀴인생
5470960765,win,Ranked Solo,2021-09-23 20:59:17,33m 1s,11,6,15,4.33:1,Double Kill,MVP,Gwen,Grandmaster,empty,Poppy,포동포동아기물개,Xin Zhao,3donghezecaoxian,LeBlanc,KT VicLa,Tristana,Betty9,Leona,Shadow Nia,Gwen,La K game,Lee Sin,a little story,Talon,화원 아기,Vayne,JJ0ng 묻었네,Bard,Purpo지니
5470610783,lose,Ranked Solo,2021-09-23 17:03:12,23m 20s,4,6,2,1.00:1,ACE,empty,Jayce,Grandmaster,empty,Jayce,La K game,Talon,nodfan,Galio,퀸 세연,Miss Fortune,강하다 별,Trundle,Yi bing chao,Gragas,거북이사건,Qiyana,byz,Corki,갱붕이,Draven,shenzhenshaoye,Thresh,Let me sup
5470546002,lose,Ranked Solo,2021-09-23 16:27:15,24m 12s,4,7,5,1.29:1,empty,empty,Fiora,Grandmaster,empty,Fiora,La K game,Nidalee,부산여행 떠나기,Qiyana,SanShengWanWu,Vayne,cer,Braum,응애응애1212,Kennen,oilf,Lee Sin,리액션단돈만원 ,Irelia,나도 행복하자,Kai'Sa,북극곰 아프다,Amumu,woshissm
5470523731,lose,Ranked Solo,2021-09-23 15:58:26,15m 29s,2,6,1,0.50:1,empty,empty,Irelia,Grandmaster,empty,Fiora,oilf,Talon,부산여행 떠나기,Sylas,CIozerr,Miss Fortune,고구마태풍,Alistar,cer,Tahm Kench,파나경,Viego,포동포동아기물개,Irelia,La K game,Ziggs,Imaokai,Amumu,woshissm
5470490009,win,Ranked Solo,2021-09-23 15:33:12,24m 8s,8,6,6,2.33:1,Double Kill,empty,Jayce,Master,empty,Fiora,ADNEW,Zac,02년생 자크,Tryndamere,KT R MID,Vayne,hao yun bao bei,Lulu,방서동주민,Jayce,La K game,Lee Sin,   rap zzx,Galio,퀸 세연,Ezreal,First time,Shen,안녕 연준아
5470436388,win,Ranked Solo,2021-09-23 14:52:33,15m 23s,1,5,3,0.80:1,empty,empty,Jayce,Grandmaster,empty,Irelia,울라프뿌삐워웍,Ekko,wuliaodexianshi,Pantheon,4초스크류,Tristana,Betty9,Karma,Ztzzz,Jayce,La K game,Karthus,데스노트,Yone,CIozerr,Jhin,전설이 될 남자,Amumu,kukuking
5470403700,win,Ranked Solo,2021-09-23 14:23:59,19m 31s,3,2,10,6.50:1,empty,empty,Amumu,Master,empty,Yone,O1dboy,Poppy,짜장시키신분1,Gragas,그라가스할래요,Lucian,q12,Amumu,La K game,Sylas,일단낳고봐,Talon,xccccccvb,Tryndamere,신연우,Kai'Sa,울라프뿌삐워웍,Blitzcrank,창우유
5469695171,win,Ranked Solo,2021-09-23 01:16:51,23m 53s,3,9,1,0.44:1,empty,empty,Fiora,Grandmaster,empty,Camille,JSJSJSJSJ,Nidalee,Love dont stop,Twisted Fate,a new beginn1ng,Lucian,sao ma do duoc,Braum,Slayder,Fiora,La K game,Lee Sin,리액션단돈만원 ,Sylas,갱값하는미드,Caitlyn,염대킹 사생팬,Leona,Hide on bush
5469649574,lose,Ranked Solo,2021-09-23 00:46:44,31m 19s,5,8,3,1.00:1,empty,empty,Jayce,Master,empty,Irelia,JSJSJSJSJ,Taliyah,늪에 빠지다1,Zed,Deadly,Miss Fortune,off Myself,Nautilus,yOshizZz,Jayce,La K game,Karthus,3donghezecaoxian,Yone,멸망의인도자,Samira,Ottogl,Rell,렐복치
5469630308,win,Ranked Solo,2021-09-22 23:59:00,38m 42s,3,15,10,0.87:1,empty,empty,Jayce,Grandmaster,empty,Jayce,La K game,Lee Sin,Co24,Kog'Maw,UMBBBBBBBBB,Lucian,Ottogl,Nami,잠수빈,Darius,hfubVHDVuAWVF ,Taliyah,늪에 빠지다1,Talon,hewon,Samira,애기야 안녕,Blitzcrank,김따코
5469435439,win,Ranked Solo,2021-09-22 22:26:17,21m 23s,7,5,4,2.20:1,Double Kill,empty,Camille,Grandmaster,empty,Camille,La K game,Lee Sin,20200902start,Poppy,수희0,Ziggs,BTS 아오미네,Maokai,Practice,Vayne,Youtube Hongcono,Zed,kaixin1dian,Sylas,46A,Ezreal,Kle3,Yuumi,요즘솔랭누가하냐
5469101454,lose,Ranked Solo,2021-09-22 19:41:45,22m 51s,3,5,2,1.00:1,empty,empty,Fiora,Master,empty,Gnar,초보강아지,Rek'Sai,싸움 기피증,Ryze,heisiwodezuiai,Lucian,hong he wo de,Rakan,Hakua,Fiora,La K game,Lee Sin,리액션단돈만원 ,Sylas,DoRun,Ezreal,haoyunba0bel,Amumu,yzwovo
5468600122,win,Ranked Solo,2021-09-22 17:45:30,15m 27s,8,1,3,11.00:1,Double Kill,MVP,Jax,Master,empty,Irelia,늙은 이은성,Nidalee,xccccccvb,Vayne,북극곰 아프다,Lucian,돼지와함께춤을a,Rell,콩이울어,Jax,La K game,Talon,haoye1,Fizz,파나경,Jinx,hong he wo de,Thresh,임녜준
5468271827,lose,Ranked Solo,2021-09-22 14:46:05,22m 11s,1,6,2,0.50:1,empty,empty,Gwen,Grandmaster,empty,Shen,무적별사탕,Zac,02년생 자크,Yone,heisiwodezuiai,Ziggs,천많정하,Blitzcrank,치쯔스틱,Jayce,공부하기시러요,Ekko,nnzc,Gwen,La K game,Kalista,조댁근1,Dr. Mundo,신순댕
5461860096,win,Ranked Solo,2021-09-19 17:08:18,16m 30s,4,3,4,2.67:1,empty,empty,Jax,Grandmaster,empty,Fiora,doleimepa,Sejuani,앤 쥐,Irelia,IRELKlNG,Miss Fortune,렝 가 본 좌,Leona,Happy Cats,Jax,La K game,Ekko,woshifeji,Qiyana,파나경,Lucian,BRO Loopy,Shen,쉔과나의연결고리
5460900564,win,Ranked Solo,2021-09-19 02:57:24,28m 35s,7,5,8,3.00:1,Double Kill,empty,Gwen,Master,empty,Gnar,팬텀팬피그,Kayn,6yt7hbu,Katarina,넝 꿀,Draven,카트라이더11,Amumu,왜나는안봐줘,Tahm Kench,노구현,Zed,켈 란,Gwen,La K game,Aphelios,유머1234,Maokai,오늘하루는어떨까
5460844298,lose,Ranked Solo,2021-09-19 02:03:34,24m 12s,1,7,1,0.29:1,empty,empty,Jayce,Grandmaster,empty,Jayce,La K game,Talon,nnzc,Orianna,1998zhg,Draven,Dgdb,Rakan,BigFour44,Lucian,wodesry,Nidalee,Q shen,Katarina,구글 롤 제드팀,Jhin,bai si yyds,Alistar,Cherry Bloss0m
5460685039,win,Ranked Solo,2021-09-19 01:06:51,28m 46s,11,4,6,4.25:1,Double Kill,MVP,Jayce,Master,empty,Jayce,La K game,Diana,EyaD,Vayne,물에 젖은 장작,Yasuo,Hide on bush,Zac,폭시역군,Heimerdinger,H28G Turret,Lee Sin,Ellyyy,Zoe,퀸 세연,Lucian,하 루 가절 반 ,Yuumi,qweiowqeo
5460625825,lose,Ranked Solo,2021-09-19 00:20:14,27m 26s,6,9,3,1.00:1,empty,empty,Camille,Grandmaster,empty,Sett,BMX1234,Lee Sin,예인이 귀여워,LeBlanc,Lee weon bin,Jinx,리그오브레전드ll,Yuumi,큐 지,Camille,La K game,Morgana,데스노트,Anivia,e dal,Ashe,DANKlNG,Lulu,wananpyh
5460478385,lose,Ranked Solo,2021-09-18 23:41:40,21m 24s,7,6,2,1.50:1,ACE,empty,Jax,Grandmaster,empty,Camille,이도류,Nidalee,Haru0304,Irelia,듀오 구글 제드팀,Twitch,irasu1,Rakan,Seize the day11,Jax,La K game,Zed,a little story,Sylas,이제는 웃고싶다,Kindred,아프리카 아라드,Amumu,호잇이
5460165764,win,Ranked Solo,2021-09-18 22:38:57,20m 20s,5,4,12,4.25:1,empty,empty,Jayce,Master,empty,Irelia,T1 Canna,Ekko,X46A,Lee Sin,langmanbusi,Samira,유머1234,Leona,long yan jing er,Jayce,La K game,Kindred,6yt7hbu,Galio,happygameII,Ezreal,DLRUQHWKK,Alistar,고등학생
5460026747,win,Ranked Solo,2021-09-18 21:52:40,16m 11s,8,3,2,3.33:1,empty,empty,Wukong,Grandmaster,empty,Wukong,La K game,Taliyah,롤듀오 코코팀,Yasuo,i am Decade,Miss Fortune,챌 봇 감,Lulu,의빈아열심히살자,Sett,우따따따따따뚜겐,Nidalee,3donghezecaoxian,Jayce,T1 Canna,Lucian,hong he wo de,Yuumi,Happy Cats
5459938478,win,Ranked Solo,2021-09-18 21:22:11,23m 43s,4,7,2,0.86:1,empty,empty,Jax,Master,empty,Tryndamere,fashion여자,Lee Sin,3donghezecaoxian,Ahri,장임박,Lucian,shangtougui,Soraka,리그오브레전드ll,Jax,La K game,Karthus,Makeri ta,Irelia,우따따따따따뚜겐,Jinx,little hamburger,Thresh,교잘도
5459828797,win,Ranked Solo,2021-09-18 20:40:01,30m 17s,7,11,5,1.09:1,empty,empty,Jayce,Master,empty,Gnar,민이나르,Skarner,젼 걀,Taliyah,AF BuLLDoG,Ezreal,shangtougui,Leona,long yan jing er,Jayce,La K game,Nidalee,Okazaki Tomoya,Viktor,전설이 될 남자,Lucian,adwlad,Trundle,콩알탄콩콩
5459524803,win,Ranked Solo,2021-09-18 17:05:50,16m 29s,4,4,5,2.25:1,empty,empty,Kennen,Grandmaster,empty,Jayce,FA Azhi,Xin Zhao,부산여행 떠나기,Kennen,La K game,Vayne,zszzz,Alistar,고등학생,Sylas,혜지명1,Jarvan IV,앤 쥐,Ryze,공부하기시러요,Samira,viperyusi,Amumu,woshissm
5459406630,lose,Ranked Solo,2021-09-18 16:37:15,30m 44s,4,11,6,0.91:1,empty,empty,Irelia,Grandmaster,empty,Fiora,wodesry,Zed,zszzz,Azir,피루엣,Lucian,참 몬났다,Amumu,blwy1,Malphite,Shadow Supreme,Talon,orah,Irelia,La K game,Kai'Sa,beican shenghuo,Sett,강하다 별
5459381284,win,Ranked Solo,2021-09-18 15:58:34,22m 9s,6,2,3,4.50:1,Double Kill,empty,Jayce,Grandmaster,empty,Wukong,wodesry,Karthus,beican shenghuo,Lucian,KT R MID,Aphelios,참 몬났다,Thresh,wananpyh,Jayce,La K game,Hecarim,분기충천등고자비,Zed,마이구밍사주세요,Ezreal,zszzz,Lulu,AD JJoon
5459146319,lose,Ranked Solo,2021-09-18 15:30:30,20m 44s,0,6,4,0.67:1,empty,empty,Camille,Master,empty,Gangplank,qiang,Kha'Zix,뱀의 머리1,Akshan,병아리크면수탉,Miss Fortune,숟호신,Leona,서폿 is DOGU,Camille,La K game,Ekko,X46A,Talon,조댁근1,Lucian,rekresreb,Soraka,질판승리공식즐빡
5458929232,lose,Ranked Solo,2021-09-18 14:55:05,28m 56s,5,7,3,1.14:1,empty,empty,Jayce,Master,empty,Jayce,La K game,Graves,장꾸유,Anivia,전 세 종,Lucian,구너상,Rakan,Liiv Utility,Jarvan IV,hybabe,Qiyana,level,Syndra,2005 07 06,Kog'Maw,shangtougui,Lulu,12시간닷지는못해
5458484193,win,Ranked Solo,2021-09-18 03:11:30,35m 42s,13,8,11,3.00:1,Triple Kill,empty,Jax,Master,empty,Jax,La K game,Lee Sin,장꾸유,Akshan,병아리크면수탉,Jhin,Gen G Rascal,Rakan,long yan jing er,Rumble,괴해신살권,Jarvan IV,mohuado,Twisted Fate,애달프다,Caitlyn,DLRUQHWKK,Morgana,초코땡이
5458437998,lose,Ranked Solo,2021-09-18 02:20:43,29m 43s,3,11,7,0.91:1,empty,empty,Jayce,Grandmaster,empty,Jayce,La K game,Lee Sin,초코땡이,Irelia,IRELKlNG,Twitch,메 피,Anivia,douyu TV 9018814,Kennen,Gen G Rascal,Taliyah,제드팀 하원,Sett,By 불비,Ezreal,어제보단잘하자,Maokai,SPG BaeKHo
5458442669,win,Ranked Solo,2021-09-18 01:44:12,28m 50s,4,7,6,1.43:1,empty,empty,Jayce,Master,empty,Jayce,La K game,Lillia,gfdgsr111,Qiyana,마음가짐이대단하,Lucian,말걸지마라18,Braum,I백년언약I,Kennen,현주입니다,Olaf,who do you love,Kayn,변하지 않아1   ,Kai'Sa,hong he wo de,Karma,qingsu fan
5458374843,lose,Ranked Solo,2021-09-18 01:04:51,28m 39s,9,8,2,1.38:1,Double Kill,ACE,Jayce,Master,empty,Jayce,La K game,Jarvan IV,경민 봉준 재걸 Again,Zoe,퀸 세연,Ashe,0p챔만하는사람,Yuumi,douyu TV 9018814,Kennen,Trisak,Lee Sin,제드팀 하원,Tryndamere,모두모두항복하길,Lucian,로이갓전용노예,Nami,레일리리
5458185967,win,Ranked Solo,2021-09-18 00:16:27,29m 12s,8,5,8,3.20:1,Double Kill,empty,Fiora,Grandmaster,empty,Fiora,La K game,Lee Sin,담미온 부대국밥,Azir,EIderwood Azir,Taliyah,레일리리,Thresh,PuIse,Darius,hfubVHDVuAWVF ,Ekko,jingshen qiang,Akshan,현주입니다,Jhin,전설이 될 남자,Blitzcrank,BJ서준석사생팬
