gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490361055,win,Ranked Solo,2021-10-04 06:53:30,25m 8s,16,5,4,4.00:1,Triple Kill,MVP,Camille,Master,empty,Karma,xDélared,Xin Zhao,HSFFFFFFFFFF,LeBlanc,Rip in Peace DFG,Jhin,PVE Kackis,Swain,BanChemtankShen,Camille,Thel1ttletiger,Lee Sin,WhiskyFace,Twisted Fate,LGBTQJPGMD,Ezreal,DeCypher1,Janna,set free
5490284761,win,Ranked Solo,2021-10-04 06:18:37,29m 24s,6,9,8,1.56:1,Double Kill,empty,Jayce,Master,empty,Jayce,Thel1ttletiger,Jarvan IV,something 2 lose,Orianna,huge performanz ,Ziggs,Viper sama,Yuumi,Frode,Tahm Kench,tbh just kill me,Kayn,Scroody,Twisted Fate,Cart00nCharacter,Miss Fortune,efiL,Amumu,Nezuko san
5490300959,win,Ranked Solo,2021-10-04 05:42:34,15m 38s,2,2,1,1.50:1,empty,empty,Gnar,Master,empty,Gnar,Thel1ttletiger,Lee Sin,PVE Kackis,Cassiopeia,Sτoπεd Snαke,Jinx,2021Worlds0171,Pyke,Traypo,Urgot,LFT Dunks,Nidalee,lövhögen,Kassadin,GOOßA,Miss Fortune,efiL,Lulu,TwTvDuoAbuse
5490204917,lose,Ranked Solo,2021-10-04 05:20:55,28m 27s,6,7,6,1.71:1,ACE,empty,Aatrox,Master,empty,Aatrox,Thel1ttletiger,Lee Sin,Karzzy11,Draven,KH Komandata,Ziggs,FLIP FliiZee,Pyke,Death From Blow,Darius,Gustav Fischer,Taliyah,Chelouche,Urgot,UrgoIncognito,Twitch,TwTvDuoAbuse,Lulu,Luck is my Waifu
5490089823,lose,Ranked Solo,2021-10-04 04:43:39,21m 17s,1,14,2,0.21:1,empty,empty,Jayce,Master,empty,Lucian,LNGLNGLNG,Lee Sin,Cambodian Ranger,Cho'Gath,Glourmand,Kai'Sa,FLIP FliiZee,Rakan,Broeki,Jayce,Thel1ttletiger,Gragas,Squid Player 456,Tryndamere,KH Komandata,Miss Fortune,FtNx SanPan,Leona,Luck is my Waifu
5490131432,win,Ranked Solo,2021-10-04 04:15:14,29m 0s,16,3,13,9.67:1,Quadra Kill,MVP,Gwen,Master,empty,Katarina,EU Katarina Gosu,Poppy,LDNU Dunlosi,Jax,shoemaker1,Jhin,FLIP FliiZee,Rakan,PropaPandah,Gwen,Thel1ttletiger,Elise,Win or Valhalla,Tryndamere,KH Komandata,Lucian,Gwendy Stacy,Thresh,BayMax Bard
5489401256,lose,Ranked Solo,2021-10-03 23:59:17,24m 30s,2,4,1,0.75:1,empty,empty,Gwen,Master,empty,Gwen,Thel1ttletiger,Rek'Sai,380V Jung ,Sylas,play for me orFF,Miss Fortune,141414ADADAD,Zilean,Retourkutsche,Gnar,NOV4 FreeParking,Fiddlesticks,kirei smurfer,Zed,TwTv PROJECT BZ,Tristana,AD723,Sett,Motleyy Crew
5489246629,lose,Ranked Solo,2021-10-03 23:28:54,26m 9s,5,6,8,2.17:1,ACE,empty,Jayce,Master,empty,Jayce,Thel1ttletiger,Diana,Dandom1,Xin Zhao,play for me orFF,Kai'Sa,Ukranian,Amumu,QTKT,Irelia,Beeeeen voyons,Kayn,erased jgl,Seraphine,AD723,Vayne,Moeless,Sett,Motleyy Crew
5488916855,win,Ranked Solo,2021-10-03 19:32:19,15m 37s,5,4,3,2.00:1,empty,empty,Irelia,Master,empty,Irelia,Thel1ttletiger,Lee Sin,Tigazz,Vex,A41G Ryoshi,Miss Fortune,Adison997,Rakan,Eyhro,Yone,TSIPER,Morgana,Scroody,Jayce,Raven2,Jhin,Arktoso,Lulu,oli5993
5488923766,lose,Ranked Solo,2021-10-03 19:08:18,15m 22s,4,6,0,0.67:1,ACE,empty,Gwen,Master,empty,Shen,klovn,Lillia,Scroody,Irelia,Chφvy,Miss Fortune,Adison997,Yuumi,2021Worlds0076,Gwen,Thel1ttletiger,Kayn,Tigazz,Tryndamere,Harbo,Kindred,CampBotOrOpen,Rakan,Deffaren
