gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5456312148,lose,Ranked Solo,2021-09-17 01:52:03,21m 47s,4,4,0,1.00:1,empty,empty,Fiora,Grandmaster,empty,Kennen,DK Ira,Lee Sin,Ellyyy,Yone,KT VicLa,Aphelios,cheoni22,Gragas,jingshen qiang,Fiora,no talk game,Graves,Co24,Sylas,시간의 숲,Ashe,짜앙 혐오자,Thresh,거북이사건
5456239548,lose,Ranked Solo,2021-09-17 01:24:12,15m 15s,0,2,0,0.00:1,empty,empty,Camille,Grandmaster,empty,Kennen,DK Ira,Olaf,DK Leaf,Talon,시간의 숲,Lucian,짜앙 혐오자,Zyra,1998zhg,Camille,no talk game,Xin Zhao,미드 사용법12,Galio,happygameII,Aphelios,jingshen qiang,Thresh,T1 Minous
5456244012,lose,Ranked Solo,2021-09-17 00:56:36,30m 26s,4,7,7,1.57:1,empty,empty,Jayce,Master,empty,Lucian,사막낙타,Taliyah,EDG XIAMU,Graves,끼릭끼리릭,Ziggs,bai si yyds,Amumu,xiaoqiupup,Jayce,no talk game,Nidalee,3donghezecaoxian,Yasuo,검색 구글 제드팀,Tryndamere,502 Error,Gragas,Hide on bush
5456138519,win,Ranked Solo,2021-09-17 00:14:51,23m 33s,11,6,4,2.50:1,Double Kill,empty,Sylas,Master,empty,Irelia,강하다 별,Graves,EDG XIAMU,Sylas,no talk game,Ziggs,bai si yyds,Karma,변화하다,Jayce,hai cha de yuan,Talon,Cuzz,Akali,백색말처럼,Draven,kwqejksad,Nami,레일리리
5456131092,win,Ranked Solo,2021-09-16 23:40:46,27m 50s,6,6,7,2.17:1,Double Kill,empty,Camille,Master,empty,Fiora,huntiandi1,Zed,EDG XIAMU,Fizz,BJ서준석사생팬,Kai'Sa,bai si yyds,Sett,hai cha de yuan,Camille,no talk game,Ekko,미북이,Irelia,Qufl,Xayah,kwqejksad,Shen,독기품기
5456072381,lose,Ranked Solo,2021-09-16 23:00:46,31m 12s,2,6,4,1.00:1,empty,empty,Sylas,Grandmaster,empty,Gwen,애넨차피이해못해,Xin Zhao,BRO Chieftain,Zoe,BRO Yaharong,Ezreal,고구마태풍,Trundle,끼릭끼리릭,Graves,A2ST,Talon,나는변신할것이다,Sylas,no talk game,Xayah,글썽글썽태윤,Amumu,DFM GAENG
5424825434,win,Ranked Solo,2021-08-30 23:57:15,27m 17s,13,4,4,4.25:1,Triple Kill,empty,Fiora,Grandmaster,empty,Gnar,BRO Hena,Ekko,wu guan feng yue,Irelia,디알엑스 제트,Varus,DK Kingdom,Qiyana,HLE Bautt,Fiora,no talk game,Nidalee,GOODBOYBD,Viktor,JustLikeThatKR,Jhin,pingwozhijiedian,Rakan,우주방패
5424657701,lose,Ranked Solo,2021-08-30 23:23:26,39m 21s,5,8,5,1.25:1,Double Kill,empty,Gwen,Grandmaster,empty,Jayce,FA Azhi,Lee Sin,미드조지기,Pantheon,광팔햄,Syndra,가민준,Maokai,woshishui,Gwen,no talk game,Gragas,Haru0304,Talon,Naehyun,Draven,BRO Hena,Trundle,SnowFlow2r
5424640624,win,Ranked Solo,2021-08-30 22:32:38,24m 35s,8,4,3,2.75:1,empty,empty,Camille,Grandmaster,empty,Camille,no talk game,Nidalee,woshifeji,Talon,애달프다,Vayne,qkfzlfl,Braum,Let me sup,Tryndamere,화창한날맑은구름,Graves,BRO Jin0,Galio,NEED HER,Ashe,zzzzussss,Bard,lure heart
5424443023,lose,Ranked Solo,2021-08-30 21:55:14,19m 59s,0,4,1,0.25:1,empty,empty,Jax,Grandmaster,empty,Graves,BRO TaNa,Viego, 엘 림,Zoe,DK Pullbae,Caitlyn,누쇤퍅,Braum,Let me sup,Jax,no talk game,Lee Sin,Score11,Katarina,분신컨트롤,Aphelios,BRO Hena,Trundle,Hermessss
5422980782,win,Ranked Solo,2021-08-30 00:01:13,34m 3s,7,10,9,1.60:1,Double Kill,empty,Camille,Grandmaster,empty,Camille,no talk game,Poppy,화창한날맑은구름,Renekton,KT VicLa,Cassiopeia,DK Kingdom,Blitzcrank,06 05 19,Jax,i am Decade,Gragas,FA Azhi,Yasuo,은가뉴,Aphelios,한 여름의 서리,Rakan,Yi bing chao
5422822056,win,Ranked Solo,2021-08-29 23:03:44,27m 16s,4,4,7,2.75:1,empty,empty,Renekton,Grandmaster,empty,Kennen,갱붕이,Viego,1Conor McGregor2,Zed,Z2D04,Ezreal,BRO Hena,Bard,Let me sup,Tryndamere,Tryndamere777,Ekko,난 워낙 노빠꾸라,Renekton,no talk game,Vel'Koz,DRX1234,Trundle,krole
5422696152,win,Ranked Solo,2021-08-29 22:27:47,26m 4s,10,7,9,2.71:1,Double Kill,empty,Jax,Grandmaster,empty,Renekton,i am Decade,Nidalee,정현심,Zed,전설이 될 남자,Kai'Sa,Saebyuck,Poppy,광팔햄,Jax,no talk game,Diana,juil,Yasuo,은가뉴,Jhin,a1da2d,Bard,언젠가만나게되는
5422677067,win,Ranked Solo,2021-08-29 21:49:15,23m 33s,4,5,4,1.60:1,empty,empty,Jayce,Grandmaster,empty,Jayce,no talk game,Volibear,SPG BaeKHo,Sylas,나는 준일하다,Aphelios,whisper snow,Poppy,심리 건들지마,Gragas,1Conor McGregor2,Trundle,DK Kingdom,LeBlanc,00000000002,Kalista,T1 Gumayusi,Rakan,누쇤퍅
5422589130,lose,Ranked Solo,2021-08-29 21:20:47,27m 16s,6,5,1,1.40:1,empty,empty,Fiora,Grandmaster,empty,Quinn,발러야 밥먹자,Lee Sin,DK Lucid,Camille,넘어진 심슨,Ziggs,실패따위,Bard,Let me sup,Fiora,no talk game,Nidalee,HLE Willer,Pantheon,05프로하고싶어요,Varus,Asaka1,Poppy,광팔햄
5422550026,win,Ranked Solo,2021-08-29 20:39:20,29m 17s,3,6,6,1.50:1,empty,empty,Jayce,Grandmaster,empty,Quinn,발러야 밥먹자,Nidalee,HLE Willer,Zoe,혜지명1,Varus,돼지와함께춤을a,Braum,whisper snow,Jayce,no talk game,Rumble,Zhuanxinzhizhi,Camille,넘어진 심슨,Jhin,홀플레인,Thresh,HLE Bautt
5422056566,lose,Ranked Solo,2021-08-29 17:32:27,18m 7s,4,3,3,2.33:1,empty,empty,Camille,Grandmaster,empty,Camille,no talk game,Nidalee,Zhuanxinzhizhi,Lee Sin,사랑이 하고싶어,Varus,ruanruantuan,Blitzcrank,BJ서준석사생팬,Talon,에 넥,Lillia,Liiv Croco,Fiora,Fox B Osu,Aphelios,wodex1nhaoleng,Leona,다없수질
5421757543,lose,Ranked Solo,2021-08-29 16:56:19,31m 39s,11,9,7,2.00:1,ACE,empty,Jayce,Grandmaster,empty,Wukong,h ke pa,Ekko,타 잔,Irelia,Permaban10555153,Varus,SPG BaeKHo,Gragas,four year,Jayce,no talk game,Zac,현주입니다,Talon,에 넥,Syndra,ruanruantuan,Alistar,원 할수
5421646481,win,Ranked Solo,2021-08-29 15:54:10,19m 18s,9,3,4,4.33:1,Triple Kill,empty,Fiora,Grandmaster,empty,Renekton,공부하기시러요,Trundle,Liiv OnFleek,Zed,Z2D04,Aphelios,BSM 문효준,Thresh,krole,Sion,Fox B Mg,Zac,역시폭군,Fiora,no talk game,Jhin,고구마태풍,Leona,xoxooxoxooox
