gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490133636,win,Ranked Solo,2021-10-04 04:19:32,21m 40s,12,1,3,15.00:1,Double Kill,MVP,Sylas,Master,empty,Graves,Headache Man,Lee Sin,sako meile gydo,Zoe,Harbo,Lucian,Glαssy Sky,Rakan,S10 l R1,Olaf,El Monkito Vroum,Hecarim,Doaenel Hecarim,Sylas,byeeeeeee,Kai'Sa,Adison997,Alistar,QQ Pawelek6
5489377882,lose,Ranked Solo,2021-10-04 00:38:54,27m 39s,7,6,3,1.67:1,empty,empty,Lucian,Master,empty,Gnar,Marcin Lebuda,Ekko,bleeding jng acc,Katarina,Itz Dagger,Draven,the hood Jcll,Rell,T de Tochas,Sett,NG Dawn,Nidalee,woman steam ship,Vel'Koz,Dym le Chagrin,Lucian,byeeeeeee,Alistar,PINW KAFE
5488637594,win,Ranked Solo,2021-10-03 09:48:21,23m 59s,7,8,10,2.13:1,empty,empty,Irelia,Master,empty,Darius,AngryBros,Zed,Egirls Favorite,Irelia,byeeeeeee,Miss Fortune,2021Worlds0150,Swain,DJ SWAGPANTS,Fiora,Mädchen,Shaco,SLARDAR KINGDOM,Tryndamere,Genius Monster,Kalista,ROAR IvanDrago,Sylas,kalp sparzmı
5488585632,lose,Ranked Solo,2021-10-03 09:15:53,30m 54s,11,5,7,3.60:1,ACE,empty,Kog'Maw,Master,empty,Jayce,leavemeaIone2,Ekko,SLARDAR KINGDOM,Sylas,Genius Monster,Lucian,LDNU Aklass,Nami,Ramona Flowers,Aatrox,Mädchen,Hecarim,Doaenel Hecarim,Kog'Maw,byeeeeeee,Kai'Sa,kalp sparzmı,Rakan,ACKERMÁN
5488569293,win,Ranked Solo,2021-10-03 08:35:21,37m 9s,13,8,12,3.13:1,Double Kill,MVP,Kog'Maw,Master,empty,Fiora,Mädchen,Nidalee,Let it go Elsa,Ziggs,Traypo,Tristana,2021Worlds0076,Amumu,ACKERMÁN,Azir,2021Worlds0113,Rek'Sai,Hero of Ferelden,Kog'Maw,byeeeeeee,Draven,Black Sabbath,Leona,Dean v3
5488574331,win,Ranked Solo,2021-10-03 07:51:52,26m 46s,9,6,5,2.33:1,empty,empty,Yone,Master,empty,Fiora,Thel1ttletiger,Lee Sin,1v9wheneveriwąnt,Sylas,Demon Pun1sher,Lucian,2021Worlds0171,Nami,ACKERMÁN,Jayce,Headache Man,Taliyah,S11Tian,Yone,byeeeeeee,Aphelios,dzc,Lulu,Kandoomagic
5488562017,win,Ranked Solo,2021-10-03 07:14:53,15m 24s,5,3,0,1.67:1,Double Kill,MVP,Irelia,Master,empty,Camille,superbigfun,Lillia,NinaAnnaJenny,Irelia,byeeeeeee,Kai'Sa,pretty thoughts1,Amumu,wow cold,Sylas,unzebeel2,Nidalee, Terrºr,Yasuo,HörAufZuFeeden,Tristana,Màrtîn Dérèk,Fiora,Headache Man
5488064183,win,Ranked Solo,2021-10-03 02:09:42,34m 29s,7,5,19,5.20:1,empty,empty,Galio,Master,empty,Tahm Kench,ZY REVOKAISER ,Qiyana,potatoporcupine1,Galio,byeeeeeee,Lucian,sign me already,Braum,GREATSUPPORT,Graves,Chop Water,Kindred,I Flame in Morse,Akali,Trtgfg,Aphelios,3lix,Soraka,FG Nyah
5487909825,win,Ranked Solo,2021-10-03 01:17:22,22m 54s,10,2,8,9.00:1,MVP,empty,Sylas,Master,empty,Volibear,TEAM Bladeshow,Fiddlesticks,SakisOAplitos,Viktor,ELF Valin,Vayne,Zeniν,Amumu,Jojonet,Irelia,SUPERCONDUCTOR53,Lee Sin,Szef Krzysztof,Sylas,byeeeeeee,Kai'Sa,ZY Zelda,Pyke,Brøøk
5487313337,win,Ranked Solo,2021-10-02 11:04:18,19m 40s,5,3,7,4.00:1,Double Kill,empty,Taliyah,Diamond 1,empty,Sylas,Maged2,Rengar,LEGALLY INSANE,Syndra,knv2,Aphelios,Manne123,Karma,Lok Hei,Aatrox,Bene Gesserìt,Qiyana,kimchi2,Taliyah,byeeeeeee,Ezreal,jisu jiangping,Thresh,qwerasdfzxcbvcxz
