gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5475568180,win,Ranked Solo,2021-09-25 20:42:57,15m 37s,12,1,1,13.00:1,Double Kill,MVP,Sylas,Grandmaster,empty,Fiora,Saturday Mornlng,Taliyah,2 C U Again,Lucian,bompu,Miss Fortune,cer,Amumu,wndus,Jax,77GameZting,Talon,KT R JGL,Sylas,기차나나나나,Kai'Sa,Ottogl,Leona,Shadow Nia
5475487521,win,Ranked Solo,2021-09-25 20:05:53,23m 48s,3,6,4,1.17:1,empty,empty,Irelia,Grandmaster,empty,Gangplank,huya lang D,Nidalee,Spongebbob,Irelia,기차나나나나,Aphelios,참 몬났다,Leona,placeb0,Sett,수희0,Karthus,xinsheng426,Jayce,화창한날맑은구름,Lucian,it calls echoes,Braum,Cherry Bloss0m
5475177430,win,Ranked Solo,2021-09-25 19:23:17,33m 30s,8,6,12,3.33:1,Double Kill,MVP,Vi,Grandmaster,empty,Sejuani,초보강아지,Taliyah,담미온 부대국밥,Vi,기차나나나나,Sett,Cherry Bloss0m,Senna,응애응애1212,Dr. Mundo,DangerousBoy ady,Poppy,Iove poppy,Vex,커피물조절장인,Miss Fortune,소년가장 원딜,Leona,placeb0
5473279487,win,Ranked Solo,2021-09-24 23:13:32,20m 52s,4,4,8,3.00:1,empty,empty,Vi,Grandmaster,empty,Fiora,Fiora,Nunu & Willump,2780491374142752,Vi,기차나나나나,Lucian,pilotl0l,Pyke,bai si yyds,Sett,거북이사건,Lillia,ke bei,Ahri,1998zhg,Draven,JJ0ng 묻었네,Blitzcrank,치쯔스틱
5473219229,win,Ranked Solo,2021-09-24 22:38:32,25m 17s,5,3,9,4.67:1,empty,empty,Vi,Grandmaster,empty,Karma,로se,Taliyah,2 C U Again,Vi,기차나나나나,Aphelios,Ottogl,Thresh,Cherry Bloss0m,Kennen,커피물조절장인,Kayn,앤 쥐,Syndra,갱값하는미드,Lucian,KT R ADC,Braum,Slayder
5472274102,lose,Ranked Solo,2021-09-24 16:46:26,15m 11s,0,4,0,0.00:1,empty,empty,Irelia,Master,empty,Kennen,miemiemie,Kayn,u cant die,Zoe,7777케이,Lucian,Ottogl,Yuumi,안녕 연준아,Jayce,97byg,Taliyah,213435,Irelia,기차나나나나,Ezreal,zszzz,Nami,Mocha
5469607799,lose,Ranked Solo,2021-09-23 00:26:25,24m 8s,1,11,2,0.27:1,empty,empty,Sylas,Grandmaster,empty,Jax,xccccccvb,Lee Sin,싸움 기피증,Sylas,기차나나나나,Kai'Sa,화창한날맑은구름,Alistar,팡탈리,Sejuani,이도류,Qiyana,kaixin1dian,LeBlanc,Fisherr,Ezreal,RiHoo,Amumu,공부하기시러요
5469559117,lose,Ranked Solo,2021-09-22 23:48:59,33m 59s,6,2,6,6.00:1,Double Kill,empty,Syndra,Grandmaster,empty,Taric,DangerousBoy ady,Shyvana,a new beginn1ng,Qiyana,새콤달콤 하 다,Syndra,기차나나나나,Alistar,김은지전용노예,Jayce,fashion여자,Zac,부산여행 떠나기,Tryndamere,Slowly Song,Jinx,wu tiao jian,Trundle,리액션단돈만원 
5469504034,lose,Ranked Solo,2021-09-22 23:07:42,21m 8s,1,9,8,1.00:1,empty,empty,Lucian,Master,empty,Darius,hfubVHDVuAWVF ,Ekko,who do you love,Irelia,병아리크면수탉,Lucian,기차나나나나,Taric,Cherry Bloss0m,Gragas,DangerousBoy ady,Graves,fashion여자,Galio,badqwer,Draven,애기야 안녕,Braum,4 10 UP
5469478203,win,Ranked Solo,2021-09-22 22:39:56,19m 9s,6,2,1,3.50:1,empty,empty,Sylas,Master,empty,Graves,fashion여자,Poppy,DangerousBoy ady,Zoe,강아지도 좋아,Vayne,cer,Taric,짜요짜요먹고싶어,Irelia,Saint Diana,Nidalee,EDG XIAMU,Sylas,기차나나나나,Yasuo,은가뉴,Rakan,호두두
5467302606,win,Ranked Solo,2021-09-22 00:48:37,23m 6s,8,2,7,7.50:1,Double Kill,MVP,LeBlanc,Master,empty,Camille,박박 나나 짜짜,Ekko,wetfan,Yone,현주입니다,Samira,애기야 안녕,Sett,1128321,Jax,guocuofans,Poppy,Iove poppy,LeBlanc,기차나나나나,Vayne,해강고 원딜,Maokai,Quiero ganar
5467146534,win,Ranked Solo,2021-09-22 00:10:37,24m 45s,8,4,7,3.75:1,Double Kill,empty,Lucian,Grandmaster,empty,Gnar,BJ갈배,Xin Zhao,DWG Bubbling,Graves,TOP KINGDOM,Samira,향 깃,Maokai,Dnehraw,Jayce,공부하기시러요,Zed,fashion여자,Lulu,LunaLina,Lucian,기차나나나나,Soraka,메 피
