gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5463019969,win,Ranked Solo,2021-09-20 01:28:17,24m 41s,9,4,8,4.25:1,Double Kill,MVP,Graves,Grandmaster,empty,Darius,하고싶은챔함,Poppy,Iove poppy,Ekko,파나경,Ezreal,짐승 잡종 인간,Bard,Let me sup,Fiora,h ke pa,Diana,끼릭끼리릭,Graves,Burdoll,Miss Fortune,depart,Jarvan IV,김밥오이빼고
5462324992,win,Ranked Solo,2021-09-19 21:32:28,18m 43s,2,2,3,2.50:1,empty,empty,Kennen,Grandmaster,empty,Fiora,h ke pa,Shaco,이젠 안질게,Sylas,ke bei,Draven,jkjkjkjkk,Leona,Danrenguiz,Kennen,Burdoll,Graves,이러다 다 D져,Irelia,Hide on bush,Ziggs,메 피,Amumu,일산전영찬
5462238369,win,Ranked Solo,2021-09-19 21:05:03,23m 9s,3,8,4,0.88:1,empty,empty,Gnar,Grandmaster,empty,Gnar,Burdoll,Taliyah, 엘 림,Yasuo,은가뉴,Draven,jkjkjkjkk,Gragas,옆동산외계인,Pantheon,FA Decky,Talon,JUGKlNG,Lucian,20200902start,Ziggs,사랑하지 않아,Leona,freeze5
5462183673,win,Ranked Solo,2021-09-19 20:37:17,26m 12s,11,4,6,4.25:1,Double Kill,empty,Jayce,Grandmaster,empty,Jayce,Burdoll,Nidalee,     la ji game,Sylas,미북이,Kai'Sa,irasu1,Pantheon,xhr,Gnar,BJ갈배,Zed,나는변신할것이다,LeBlanc,BRO Yaharong,Ezreal,항상배고픈코그모,Lulu,사랑이 하고싶어
5462076550,win,Ranked Solo,2021-09-19 19:40:36,12m 32s,6,1,1,7.00:1,empty,empty,Kennen,Grandmaster,empty,Kennen,Burdoll,Nidalee,산속의 토끼,Tryndamere,갱붕이,Draven,T1 Gumayusi,Maokai,BRO Delight,Jax,FA Decky,Lee Sin,JUGKlNG,Anivia,douyu TV 9018814,Kai'Sa,이기고오쉽당,Talon,20200902start
5460865504,lose,Ranked Solo,2021-09-19 03:50:16,30m 13s,3,11,0,0.27:1,empty,empty,Graves,Grandmaster,empty,Graves,Burdoll,Ekko,Xiaohao9,LeBlanc,Shadow FA 03,Kai'Sa,zxcsazxcazdz,Maokai,오늘하루는어떨까,Camille,gyuvee,Taliyah,heisiwodezuiai,Zed,디알엑스 제트,Lucian,viper3,Nami,옆동산외계인
5460845096,win,Ranked Solo,2021-09-19 02:03:54,18m 36s,8,2,9,8.50:1,Double Kill,empty,Jayce,Grandmaster,empty,Jayce,Burdoll,Nidalee,Makeri ta,Xerath,03 프로가능할까,Yone,Hide on bush,Galio,BRO Delight,Rumble,재간동실이,Rek'Sai,우울적울컥,Ryze,단군의청춘부재,Kindred,아프리카 아라드,Anivia,douyu TV 9018814
5459670450,lose,Ranked Solo,2021-09-18 18:32:32,16m 29s,1,5,1,0.40:1,ACE,empty,Jayce,Grandmaster,empty,Malphite,애넨차피이해못해,Rek'Sai,우울적울컥,LeBlanc,Naehyun,Lucian,아이린,Blitzcrank,concesslon,Jayce,Burdoll,Qiyana,a little story,Ryze,미북이,Varus,irasu1,Leona,fuzhu carry
5454713555,lose,Ranked Solo,2021-09-16 02:11:12,38m 27s,8,10,8,1.60:1,empty,empty,Irelia,Grandmaster,empty,Irelia,Burdoll,Rek'Sai,우울적울컥,Ryze,짐승 잡종 인간,Varus,튀자튀자아,Karma,Let me sup,Jayce,아크샨밴의 신,Lee Sin,나는변신할것이다,Malzahar,미북이,Lucian,qhwkdlru,Lulu,DFM GAENG
5454669258,win,Ranked Solo,2021-09-16 01:26:41,24m 21s,5,2,6,5.50:1,Double Kill,MVP,Gnar,Grandmaster,empty,Gnar,Burdoll,Xin Zhao,나는변신할것이다,Zilean,Let me sup,Lucian,qhwkdlru,Nami,알레산드로 델,Lee Sin,Hakunaa Matata,Graves,N0T Angry,Sylas,미북이,Aphelios,어딘가좀아픈사람,Lulu,심리 건들지마
