gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476153446,lose,Ranked Solo,2021-09-26 00:40:17,25m 56s,2,10,2,0.40:1,empty,empty,Mordekaiser,Grandmaster,empty,Mordekaiser,Gen G Burdol,Viego,리액션단돈만원 ,Yone,LSB Winter,Kai'Sa,hong he wo de,Sett,전서방 닭갈비,Ornn,권 지 인,Qiyana,Cuzz,Galio,퀸 세연,Yasuo,구글 검색 제드팀,Rell,MNTNMNTNM
5471781257,lose,Ranked Solo,2021-09-24 03:36:04,26m 35s,8,10,2,1.00:1,empty,empty,Mordekaiser,Grandmaster,empty,Mordekaiser,Gen G Burdol,Talon,2 C U Again,Lulu,LunaLina,Kindred,Twitch아라드,Nami,레일리리,Fiora,77GameZting,Rumble,Sutkressuree,Vi,자장면잠봉당수육,Draven,누쇤퍅,Blitzcrank,치쯔스틱
5471670780,win,Ranked Solo,2021-09-24 01:34:15,30m 27s,7,5,9,3.20:1,Double Kill,empty,Jayce,Challenger,empty,Jayce,Gen G Burdol,Karthus,아크샨밴의 신,Yasuo,Gen G Quid,Miss Fortune,DK Kingdom,Thresh,Let me sup,Gragas,FA Decky,Zac,T1 Ellim,Irelia,자장면잠봉당수육,Lucian,하 루 가절 반 ,Maokai,Destiny
5469797682,lose,Ranked Solo,2021-09-23 03:37:49,25m 6s,3,7,1,0.57:1,empty,empty,Vladimir,Grandmaster,empty,Fiora,ke bei,Qiyana,a little story,Vladimir,Gen G Burdol,Ziggs,나는변신할것이다,Trundle,EatDIE EATdie,Riven,오동1,Zac,역시폭군,Diana,who is niuma,Yasuo,viper3,Gragas,옆동산외계인
5469873470,win,Ranked Solo,2021-09-23 02:45:40,23m 44s,2,4,6,2.00:1,empty,empty,Sylas,Grandmaster,empty,Gragas,거북이사건,Viego,아크샨밴의 신,Twisted Fate,CIoudburst,Varus,튀자튀자아,Nami,심리 건들지마,Kennen,ke bei,Lee Sin,DRX1234,Sylas,Gen G Burdol,Lucian,viper3,Yuumi,EatDIE EATdie
5469729696,lose,Ranked Solo,2021-09-23 02:05:46,30m 43s,7,8,4,1.38:1,Double Kill,empty,Camille,Challenger,empty,Camille,Gen G Burdol,Xin Zhao,아크샨밴의 신,Zoe,거북이사건,Kalista,Gen G Ruler,Thresh,Practice,Kennen,깨달음을얻은남자,Karthus,엔 햐,Zed,ZED99,Ziggs,항상배고픈코그모,Trundle,Yi bing chao
5469765408,win,Ranked Solo,2021-09-23 01:29:50,29m 7s,6,6,7,2.17:1,empty,empty,Akali,Grandmaster,empty,Akali,Gen G Burdol,Jarvan IV,06 05 19,Pantheon,못할 때도 있지,Miss Fortune,길고먼여행지,Leona,BigFour44,Renekton,FA Decky,Hecarim,데아시두스이어링,Twisted Fate,CIoudburst,Ezreal,어제보단잘하자,Nami,심리 건들지마
5469742687,lose,Ranked Solo,2021-09-23 00:52:37,15m 39s,2,5,1,0.60:1,empty,empty,Jayce,Grandmaster,empty,Sejuani,이도류,Lee Sin, 엘 림,LeBlanc,은정우,Miss Fortune,길고먼여행지,Qiyana,못할 때도 있지,Jayce,Gen G Burdol,Viego,일산전영찬,Nunu & Willump,팀개못하면누누함,Aphelios,리얼쿠쿠루쿠쿠쿸,Amumu,심리 건들지마
5469678648,win,Ranked Solo,2021-09-23 00:27:55,15m 54s,6,1,3,9.00:1,Double Kill,empty,Camille,Grandmaster,empty,Camille,Gen G Burdol,Graves,N0T Angry,Ryze,단군의청춘부재,Caitlyn,길고먼여행지,Thresh,Shadow Winsome,Jax,MIDKlNG,Diana,나는변신할것이다,Qiyana,못할 때도 있지,Aphelios,hao yun bao bei,Karma,곽곽보성
5468147947,lose,Ranked Solo,2021-09-22 14:21:54,20m 38s,1,7,2,0.43:1,empty,empty,Mordekaiser,Grandmaster,empty,Riven,Azhy,Lee Sin,우울적울컥,Anivia,MIDKlNG,Ziggs,듀오강의코코팀,Leona,L1sure,Mordekaiser,Gen G Burdol,Graves,Love dont stop,Lulu,LunaLina,Lucian,JJ0ng 묻었네,Braum,호잇이
5468112871,win,Ranked Solo,2021-09-22 13:52:25,26m 9s,3,6,4,1.17:1,empty,empty,Mordekaiser,Grandmaster,empty,Mordekaiser,Gen G Burdol,Lee Sin,우울적울컥,Irelia,디알엑스 제트,Ziggs,듀오강의코코팀,Karma,썬더드래곤,Fiora,h ke pa,Qiyana,아크샨밴의 신,Kassadin,LunaLina,Cassiopeia,킬러톱,Amumu,젠지 영재
5467500479,win,Ranked Solo,2021-09-22 02:38:19,28m 3s,9,8,10,2.38:1,Double Kill,empty,Jayce,Grandmaster,empty,Zoe,거북이사건,Zed,곽곽보성,Zac,언니우기,Jinx,애기야 안녕,Zilean,SnowFlow2r,Jayce,Gen G Burdol,Jarvan IV,으라차차으라차차,Ryze,Trisak,Ezreal,메 피,Anivia,douyu TV 9018814
5467274193,lose,Ranked Solo,2021-09-22 00:57:04,28m 10s,6,6,3,1.50:1,empty,empty,Camille,Grandmaster,empty,Camille,Gen G Burdol,Xin Zhao,00000000002,Twisted Fate,Hakunaa Matata,Jhin,Gen G Ruler,Alistar,Bvoyy,Jayce,나는변신할것이다,Ekko,CITRU5,Qiyana,못할 때도 있지,Lucian,irasu1,Karma,곽곽보성
5467183373,win,Ranked Solo,2021-09-22 00:07:13,30m 57s,7,8,4,1.38:1,Double Kill,empty,Jayce,Grandmaster,empty,Kennen,깨달음을얻은남자,Taliyah,제드팀 하원,Yone,우으으어어엉,Miss Fortune,AF AiRu,Nami,곽곽보성,Jayce,Gen G Burdol,Lillia,누쇤퍅,Ryze,디알엑스 제트,Lucian,Gen G Ruler,Amumu,3donghezecaoxian
5467066056,lose,Ranked Solo,2021-09-21 23:19:56,15m 39s,0,5,0,0.00:1,empty,empty,Kennen,Grandmaster,empty,Kennen,Gen G Burdol,Talon,디알엑스 제트,LeBlanc,Sutkressuree,Ashe,bai si yyds,Braum,xiaoqiupup,Malphite,BJ갈배,Lee Sin,06 05 19,Katarina,Emilia tan,Varus,원딜연습중입니닷,Karma,곽곽보성
5467051470,win,Ranked Solo,2021-09-21 22:56:19,15m 33s,6,3,1,2.33:1,Double Kill,MVP,Jayce,Grandmaster,empty,Jayce,Gen G Burdol,Lee Sin,06 05 19,Ryze,디알엑스 제트,Aphelios,zszzz,Thresh,xiaoqiupup,Gnar,BJ갈배,Rek'Sai,FA Young JG,LeBlanc,Sutkressuree,Kai'Sa,bai si yyds,Gragas,곽곽보성
5466982233,lose,Ranked Solo,2021-09-21 22:27:13,23m 35s,0,4,1,0.25:1,empty,empty,Kennen,Grandmaster,empty,Kennen,Gen G Burdol,Zed,a little story,LeBlanc,BRO Yaharong,Miss Fortune,리명준의 개,Blitzcrank,irasu1,Jayce,dustmqdyd12,Karthus,멘탈하난좋아 ,Lucian,디알엑스 제트,Cassiopeia,K T,Amumu,옆동산외계인
5466835875,win,Ranked Solo,2021-09-21 21:55:27,16m 21s,6,3,1,2.33:1,empty,empty,Camille,Grandmaster,empty,Irelia,Saint Diana,Graves,ke bei,LeBlanc,디알엑스 제트,Varus,Gen G Ruler,Alistar,깨달음을얻은남자,Camille,Gen G Burdol,Lee Sin,Weasely,Ekko,하 루 가절 반 ,Lucian,viper3,Karma,옆동산외계인
5466760988,win,Ranked Solo,2021-09-21 21:29:23,21m 18s,4,6,4,1.33:1,Double Kill,empty,Camille,Grandmaster,empty,Fiora,ke bei,Taliyah,나는변신할것이다,Zed,Z2D04,Aphelios,Gen G Ruler,Karma,AASSH,Camille,Gen G Burdol,Nidalee,젠지 영재,Sylas,godyaos,Ashe,아이린,Lulu,L1sure
5466435163,lose,Ranked Solo,2021-09-21 20:34:39,29m 43s,2,10,4,0.60:1,empty,empty,Jayce,Grandmaster,empty,Sett,Tangyuando,Diana,Love dont stop,Yasuo,구글 검색 제드팀,Kai'Sa,Imaokai,Galio,페퍼 파퍼,Jayce,Gen G Burdol,Xin Zhao,우울적울컥,Kassadin,LunaLina,Ezreal,푹 쉬면서 해요 ,Alistar,선생님 맛없어요
5460262878,win,Ranked Solo,2021-09-18 22:32:52,24m 12s,10,5,5,3.00:1,Double Kill,empty,Jayce,Grandmaster,empty,Quinn,Fiora,Ekko,끼릭끼리릭,Irelia,Qufl,Ezreal,Kimwinter,Karma,BRO Delight,Jayce,Gen G Burdol,Nidalee,Love dont stop,Tryndamere,FA Decky,Vayne,이기고오쉽당,Bard,Destiny
5459978859,lose,Ranked Solo,2021-09-18 21:59:56,15m 43s,1,2,0,0.50:1,ACE,empty,Gnar,Grandmaster,empty,Riven,Hakunaa Matata,Nidalee,kaixin1dian,Irelia,Qufl,Draven,T1 Gumayusi,Leona,Yi bing chao,Gnar,Gen G Burdol,Lillia,Love dont stop,Graves,ke bei,Kai'Sa,tulufan,Thresh,Destiny
5459387125,lose,Ranked Solo,2021-09-18 16:31:50,23m 30s,1,7,1,0.29:1,empty,empty,Gragas,Grandmaster,empty,Kennen,Trisak,Rek'Sai,dangyadangyadang,Yone,LSB DDahyuk,Draven,BRO Hena,Amumu,옆동산외계인,Gragas,Gen G Burdol,Lee Sin,kaixin1dian,Sylas,몽키 D 짱구,Ezreal,한 여름의 서리,Lulu,레넥톤의 우람한
5459340067,win,Ranked Solo,2021-09-18 15:52:37,26m 41s,9,4,6,3.75:1,Double Kill,empty,Kennen,Grandmaster,empty,Graves,애넨차피이해못해,Nidalee,dangyadangyadang,Yone,LSB DDahyuk,Lucian,42141321,Zilean,Gen G Khael,Kennen,Gen G Burdol,Zed,옆동산외계인,Akshan,놀이터여행자,Ezreal,tnedifnoc syawla,Rakan,awsdrfgyhjik
5458875461,lose,Ranked Solo,2021-09-18 13:18:54,26m 18s,5,7,7,1.71:1,ACE,empty,Gnar,Grandmaster,empty,Vayne,beican shenghuo,Lee Sin,KT R JGL,Zed,Jerrya,Ziggs,폭탄치우기,Alistar,Saebyuck,Gnar,Gen G Burdol,Karthus,킬러톱,Ryze,우따따따따따뚜겐,Lucian,a1da2d,Sett,critique
5458478123,lose,Ranked Solo,2021-09-18 02:15:46,20m 20s,6,6,3,1.50:1,ACE,empty,Gnar,Grandmaster,empty,Rumble,모두모두항복하걸,Lee Sin,a little story,Yone,자장면잠봉당수육,Kalista,Gen G Ruler,Gragas,BRO Delight,Gnar,Gen G Burdol,Nidalee,hai cha de yuan,Kennen,갱붕이,Miss Fortune,항상배고픈코그모,Pantheon,xhr
5458474032,win,Ranked Solo,2021-09-18 01:50:28,24m 20s,7,5,4,2.20:1,Double Kill,empty,Jayce,Challenger,empty,Graves,AASSH,Talon,xhr,Twisted Fate,CIoudburst,Ezreal,항상배고픈코그모,Sylas,BRO Delight,Jayce,Gen G Burdol,Gragas,우울적울컥,Tryndamere,DK ShowMaker,Kindred,아라드,Rakan,우주방패
5458309749,win,Ranked Solo,2021-09-18 01:19:51,22m 21s,3,2,6,4.50:1,empty,empty,Ornn,Grandmaster,empty,Ornn,Gen G Burdol,Lee Sin,BRO Chieftain,Sylas,애달프다,Jinx,어제보단잘하자,Thresh,Destiny,Kennen,fa 01 top,Diana,xhr,Irelia,IRELKlNG,Samira,Imaokai,Amumu,fuzhu carry
5458292768,win,Ranked Solo,2021-09-18 00:43:22,20m 24s,8,3,6,4.67:1,MVP,empty,Jayce,Grandmaster,empty,Jayce,Gen G Burdol,Viego,wodesry,Lissandra,Shadow FA 03,Vayne,메 피,Leona,Quiero ganar,Gnar,BJ갈배,Diana,irasu1,Sylas,SanShengWanWu,Yasuo,Pz ZZang,Gragas,Let me sup
5456370010,win,Ranked Solo,2021-09-17 01:42:21,24m 45s,17,3,5,7.33:1,Triple Kill,MVP,Gnar,Grandmaster,empty,Gnar,Gen G Burdol,Jarvan IV,우울적울컥,Corki,MIDKlNG,Lucian,이기고오쉽당,Trundle,EatDIE EATdie,Irelia,어리고싶다,Lee Sin,irasu1,Sylas,BRO Yaharong,Caitlyn,Gen G Ruler,Rakan,알레산드로 델
5456275029,lose,Ranked Solo,2021-09-17 01:08:20,32m 5s,5,12,4,0.75:1,empty,empty,Camille,Challenger,empty,Camille,Gen G Burdol,Poppy,난 워낙 노빠꾸라,Zoe,BRO Yaharong,Ezreal,Gen G Ruler,Lulu,독기품기,Fiora,DRX1234,Jarvan IV,우울적울컥,Yone,갱붕이,Kog'Maw,아크샨밴의 신,Karma,타락파워조이
5456230227,win,Ranked Solo,2021-09-17 00:24:20,23m 6s,2,6,9,1.83:1,empty,empty,Jayce,Grandmaster,empty,Irelia,Trisak,Nidalee,nodfan,Lissandra,CIozerr,Jinx,RiHoo,Nami,HLE Bautt,Jayce,Gen G Burdol,Graves,T1 Roach,Sylas,자장면잠봉당수육,Varus,하 루 가절 반 ,LeBlanc,Daiskii
5456145977,lose,Ranked Solo,2021-09-16 23:53:29,15m 39s,0,7,1,0.14:1,empty,empty,Jayce,Grandmaster,empty,Pantheon,nodfan,Taliyah,이러다 다 D져,Jayce,Gen G Burdol,Lucian,irasu1,Galio,xiaoqiupup,Graves,T1 Roach,Talon,아크샨밴의 신,Ryze,Fox B Mg,Vayne,이기고오쉽당,Amumu,fuzhu carry
5456180041,lose,Ranked Solo,2021-09-16 23:31:25,22m 33s,3,6,2,0.83:1,Double Kill,empty,Gangplank,Challenger,empty,Gangplank,Gen G Burdol,Taliyah,이러다 다 D져,LeBlanc,213435,Varus,튀자튀자아,Rakan,fuzhu carry,Poppy,칼과 창 방패,Jarvan IV,jingshen qiang,Lissandra,BRO Yaharong,Lucian,irasu1,Amumu,DFM GAENG
5455984666,win,ARAM,2021-09-16 22:07:31,20m 7s,6,13,16,1.69:1,Double Kill,empty,Azir,empty,empty,Vayne,단두대맛좀볼래,Jarvan IV,풍란진,Shaco,Gen G Clid,Azir,Gen G Burdol,Katarina,호도르,Soraka,봉림고아원,Aphelios,세체봇기웅,Zed,딜러조무사입니다,Ashe,이거이름뭐임,Morgana,qazwsxedc1rfvtgb
5455249569,lose,Ranked Solo,2021-09-16 18:22:00,20m 19s,1,6,3,0.67:1,empty,empty,Gangplank,Grandmaster,empty,Lulu,서창훈,Nidalee,Haru0304,Pantheon,광팔햄,Ezreal,엉덩국 갱승제로,Leona,짜장시키신분1,Gangplank,Gen G Burdol,Lee Sin,늪에 빠지다1,Sylas,미소녀우진,Lucian,But you,Thresh,1v2or1v3
5455187036,lose,Ranked Solo,2021-09-16 16:50:51,27m 20s,5,8,3,1.00:1,Double Kill,empty,Gnar,Grandmaster,empty,Gnar,Gen G Burdol,Nidalee,GOODBOYBD,Lucian,Gen G Quid,Ashe,AF Le5,Braum,Let me sup,Camille,Saint Diana,Taliyah,hai cha de yuan,Graves,Hengzzz,Draven,viper3,Rakan,SPG BaeKHo
5455113814,lose,Ranked Solo,2021-09-16 16:09:04,24m 53s,0,9,2,0.22:1,empty,empty,Gnar,Challenger,empty,Gnar,Gen G Burdol,Lee Sin,Gen G Peyz,Orianna,Gen G Quid,Ezreal,길고먼여행지,Leona,DK Ira,Camille,ke bei,Rumble,xhr,Twisted Fate,DRX1234,Caitlyn,사랑하지 않아,Morgana,SPG BaeKHo
5455078566,win,Ranked Solo,2021-09-16 15:34:18,32m 39s,15,4,9,6.00:1,Double Kill,empty,Jayce,Challenger,empty,Jayce,Gen G Burdol,Rek'Sai,젠지 영재,Sylas,Hakunaa Matata,Lucian,qhwkdlru,Gragas,BRO Delight,Fiora,Kimwinter,Nidalee,nodfan,Irelia,Gen G Quid,Kalista,Gen G Peyz,Neeko,정훈이의 모험
5455085927,win,Ranked Solo,2021-09-16 14:54:32,20m 32s,1,2,8,4.50:1,empty,empty,Gnar,Challenger,empty,Gangplank,DK Ira,Lee Sin,젠지 영재,LeBlanc,Gen G Quid,Kalista,Gen G Peyz,Rell,정훈이의 모험,Gnar,Gen G Burdol,Viego,미드조지기,Kassadin,LunaLina,Lucian,BRO Hena,Alistar,Shadow Winsome
5453828220,win,Ranked Solo,2021-09-15 20:17:21,21m 31s,12,2,4,8.00:1,Double Kill,MVP,Jayce,Grandmaster,empty,Jayce,Gen G Burdol,Karthus,Ellyyy,Graves,디알엑스 제트,Ezreal,짐승 짭종 인간,Yuumi,T1 Zeus,Gnar,BJ갈배,Lillia,로이갓전용노예,Yone,피자호팡,Lucian,항상배고픈코그모,Nami,BRO Delight
5453901605,win,Ranked Solo,2021-09-15 19:45:25,27m 24s,9,4,9,4.50:1,Double Kill,MVP,Kennen,Grandmaster,empty,Kennen,Gen G Burdol,Lee Sin,3donghezecaoxian,Riven,순뀨박,Ziggs,Gen G Ruler,Sett,난 워낙 노빠꾸라,Jayce,T1 Zeus,Lillia,로이갓전용노예,Irelia,AF Keine,Ezreal,JJ0ng 묻었네,Amumu,zzzzussss
5453551371,win,Ranked Solo,2021-09-15 15:10:23,19m 48s,3,6,6,1.50:1,empty,empty,Kennen,Challenger,empty,Kennen,Gen G Burdol,Talon,자장면잠봉당수육,Yone,나는 준일하다,Draven,jkjkjkjkk,Rakan,awsdrfgyhjik,Irelia,용호야,Qiyana,T1 Zeus,Taliyah,Gen G Quid,Kai'Sa,글썽글썽태윤,Gragas,BRO Delight
5453468946,win,Ranked Solo,2021-09-15 14:42:56,16m 3s,2,0,3,Perfect,empty,empty,Kennen,Challenger,empty,Lissandra,자장면잠봉당수육,Lee Sin,xhr,Kennen,Gen G Burdol,Draven,jkjkjkjkk,Nautilus,BRO Jeong Hoon,Quinn,카사돌,Qiyana,KT Ucal,LeBlanc,Gen G Quid,Miss Fortune,almond bon bon,Sett,BRO Delight
5453476063,lose,Ranked Solo,2021-09-15 14:15:30,22m 30s,3,8,4,0.88:1,empty,empty,Gangplank,Grandmaster,empty,Gangplank,Gen G Burdol,Nidalee,젠지 영재,Ryze,따봉 람머스,Miss Fortune,폭탄치우기,Alistar,MNTNMNTNM,Renekton,DWG Bubbling,Ekko,싸움 기피증,Lucian,BRO Hena,Samira,아이러니,Rell,Lehends
