gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490348644,win,Ranked Solo,2021-10-04 07:49:24,23m 8s,9,5,3,2.40:1,Double Kill,empty,Jax,Master,empty,Jax,Kimchi warrior1,Viego,IIIlIllIIIllIll,Yone,BabaGandalf,Karthus,the super noob,Amumu,woshidoinb,Camille,Wu Guan Fèng Yuè,Kayn,erased jgl,LeBlanc,Maxlore,Lucian,mol4at doma,Sett,2021Worlds0173
5490363071,win,Ranked Solo,2021-10-04 07:16:19,32m 32s,8,4,7,3.75:1,Double Kill,empty,Jax,Master,empty,Wukong,Yuujin1,Qiyana,Sawyorr,Karthus,C9 Veigar,Miss Fortune,TOPSHOTTA99,Braum,Keria fanboy acc,Jax,Kimchi warrior1,Nocturne,Cambodian Ranger,Zoe,CannonMinion4u,Kai'Sa,141414ADADAD,Leona,ACKERMÁN
5490268207,win,Ranked Solo,2021-10-04 06:38:39,31m 14s,4,11,6,0.91:1,empty,empty,Jayce,Master,empty,Jayce,Kimchi warrior1,Jarvan IV,piesek dawida,Ekko,erased jgl,Varus,ToasterM8,Bard,divočákos,Tryndamere,5454545454,Viego,Cambodian Ranger,Ryze,NOV4 FreeParking,Draven,DIGESTHUMANFLESH,Nami,LMAO OmulFinn
5489949681,win,Ranked Solo,2021-10-04 03:47:47,25m 13s,5,7,15,2.86:1,Double Kill,empty,Camille,Master,empty,Kennen,ZONGO LE DOZØ,Talon,tempsjgjlgslchok,Zoe,KaTUNSKyTEwffxoj,Tristana,reje XD,Yuumi,do me wrong,Camille,Kimchi warrior1,Qiyana,DUALIPAadfhgkdgk,Sylas,fastFF,Draven,SWENZUUUUUUUUUUU,Soraka,Adison997
5489952859,lose,Ranked Solo,2021-10-04 03:15:20,32m 20s,2,8,6,1.00:1,empty,empty,Jax,Master,empty,Jax,Kimchi warrior1,Wukong,Rreivax,Lissandra,Tigazz,Draven,SWENZUUUUUUUUUUU,Pyke,AST RotteBengi,Kennen,ZONGO LE DOZØ,Kayn,DUALIPAadfhgkdgk,Talon,jiaVX PaoPaoPW,Tristana,reje XD,Xerath,play for me orFF
5489776010,win,Ranked Solo,2021-10-04 02:25:07,21m 34s,2,6,5,1.17:1,empty,empty,Jayce,Master,empty,Dr. Mundo,Beartree,Xin Zhao,jarda jagr,Irelia,TAMAAAAAAAAAAA,Karthus,efiL,Janna,brKm,Jayce,Kimchi warrior1,Evelynn,Lοvelorn,Tryndamere,5454545454,Lucian,11Lunari Weapons,Nami,Efias
5489530087,lose,Ranked Solo,2021-10-04 01:57:32,34m 22s,1,13,8,0.69:1,empty,empty,Kennen,Master,empty,Jarvan IV,ZONGO LE DOZØ,Lee Sin,Viper sama,Zoe,VEG Keysie,Karthus,efiL,Nami,Jake Eppińg,Kennen,Kimchi warrior1,Kha'Zix,VictimOfBotDif,Graves,11235,Draven,Black Sabbath,Xerath,Soy TURBOGAY
5489265364,lose,Ranked Solo,2021-10-03 23:25:34,28m 3s,5,12,4,0.75:1,empty,empty,Gangplank,Master,empty,Gangplank,Kimchi warrior1,Master Yi,Shére khán,Twisted Fate,NOV4 FreeParking,Lucian,141414ADADAD,Zilean,Retourkutsche,Irelia,Raven2,Rengar,ADCImpregnator,Yone,EllamCompany,Brand,stuck in low,Nami,LP ADDICTED
5488915320,lose,Ranked Solo,2021-10-03 19:45:27,43m 16s,7,13,15,1.69:1,empty,empty,Jax,Master,empty,Jax,Kimchi warrior1,Lee Sin,επιμονή,Ekko,Serendrip,Lucian,141414ADADAD,Amumu,divočákos,Kennen,Firefl0wer,Kha'Zix,LMAO OmulFinn,Ryze,give me mid ok,Miss Fortune,HRN Totosse,Blitzcrank,Fabrik Linus 
5488691324,win,Ranked Solo,2021-10-03 10:35:58,24m 23s,2,9,6,0.89:1,empty,empty,Camille,Master,empty,Mordekaiser,Stumpyyy,Jarvan IV,vvaena,Vex,Chamana1,Ezreal,dzc,Sylas,BotIsLavaPathTop,Camille,Kimchi warrior1,Taliyah,BOXDEL NAURA,Galio,MCES Artoria,Miss Fortune,nrmn,Amumu,Dying To Heal
5488609902,win,Ranked Solo,2021-10-03 10:03:06,14m 12s,3,1,1,4.00:1,empty,empty,Jayce,Master,empty,Fiora,Davitzon,Evelynn,NHWK,Ekko,Akugyo,Draven,Boycott s11,Rakan,UFF LordSteve,Irelia,Karzzy11,Talon,otkachalka681,Jayce,Kimchi warrior1,Ezreal,StephenChe,Karma,Sharkked
5488598355,win,Ranked Solo,2021-10-03 09:44:07,21m 54s,13,3,1,4.67:1,Triple Kill,MVP,Jax,Master,empty,Jax,Kimchi warrior1,Lee Sin,BARYON Aegis,Rumble,boli mnie głowa,Aphelios,11235,Thresh,Jamsu,Tahm Kench,LittIe Trouble,Rengar,sako meile gydo,Sylas,SOU LINDOO,Kai'Sa,StephenChe,Leona,PLS SAVE ME PLS
5488586249,lose,Ranked Solo,2021-10-03 09:14:30,21m 28s,2,7,1,0.43:1,empty,empty,Jax,Master,empty,Sett,LittIe Trouble,Kayn,2021Worlds0113,Syndra,sajatoruu,Jhin,Cast,Amumu,Mr Tickle,Jax,Kimchi warrior1,Graves,2021Worlds0000,Vex,RKT Maςaquiñø,Cassiopeia,Sτoπεd Snαke,Yuumi,BotIsLavaPathTop
5488610466,lose,Ranked Solo,2021-10-03 08:38:06,41m 59s,10,11,6,1.45:1,Triple Kill,empty,Graves,Master,empty,Graves,Kimchi warrior1,Lee Sin,Chaoxiang JJ,Ziggs,HRN Totosse,Ezreal,RED 7itaN ,Amumu,robloxmaciek,Singed,Let me fling you,Viego,Cedeiix,Zoe,Pakk,Miss Fortune,CREØN,Lux,Shubber
5488565303,win,Ranked Solo,2021-10-03 07:50:58,25m 56s,1,8,9,1.25:1,empty,empty,Gangplank,Grandmaster,empty,Gangplank,Kimchi warrior1,Talon,SL0WDEATH,Sylas,ég jojopyun,Ezreal,FB Neramin1,Yuumi,Roulette,Nasus,maciej wartak,Gragas,357159,Yasuo,Tοαst,Lucian,EZY Blackrog,Nami,7B Senceless
5488531107,lose,Ranked Solo,2021-10-03 07:17:18,27m 21s,4,13,6,0.77:1,empty,empty,Gangplank,Master,empty,Gangplank,Kimchi warrior1,Lee Sin,WeS Trizzy,Katarina,Lianhuaboy77,Aphelios,dzc,Amumu,ACKERMÁN,Sett,Not nexo rdy,Talon,tempsjgjlgslchok,Zed,S11Tian,Ezreal,StephenChe,Yuumi,Heimskáut réfur
5488418094,win,Ranked Solo,2021-10-03 06:42:21,17m 39s,8,1,4,12.00:1,Double Kill,MVP,Jax,Master,empty,Jax,Kimchi warrior1,Nidalee, Terrºr,Soraka,F tier supp,Yone,agdang,Thresh,Kasing 1,Zoe,Viikingr,Lee Sin,Łéonard,Kennen,ZONGO LE DOZØ,Akshan,Röyhkeä,Nautilus,Thomas Fäte
5487995252,lose,Ranked Solo,2021-10-03 01:46:29,16m 7s,2,3,1,1.00:1,ACE,empty,Kennen,Master,empty,Irelia,1ST atilgancocuk,Hecarim,Doaenel Hecarim,Kennen,Kimchi warrior1,Aphelios,Mytnat,Sylas,BotIsLavaPathTop,Sett,Firefl0wer,Lee Sin,Frαnk Castle,Xerath,Chouineur 1,Miss Fortune,141414ADADAD,Soraka,High Øn Life
5487889370,win,Ranked Solo,2021-10-03 01:24:20,36m 40s,9,16,17,1.63:1,Double Kill,empty,Gangplank,Master,empty,Gangplank,Kimchi warrior1,Gragas,jarda jagr,Yasuo,BROHAN AND SEKKI,Ezreal,SirAaron,Amumu,robloxmaciek,Renekton,Firefl0wer,Taliyah,Frαnk Castle,Cassiopeia,Sτoπεd Snαke,Lucian,141414ADADAD,Rakan,BotIsLavaPathTop
5487577509,win,Ranked Solo,2021-10-02 20:03:35,19m 13s,7,3,5,4.00:1,empty,empty,Jax,Master,empty,Irelia,ArcaneTeddy,Talon,Sel Improve,LeBlanc,SAe Relative,Ashe,antusheng,Thresh,IZI Nolan,Jax,Kimchi warrior1,Zed,TrL Zedophile,Twisted Fate,FrostSize,Ezreal,ATL JuJuTw0,Soraka,MitschMan
5486373360,lose,Ranked Solo,2021-10-02 02:51:20,20m 0s,1,4,2,0.75:1,empty,empty,Mordekaiser,Master,empty,Mordekaiser,Kimchi warrior1,Olaf,yellowskin devil,Zed,qLighTn1nGp,Jinx,Mistil,Pyke,roodkopje,Kled,Dyoll,Poppy,Dandom1,Ryze,HeIsinki,Draven,TwTv daudr9,Amumu,dL smooth
5486314039,lose,Ranked Solo,2021-10-02 02:01:29,22m 49s,6,3,3,3.00:1,ACE,empty,Mordekaiser,Master,empty,Mordekaiser,Kimchi warrior1,Viego,Shadowraze,Corki,Its Me InDeed,Miss Fortune,i abuse ie ,Leona,Ben Cristovao,Jax,FIX SOL0Q,Ekko,egefitness1,Tryndamere,AΙan,Samira,Yami Sukehiro,Amumu,Taewang
5485946583,win,Ranked Solo,2021-10-01 22:04:04,26m 46s,7,8,6,1.63:1,Double Kill,empty,Sylas,Master,empty,Sylas,Kimchi warrior1,Rek'Sai,panties sniƒfer,Diana,Kamus,Draven,i abuse ie ,Nami,I love Latinas,Kennen,Nusss,Viego,ChatDisabler97,Twisted Fate,Con161,Miss Fortune,GROS FIAK MIAM,Janna,iDekap
