gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469828064,win,Ranked Solo,2021-09-23 03:50:54,21m 8s,7,4,14,5.25:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Ornn,Savage,Lee Sin,Gen G Clid,Sylas,Slowly Song,Lucian,짐승 잡종 인간,Karma,로이갓전용노예,Gnar,BJ갈배,Nidalee,난 무조건 잘 돼,Irelia,Aileri,Yasuo,검색 구글 제드팀,Gragas,wodesry
5469710490,lose,Ranked Solo,2021-09-23 00:47:39,26m 18s,5,4,3,2.00:1,ACE,empty,Xin Zhao,Grandmaster,empty,Kennen,간다라쿤다,Xin Zhao,Gen G Clid,Sylas,피자호팡,Varus,SPG BaeKHo,Maokai,Practice,Cassiopeia,DK Kingdom,Talon,L1sure,Irelia,미북이,Kai'Sa,이기고오쉽당,Trundle,전서방 닭갈비
5469685476,win,Ranked Solo,2021-09-23 00:14:07,20m 41s,9,3,13,7.33:1,Double Kill,empty,Taliyah,Grandmaster,empty,Tryndamere,Tryndamere777,Lee Sin,06 05 19,Yone,피자호팡,Jhin,원딜은무기력하다,Camille,호잇이,Pantheon,BJ갈배,Taliyah,Gen G Clid,Graves,blwy1,Miss Fortune,viper3,Amumu,fuzhu carry
5469510475,win,Ranked Solo,2021-09-22 23:06:07,36m 22s,19,4,15,8.50:1,Triple Kill,MVP,Lee Sin,Grandmaster,empty,Riven,오동1,Taliyah,T1 Ellim,Yone,사랑이 하고싶어,Lucian,DK Kingdom,Nami,심리 건들지마,Jarvan IV,ke bei,Lee Sin,Gen G Clid,Ryze,이기고오쉽당,Kai'Sa,숟뀨락,Blitzcrank,곽곽보성
5469463215,lose,Ranked Solo,2021-09-22 22:17:16,21m 12s,3,1,2,5.00:1,Double Kill,ACE,Graves,Grandmaster,empty,Lulu,ADD on win,Graves,Gen G Clid,Galio,lIIlIIIIIllIIII,Xayah,아이린,Rakan,Yi bing chao,Kennen,fa 01 top,Zac,xiao adc,Zed,ZED99,Vayne,이기고오쉽당,Nami,곽곽보성
5468554279,lose,Ranked Solo,2021-09-22 17:35:39,32m 34s,11,5,18,5.80:1,Triple Kill,ACE,Lee Sin,Grandmaster,empty,Sylas,wodesry,Lee Sin,Gen G Clid,Galio,몽키 D 짱구,Miss Fortune,shenzhenshaoye,Seraphine,옆동산외계인,Fiora,fa 01 top,Lillia,L1sure,Graves,미북이,Lucian,viper3,Rakan,DFM GAENG
5468454036,lose,ARAM,2021-09-22 16:29:34,17m 49s,2,12,2,0.33:1,empty,empty,Akali,empty,empty,Jax,피 오,Jinx,엔마 구독자,Akali,Gen G Clid,Katarina,제발낙지,Veigar,모두모두항복하길,Jhin,허  겸,Orianna,칼바람 게이커,Ornn,개꿀맛사카린,LeBlanc,울산 탑신병자,Varus,재이밍 팍
5468334982,lose,Ranked Solo,2021-09-22 16:06:01,32m 55s,3,7,5,1.14:1,empty,empty,Talon,Grandmaster,empty,Jayce,모두모두항복하길,Talon,Gen G Clid,LeBlanc,sakuradog,Samira,향 깃,Rell,DFM GAENG,Camille,LSB DDahyuk,Graves,이러다 다 D져,Twisted Fate,으 하하 맛 있 어,Kai'Sa,pingwozhijiedian,Galio,Let me sup
5467409504,win,Ranked Solo,2021-09-22 02:24:43,22m 13s,2,1,12,14.00:1,empty,empty,Rakan,Grandmaster,empty,Tryndamere,wodesry,Nidalee,일산전영찬,Yasuo,검색 구글 제드팀,Ziggs,듀오강의코코팀,Rakan,Gen G Clid,Shen,06 05 19,Kha'Zix,처피뱅 카와이,Lucian,항상배고픈코그모,Kai'Sa,rekresreb,Amumu,EatDIE EATdie
5467410655,lose,Ranked Solo,2021-09-22 01:55:21,3m 17s,0,0,0,0.00:1,empty,empty,Yone,Grandmaster,empty,Yone,Gen G Clid,Graves,으라차차으라차차,Anivia,douyu TV 9018814,Miss Fortune,듀오강의코코팀,Gragas,거북이사건,Yasuo,검색 구글 제드팀,Lee Sin,일산전영찬,Heimerdinger,PhasedKiller,Tryndamere,wodesry,Karma,곽곽보성
5467275325,win,Ranked Solo,2021-09-22 01:02:50,28m 20s,13,8,8,2.63:1,Double Kill,empty,Sylas,Grandmaster,empty,Shen,BRO Hena,Jarvan IV,06 05 19,Sylas,Gen G Clid,Aphelios,HHHoney,Thresh,Destiny,Lillia,ke bei,Olaf,포식자,Zed,a little story,Kai'Sa,아이린,Gragas,BRO Delight
5467188681,lose,Ranked Solo,2021-09-22 00:27:22,26m 19s,2,6,4,1.00:1,empty,empty,Talon,Grandmaster,empty,Graves,어딘가좀아픈사람,Jarvan IV,06 05 19,Rumble,모두모두항복하걸,Draven,viper3,Thresh,Destiny,Ryze,애넨차피이해못해,Talon,Gen G Clid,Twisted Fate,Kle3,Lucian,BRO Hena,Braum,BRO Delight
5467141635,win,Ranked Solo,2021-09-21 23:55:09,31m 32s,3,5,10,2.60:1,empty,empty,Lee Sin,Grandmaster,empty,Kennen,dustmqdyd12,Lee Sin,Gen G Clid,Qiyana,213435,Syndra,젠지 영재,Thresh,Destiny,Sylas,Hakunaa Matata,Viego,Score11,LeBlanc,미 호,Lucian,어딘가좀아픈사람,Yuumi,DFM GAENG
5467010049,lose,Ranked Solo,2021-09-21 22:59:56,29m 1s,3,12,9,1.00:1,empty,empty,Jayce,Grandmaster,empty,Camille,순뀨박,Viego,일산전영찬,Zoe,BRO Yaharong,Aphelios,irasu1,Karma,옆동산외계인,Jayce,Gen G Clid,Nidalee,나는변신할것이다,Zed,Z2D04,Lucian,JJ0ng 묻었네,Yuumi,DFM GAENG
5466934969,lose,Ranked Solo,2021-09-21 22:25:08,15m 36s,0,3,3,1.00:1,empty,empty,Bard,Grandmaster,empty,Tryndamere,샤오 쑤,Lee Sin,나는변신할것이다,Katarina,Emilia tan,Ziggs,듀오강의코코팀,Galio,Tangyuando,Camille,ke bei,Shaco,이젠 안질게,LeBlanc,Sutkressuree,Kai'Sa,bai si yyds,Bard,Gen G Clid
5466805133,win,Ranked Solo,2021-09-21 21:51:19,20m 39s,10,0,8,Perfect,Double Kill,MVP,Lee Sin,Challenger,empty,Riven,순뀨박,Zed,a little story,Zoe,BRO Yaharong,Ezreal,JJ0ng 묻었네,Amumu,검색 구글 제드팀,Gnar,오동1,Lee Sin,Gen G Clid,Katarina,Emilia tan,Kai'Sa,짐승 짭종 인간,Alistar,irasu1
5466640976,lose,Ranked Solo,2021-09-21 20:54:32,21m 58s,7,4,2,2.25:1,Double Kill,ACE,Lee Sin,Grandmaster,empty,Irelia,IRELKlNG,Zed,나는변신할것이다,Syndra,JJ0ng 묻었네,Lucian,아이린,Lulu,L1sure,Fiora,AASSH,Lee Sin,Gen G Clid,Zoe,BRO Yaharong,Caitlyn,zxcsazxcazdz,Thresh,ke bei
5463159496,lose,ARAM,2021-09-20 04:16:26,18m 13s,12,8,20,4.00:1,Triple Kill,empty,Jhin,empty,empty,Fizz,Nisien,Talon,카오스 반반 투구,Tristana,시비걸면 걍안함,Thresh,paddie,Senna,투신 시라소니,Rammus,Fly,Karma,k4572,Jhin,Gen G Clid,Xerath,참새크면비둘기,Lillia,서포터 존중해줘
5463236460,win,ARAM,2021-09-20 03:53:20,16m 15s,7,9,13,2.22:1,empty,empty,Yasuo,empty,empty,Brand,Fly,Sett,코리아국밥,Renekton,심재륜2,Yasuo,Gen G Clid,Lux,참새크면비둘기,Nidalee,뇌지컬로 승부,Pantheon,OI기고싶은사람,Akali,최 Daniel,Azir,홀로 남은 탱커,Nami,Megatera Zero
5463234751,win,ARAM,2021-09-20 03:30:21,18m 46s,13,10,10,2.30:1,Triple Kill,empty,Miss Fortune,empty,empty,Viego,Fly,Singed,대파맛스낵,Miss Fortune,Gen G Clid,Seraphine,나오야 살려내,Twisted Fate,나는포도,Xerath,세 트 주면 캐 리,Kog'Maw,전자담배도넛장인,Kindred,칼바람 게이커,Karma,뫄미손,Yuumi,하일혜지
5460764135,win,Ranked Solo,2021-09-19 01:48:35,16m 30s,5,1,12,17.00:1,MVP,empty,Lee Sin,Grandmaster,empty,Gnar,BJ갈배,Lee Sin,Gen G Clid,LeBlanc,Jh2nhj2rjoh,Lucian,JJ0ng 묻었네,Lulu,어딘가좀아픈사람,Lillia,ke bei,Talon,Love dont stop,Ryze,Shadow FA 03,Ezreal,viper3,Nami,woshissm
5460200095,lose,Ranked Solo,2021-09-18 22:10:37,18m 51s,3,5,0,0.60:1,ACE,empty,Sylas,Grandmaster,empty,Gwen,사 용 수,Jarvan IV,우울적울컥,Lulu,JJ0ng 묻었네,Kindred,아프리카 아라드,Braum,SHCH0,Fiora,Saint Diana,Xin Zhao,Xiaohao9,Sylas,Gen G Clid,Ashe,로이갓전용노예,Amumu,fuzhu carry
5459975328,win,ARAM,2021-09-18 21:40:34,16m 46s,9,9,16,2.78:1,empty,empty,Xayah,empty,empty,Viego,FF12000,Irelia,탄산빠진맥콜,Xayah,Gen G Clid,Bard,Gen G Lyn,Singed,기차나나나나,Ashe,애교부 장관,Soraka,천사랑,Kai'Sa,엄마는아들사랑해,Xerath,windows 10 fpp,Yone,레리다
5459179585,lose,Ranked Solo,2021-09-18 15:49:45,21m 47s,6,6,6,2.00:1,ACE,empty,Taliyah,Grandmaster,empty,Quinn,Fiora,Nidalee,nnzc,Ryze,미북이,Lucian,Gen G Ruler,Nami,곽곽보성,Gragas,롤 강의 코코팀,Taliyah,Gen G Clid,Tryndamere,MIDKlNG,Draven,BRO Hena,Blitzcrank,한영원
5458562988,lose,Ranked Solo,2021-09-18 03:05:04,30m 17s,7,7,10,2.43:1,Double Kill,ACE,Lillia,Grandmaster,empty,Camille,미소의눈동자,Talon,자장면잠봉당수육,Ryze,00000000002,Miss Fortune,zxcsazxcazdz,Lulu,알레산드로 델,Graves,모두모두항복하길,Lillia,Gen G Clid,Kog'Maw,아크샨밴의 신,Lucian,viper3,Nami,SPG BaeKHo
