gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489407726,lose,Ranked Solo,2021-10-04 00:38:50,23m 47s,6,4,8,3.50:1,Double Kill,ACE,Lee Sin,Master,empty,Kennen,Kafuu chin0,Lee Sin,Like a n1nja,Annie,PDW Ardi,Draven,TDValas,Nautilus,Todzio,Tahm Kench,mam dość tej gry,Graves,VoooDoooD,Karthus,Net1,Ezreal,Solo Leνeling,Braum,HöFï 
5489236035,win,Ranked Solo,2021-10-03 23:28:16,31m 58s,10,8,15,3.13:1,Triple Kill,MVP,Graves,Master,empty,Camille,ShuoSanJiuSan,Graves,Like a n1nja,Ryze,Moggollana,Miss Fortune,DirectorXu,Leona,GPUQSXMH,Dr. Mundo,Skye Sunday,Jarvan IV,GŤK,Sylas,plz save me ,Lucian,Sambrotta,Nami,Alleex
5488974406,lose,Ranked Solo,2021-10-03 19:41:26,28m 10s,3,4,7,2.50:1,ACE,empty,Lillia,Master,empty,Fiora,TOG Haklbery,Lee Sin,LEO BRICHTA,Fizz,na strwsoume tpt,Ezreal,Lokkeduen,Rakan,magifaker mental,Irelia,Minjang,Lillia,Like a n1nja,Aurelion Sol,Infinting,Vayne,Mindrago,Zyra,Phasius
5488596368,lose,Ranked Solo,2021-10-03 09:16:20,20m 58s,4,6,2,1.00:1,empty,empty,Xin Zhao,Master,empty,Sett,ssibal mosquitos,Gwen,potatoporcupine1,Yone,BLACKMETALTERROR,Lucian,Spoodersussi v2,Nami,ŚCIERWO,Jax,AngryBros,Xin Zhao,Like a n1nja,Twisted Fate,Veecto,Kalista,ROAR IvanDrago,Rell,1roNN
5488580449,win,Ranked Solo,2021-10-03 08:48:31,28m 4s,7,4,19,6.50:1,Double Kill,empty,Sylas,Master,empty,Tryndamere,M Robespierre,Talon,A Seal,Katarina,Te Sale Caro,Kog'Maw,K157,Rell,1roNN,Darius,AngryBros,Graves,Todzio,Sylas,Like a n1nja,Senna,Xandru,Nami,ŚCIERWO
5488528507,lose,Ranked Solo,2021-10-03 08:13:16,27m 53s,3,9,10,1.44:1,empty,empty,Ekko,Master,empty,Urgot,UrgoIncognito,Lee Sin,jisu jiangping,Katarina,BedbyB8,Kai'Sa,Teddyx6,Trundle,Nayas,Graves,M Robespierre,Ekko,Like a n1nja,Annie,kristút,Lucian,g2lemon1,Yuumi,Qacizhae
5488572771,lose,Ranked Solo,2021-10-03 07:38:39,25m 34s,4,6,7,1.83:1,ACE,empty,Twisted Fate,Master,empty,Urgot,UrgoIncognito,Talon,niaM cdA,Twisted Fate,Like a n1nja,Kai'Sa,New Pretty Dawn,Amumu,Sigma Pathing,Camille,NG Dawn,Lee Sin,Orange Killer,LeBlanc,wincg,Lucian,Giant Monster,Nami,SiMajk
5488429798,win,Ranked Solo,2021-10-03 07:05:18,26m 29s,8,6,6,2.33:1,empty,empty,Ekko,Master,empty,Gangplank,GS 5,Ekko,Like a n1nja,Yone,00N Shaolin,Seraphine,1roNN,Soraka,TDC Mega,Sylas,NG Dawn,Ivern,raptus bloom,Warwick,LangKezZ,Lucian,2021Worlds0150,Nami,2021Worlds0057
5488445217,lose,Ranked Solo,2021-10-03 06:30:52,20m 25s,3,2,1,2.00:1,ACE,empty,Viego,Master,empty,Kennen,tbh just kill me,Viego,Like a n1nja,Corki,krysun,Caitlyn,Miyamura lzumi,Senna,Zuı,Yorick,SakurajimaMai122,Jarvan IV,Gaduniker,Ekko,Akugyo,Jinx,TwTv daudr9,Karma,1roNN
5488052026,win,Ranked Solo,2021-10-03 01:44:54,26m 20s,4,4,15,4.75:1,MVP,empty,Sejuani,Master,empty,Jax,onlyfans makony,Kayn,Achillês,Ahri,Ebolynn,Caitlyn,OverKillHao,Neeko,gazpacho abuser,Gwen,ΚenT1,Sejuani,Like a n1nja,Yone,PL Shinobi,Tristana,FYN Sh4kur,Lulu,im cursed 999
5487956800,win,Ranked Solo,2021-10-03 01:09:59,28m 9s,3,4,11,3.50:1,empty,empty,Qiyana,Master,empty,Graves,Wheel Skeleton,Qiyana,Like a n1nja,Vladimir,Sanguine Soul,Ezreal,KUNKKAPONKA,Sona,Ektoz,Shen,Økàmi,Evelynn,Actwa,Ryze,GNIK9zz,Lucian,aere perennius,Karma,BTG DarkoP7
5487931944,lose,Ranked Solo,2021-10-03 00:34:49,29m 58s,10,6,5,2.50:1,ACE,empty,Viego,Master,empty,Aatrox,SeiKeinGnar,Viego,Like a n1nja,Ryze,GNIK9zz,Ezreal,GALA mashallah,Xerath,i need 300 euro,Yone,use top,Kha'Zix,Skylìnè,Galio,F1kOwO,Miss Fortune,pick1,Soraka,Todzio
5487314366,lose,Ranked Solo,2021-10-02 11:34:27,23m 58s,8,6,7,2.50:1,ACE,empty,Qiyana,Master,empty,Poppy,Stumpyyy,Qiyana,Like a n1nja,LeBlanc,QYURRYUS1,Veigar,FNC Jeko,Cho'Gath,Yami Sukehiro,Kled,ZONGO LE DOZØ,Viego,potatoporcupine1,Twisted Fate,she got away,Ezreal,not a chat user,Bard,BayMax Bard
5487322635,win,Ranked Solo,2021-10-02 11:00:51,23m 44s,12,5,10,4.40:1,Triple Kill,empty,Lee Sin,Master,empty,Heimerdinger,Stumpyyy,Lee Sin,Like a n1nja,LeBlanc,nqkoi da me spre,Tristana,Kaor1,Nami,not a chat user,Fiora,pr1meé ,Xin Zhao,jupezz,Lulu,POWLERTALON,Draven,Kaττen,Alistar,BayMax Bard
5487300924,win,Ranked Solo,2021-10-02 10:14:43,23m 53s,15,3,13,9.33:1,Triple Kill,MVP,Lee Sin,Master,empty,Urgot,FOXA Uhtred,Lee Sin,Like a n1nja,Orianna,1k LP mid inc,Ezreal,adqsd,Amumu,ATACA CHENCH0,Vayne,Z Σ K,Jarvan IV,R3ìzy1,Twisted Fate,Cronan,Miss Fortune,2021Worlds0019,Thresh,Ące Hardlight
5487277530,win,Ranked Solo,2021-10-02 09:44:27,17m 7s,12,3,10,7.33:1,Triple Kill,MVP,Graves,Master,empty,Yone,ggttlplp019,Graves,Like a n1nja,Twisted Fate,2021Worlds0019,Karthus,boycott nestle,Galio,Ciruelo,Gragas,mariusdermagier,Lee Sin,R3ìzy1,Yasuo,Kaloodge,Kai'Sa,Sanseong Hi,Thresh,Ące Hardlight
5487265157,win,Ranked Solo,2021-10-02 09:15:33,25m 18s,8,6,10,3.00:1,Double Kill,empty,Graves,Master,empty,Yasuo,Q spammer,Talon,POWLERTALON,Graves,Like a n1nja,Syndra,TwTv Kibbylol,Rakan,Arsoniss,Gangplank,Genius Monster,Qiyana,HSFFFFFFFFFF,Zoe,Bonks,Twitch,Can1ski ,Karma,Marcy
5487242563,lose,Ranked Solo,2021-10-02 08:40:29,24m 34s,9,6,6,2.50:1,Double Kill,ACE,Viego,Master,empty,Ornn,ÐETERMINATION,Kha'Zix,Grail,Sylas,White Steel Eel,Ashe,TheLegendRH,Blitzcrank,Miremengjesi,Kennen,LanPeiFang,Viego,Like a n1nja,Galio,bypass 1,Twitch,Can1ski ,Rakan,Ward addict
5487168459,win,Ranked Solo,2021-10-02 08:08:22,27m 23s,6,2,15,10.50:1,Triple Kill,MVP,Diana,Master,empty,Gnar,Kafuu chin0,Diana,Like a n1nja,Yasuo,mage improve ,Twitch,Can1ski ,Yuumi,Keria Carry,Aatrox,BYG Doggo ,Kayn,Momo Statham,Zoe,BedbyB8,Miss Fortune,PD Xirionto,Nautilus,puzzleman69
5486452069,win,Ranked Solo,2021-10-02 02:56:19,20m 16s,4,0,8,Perfect,empty,empty,Nidalee,Master,empty,Aatrox,NE Andromon,Nidalee,Like a n1nja,Irelia,Capioo,Miss Fortune,GoldenExcellence,Nautilus,LionGRE,Nasus,Carnarius v2,Zed,Jgl Teacher,Galio,WoaiTT,Ziggs,Moissy,Rakan,KH 63194
5485685290,lose,Ranked Solo,2021-10-01 11:58:50,23m 33s,3,5,3,1.20:1,ACE,empty,Viego,Diamond 1,empty,Irelia,Original Ace,Lee Sin,9 19 Night,Kassadin,Jitto,Caitlyn,2021Worlds0150,Janna,oElFNick,Jax,TheBlind2Monkey,Viego,Like a n1nja,Diana,APE Knast,Lucian,LessonLearneDD,Nami,subconscious
5485664522,lose,Ranked Solo,2021-10-01 11:18:27,27m 53s,4,11,6,0.91:1,empty,empty,Sylas,Master,empty,Akshan,Fadel Castro,Zed,mihaju jng acc,Karthus,SheldHeda,Ezreal,Rollbit Boss,Nami,Terminaattori51,Tryndamere,TRZE,Lee Sin,iB0rn,Sylas,Like a n1nja,Kalista,Skive med sylte,Camille,w0keuplikethis
5485623807,win,Ranked Solo,2021-10-01 10:39:35,26m 25s,9,2,4,6.50:1,Quadra Kill,empty,Qiyana,Master,empty,Aatrox,IegnA,Kayn,Tenseco,LeBlanc,TRG Nakhla,Twitch,UwUZeroTwoUwU,Lulu,Owelius,Malphite,millionair gap,Qiyana,Like a n1nja,Ryze,FΛDE,Aphelios,MΟONFANG,Thresh,Yomsito
