gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5475799363,win,Ranked Solo,2021-09-25 22:24:12,27m 7s,14,3,10,8.00:1,MVP,empty,Zed,Diamond 1,empty,Lee Sin,무조건 탑 동선,Gragas,나도 끠즤,Irelia,코 태,Samira,na li dou shi ni,Rell,cleannn,Fiora,TOPKING,Zed,Ma1ibu night,Neeko,nkeeo,Aphelios,게으른 연습벌레,Lulu,AlwaysSorryTool
5475669285,lose,Ranked Solo,2021-09-25 21:43:05,28m 54s,6,7,7,1.86:1,ACE,empty,Nidalee,Master,empty,Vayne,북극곰 아프다,Karthus,언젠가의 이야기,Yone,Leminem,Jhin,beican shenghuo,Leona,응애응애1212,Sylas,TOPKING,Nidalee,Ma1ibu night,Riven,씨야보람,Miss Fortune,gkatjrgs,Alistar,미드 사용법12
5475681866,win,Ranked Solo,2021-09-25 21:03:19,19m 34s,15,1,8,23.00:1,Double Kill,MVP,Lee Sin,Master,empty,Yasuo,Leminem,Lillia,언젠가의 이야기,Ziggs,heize fans,Lucian,전 모르겠어요,Bard,I HAVE N0 IDEA,Jayce,TOPKING,Lee Sin,Ma1ibu night,Zoe,Is Y0u Down,Xayah,모두다일어나,Yuumi,102b
5475573219,win,Ranked Solo,2021-09-25 20:23:37,18m 25s,9,1,7,16.00:1,Triple Kill,empty,Taliyah,Master,empty,Irelia,who is niuma,Taliyah,Ma1ibu night,Lucian,TOPKING,Ezreal,순수하지,Trundle,예진님 짱,Jayce,AWM gtr,Nidalee,0909dedie,Sylas,헌  언,Kalista,T10 Berserker,Thresh,라윤공주
5474214007,win,URF,2021-09-25 03:57:33,13m 32s,12,7,12,3.43:1,Double Kill,empty,Jayce,empty,empty,Udyr,퓨어블랙,Jayce,새콤달콤 자몽맛,Morgana,최경렬,Jinx,본캐티어 아이언,Aatrox,카why네,Ekko,파풀러,Jayce,Ma1ibu night,Kayn,묵언수행고인물,Fizz,TOPKING,Zed,람쥐썬더7777
5474089886,win,Ranked Solo,2021-09-25 03:30:17,24m 5s,6,3,7,4.33:1,Double Kill,empty,Talon,Diamond 1,empty,Sett,98kfrf,Graves,yon gan niu niu,Katarina,큐즈익스,Twitch,no voy,Thresh,lIllllIlII,Camille,TOPKING,Talon,Ma1ibu night,LeBlanc,The Battle Cats,Draven,Dgdb,Leona,미아에몽
5474008326,win,Ranked Solo,2021-09-25 02:51:12,16m 47s,5,0,9,Perfect,MVP,empty,Jarvan IV,Master,empty,Jayce,TOPKING,Jarvan IV,Ma1ibu night,Sylas,평화로운 행동대장 에그타르트,Lucian,혜지명1,Soraka,허니아,Urgot,탑 우르 곳감,Taliyah,밀림 간 다,Irelia,함구무언1,Xayah,아 나이뜨,Rakan,김은지전용노예
5474003060,lose,Ranked Solo,2021-09-25 02:19:15,23m 24s,4,6,5,1.50:1,Double Kill,empty,Talon,Master,empty,Renekton,your fearness,Lee Sin,안개 가 낀 하늘,LeBlanc,New ID,Ezreal,웅이애옹,Leona,2021Worlds0173,Camille,TOPKING,Talon,Ma1ibu night,Galio,리하우,Lucian,Axiyo,Rell,렐복치
5473736814,win,Ranked Solo,2021-09-25 01:42:50,22m 43s,8,3,14,7.33:1,empty,empty,Zed,Master,empty,Camille,TOPKING,Zed,Ma1ibu night,Akali,4cm,Aphelios,Exusia,Alistar,2021Worlds0173,Lee Sin,i will pro,Diana,AKAJugkiller,Yasuo,타락한 숟가락,Kai'Sa,텐비 서프 라테일,Taric,Pooh n Bene
5473648188,win,Ranked Solo,2021-09-25 01:01:30,16m 9s,5,2,6,5.50:1,Double Kill,empty,Qiyana,Diamond 1,empty,Ryze,mu ze xi,Talon,yon gan niu niu,Galio,YueGuangZhiXia,Jhin,Dalsuy,Thresh,Axiyo,Camille,TOPKING,Qiyana,Ma1ibu night,Nunu & Willump,리하우,Ezreal,숲장훈,Bard,2007 Pykeking
5473547197,win,Ranked Solo,2021-09-25 00:19:15,20m 44s,8,2,11,9.50:1,Double Kill,empty,Taliyah,Master,empty,Jayce,보는 각이 달라,Lee Sin,조댁근1,Lulu,서창훈,Samira,마왕 아들,Nautilus,Kratoscc,Graves,TOPKING,Taliyah,Ma1ibu night,Zed,챌 제,Kai'Sa,T10 Berserker,Amumu,lIlIIllIllllllll
5471851493,lose,Ranked Solo,2021-09-24 04:03:19,30m 1s,7,5,8,3.00:1,ACE,empty,Lillia,Diamond 1,empty,Vayne,Larg2,Graves,Dahuangren1,Sylas,xwbzgsjsd,Draven,졸려죽겠다진짜,Thresh,Eslnd,Qiyana,이가은,Lillia,Ma1ibu night,Lucian,TOPKING,Aphelios,waste time,Lulu,서울고속도로
5471800120,win,Ranked Solo,2021-09-24 03:17:37,22m 34s,16,0,9,Perfect,Double Kill,MVP,Nidalee,Diamond 1,empty,Jayce,TOPKING,Nidalee,Ma1ibu night,Pantheon,기 찬,Samira,ad Noob sorry,Alistar,주말엔동희와산책,Tryndamere,생각하는사람1,Kayn,믜 진,Zed,mu ze xi,Draven,yelb,Amumu, chacka chicky
5471717750,win,Ranked Solo,2021-09-24 02:41:44,20m 25s,10,3,6,5.33:1,Double Kill,empty,Zed,Diamond 1,empty,Heimerdinger,현욱 정,Zed,Ma1ibu night,Sylas,TOPKING,Twitch,little hamburger,Lulu,Humble good,Akali,좋은 것만 남아,Talon,Top chord one,Jarvan IV,낮에뜨는 달과 별,Draven,yelb,Amumu, chacka chicky
5471752833,lose,Ranked Solo,2021-09-24 01:59:01,27m 37s,8,7,3,1.57:1,Double Kill,ACE,Viego,Diamond 1,empty,Kennen,해일해2해삼,Lee Sin,The Battle Cats,Qiyana,선혈포식자안가요,Miss Fortune,Kog Maw hello,Karma,따뜻하게대해줘요,Sejuani,TOPKING,Viego,Ma1ibu night,LeBlanc,Dreaming Future,Ezreal,꽃바다인질,Braum,xiaoxinchaoren
5469804461,win,Ranked Solo,2021-09-23 02:52:31,25m 41s,8,3,7,5.00:1,Double Kill,MVP,Zed,Diamond 1,empty,Malphite,TOPKING,Zed,Ma1ibu night,LeBlanc,하얗고예쁨,Caitlyn,짐승 잡초 인간,Lux,szpt,Fiora,애기공룡 주상,Jarvan IV,Dahuangren1,Karma,ninichu,Lucian,BerylSKS,Nami,FNmhoMmaITl8Z50I
5469759598,win,Ranked Solo,2021-09-23 02:08:33,31m 57s,6,7,12,2.57:1,Double Kill,empty,Lillia,Diamond 2,empty,Lucian,TOPKING,Lillia,Ma1ibu night,Talon,화원 아기,Miss Fortune,xixixlxix,Seraphine,DWG BeryL,Gangplank,파 고,Taliyah,로이갓전용노예,Sylas,youtube 비브이,Aphelios,BerylSKS,Thresh,FNmhoMmaITl8Z50I
5452792931,win,Ranked Solo,2021-09-15 00:12:07,30m 5s,19,5,7,5.20:1,empty,empty,Zed,Diamond 1,empty,Kennen,내점수에잠이오냐,Talon,HLE qkralfm,Zoe,송의진제자장민수,Varus,산중호걸 호랑,Blitzcrank,sorrysrysupgap,Vladimir,모두모두항복하길,Zed,Ma1ibu night,Taliyah,AF BuLLDoG,Jinx,dlrlrhtlvek1,Thresh,점수나락감
5445254368,win,Ranked Solo,2021-09-11 04:04:51,15m 37s,5,1,5,10.00:1,Double Kill,MVP,Olaf,Platinum 1,empty,Irelia,왕원희,Ekko,Zhonguo Zhu,Zed,라2엇밸패팀앰갈,Aphelios,AFTV 원장,Blitzcrank,Lab C,Fiora,모두모두항복하길,Olaf,Ma1ibu night,Galio,1xn fans,Samira,Ljx002,Sett,Wzy002
5272779053,win,Nexus Blitz,2021-06-20 00:34:32,17m 9s,17,5,13,6.00:1,Quadra Kill,empty,Viego,empty,empty,Lucian,Mou,Jarvan IV,Lapierre,Viktor,골없후왕,Kog'Maw,tip tap toc,Master Yi,NeroClaudius7,Varus,진돛개,Viego,Ma1ibu night,Malphite,감정의요인,Pyke,에스파컴백기원,Sett,깨비드릴조7777
5235934512,lose,Ranked Solo,2021-06-02 01:22:58,19m 34s,1,6,4,0.83:1,ACE,empty,Diana,Master,empty,Sylas,나는성공할것이다,Kindred,멍청작은서,Zoe,배달음식요기요,Miss Fortune,frqi,Thresh,Xiaohaichuishi,Gangplank,아재얼귤,Diana,Ma1ibu night,Rumble,haoyunsenming,Yasuo,WMNMMN,Alistar,진짜 어려워
5221913012,lose,Ranked Solo,2021-05-26 16:05:59,15m 20s,2,6,0,0.33:1,empty,empty,Jayce,Master,empty,Wukong,Water monkey,Rumble,2660745977530048,Sylas,im fine thx you,Sett,talking shlt,Senna,09 AD klng,Tryndamere,AminaAmina,Rengar,aozhizhuiliezhe,Jayce,Ma1ibu night,Tristana,kelinn,Lulu,yang zhi bu ou
5221856783,lose,Ranked Solo,2021-05-26 15:30:25,34m 2s,9,6,15,4.00:1,Double Kill,ACE,Lee Sin,Master,empty,Sylas,p9815,Lee Sin,Ma1ibu night,Sett,혜지명1,Tahm Kench,하루에 18판,Senna,프레이신부서연이,Draven,드레이븐원챔6,Nautilus,lIlIIIIlllIIlII,Akali,Fox B Mg,Ezreal,FLAGGED 22593849,Bard,Mocha
