gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490217999,win,Ranked Solo,2021-10-04 05:40:54,28m 59s,4,4,22,6.50:1,MVP,empty,Nautilus,Master,empty,Shen,TGP Zoom,Twitch,Toybeal,Syndra,ł B Y R O N ł,Veigar,Shelome v7,Nautilus,acaweamsdacqwqwe,Sett,Ivok,Nidalee,lenny smurf acc,Sylas,11die,Varus,Blueben,Yuumi,Ben Boozler
5488649695,lose,Ranked Solo,2021-10-03 10:40:44,36m 42s,1,13,8,0.69:1,empty,empty,Amumu,Master,empty,Aatrox,Wizard2025,Viego,TEMPO JUNGLER,Vex,s12 w8 room acc,Draven,trash on botlane,Amumu,acaweamsdacqwqwe,Sett,TokÌta Ohma,Evelynn,By Lumens,Sylas,minedamien1,Miss Fortune,Boosted Corgi,Alistar,Jeeno
5488608252,lose,Ranked Solo,2021-10-03 09:52:05,28m 3s,0,7,14,2.00:1,empty,empty,Soraka,Diamond 1,empty,Aatrox,Shourdy,Lillia,Just for UU,Irelia,Nεik,Xayah,random ad1,Soraka,acaweamsdacqwqwe,Trundle,Spoodersussi v2,Hecarim,lGetFed uGetRekt,Pantheon,FNC Jeko,Jinx,ΤORMENΤ,Alistar,Over The Boss
5488625438,win,Ranked Solo,2021-10-03 09:17:16,21m 13s,4,3,18,7.33:1,empty,empty,Galio,Master,empty,Fiora,M Robespierre,Graves,Mega Mental,Fizz,Nøt a trickster,Ashe,WildShadow,Amumu,Cígar,Camille,PwaN P,Rengar,SheldHeda,Sylas,SRPS Torkanit,Kai'Sa,EnidkHkTd,Galio,acaweamsdacqwqwe
5488591992,lose,Ranked Solo,2021-10-03 08:42:27,34m 51s,9,13,8,1.31:1,empty,empty,Rek'Sai,Master,empty,Urgot,Tobias El Etéreo,Rek'Sai,acaweamsdacqwqwe,Syndra,Rodolfo El Buzo,Lucian,Biłl,Ekko,Cedric,Gangplank,quick thinking,Kha'Zix,jupezz,Anivia,SWEelle,Ezreal,Yen is my Wife ,Pyke,Grey Screen
5488508069,lose,Ranked Solo,2021-10-03 08:00:21,25m 25s,4,7,9,1.86:1,ACE,empty,Pyke,Master,empty,Urgot,BanChemtankShen,Xin Zhao,IOIOIOlOlOI,Vayne,SlaviN 77,Ziggs,Haskko,Pyke,acaweamsdacqwqwe,Gnar,HIVE reptilezero,Nunu & Willump,Ali Koksal,Sylas,FB Genosect,Jhin,Madi,Bard,Sugói
5488482908,win,Ranked Solo,2021-10-03 07:29:46,37m 3s,8,10,18,2.60:1,empty,empty,Karma,Diamond 2,empty,Qiyana,i dont lane,Karthus,Full clear angle,Yorick,4es GROS POISSON,Lucian,RETIRED ACC,Nami,eskíí,Vladimir,Sulli xqhrt,Jarvan IV,Afre,Sett,DeCypher1,Miss Fortune,tempqfbvdnlqyznr,Karma,acaweamsdacqwqwe
5487984317,win,Ranked Solo,2021-10-03 01:54:44,32m 29s,1,4,19,5.00:1,empty,empty,Yuumi,Master,empty,Yone,TURBOFISTER v2,Elise,Lindbęrg,Urgot,3ID Shiekah,Miss Fortune,Freeze KEY Summs,Yuumi,acaweamsdacqwqwe,Gwen,03404214124,Fiddlesticks,DaisyBestGirI,Qiyana,Helia le bg,Jinx,Nybat,Nami,blondinsara
5487957059,lose,Ranked Solo,2021-10-03 01:10:45,27m 51s,4,2,19,11.50:1,empty,empty,Yuumi,Master,empty,Garen,Azn Seb,Maokai,ATree 130,Sylas,x ae 147,Ezreal,RYSΞ,Rakan,Just Kirios,Nasus,Rassoul Lah,Lillia,Lateon,Talon,Cvprisun,Lucian,Nøt a trickster,Yuumi,acaweamsdacqwqwe
5487902810,lose,Ranked Solo,2021-10-03 00:38:07,33m 33s,5,5,25,6.00:1,Double Kill,empty,Nami,Master,empty,Malphite,KAITING MACHINE ,Ekko,Kral returns,Kassadin,DeepMind,Draven,Sambrotta,Rakan,Redemption Galio,Kennen,Iamsobadsorry,Gragas,Jodomund,Yone,tempgoyjzzbbjzqz,Lucian,SCHWEPPERVESCENT,Nami,acaweamsdacqwqwe
5487313460,win,Ranked Solo,2021-10-02 11:08:29,22m 11s,4,7,4,1.14:1,empty,empty,Jax,Master,empty,Jax,acaweamsdacqwqwe,Zac,Selva Difference,Lissandra,RAAD Deceiving,Kai'Sa,Egøist,Thresh,IlllIlllIIIIlIIl,Fiora,Vertigo vincet,Warwick,SuperHyena ,LeBlanc,Dumdiddydumbo,Sivir,Želvák,Blitzcrank,R Î T 0
5487269866,win,Ranked Solo,2021-10-02 10:34:44,34m 48s,5,9,13,2.00:1,Double Kill,empty,Renekton,Diamond 1,empty,Azir,LNGWIN,Rengar,Maure,Yone,MVPP,Akshan,Frostshadow,Morgana,Ayaani,Renekton,acaweamsdacqwqwe,Ekko,Baldzer,Fizz,Satikuti,Twitch,027Yogtze906,Nami,ida
5487266204,win,Ranked Solo,2021-10-02 09:51:15,47m 47s,10,13,6,1.23:1,Double Kill,empty,Zed,Diamond 1,empty,Yasuo,Sekutchi,Zed,acaweamsdacqwqwe,Vex,MAJOR FestWho,Miss Fortune,TIAGO PZK,Xerath,149782013118519,Cassiopeia,LNCSX,Karthus,Break A Kingdom,Akshan,Grey Screen,Kai'Sa,AZG incré,Lulu,2986
5487234263,lose,Ranked Solo,2021-10-02 08:57:32,24m 28s,1,9,12,1.44:1,ACE,empty,Jarvan IV,Master,empty,Fiora,purring loudly,Kha'Zix,i must win,LeBlanc,Eva HD,Lucian,Os4ka,Jarvan IV,acaweamsdacqwqwe,Zed,but why would u,Twitch,Toybeal,Veigar,Shelome v7,Draven,TIAGO PZK,Nami,Parsi
5487211437,win,Ranked Solo,2021-10-02 08:26:37,31m 13s,1,8,26,3.38:1,empty,empty,Thresh,Master,empty,Jax,CHENTIANZW,Talon,ANB RateD,Fizz,Nøt a trickster,Lucian,käi putsi rito,Taliyah,jackerchan,Fiora,kill my adc,Lee Sin,VNGLN01,LeBlanc,BjergsenApdo,Jinx,Os4ka,Thresh,acaweamsdacqwqwe
5487117036,lose,Ranked Solo,2021-10-02 07:48:21,30m 17s,4,10,8,1.20:1,empty,empty,Gragas,Diamond 1,empty,Jax,CHENTIANZW,Olaf,Nakimuraa,Fizz,Nøt a trickster,Kai'Sa,BFG Hellman,Nami,SUP DIFF XD 96,Aatrox,KuonOuO,Ivern,DaisyBestGirI,Vladimir,Mode Lαcoste Tn,Xayah,overkilled adc,Gragas,acaweamsdacqwqwe
5487122801,win,Ranked Solo,2021-10-02 07:11:24,20m 43s,0,1,18,18.00:1,empty,empty,Rell,Master,empty,Ahri,L9 Frøst ,Kayn,EN MODE R9,Fiora,CHENTIANZW,Tristana,Smogii,Rell,acaweamsdacqwqwe,Mordekaiser,iKxeight,Fiddlesticks,DaisyBestGirI,Renekton,Mode Lαcoste Tn,Miss Fortune,Bobi Ewroto,Amumu,Spaceberry
5486308724,win,Ranked Solo,2021-10-02 02:38:37,29m 56s,0,6,23,3.83:1,empty,empty,Rakan,Master,empty,Darius,GM Osama,Lee Sin,SMATTERKUNGEN XD,Zed,Super Troll King,Twitch,Kyung57,Rakan,acaweamsdacqwqwe,Tahm Kench,GINYIN,Hecarim,my ascendance,Orianna,Chooooovyyyyyyy,Miss Fortune,Shokram,Thresh,S11 Support KEKW
5486255164,win,Ranked Solo,2021-10-02 01:57:25,23m 13s,4,4,19,5.75:1,empty,empty,Jarvan IV,Diamond 3,empty,Jax,Nreskela,Nidalee,ill Nam,Zed,lil Shoemaker,Jhin,TitansYellow,Jarvan IV,acaweamsdacqwqwe,Darius,top not reformed,Qiyana,9scaPeg0at88 ,Rumble,Râfox,Jinx,DONT PICK BARD,Janna,budget white
5485979353,lose,Ranked Solo,2021-10-01 23:02:39,44m 36s,8,13,14,1.69:1,empty,empty,Rengar,Master,empty,Darius,BŰSTΣR BLADΣR,Rengar,acaweamsdacqwqwe,Kayle,lynchian dream,Lucian,Kristóf,Bard,MrMajoor,Tahm Kench,PGE Meta,Ekko,Like a n1nja,Yone,U WANT CAWFFEE,Varus,Zaydeboi,Braum,Buszu
5485539407,win,Ranked Solo,2021-10-01 09:05:30,15m 27s,2,0,11,Perfect,empty,empty,Nami,Diamond 1,empty,Riven,Tenseiga,Kha'Zix,i wont get mad,Galio,Keria Carry,Ashe,kajkajkajkaj,Thresh,AVIS djulo,Shen,Madly1,Diana,Dendruum,Lucian,AbbottnC,Miss Fortune,ADADAD141414,Nami,acaweamsdacqwqwe
5485593645,lose,Ranked Solo,2021-10-01 08:16:51,24m 37s,1,6,7,1.33:1,empty,empty,Karma,Master,empty,Lee Sin,Krebsregen420,Nocturne,Th3baBaDo0k,Kog'Maw,Lightpoacher,Ashe,PπNERO Jr,Karma,acaweamsdacqwqwe,Tryndamere,Solokill Machine,Shaco,Asvii,Lissandra,4teca,Samira,Fokucu06,Thresh,boomiavec2o
5485521712,win,Ranked Solo,2021-10-01 07:47:10,31m 7s,9,9,13,2.44:1,empty,empty,Zed,Diamond 2,empty,Wukong,AFW The Kong,Nidalee,Tcejer,Vex,MisaTendo,Akshan,Lapin puceau,Yuumi,W Kayle,Irelia,solateissour,Zed,acaweamsdacqwqwe,Syndra,down real bad,Samira,MRYSNOTO KOPELE,Nautilus,NE lymao
5485487093,lose,Ranked Solo,2021-10-01 07:09:00,21m 9s,0,11,10,0.91:1,empty,empty,Amumu,Master,empty,LeBlanc,cirodalA,Graves,nazı yani,Jayce,Iamsobadsorry,Miss Fortune,ADADAD141414,Amumu,acaweamsdacqwqwe,Talon,Honeyβadger,Lee Sin,Giant Monster,Sylas,Take A Step ßack,Draven,headpat me uwu,Zyra,Thorn Addict
5485492239,win,Ranked Solo,2021-10-01 06:39:44,26m 42s,1,6,23,4.00:1,empty,empty,Nami,Diamond 1,empty,Irelia,Kyrie Swervin,Evelynn,vayne top op wtf,Pantheon,kunkunde,Jhin,ADADAD141414,Nami,acaweamsdacqwqwe,Quinn,Kíñ2,Hecarim,Ninibx,Twisted Fate,i click circles,Miss Fortune,Zettaı Ryouiki,Bard,CRD Jonni
5485405564,lose,Ranked Solo,2021-10-01 06:02:30,33m 31s,11,11,20,2.82:1,Double Kill,empty,Karma,Master,empty,Aatrox,KuonOuO,Zed,u are pitiful,Taliyah,Zeynd,Jhin,ADADAD141414,Karma,acaweamsdacqwqwe,Singed,SWEelle,Jarvan IV,KobeeeeBryant,Yone,Duke Ov Death,Lucian,tempvjmkecfnmrfd,Nami,Bombshell Blonde
5484839795,lose,Ranked Solo,2021-10-01 00:47:32,28m 14s,9,9,14,2.56:1,Double Kill,ACE,Gragas,Diamond 1,empty,Heimerdinger,Audition,Lee Sin,SCÞ 096,Talon,Talon kekw,Kai'Sa,G2 Natsu,Amumu,CeeZeey,Annie,ROAM by ROAM,Poppy,Bilar,Vex,Cvprisun,Draven,Bergbulla 100,Gragas,acaweamsdacqwqwe
5484864962,win,Ranked Solo,2021-10-01 00:04:20,17m 21s,2,3,15,5.67:1,empty,empty,Amumu,Diamond 1,empty,Sett,T0ast3r11,Master Yi,black silence,Zoe,nashe,Miss Fortune,ADADAD141414,Amumu,acaweamsdacqwqwe,Fiora,Teiisen,Diana,TheRaluxu,Cassiopeia,Ageispolis,Ezreal,Brenash,Seraphine,Outrageous Face
5484350353,win,Ranked Solo,2021-09-30 10:55:15,21m 20s,3,3,19,7.33:1,empty,empty,Gragas,Diamond 3,empty,Sylas,He Who Squish,Kayn,ill Nam,Katarina,Gοmu,Miss Fortune,suicidal cat,Gragas,acaweamsdacqwqwe,Shen,Daddy D3mon,Kha'Zix,râpist øguzgøsu,Yasuo,Munchkind,Varus,EloHeIIRefugee,Senna,Ãdox
5484328639,win,Ranked Solo,2021-09-30 10:23:04,29m 14s,2,5,22,4.80:1,empty,empty,Nami,Diamond 1,empty,Riven,yes but no,Nidalee,Just for UU,Talon,Lao Keng Bi,Varus,OnlyRuby,Janna,Ajeje Brazorf 10,Sett,Supercharge,Zac,Dzierżoniowianin,Yasuo,The Glorious,Lucian,ADADAD141414,Nami,acaweamsdacqwqwe
5484336809,win,Ranked Solo,2021-09-30 09:47:02,30m 4s,5,7,16,3.00:1,empty,empty,Trundle,Diamond 1,empty,Irelia,Jashillow,Ekko,Jocelyn Armel,Graves,Lao Keng Bi,Vayne,OnlyRuby,Amumu,Calme et Focus,Renekton,GS 5,Lee Sin,Budget Cinkrof,Yasuo,I want winner,Ziggs,ADADAD141414,Trundle,acaweamsdacqwqwe
5484382896,lose,Ranked Solo,2021-09-30 09:09:03,36m 8s,2,12,17,1.58:1,empty,empty,Karma,Diamond 1,empty,Aatrox,Baki Hanma 3nes,Lee Sin,ADADAD141414,Zed,HJIN Katashi ,Jinx,MeruNero,Karma,acaweamsdacqwqwe,Gnar,Hej Kotku,Kha'Zix,Lesnoy rab,Xerath,bankai,Ezreal,fiaktou,Amumu,SkinnierBotWins
5484321655,win,Ranked Solo,2021-09-30 08:22:06,22m 26s,2,5,32,6.80:1,empty,empty,Nautilus,Diamond 1,empty,Sett,Your jug gap,Talon,tempsjgjlgslchok,Veigar,BLACKPINK FIORA,Vayne,H0rny Ornny,Yuumi,Supermanco297,Volibear,rippermech,Kayn,Lesnoy rab,Yasuo,χam,Aphelios,ADADAD141414,Nautilus,acaweamsdacqwqwe
5484268132,win,Ranked Solo,2021-09-30 07:53:33,22m 44s,4,7,17,3.00:1,MVP,empty,Trundle,Diamond 1,empty,Sett,rippermech,Gragas,FB Gegor,Riven,Dyslexíc Ivern,Aphelios,Zebrοn,Blitzcrank,VININE Frogbrain,Karma,tobbeeee,Qiyana,AQ Adricesa,Zed,Lesnoy rab,Ziggs,ADADAD141414,Trundle,acaweamsdacqwqwe
5484254856,win,Ranked Solo,2021-09-30 07:17:02,21m 49s,6,3,18,8.00:1,empty,empty,Amumu,Diamond 4,empty,Maokai,QQ Prometheus,Taliyah,L0ngMao,Yone,LNGWIN,Kai'Sa,n 456,Pantheon,Ieague of legend,Sett,2021Worlds0127,Nidalee,LSADSDD,Zed,ChickenMasalaa,Ziggs,ADADAD141414,Amumu,acaweamsdacqwqwe
5484176928,lose,Ranked Solo,2021-09-30 06:32:48,28m 57s,9,8,7,2.00:1,ACE,empty,Zed,Diamond 2,empty,Jax,JohnGiannis,Talon,Er Buck lort,Anivia,Buck er lort,Ezreal,MrHB1804,Karma,i am Venomazz,Camille,Suttis,Zed,acaweamsdacqwqwe,Vex,Kidiwi,Kai'Sa,Kwajongen,Brand,Kuaqio
5484066189,lose,Ranked Solo,2021-09-30 05:43:26,47m 2s,7,9,20,3.00:1,Double Kill,empty,Karma,Diamond 3,empty,Aatrox,Mäxîmus,Ekko,Rafaello abuser,Jayce,Limsy1,Kalista,ADADAD141414,Karma,acaweamsdacqwqwe,Qiyana,TwøStépsFromSéX,Karthus,Azade,Cassiopeia,SK Snake,Draven,Elusion,Janna,Alleex
5483972176,lose,Ranked Solo,2021-09-30 04:11:50,33m 39s,3,12,16,1.58:1,ACE,empty,Amumu,Diamond 3,empty,Vladimir,PickelFaze,Trundle,Snoku,Vex,DIKU Daddel,Vayne,Echos,Lulu,Captaín Morgana,Jax,MKULTRA ProjectX,Karthus,Conatüs,Wukong,Grey Screen,Draven,ADADAD141414,Amumu,acaweamsdacqwqwe
5483443800,lose,Ranked Solo,2021-09-30 00:56:29,29m 3s,10,11,16,2.36:1,ACE,empty,Karma,Diamond 4,empty,Vex,Cookie Warrior,Jarvan IV,StormWind69,Orianna,Premade of God,Lucian,lkuivgs,Karma,acaweamsdacqwqwe,Darius,Petit Gentleman,Lillia,lolesokm,LeBlanc,aglayan goril,Kai'Sa,d1 for tryout,Janna,Violet1
5483236650,lose,Ranked Solo,2021-09-30 00:00:48,27m 33s,6,8,10,2.00:1,empty,empty,Amumu,Diamond 4,empty,Shen,VEOENTCD,Jarvan IV,WNX º EréN,Annie,Describe,Draven,ADADAD141414,Amumu,acaweamsdacqwqwe,Riven,Foxxeh esteban,Kindred,Platinum,Katarina,S10 IS SUCKS,Kog'Maw,Fat kog lover,Lulu,KeizaiG
5482735254,lose,Ranked Solo,2021-09-29 09:39:10,42m 8s,5,12,24,2.42:1,empty,empty,Amumu,Diamond 3,empty,Mordekaiser,Fifoko,Nidalee,Turbo I,Draven,IcelandWalrus,Katarina,toxicskai,Leona,White Whales,Fiora,Sigma Batman,Kindred,yfsaolhgawuo,Sylas,mibr sungjinwoo,Ziggs,ADADAD141414,Amumu,acaweamsdacqwqwe
5482684313,win,Ranked Solo,2021-09-29 08:48:30,20m 16s,1,3,10,3.67:1,empty,empty,Amumu,Diamond 3,empty,Mordekaiser,Fifoko,Nidalee,9 19 Night,Irelia,Iallare,Draven,IcelandWalrus,Ekko,wow cold,Jayce,YQSH,Talon,wincg,Katarina,toxicskai,Lucian,ADADAD141414,Amumu,acaweamsdacqwqwe
