gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5421116462,win,Normal,2021-08-29 04:52:25,21m 43s,9,2,3,6.00:1,Double Kill,empty,Rengar,empty,empty,Volibear,LittleDevilcy,Jax,마틴 잭릭스 ,Zed,방상현,Akshan,상세진,Lulu,메가 이로,Rengar,qwdkmnqwer,Lee Sin,진돛개,Lux,화내지말고끝까지,Lucian,aaaaaaaaaa22,Yuumi,깨비드릴조7777
5421172338,lose,Normal,2021-08-29 04:23:56,41m 40s,14,15,13,1.80:1,Triple Kill,ACE,Yasuo,empty,empty,Heimerdinger,못생긴달수,Lee Sin,깨비드릴조7777,Yasuo,qwdkmnqwer,Aphelios,aaaaaaaaaa22,Thresh,진돛개,Kled,Polarst,Jarvan IV,In My Dreams,Lulu,Neon Moon,Miss Fortune,감정지배,Blitzcrank,백종원의정글비책
5412862981,win,Normal,2021-08-25 00:55:14,30m 48s,16,14,5,1.50:1,empty,empty,Vayne,empty,empty,Vayne,qwdkmnqwer,Lee Sin,깨비드릴조7777,Ryze,진돛개,Jhin,aaaaaaaaaa22,Lux,pascucci,Kayle,광어가파닥파닥,Shaco,버거팔이소년,Zoe,헤네시스랩몬스터,Jhin,으리으리 김보성,Alistar,중풍노인
5412758518,win,Normal,2021-08-25 00:17:51,17m 2s,8,2,2,5.00:1,Double Kill,MVP,Lucian,empty,empty,Gnar,눈보라 속 동백꽃,Lee Sin,CodeHayoung,Jarvan IV,불사조 거북이 곰,Caitlyn,여 혜,Ashe,박지원OST  Cloud,Warwick,진돛개,Taliyah,맹Gu리만Mid라구,Lucian,qwdkmnqwer,Aphelios,aaaaaaaaaa22,Thresh,깨비드릴조7777
5360044738,win,Ultimates,2021-07-31 01:00:27,19m 43s,0,9,8,0.89:1,empty,empty,Mordekaiser,empty,empty,Jarvan IV,핑이랑 채팅 안봄,Lee Sin,무조건 방관,Viego,Gen G Clid,Zyra,김치부작용,Mordekaiser,qwdkmnqwer,Braum,욘석민,Gnar,Marlin Ouzinger,Caitlyn,거짓말이 아니야,Viego,Cool or cold,Sylas,fu sic k
5360020034,lose,Ultimates,2021-07-31 00:36:43,20m 55s,1,11,2,0.27:1,empty,empty,Master Yi,empty,empty,Varus,뇌전수리검,Thresh,미니언 감별사,Gragas,무조건 방관,Akshan,겜다함,Sion,13등급,Brand,만트람,Samira,Gen G Clid,Zed,Rascal,Master Yi,qwdkmnqwer,Viego,유체화미드달리기
5344824173,win,Ranked Solo,2021-07-24 03:54:35,16m 6s,2,3,7,3.00:1,empty,empty,Sett,Diamond 1,empty,Renekton,yu ni gong cun,Fiddlesticks,옘 뱅,Kalista,특별하지않습니다,Jhin,aridet,Nautilus,EL PSY KONGR00,Lee Sin,dongdong33,Evelynn,Aishu,Sylas,zxczczxzcxczc,Ezreal,qasdaszxcasd,Sett,qwdkmnqwer
5344830111,lose,Ranked Solo,2021-07-24 03:15:48,23m 11s,2,12,9,0.92:1,empty,empty,Leona,Diamond 1,empty,Riven,순뀨박,Zac,나도잘하고싶다규,Qiyana,Zhaozhiyue,Varus,qasdaszxcasd,Leona,qwdkmnqwer,Camille,하늘을달려,Lee Sin,진짜 졸라 빡치네,Galio,Akshan maestro,Xayah,irasu1,Rakan,19old summer
5344686297,lose,Ranked Solo,2021-07-24 02:43:31,24m 31s,9,6,17,4.33:1,ACE,empty,Sett,Diamond 1,empty,Irelia,소연이딱가리,Shaco,Toby Dreamditch,Lee Sin,guilty p1easure,Ezreal,산본 이니에스타,Thresh,Arshunnnn,Rengar,화가많은 고양이,Rek'Sai,퀸태진,Sylas,Butterf1y Effect,Varus,qasdaszxcasd,Sett,qwdkmnqwer
5344329728,lose,Ranked Solo,2021-07-24 01:58:01,27m 8s,2,4,15,4.25:1,ACE,empty,Rakan,Diamond 2,empty,Darius,솔로다리우스,Poppy,lllIIIlIlIlIlIlI,Syndra,youduyoudu,Ezreal,Han si jjai v0v,Taric,풀잎팀 와드,Camille,Iove camiIle,Graves,Z RyeoKR,Sylas,BRO Lava ,Ziggs,qasdaszxcasd,Rakan,qwdkmnqwer
