gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5475615120,lose,Ranked Solo,2021-09-25 20:41:14,24m 50s,2,9,10,1.33:1,empty,empty,Amumu,Grandmaster,empty,Kennen,Gen G Ruler,Olaf,byz,Akali,Shadow FA 03,Miss Fortune,Gen G Peyz,Leona,Let me sup,Aatrox,KT Castle,Viego, 엘 림,Vex,디알엑스 제트,Cassiopeia,DK Kingdom,Amumu,곽곽보성
5475418303,win,Ranked Solo,2021-09-25 20:08:40,27m 37s,1,6,20,3.50:1,empty,empty,Leona,Grandmaster,empty,Kennen,Fox B Osu,Lee Sin,byz,LeBlanc,디알엑스 제트,Varus,Gen G Ruler,Alistar,Let me sup,Cassiopeia,DK Kingdom,Graves,미드조지기,Twisted Fate,Naehyun,Miss Fortune,Gen G Peyz,Leona,곽곽보성
5475481277,lose,Ranked Solo,2021-09-25 19:30:47,20m 45s,4,7,2,0.86:1,empty,empty,Amumu,Grandmaster,empty,Yone,DK Ira,Ekko,byz,Akshan,Indexy,Aphelios,듀오 구글 제드팀,Amumu,곽곽보성,Jax,wodesry,Graves,미드조지기,Zoe,BRO Yaharong,Miss Fortune,tnedifnoc syawla,Leona,한영원
5475205825,lose,Ranked Solo,2021-09-25 19:03:01,20m 55s,2,7,7,1.29:1,empty,empty,Amumu,Grandmaster,empty,Graves,BRO TaNa,Talon,byz,Syndra,Tangyuando,Kai'Sa,고구마태풍,Blitzcrank,concesslon,Jax,77GameZting,Nidalee,Haru0304,Yone,갱붕이,Miss Fortune,tnedifnoc syawla,Amumu,곽곽보성
5473565798,lose,Ranked Solo,2021-09-25 00:47:22,20m 13s,3,3,2,1.67:1,ACE,empty,Karma,Challenger,empty,Jayce,포동포동아기물개,Zac,역시폭군,LeBlanc,DK Chasy,Ezreal,JJ0ng 묻었네,Karma,곽곽보성,Gragas,dustmqdyd12,Graves,난 워낙 노빠꾸라,Katarina,Emilia tan,Lucian,길고먼여행지,Lulu,하루에 18판
5472304432,lose,Ranked Solo,2021-09-24 17:02:57,25m 59s,4,6,18,3.67:1,Double Kill,empty,Nami,Grandmaster,empty,Quinn,카사돌,Talon,xhr,Vex,놀이터여행자,Lucian,거북이사건,Thresh,Youtube heeseong,Camille,ke bei,Kindred,T1 Ellim,Galio,NEED HER,Caitlyn,tnedifnoc syawla,Nami,곽곽보성
5469854941,win,Ranked Solo,2021-09-23 03:20:54,41m 53s,0,8,33,4.13:1,empty,empty,Karma,Grandmaster,empty,Vayne,FA Decky,Viego,미소의눈동자,Ryze,단군의청춘부재,Miss Fortune,짐승 잡종 인간,Thresh,우주방패,Mordekaiser,KT R TOP,Zed,난 무조건 잘 돼,Katarina,Emilia tan,Aphelios,항상배고픈코그모,Karma,곽곽보성
5469812328,lose,Ranked Solo,2021-09-23 02:19:58,18m 36s,3,6,2,0.83:1,empty,empty,Karma,Grandmaster,empty,Jax,샤오 쑤,Lee Sin,끼릭끼리릭,Akali,나는 준일하다,Ezreal,옆동산외계인,Karma,곽곽보성,Cassiopeia,DK Kingdom,Rek'Sai,우울적울컥,Irelia,미소의눈동자,Katarina,Emilia tan,Rakan,DFM GAENG
5469698542,win,Ranked Solo,2021-09-23 01:42:13,21m 30s,0,5,14,2.80:1,empty,empty,Amumu,Grandmaster,empty,Jayce,ziyou,Diana,Hengzzz,Yone,은가뉴,Heimerdinger,PhasedKiller,Amumu,곽곽보성,Aatrox,미소의눈동자,Qiyana,나는변신할것이다,Irelia,dustmqdyd12,Ziggs,DK ShowMaker,Rell,SHCH0
5469712535,lose,Ranked Solo,2021-09-23 01:09:15,34m 5s,4,12,30,2.83:1,empty,empty,Nami,Grandmaster,empty,Aatrox,dustmqdyd12,Karthus,byz,Tryndamere,으 하하 맛 있 어,Lucian,짐승 잡종 인간,Nami,곽곽보성,Akali,미소의눈동자,Qiyana,나는변신할것이다,Vayne,갱붕이,Miss Fortune,N0T Angry,Xerath,옆동산외계인
5469678648,lose,Ranked Solo,2021-09-23 00:27:55,15m 54s,1,4,1,0.50:1,ACE,empty,Karma,Grandmaster,empty,Camille,Gen G Burdol,Graves,N0T Angry,Ryze,단군의청춘부재,Caitlyn,길고먼여행지,Thresh,Shadow Winsome,Jax,MIDKlNG,Diana,나는변신할것이다,Qiyana,못할 때도 있지,Aphelios,hao yun bao bei,Karma,곽곽보성
5469633680,win,Ranked Solo,2021-09-22 23:55:27,15m 59s,6,1,12,18.00:1,empty,empty,Karma,Grandmaster,empty,Jax,FA Decky,Talon,Cuzz,Ryze,단군의청춘부재,Aphelios,zszzz,Karma,곽곽보성,Camille,Hakunaa Matata,Zed,     la ji game,Fizz,DK ShowMaker,Lucian,하 루 가절 반 ,Nami,Yi bing chao
5469510475,win,Ranked Solo,2021-09-22 23:06:07,36m 22s,4,7,14,2.57:1,empty,empty,Blitzcrank,Grandmaster,empty,Riven,오동1,Taliyah,T1 Ellim,Yone,사랑이 하고싶어,Lucian,DK Kingdom,Nami,심리 건들지마,Jarvan IV,ke bei,Lee Sin,Gen G Clid,Ryze,이기고오쉽당,Kai'Sa,숟뀨락,Blitzcrank,곽곽보성
5469463215,win,Ranked Solo,2021-09-22 22:17:16,21m 12s,0,4,14,3.50:1,empty,empty,Nami,Grandmaster,empty,Lulu,ADD on win,Graves,Gen G Clid,Galio,lIIlIIIIIllIIII,Xayah,아이린,Rakan,Yi bing chao,Kennen,fa 01 top,Zac,xiao adc,Zed,ZED99,Vayne,이기고오쉽당,Nami,곽곽보성
5468433793,win,Ranked Solo,2021-09-22 16:33:40,20m 37s,3,6,14,2.83:1,empty,empty,Karma,Grandmaster,empty,Rumble,재간동실이,Lee Sin,카타탈론원챔죽어,Vladimir,으 하하 맛 있 어,Jhin,pingwozhijiedian,Karma,곽곽보성,Fiora,Azhy,Zac,xiao adc,Zed,디알엑스 제트,Lucian,zxcsazxcazdz,Lulu,레넥톤의 우람한
5467500479,lose,Ranked Solo,2021-09-22 02:38:19,28m 3s,15,7,8,3.29:1,Double Kill,ACE,Zed,Grandmaster,empty,Zoe,거북이사건,Zed,곽곽보성,Zac,언니우기,Jinx,애기야 안녕,Zilean,SnowFlow2r,Jayce,Gen G Burdol,Jarvan IV,으라차차으라차차,Ryze,Trisak,Ezreal,메 피,Anivia,douyu TV 9018814
5467410655,lose,Ranked Solo,2021-09-22 01:55:21,3m 17s,0,1,0,0.00:1,empty,empty,Karma,Grandmaster,empty,Yone,Gen G Clid,Graves,으라차차으라차차,Anivia,douyu TV 9018814,Miss Fortune,듀오강의코코팀,Gragas,거북이사건,Yasuo,검색 구글 제드팀,Lee Sin,일산전영찬,Heimerdinger,PhasedKiller,Tryndamere,wodesry,Karma,곽곽보성
5467381935,lose,Ranked Solo,2021-09-22 01:34:33,26m 6s,0,9,12,1.33:1,empty,empty,Amumu,Grandmaster,empty,Kennen,hggbexrloo,Graves,디알엑스 제트,Irelia,Sutkressuree,Kai'Sa,실패따위,Amumu,곽곽보성,Ryze,wodesry,Zed,kaixin1dian,Yasuo,검색 구글 제드팀,Lucian,viper3,Rakan,옆동산외계인
5467274193,win,Ranked Solo,2021-09-22 00:57:04,28m 10s,1,6,22,3.83:1,empty,empty,Karma,Grandmaster,empty,Camille,Gen G Burdol,Xin Zhao,00000000002,Twisted Fate,Hakunaa Matata,Jhin,Gen G Ruler,Alistar,Bvoyy,Jayce,나는변신할것이다,Ekko,CITRU5,Qiyana,못할 때도 있지,Lucian,irasu1,Karma,곽곽보성
