gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5360020034,lose,Ultimates,2021-07-31 00:36:43,20m 55s,6,7,4,1.43:1,Double Kill,empty,Zed,empty,empty,Varus,뇌전수리검,Thresh,미니언 감별사,Gragas,무조건 방관,Akshan,겜다함,Sion,13등급,Brand,만트람,Samira,Gen G Clid,Zed,Rascal,Master Yi,qwdkmnqwer,Viego,유체화미드달리기
5318886361,win,Ultimates,2021-07-12 03:16:05,18m 43s,5,8,8,1.63:1,empty,empty,Ezreal,empty,empty,Yuumi,elole,Ivern,두대맞은 조진웅,Ezreal,Rascal,Viego,qwdkmnqwer,Zed,람쥐썬더7777,Twitch,빈박스,Xerath,초월의 제라스,Ezreal,렛렛야야,Irelia,powai1,Malphite,무봉3리
5318866301,win,Ultimates,2021-07-12 02:53:53,10m 16s,3,1,5,8.00:1,empty,empty,Senna,empty,empty,Lee Sin,얘는 진짜다,Katarina,양색슨,Soraka,듀 힝,Ezreal,Platinum lV,Viego,민주9999,Graves,elole,Senna,Rascal,Yone,냉철하게 생각해,Viego,qwdkmnqwer,Zed,람쥐썬더7777
5318805676,win,Ultimates,2021-07-12 02:40:42,16m 9s,16,3,12,9.33:1,Double Kill,empty,Senna,empty,empty,Diana,elole,Senna,Rascal,Zoe,현망아지,Malphite,qwdkmnqwer,Thresh,람쥐썬더7777,LeBlanc,한손가락롤한다,Cho'Gath,똥챔장인 광토르,Warwick,Galaxy V2 A Page,Kindred,천넌1,Veigar,20117230
5240150774,win,Ranked Solo,2021-06-04 12:42:19,12m 25s,2,1,1,3.00:1,empty,empty,Viego,Diamond 1,empty,Shen,재아리,Olaf,zlszz,Cassiopeia,담원 이종욱,Ezreal,GOGOGOGOGOG,Blitzcrank,2725951945950848,Viego,Rascal,Lee Sin,TAEKROI,Syndra,talking shlt,Jinx,득 털,Thresh,7 ll
5225078937,lose,Ranked Solo,2021-05-28 03:25:38,20m 15s,1,4,1,0.50:1,empty,empty,Viego,Master,empty,Viego,Rascal,Kindred, hoooooyeony,Zoe,열심히하자아아아,Ezreal,혜철상순,Wukong,근 두,Sett,안전불감증탑솔러,Diana,수 입,Viktor,오늘은느낌이좋아,Kai'Sa,수식이는 씩씩해,Lulu,가대여신채예린
5224966913,win,Ranked Solo,2021-05-28 02:41:51,15m 32s,5,3,1,2.00:1,Double Kill,empty,Viego,Master,empty,Viego,Rascal,Olaf,10020710del,Sylas,M24 GGT,Jinx,문월2,Thresh,태기베어,Renekton,MADMONSTER JAYHO,Diana,YMzhao80089752,Aatrox,HLE Baut,Tristana,LOOK ME SHOWTIME,Zilean,갓프랑
5219369292,win,Ranked Solo,2021-05-25 12:32:37,30m 6s,9,7,10,2.71:1,Double Kill,MVP,Lee Sin,Master,empty,Lee Sin,Rascal,Diana,Fix u xxx,Viktor,프로하고싶은,Kled,거북이사건,Senna,김숙희,Shen,서정언,Elise,배고파서 슬퍼,Viego,준에고,Kai'Sa,Dogs,Nautilus,우리 질퍽이
5219385755,lose,Ranked Solo,2021-05-25 11:51:39,38m 49s,9,9,6,1.67:1,Double Kill,ACE,Gwen,Master,empty,Gwen,Rascal,Rumble,G4mingskull,Viego,준에고,Caitlyn,카이사만해버리기,Morgana,승 핵,Yone,악귀연무,Kindred,저능아새끼칼차단,Cassiopeia,foggrassuhorse,Jinx,매사에 침착하게,Blitzcrank,25350765del
5205584475,win,Ranked Solo,2021-05-19 01:04:15,17m 1s,1,4,4,1.25:1,empty,empty,Sett,Master,empty,Tryndamere,Youtube 엉덩국곰,Kha'Zix,호먐미,Sylas,Macdella,Kai'Sa,bbbig babamba,Galio,뱍원순,Lucian,2639438867588352,Rumble,sao ma do duoc,Sett,Rascal,Tristana,졸려죽겠다진짜,Morgana,연세대표미드
5205436100,win,Ranked Solo,2021-05-19 00:34:54,20m 40s,4,2,3,3.50:1,empty,empty,Irelia,Master,empty,Sett,힘내자 할수있다,Nidalee,배고파서 슬퍼,Jayce,Make Me M0ve,Jinx,희쉬희뮈,Lulu,Crucile,Irelia,Rascal,Kindred,Mulkeong,Viktor,Macdella,Samira,2717407819753056,Thresh,악귀연무
5205208389,win,Ranked Solo,2021-05-19 00:05:09,25m 33s,8,5,6,2.80:1,empty,empty,Jayce,Master,empty,Gangplank,Crucile,Elise,lucky boy2,Renekton,포동포동 조이,Kai'Sa,Ace Legolas,Karma,Steam Packk,Jayce,Rascal,Kindred,Yplay,Fizz,카페인중독2,Varus,4달만고생하자,Janna,meiyoulangman
5205000786,win,Ranked Solo,2021-05-18 22:04:08,15m 24s,2,0,2,Perfect,MVP,empty,Lucian,Master,empty,Jayce,미친 광견 나버섯,Rek'Sai,여르미,Azir,미독아지르,Kai'Sa,YangSuKR,Janna,asdadasdsadadas,Lucian,Rascal,Xin Zhao,젠장에픽,Kassadin,연세대표미드,Varus,병아리자라면치킨,Blitzcrank,Holic Jayce
5203615227,win,Ranked Solo,2021-05-18 01:56:50,20m 0s,6,2,5,5.50:1,empty,empty,Jayce,Master,empty,Sett,Bluff da shi,Morgana,xianxiaosh200,Qiyana,Make Me M0ve,Varus,록 쏠,Karma,ISFP그자체,Irelia,haohaohao3,Rumble,Ma1ibu night,Sylas,cyxiaokeai,Jayce,Rascal,Senna,살인몬
