gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490199790,win,Ranked Solo,2021-10-04 05:40:54,20m 46s,8,3,1,3.00:1,MVP,empty,Lucian,Master,empty,Tahm Kench,Vate,Volibear,MachoTomacho,Kassadin,MatTekBollerKID,Lucian,ADADAD141414,Sona,Ektoz,Camille,DK Cαnyon,Karthus,grixJason2,Yasuo,ESv2 Savage,Vayne,Castanic,Nami,GOD ALGORITHM
5488723860,win,Ranked Solo,2021-10-03 12:00:27,27m 37s,6,7,10,2.29:1,empty,empty,Jhin,Master,empty,Kennen,PwaN P,Graves,SheldHeda,LeBlanc,TRG Nakhla,Lucian,Knówingly Úp,Nami,Vale22,Vayne,nekr0shade,Lillia,asyc is a dog,Irelia,Pooga,Jhin,ADADAD141414,Yuumi,Eeven
5488770943,win,Ranked Solo,2021-10-03 11:23:19,20m 2s,9,4,6,3.75:1,Double Kill,empty,Ezreal,Master,empty,Sett,PwaN P,Graves,elvarázsolt,Annie,asyc is a dog,Ezreal,ADADAD141414,Rakan,Ajeje Brazorf 10,Gwen,VININE Rafunzel,Xin Zhao,Vedoluinim,Yone,MAJOR FestWho,Vayne,nekr0shade,Yuumi,tuokaZ
5488720811,lose,Ranked Solo,2021-10-03 10:46:00,27m 16s,4,10,6,1.00:1,ACE,empty,Draven,Master,empty,Renekton,Chosen1 AJ,Elise,EVΣ,Zed,VININE Rafunzel,Draven,ADADAD141414,Seraphine,PLS SAVE ME PLS,Gragas,xqgxnbjxn,Kha'Zix,Barsas,Katarina,car crashh,Lucian,AbbottnC,Nautilus,Senkuu 999
5488638737,win,Ranked Solo,2021-10-03 10:11:03,29m 16s,8,8,2,1.25:1,Double Kill,empty,Ziggs,Master,empty,Irelia,Sakurajima Mai 3,Evelynn,EVΣ,LeBlanc,peacefuI mind,Vayne,KURAE GO SKY,Rakan,AmigoDTuMadrε,Kled,Dyoll,Talon,Lesnoy rab,Yone,TURBOFISTER v2,Ziggs,ADADAD141414,Leona,KiIIuα Zoldyck
5488587333,win,Ranked Solo,2021-10-03 09:30:34,24m 23s,3,10,7,1.00:1,empty,empty,Ziggs,Master,empty,Sion,Gricuś,Master Yi,Dogchamp OTP,Akali,Iarsahan ,Ziggs,ADADAD141414,Galio,peacefuI mind,Shen,Afrobrook,Rengar,LEGALLY INSANE,Zed,Zednédine Zedane,Draven,Jeje0709,Amumu,PCS Buzzy
5488662088,win,Ranked Solo,2021-10-03 08:59:38,33m 58s,10,13,8,1.38:1,empty,empty,Draven,Master,empty,Gangplank,Totyz,Trundle,Snoku,Corki,TIOPGM,Aphelios,Astro Lexo,Thresh,chasing my way,Sion,Gricuś,Udyr,PickFast,Lux,QQ INTing Dog,Draven,ADADAD141414,Leona,Choνa
5488422070,win,Ranked Solo,2021-10-03 06:10:45,22m 19s,4,4,2,1.50:1,Triple Kill,empty,Aphelios,Diamond 1,empty,Riven,Built A Kingdom,Trundle,some new tools ,Kennen,Kafuu chin0,Aphelios,ADADAD141414,Thresh,FoulApe,Aatrox,samj1046,Evelynn,niaM cdA,Qiyana,GETOUTFROMHEREXD,Ezreal,LBJLBJLBJLBJ1111,Yuumi,Acid Storm 
5488347894,win,Ranked Solo,2021-10-03 05:42:16,17m 46s,4,1,10,14.00:1,MVP,empty,Ezreal,Diamond 1,empty,Fiora,King Α D ,Nidalee,Bloom1,Pantheon,Usan san,Ezreal,ADADAD141414,Janna,towhat,Riven,rchrchgdnzxc,Qiyana,GETOUTFROMHEREXD,Azir,XELEGION,Vayne,twtv billiee,Lulu,Acid Storm 
5488044481,lose,Ranked Solo,2021-10-03 01:54:53,20m 53s,2,7,1,0.43:1,empty,empty,Samira,Master,empty,Nasus,PM TomGlajn,Lee Sin,WF Malaluck,LeBlanc,Dat Patrick,Twitch,Gαp maker,Pyke,pyke4132,Darius,harpf,Talon,2 15 13 4 9 1,Ekko,anewnoob2,Samira,ADADAD141414,Rell,ChnOwO
