gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5344824173,win,Ranked Solo,2021-07-24 03:54:35,16m 6s,6,2,7,6.50:1,MVP,empty,Ezreal,Diamond 1,empty,Renekton,yu ni gong cun,Fiddlesticks,옘 뱅,Kalista,특별하지않습니다,Jhin,aridet,Nautilus,EL PSY KONGR00,Lee Sin,dongdong33,Evelynn,Aishu,Sylas,zxczczxzcxczc,Ezreal,qasdaszxcasd,Sett,qwdkmnqwer
5344830111,lose,Ranked Solo,2021-07-24 03:15:48,23m 11s,5,12,5,0.83:1,Double Kill,ACE,Varus,Diamond 1,empty,Riven,순뀨박,Zac,나도잘하고싶다규,Qiyana,Zhaozhiyue,Varus,qasdaszxcasd,Leona,qwdkmnqwer,Camille,하늘을달려,Lee Sin,진짜 졸라 빡치네,Galio,Akshan maestro,Xayah,irasu1,Rakan,19old summer
5344686297,lose,Ranked Solo,2021-07-24 02:43:31,24m 31s,6,9,16,2.44:1,empty,empty,Varus,Diamond 1,empty,Irelia,소연이딱가리,Shaco,Toby Dreamditch,Lee Sin,guilty p1easure,Ezreal,산본 이니에스타,Thresh,Arshunnnn,Rengar,화가많은 고양이,Rek'Sai,퀸태진,Sylas,Butterf1y Effect,Varus,qasdaszxcasd,Sett,qwdkmnqwer
5344329728,lose,Ranked Solo,2021-07-24 01:58:01,27m 8s,5,5,8,2.60:1,Double Kill,empty,Ziggs,Diamond 2,empty,Darius,솔로다리우스,Poppy,lllIIIlIlIlIlIlI,Syndra,youduyoudu,Ezreal,Han si jjai v0v,Taric,풀잎팀 와드,Camille,Iove camiIle,Graves,Z RyeoKR,Sylas,BRO Lava ,Ziggs,qasdaszxcasd,Rakan,qwdkmnqwer
5344401261,win,Ranked Solo,2021-07-24 01:09:20,20m 34s,3,4,8,2.75:1,empty,empty,Aphelios,Diamond 1,empty,Jayce,L I T E B O X,Nidalee,2760688370853600,Irelia,소연이딱가리,Ezreal,zhenli,Nami,하린냥이,Gangplank,aridet,Diana,으라차차으라차차,Sett,wsy happy,Aphelios,qasdaszxcasd,Taric,qwdkmnqwer
5344221898,lose,Ranked Solo,2021-07-24 00:23:59,19m 48s,0,9,5,0.56:1,empty,empty,Varus,Diamond 1,empty,Camille,롤로배우는맞다이,Karthus,그냥 너,Zed,Silpinn,Lucian, imp8,Leona,G yuzhe,Qiyana,Dont be fury,Diana,010910711O1,Kennen,미 토,Varus,qasdaszxcasd,Braum,qwdkmnqwer
5301783939,win,Ranked Solo,2021-07-04 03:47:02,12m 16s,1,1,5,6.00:1,empty,empty,Kai'Sa,Diamond 2,empty,Viego,2739463905429216,Nidalee,Tar7an,Camille,Shirakami Fubuk1,Varus,Axiyo,Thresh,일 편,Dr. Mundo,Adodacova,Lee Sin,밧형욱,Twisted Fate,박투신,Kai'Sa,qasdaszxcasd,Leona,qwdkmnqwer
5301750321,win,Ranked Solo,2021-07-04 03:21:52,26m 51s,10,6,10,3.33:1,Double Kill,empty,Kai'Sa,Diamond 2,empty,Viego,Shirakami Fubuk1,Diana,밧형욱,Lulu,빅딜 에러린,Ashe,Critical Attack,Nautilus,박투신,Gwen,TOPKING,Lee Sin,산더미 컵라면,Qiyana,Adodacova,Kai'Sa,qasdaszxcasd,Leona,qwdkmnqwer
5301683332,win,Ranked Solo,2021-07-04 02:40:10,36m 50s,9,4,9,4.50:1,Double Kill,MVP,Kai'Sa,Diamond 3,empty,Urgot,모두모두항복하걸,Diana,Shirakami Fubuk1,Yasuo,MIDKlNG,Kai'Sa,qasdaszxcasd,Rakan,qwdkmnqwer,Viego,TOPKING,Nidalee,밧형욱,Orianna,CIoudburst,Ezreal,2752926968678272,Karma,박투신
5301536870,lose,Ranked Solo,2021-07-04 01:43:50,24m 42s,3,11,1,0.36:1,ACE,empty,Varus,Diamond 1,empty,Aatrox,1xn fans,Hecarim,땡스기빙데이,Zoe,ZOE FIZZ,Jinx,CCRGB,Thresh,비이스타,Camille,JP6RU8,Lee Sin,Xiaoyu ToKey,LeBlanc,Homies fan1,Varus,qasdaszxcasd,Leona,qwdkmnqwer
