gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488703754,lose,Ranked Solo,2021-10-03 11:30:14,20m 18s,2,10,4,0.60:1,empty,empty,Ezreal,Master,empty,Jax, Wö Ňen Ðiê,Talon,otkachalka681,Anivia,james unexpected,Vayne,deve rider,Soraka,Kuba Kaus,Fiora,Mädchen,Karthus,Spray x,Yone,SLIMKIDD,Ezreal,9 19 Night,Yuumi,             zwc
5488692308,lose,Ranked Solo,2021-10-03 10:58:56,28m 10s,10,7,12,3.14:1,ACE,empty,Lee Sin,Master,empty,Kennen,David Nalbandian,Lee Sin,9 19 Night,LeBlanc,DK RiceMaker,Draven,NNForsaken,Amumu,w3nii,Sylas,SOU LINDOO,Rek'Sai,Win or Valhalla,Kassadin,hu7chyXXXbeifeng,Lucian,Giant Monster,Nami,S9XDXDXD
5488690462,lose,Ranked Solo,2021-10-03 10:24:17,28m 54s,4,7,14,2.57:1,Double Kill,empty,Lee Sin,Master,empty,Fiora,lennylennylenny,Xin Zhao,Not nexo rdy,Sylas,SOU LINDOO,Aphelios,Giant Monster,Nami,SiMajk,Malphite,Nouji,Lee Sin,9 19 Night,Katarina,sako meile gydo,Lucian,Whiterog,Amumu,BroIia
5488598886,win,Ranked Solo,2021-10-03 09:49:18,19m 39s,6,4,9,3.75:1,Double Kill,MVP,Taliyah,Master,empty,Rengar,Sssuperset,Nidalee,1v9wheneveriwąnt,Zoe,CannonMinion4u,Aphelios,deve rider,Lulu,xaroula psilakhs,Urgot,FOXA Uhtred,Taliyah,9 19 Night,Qiyana,Achilles int acc,Jhin,sQûiiRReL,Rakan,XERSUS7
5488595667,lose,Ranked Solo,2021-10-03 09:22:20,35m 53s,9,8,10,2.38:1,Double Kill,empty,Kindred,Master,empty,Fiora,Νight Drive,Fiddlesticks,EtoTudaEtoSuda,Tryndamere,2021Worlds0019,Jhin,sQûiiRReL,Leona,Màrtîn Dérèk,Urgot,LFT Dunks,Kindred,9 19 Night,Galio,mangos1,Lucian,TOPSHOTTA99,Nami,xaroula psilakhs
5488621790,win,Ranked Solo,2021-10-03 08:40:50,24m 41s,17,2,8,12.50:1,Triple Kill,MVP,Lee Sin,Master,empty,Tryndamere,SOU LINDOO,Lee Sin,9 19 Night,LeBlanc,ELF Valin,Miss Fortune,SWENZUUUUUUUUUUU,Morgana,training acc 1,Irelia,Stargazer7,Talon,EtoTudaEtoSuda,Twisted Fate,beyond reality,Ziggs,Nero Forte,Amumu,S10 l R1
5488488373,lose,Ranked Solo,2021-10-03 07:57:04,22m 32s,2,11,7,0.82:1,empty,empty,Miss Fortune,Master,empty,Sett,eau de jouvence,Ekko,brhoch wa3r,Yone,Wayzen reborn,Miss Fortune,9 19 Night,Pyke,cirodalA,Riven, Terrºr,Nunu & Willump,Mrentorox,Vladimir,BornThisWay7,Ezreal,2021Worlds0150,Karma,training acc 1
5488511127,win,Ranked Solo,2021-10-03 07:10:27,26m 9s,8,8,20,3.50:1,MVP,empty,Taliyah,Master,empty,Wukong,Naynahm,Nunu & Willump,Jáximus,Tryndamere,Scúffed,Kalista,fat fam,Thresh,colden1,Camille,Âddusto,Taliyah,9 19 Night,Yone,BLACKMETALTERROR,Lucian,maoxiandao,Nami,SUP Toxic Keskin
5488456507,win,Ranked Solo,2021-10-03 06:37:42,15m 47s,9,1,13,22.00:1,empty,empty,Taliyah,Master,empty,Irelia,BLACKMETALTERROR,Nidalee,twitchtv finnry,Garen,gazpacho abuser,Ziggs,LBJLBJLBJLBJ1111,Bard,GREATSUPPORT,Aatrox,KuonOuO,Taliyah,9 19 Night,Graves,Abdu Roz1k ,Lucian,Soraï1,Nami,colden1
5488412601,lose,Ranked Solo,2021-10-03 06:14:58,25m 59s,7,9,11,2.00:1,ACE,empty,Lee Sin,Diamond 1,empty,Wukong,FeelMyLamppost,Jarvan IV,Dean v3,Irelia,NewWorld enjoyer,Karthus,Wôôsh,Janna,ˉˉˉˉˉˉı,Yone,BLACKMETALTERROR,Lee Sin,9 19 Night,Anivia,Hebinek,Miss Fortune,i Iove hot moms,Lulu,Kuba Kaus
