gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5472870865,lose,Ranked Solo,2021-09-24 19:39:15,17m 34s,2,7,7,1.29:1,empty,empty,Braum,Grandmaster,empty,Vayne,북극곰 아프다,Udyr,JD fans,Twisted Fate,CIoudburst,Aphelios,폭탄치우기,Braum,젠지 영재,Kennen,Gen G Lonely,Lee Sin,kaixin1dian,Orianna,it calls echoes,Miss Fortune,T1 Gumayusi,Leona,krole
5468496584,lose,Ranked Solo,2021-09-22 16:49:18,22m 3s,2,2,8,5.00:1,ACE,empty,Graves,Grandmaster,empty,Vayne,이스포츠 프롬,Qiyana,a little story,Sylas,은정우,Miss Fortune,원딜연습중입니닷,Leona,Yi bing chao,Kennen,ke bei,Graves,젠지 영재,Zoe,미북이,Kalista,로이갓전용노예,Rakan,szygszn
5468440949,lose,Ranked Solo,2021-09-22 16:15:21,15m 55s,2,3,2,1.33:1,empty,empty,Lee Sin,Grandmaster,empty,Aatrox,ke bei,Lee Sin,젠지 영재,Galio,퀸 세연,Aphelios,JJ0ng 묻었네,Thresh,szygszn,Malphite,Score11,Talon,아크샨밴의 신,Kassadin,LunaLina,Ashe,고구마태풍,Braum,레일리리
5468306214,lose,Ranked Solo,2021-09-22 15:53:46,15m 50s,0,4,1,0.25:1,empty,empty,Nidalee,Grandmaster,empty,Tryndamere,사랑이 하고싶어,Diana,Love dont stop,Quinn,살퀸레,Miss Fortune,듀오강의코코팀,Lulu,Tadpole Galaxy,Volibear,우울적울컥,Nidalee,젠지 영재,Zed,미북이,Samira,JJ0ng 묻었네,Rakan,szygszn
5468269630,win,Ranked Solo,2021-09-22 15:31:11,25m 39s,3,5,16,3.80:1,empty,empty,Amumu,Grandmaster,empty,Shen,xiao adc,Lee Sin,Shadow HamBak ,Lulu,JJ0ng 묻었네,Cassiopeia,킬러톱,Amumu,젠지 영재,Gwen,Love dont stop,Qiyana,나는변신할것이다,Sylas,박치기공룡입니다,Kai'Sa,평범한 숟가락,Rakan,szygszn
5468112871,lose,Ranked Solo,2021-09-22 13:52:25,26m 9s,0,6,11,1.83:1,empty,empty,Amumu,Grandmaster,empty,Mordekaiser,Gen G Burdol,Lee Sin,우울적울컥,Irelia,디알엑스 제트,Ziggs,듀오강의코코팀,Karma,썬더드래곤,Fiora,h ke pa,Qiyana,아크샨밴의 신,Kassadin,LunaLina,Cassiopeia,킬러톱,Amumu,젠지 영재
5467342757,win,Ranked Solo,2021-09-22 01:29:57,25m 14s,2,1,27,29.00:1,MVP,empty,Alistar,Grandmaster,empty,Darius,하고싶은챔함,Lee Sin,우울적울컥,Lissandra,CHAN SAY,Samira,irasu1,Alistar,젠지 영재,Gnar,BJ갈배,Talon,CITRU5,Sylas,미북이,Miss Fortune,김밥오이빼고,Leona,MNTNMNTNM
5467254554,lose,Ranked Solo,2021-09-22 00:47:41,19m 50s,3,4,3,1.50:1,ACE,empty,Nidalee,Grandmaster,empty,Jayce,Trisak,Shaco,이젠 안질게,Katarina,kata 1000,Ezreal,RiHoo,Anivia,douyu TV 9018814,Sett,수희0,Nidalee,젠지 영재,Pantheon,애달프다,Cassiopeia,라데시 너어,Blitzcrank,superlative tool
5467141635,win,Ranked Solo,2021-09-21 23:55:09,31m 32s,9,4,10,4.75:1,Triple Kill,MVP,Syndra,Grandmaster,empty,Kennen,dustmqdyd12,Lee Sin,Gen G Clid,Qiyana,213435,Syndra,젠지 영재,Thresh,Destiny,Sylas,Hakunaa Matata,Viego,Score11,LeBlanc,미 호,Lucian,어딘가좀아픈사람,Yuumi,DFM GAENG
5467084126,lose,Ranked Solo,2021-09-21 23:12:24,16m 3s,7,7,7,2.00:1,ACE,empty,Lee Sin,Grandmaster,empty,Riven,오동1,Lee Sin,젠지 영재,Zoe,미북이,Aphelios,Gen G Ruler,Leona,q7mm,Irelia,IRELKlNG,Karthus,nodfan,Yone,검색 구글 제드팀,Draven,BRO Hena,Thresh,DWG Muru
5466918943,lose,Ranked Solo,2021-09-21 22:42:33,15m 20s,4,7,1,0.71:1,Double Kill,ACE,Graves,Grandmaster,empty,Camille,애넨차피이해못해,Evelynn,날 건들지마날 ,Talon,검색 구글 제드팀,Aphelios,폭탄치우기,Karma,응애응애1212,Jax,Trisak,Graves,젠지 영재,Zoe,우으으어어엉,Lucian,Gen G Ruler,Nautilus,메 피
5466797645,win,Ranked Solo,2021-09-21 22:09:51,28m 20s,2,6,19,3.50:1,empty,empty,Leona,Grandmaster,empty,Sylas,Gen G Rascal,Rengar,sao ma do duoc,Kassadin,LunaLina,Miss Fortune,Slayder,Karma,응애응애1212,Fiora,h ke pa,Taliyah,love beijixing,Mordekaiser,77GameZting,Ashe,티어성형외과원장,Leona,젠지 영재
5466760988,win,Ranked Solo,2021-09-21 21:29:23,21m 18s,12,1,10,22.00:1,Triple Kill,MVP,Nidalee,Grandmaster,empty,Fiora,ke bei,Taliyah,나는변신할것이다,Zed,Z2D04,Aphelios,Gen G Ruler,Karma,AASSH,Camille,Gen G Burdol,Nidalee,젠지 영재,Sylas,godyaos,Ashe,아이린,Lulu,L1sure
5465988651,lose,Ranked Solo,2021-09-21 16:55:09,20m 34s,3,4,3,1.50:1,empty,empty,Viego,Grandmaster,empty,Kennen,ke bei,Ekko,Hengzzz,Qiyana,SanShengWanWu,Draven,shenzhenshaoye,Thresh,Practice,Quinn,카사돌,Viego,젠지 영재,Galio,Tangyuando,Ezreal,zszzz,Trundle,Yi bing chao
