gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488466731,lose,Ranked Solo,2021-10-03 06:46:52,22m 40s,2,9,3,0.56:1,empty,empty,Ryze,Master,empty,Aatrox,Strafe124,Talon,some new tools ,Twisted Fate,Silk,Vayne,Misanthropist,Nami,GOD ALGORITHM,Jax,Holyland,Nidalee,Nidalee is uwu,Ryze,MoDo Goodbye,Ezreal,Sambrotta,Rell,Cerul
5488442900,win,Ranked Solo,2021-10-03 06:13:16,17m 20s,1,3,5,2.00:1,empty,empty,Aphelios,Master,empty,Malphite,Aurael Quintus,Lee Sin,BYG Doggo ,Ekko,Cryingggg,Ezreal,exeBiceps,Nami,Steun,Riven,Riven ff,Karthus,dhskv,Yone,Iarsahan ,Aphelios,MoDo Goodbye,Thresh,AVIS djulo
5488289792,win,Ranked Solo,2021-10-03 05:50:42,23m 27s,14,3,12,8.67:1,Double Kill,empty,Kai'Sa,Diamond 1,empty,Camille,TearsOfCamille,Kha'Zix,The Chewbacca,LeBlanc,Son of Bjergsen,Miss Fortune,On my own path,Ekko,Rakanda,Gangplank,quick thinking,Viego,dhskv,Kassadin,Elavia,Kai'Sa,MoDo Goodbye,Nautilus,IlIIllIIIlllIIlI
5488315376,win,Ranked Solo,2021-10-03 05:21:05,18m 14s,7,4,7,3.50:1,Double Kill,MVP,Lucian,Master,empty,Ryze,Giovino,Rammus,BaybayPandaToyz,Galio,2021Worlds0102,Kai'Sa,Knówingly Úp,Blitzcrank,Phôsphoros,Riven,Flexi Returns,Hecarim,Roz,Sylas,00N Shaolin,Lucian,MoDo Goodbye,Pyke,Coaching Lion
5487106105,lose,Ranked Solo,2021-10-02 07:36:59,26m 55s,5,17,4,0.53:1,empty,empty,Lucian,Master,empty,Darius,VRA PandaUj,Graves,KENNETGOD99,Sylas,KassaEve ,Karthus,efiL,Janna,ˉˉˉˉˉˉı,Quinn,Captain Quinn,Lee Sin,PVE Kackis,Kayle,Abdu Roz1k ,Lucian,MoDo Goodbye,Nami,kalp sparzmı
5487092123,lose,Ranked Solo,2021-10-02 07:05:21,23m 51s,4,5,3,1.40:1,ACE,empty,Tristana,Master,empty,Kled,SkÆrl Marx,Nidalee,9 19 Night,Pantheon,Te Sale Caro,Kog'Maw,KatteN,Bard,Miremengjesi,Jax,One last kιss,Graves,KENNETGOD99,Morgana,Revenger GAP,Tristana,MoDo Goodbye,Pyke,Coaching Lion
5485969341,lose,Ranked Solo,2021-10-01 22:26:47,15m 54s,3,4,1,1.00:1,empty,empty,Lucian,Diamond 3,empty,Aatrox,Hielah,Hecarim,røisbire,LeBlanc,xDawon,Twitch,jsuis pas ouf,Lulu,SakisOAplitos,Graves,Mars TuT,Kayn,SophieVanDoorn,Yone,Mematton,Lucian,MoDo Goodbye,Nami,dark impulses
5485633454,win,Ranked Solo,2021-10-01 10:24:11,19m 11s,7,3,10,5.67:1,empty,empty,Lucian,Diamond 1,empty,Irelia,Solokill Machine,Zac,Dzierżoniowianin,Ekko,Riven nightcore,Lucian,MoDo Goodbye,Nami,ShN LightGuard,Poppy,BYG Doggo ,Diana,ˆAlphonse,Graves,Prame,Kai'Sa,humzh,Bard,Miremengjesi
5485562967,lose,Ranked Solo,2021-10-01 08:07:52,31m 20s,14,12,10,2.00:1,Double Kill,ACE,Lucian,Diamond 3,empty,Irelia,Sadge enjoyer,Graves,SA BEN DOPA,Samira,I will grind,Miss Fortune,Mr ît ,Amumu,wow cold,Gangplank,quick thinking,Evelynn,røisbire,Zed,ASUS Lexa,Lucian,MoDo Goodbye,Nami,veeBlithe133
5485530886,lose,Ranked Solo,2021-10-01 07:30:13,21m 52s,3,9,3,0.67:1,empty,empty,Miss Fortune,Master,empty,Riven,Saomaro,Lee Sin,WF Malaluck,Vex,DadelDieKuh,Samira,ICI CA FLINGUE,Nautilus,michalegia,Darius,Lanıus,Lillia,deceiving kiss,Yasuo,wastemaη,Miss Fortune,MoDo Goodbye,Amumu,KuonOuO
5485457202,win,Ranked Solo,2021-10-01 06:59:07,18m 12s,13,2,4,8.50:1,Double Kill,empty,Lucian,Diamond 1,empty,Irelia,Łet none survive,Viego,The Chewbacca,Yone,DÌØ,Lucian,MoDo Goodbye,Janna,Desiru,Akali,lucky iceland ,Rengar,LEGALLY INSANE,Graves,HIGH CLASS GYPSY,Tristana,heliumgirl,Nautilus,IlIIllIIIlllIIlI
5485370426,win,Ranked Solo,2021-10-01 06:21:13,25m 17s,19,6,6,4.17:1,Triple Kill,empty,Lucian,Master,empty,Riven,Saomaro,Evelynn,Okupant,Tryndamere,HealingMark,Xayah,VNR Floopz,Rakan,ƒrekte,Fiora,LessonLearneDD,Ekko,Yujixiao,Pantheon,DuckyLover,Lucian,MoDo Goodbye,Nami,heal ad plz
5485354314,win,Ranked Solo,2021-10-01 05:47:55,32m 47s,20,3,6,8.67:1,Double Kill,MVP,Lucian,Master,empty,Fiora,h0la eu,Lee Sin,Køldo Locuraa,LeBlanc,BeS Dizzle,Ezreal,byeeeeeee,Karma,heal ad plz,Kalista,GS 5,Evelynn,Welcome,Nunu & Willump,Nobreak9,Lucian,MoDo Goodbye,Thresh,Peto1
5484395880,win,Ranked Solo,2021-09-30 09:50:37,27m 35s,11,7,7,2.57:1,Double Kill,empty,Lucian,Master,empty,Camille,on me,Poppy,RDL Dacreq,Ahri,The Umbral Star,Ezreal,fiaktou,Janna,PB Blackfalcon,Sett,Leks GO,Viego,Baldzer,Fizz,TWMNx ,Lucian,MoDo Goodbye,Yuumi,Udjizi
5484412065,lose,Ranked Solo,2021-09-30 08:54:33,25m 41s,1,7,6,1.00:1,empty,empty,Miss Fortune,Diamond 1,empty,Singed,jjef,Kayn,Idenshi,Lulu,LUNARZ,Ezreal,Alpha Yoshi,Trundle,YTSearch Hanabi,Shen,Cedric,Talon,321421,Vex,kłapouchy,Miss Fortune,MoDo Goodbye,Amumu,Wsh Bien
