gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488123507,win,Ranked Solo,2021-10-03 03:08:19,31m 5s,7,7,8,2.14:1,empty,empty,Galio,Diamond 1,empty,Nasus,PM TomGlajn,Kha'Zix,Hadeslol,Akali,ball wo you,Tristana,random ad1,Nami,Acid Storm ,Gnar,CvB Arbuz,Lee Sin,traphouse m,Lucian,Twtv KappaBeetle,Galio,2021Worlds0058,Amumu,theFFM
5487261190,win,Ranked Solo,2021-10-02 08:34:12,28m 2s,7,6,11,3.00:1,empty,empty,Ryze,Master,empty,Singed,LevelZeroFangirl,Ekko,BARYON Aegis,Yasuo,Cypiisuo,Lucian,Mindrago,Nami,Màrtîn Dérèk,Ornn,TwTv Makkro0,Jarvan IV,Geldo,Ryze,2021Worlds0058,Kai'Sa,NEWSUN Fans,Amumu,stuck in low
5487126859,win,Ranked Solo,2021-10-02 07:52:31,32m 20s,6,6,8,2.33:1,empty,empty,Ryze,Master,empty,Trundle,SniIIer,Kayn,manumatador,Ryze,2021Worlds0058,Lucian,2021Worlds0171,Janna,Celterr1,Jax,AngryBros,Talon,I want winner,Diana,Rougé,Miss Fortune,Luck is my Waifu,Rakan,SUP Toxic Keskin
5485970356,win,Ranked Solo,2021-10-01 22:38:09,17m 9s,13,0,7,Perfect,Double Kill,MVP,Sylas,Master,empty,Tryndamere,FakboiMrHolst,Gragas,KobeeeeBryant,Twisted Fate,Hi Plum Here,Senna,FNC Jeko,Rakan,DP Pbd,Camille,GNf Firweer,Kha'Zix,àlea iacta est,Sylas,2021Worlds0058,Swain,Ipados,Xerath,autopilot pls
5475912444,lose,Ranked Solo,2021-09-25 05:01:53,24m 35s,1,6,4,0.83:1,ACE,empty,Irelia,Master,empty,Renekton,Lonimes,Kindred,Pablo Parito,Qiyana,chaD legnD,Aphelios,PD Xirionto,Syndra,jhinsamiradraven,Camille,qPdAngelo,Taliyah,deceiving kiss,Irelia,2021Worlds0058,Ziggs,J5 Portischen,Nami,BTG DarkoP7
5475246022,win,Ranked Solo,2021-09-24 23:11:32,27m 24s,3,2,14,8.50:1,empty,empty,Galio,Master,empty,Aatrox,Lagsw0w,Zed,swim with me,Sylas,Benda od Whisky,Ezreal,aere perennius,Bard,Suken,Lee Sin,Harbo,Rumble,P0P SM0KEEE,Galio,2021Worlds0058,Twitch,Scúffed,Thresh,1roNN
5475330668,lose,Ranked Solo,2021-09-24 22:35:42,23m 51s,8,8,15,2.88:1,Double Kill,empty,Galio,Master,empty,Dr. Mundo,FengDere,Talon,Last Chance 4S,Galio,2021Worlds0058,Kai'Sa,aere perennius,Amumu,Karni,Volibear,Honeyβadger,Olaf,aSnBurnell,Sylas,Ronaldinhooo,Samira,Ukranian,Rakan,Rencha
5474651805,lose,Ranked Solo,2021-09-24 07:22:38,28m 41s,5,10,6,1.10:1,empty,empty,Irelia,Master,empty,Garen,Maître kebabier2,Xin Zhao,Last Chance 4S,Rumble,boli mnie głowa,Lucian,DecentKing,Karthus,IRL CLOSE,Irelia,2021Worlds0058,Elise,C Crits,Katarina,Itz Dagger,Ezreal,Lang Zi Yan,Thresh,colden1
5474235712,lose,Ranked Solo,2021-09-24 06:44:50,26m 11s,7,10,3,1.00:1,empty,empty,Zoe,Master,empty,Graves,WoppaChobba,Diana,BARYON Aegis,Yone,DecentKing,Twitch,mechαnicalxd,Xerath,DunklesElement,Katarina,mimish1,Talon,Last Chance 4S,Zoe,2021Worlds0058,Vayne,maxi tacos,Amumu,KALKI FULL GALOP
5474101909,win,Ranked Solo,2021-09-24 05:39:48,30m 52s,7,8,16,2.88:1,empty,empty,Irelia,Master,empty,Poppy,EhmWarKlar,Jarvan IV,nice gυy,Sylas,ArkAn StarDust,Xayah,Lang Zi Yan,Rakan,LFT Patr3ote,Cassiopeia,Mikey Tοman,Zac,Senpai David,Irelia,2021Worlds0058,Ezreal,xTremeNuke,Janna,Kominiarz
5474014793,win,Ranked Solo,2021-09-24 05:02:15,29m 41s,6,1,20,26.00:1,empty,empty,Galio,Master,empty,Yone,DONT TOUCH ROACH,Diana,chaD legnD,Galio,2021Worlds0058,Lucian,impure angel77,Nami,Xerõs,Yorick,Krykey,Talon,kirei smurfer,Taliyah,2021Worlds0019,Yasuo,time waste01,Alistar,owwx
5473927437,lose,Ranked Solo,2021-09-24 04:26:23,32m 0s,7,7,5,1.71:1,empty,empty,Sett,Master,empty,Mordekaiser,2021Worlds0024,Rek'Sai,380V Jung ,Irelia,TheObcisor,Xayah,Pοl,Rakan,Bameuter,Sett,2021Worlds0058,Karthus,pawp,Volibear,Rafaello abuser,Lucian,RRRift,Nami,vaggut
5473952575,win,Ranked Solo,2021-09-24 03:43:19,15m 12s,6,0,10,Perfect,MVP,empty,Galio,Master,empty,Sett,50547,Viego,TDC DoubleAces,Kassadin,ArkAn StarDust,Jhin,OxygenWaster,Yuumi,Jin 97,Jayce,ROAR ItGox,Elise,C Crits,Galio,2021Worlds0058,Jinx,J5 EricSkiller,Rakan,Lσƒı η Cσƒƒee
5473866081,win,Ranked Solo,2021-09-24 03:21:25,31m 3s,12,1,12,24.00:1,MVP,empty,Galio,Master,empty,Urgot,BanChemtankShen,Lillia,Slice,Tristana,KAOS Kejila,Vayne,OxygenWaster,Senna,Fosse à purin,Kayle,Suberhyber,Kha'Zix,GAP IN THE JAP,Galio,2021Worlds0058,Zed,XXXXX Q0001,Rell,Marihuanox
5473769087,lose,Ranked Solo,2021-09-24 02:45:40,35m 30s,9,5,7,3.20:1,ACE,empty,Zoe,Master,empty,Shen,fak,Nidalee,ºOcelot Abuseurº,Zoe,2021Worlds0058,Varus,AF tea,Leona,buff yuumi q plz,Mordekaiser,Not ZeroOo,Lee Sin,daIe manin,Yone,Hvid Monster,Miss Fortune,Stampé,Pyke,Siskauskas
5473683519,win,Ranked Solo,2021-09-24 01:55:42,23m 32s,11,3,5,5.33:1,Double Kill,empty,Twisted Fate,Master,empty,Shen,zort query,Rengar,VUZRAJDANE MANQK,Twisted Fate,2021Worlds0058,Jhin,DokyoTrift,Leona,StormFury v2,Gwen,D1 Tourist,Zac,ENOUGH IS ENÓUGH,Zed,Ban Inugami Pls,Tristana,Juzoo,Amumu,twtv Pomerzz
5473628631,win,Ranked Solo,2021-09-24 01:24:09,22m 11s,19,3,12,10.33:1,Triple Kill,MVP,Galio,Master,empty,Kled,çekilin yolumdan,Nidalee,ºOcelot Abuseurº,Sylas,ROAR ItGox,Lucian,Asura Unchained,Thresh,TBR Sora,Riven,D1 Tourist,Zac,Ρuru,Galio,2021Worlds0058,Kai'Sa,Juzoo,Alistar,xAqaaya
5473663555,lose,Ranked Solo,2021-09-24 00:57:12,29m 54s,5,6,5,1.67:1,Double Kill,ACE,Yone,Master,empty,Akali,RKT Maςaquiñø,Zac,Zachy,Yone,2021Worlds0058,Jhin,Imperiál,Syndra,jhinsamiradraven,Wukong,Baki Hanma 3nes,Nocturne,bicas64,Twisted Fate,F 4 T E,Lucian,League Enjoyer 1,Thresh,Ryu Min seok
5473577378,win,Ranked Solo,2021-09-24 00:03:51,26m 56s,10,4,7,4.25:1,empty,empty,Syndra,Master,empty,Renekton,loco soy,Graves,Sn1lle,Syndra,2021Worlds0058,Jhin,Jens milk good,Soraka,TDC DoubleAces,Fiora,AST CARLSEN,Kha'Zix,Mr700,Ryze,Asura Unchained,Miss Fortune,Frog Curry,Amumu,Τadej Pogačar
5473502759,win,Ranked Solo,2021-09-23 23:23:53,31m 39s,5,3,15,6.67:1,Double Kill,empty,Azir,Master,empty,Shen,poloarho,Kayn,AlphaAsFuk,Azir,2021Worlds0058,Xayah,Exiledˆ,Bard,Téh,Jax,nugurii wannabe,Jarvan IV,onlyfans makony,Xerath,1k LP mid inc,Kai'Sa,Turkish Rekkles,Sona,im going nowhere
5473120590,win,Ranked Solo,2021-09-23 09:19:17,46m 41s,13,9,12,2.78:1,Double Kill,empty,Yone,Master,empty,Anivia,Políko,Olaf,UItimatum,Yone,2021Worlds0058,Jhin,CrimzOnSlayer,Karma,strip weathers,Mordekaiser,Xizz3l,Xin Zhao,P0P SM0KEEE,Xerath,stop fill me adc,Twitch,R0yals,Lulu,Kyøya
5473028990,win,Ranked Solo,2021-09-23 08:27:21,18m 4s,6,5,2,1.60:1,Triple Kill,empty,Irelia,Master,empty,Irelia,2021Worlds0058,Karthus,NHWK,Anivia,Políko,Jinx,xumäS,Thresh,Don Ponk ,Sett,sorrrrrrry,Qiyana,UItimatum,Jayce,P0P SM0KEEE,Xayah,Cronan,Blitzcrank,strip weathers
5473056103,lose,Ranked Solo,2021-09-23 08:01:40,28m 22s,11,8,6,2.13:1,Double Kill,empty,Irelia,Master,empty,Jax,Quenheah,Trundle,Budget Cinkrof,Corki,xumäS,Vayne,GamingpIayer,Lulu,Aloru,Malphite,Zolazy,Nunu & Willump,Jáximus,Irelia,2021Worlds0058,Jhin,Brindaz,Nami,słońce chłopiec
5472886495,lose,Ranked Solo,2021-09-23 06:34:38,29m 21s,1,7,9,1.43:1,empty,empty,Twisted Fate,Master,empty,Aatrox,Kharn unchained,Lillia,TheKid AestheTIC,Cho'Gath,2021Worlds0019,Jhin,Nafilan,Rakan,Varin,Gragas,takieokonto,Nocturne,bicas64,Twisted Fate,2021Worlds0058,Twitch,R0yals,Shaco,Kumugadonkis
5472931341,win,Ranked Solo,2021-09-23 05:55:41,24m 58s,8,6,12,3.33:1,Double Kill,empty,Syndra,Master,empty,Garen,Maître kebabier2,Shaco,White ShacStab,Syndra,2021Worlds0058,Ziggs,cansadx,Leona,colden1,Gragas,mariusdermagier,Graves,Not ZeroOo,LeBlanc,L9 BARACK OBAMA,Draven,xydraven,Pantheon,ROAR ItGox
5472875952,lose,Ranked Solo,2021-09-23 05:24:07,28m 7s,9,6,2,1.83:1,Double Kill,empty,Sett,Master,empty,Sett,2021Worlds0058,Kha'Zix,ReaL1,Sylas,12321312321,Ezreal,CarNando is real,Rakan,Mater D0kai,Camille,Chop Water,Rengar,7MDN,Fizz,burek enjoyer,Aphelios,Jaimie Alexander,Sona,Bameuter
5472760254,win,Ranked Solo,2021-09-23 04:40:17,20m 19s,11,0,4,Perfect,Double Kill,MVP,Sylas,Master,empty,Volibear,ROAR ItGox,Kayn,Lunatıc,Cassiopeia,The Chosen Onε,Miss Fortune,Shnack,Maokai,PWN JuenSupport,Seraphine,swagoraka,Zed,i deserve losing,Sylas,2021Worlds0058,Tristana,mechαnicalxd,Amumu,Achun
