gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5482036944,lose,Ranked Solo,2021-09-29 01:29:50,36m 31s,3,12,8,0.92:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,Ccrazy,Evelynn,Splash 001,Sett,Not nexo rdy,Jhin,Eyhro,Xerath,židovskej cigan,Urgot,bausffs movement,Gragas,Tsiperakos,Irelia,indoor fish,Ezreal,SAUCE WALKA,Bard,Kaor1
5482023375,lose,Ranked Solo,2021-09-29 00:46:30,20m 17s,2,6,0,0.33:1,empty,empty,Graves,Master,empty,Gragas,Thebausffs,Kha'Zix,VictimOfBotDif,Akshan,Not nexo rdy,Jinx,kcvawsreiuyopdgz,Lulu,MazeRunner0xFF,Graves,Ccrazy,Lillia,kirei smurfer,Yone,TwitchTV xAKEN,Veigar,GXR Monk,Senna,Banande
5481878912,win,Ranked Solo,2021-09-29 00:01:54,18m 19s,3,1,5,8.00:1,empty,empty,Graves,Grandmaster,empty,Sett,Kiooo,Jarvan IV,Fαllεn,Lissandra,TC Hú Táo,Ezreal,OLA MESΑ,Rakan,Became Champion ,Graves,Ccrazy,Qiyana,C9 Blaberfish2,Zoe,ég jojopyun,Ashe,Prosfair,Braum,Sanity1
5480621900,lose,Ranked Solo,2021-09-27 23:50:15,31m 51s,4,15,7,0.73:1,empty,empty,Kennen,Grandmaster,empty,Darius,WAO RANK 1 ,Evelynn,Splash 001,Irelia,Serendrip,Vayne,MeritxeIl,Lulu,GOREDRINK STERAK,Kennen,Ccrazy,Kayn,Lοvelorn,Tryndamere,i dream lucid,Karthus,Sergei Kravinoff,Nautilus,PIYCRIGY
5480474707,lose,Ranked Solo,2021-09-27 22:42:28,29m 22s,9,11,8,1.55:1,ACE,empty,Aatrox,Grandmaster,empty,Renekton,GO beansu,Lee Sin,Cinkrofffffffff,Galio,Noopy,Miss Fortune,gdgd,Lulu,Champ Tester,Aatrox,Ccrazy,Taliyah,UOL Cryptodir,Camille,Lumerion,Yasuo,SPOLFCEI,Janna,Weakside Zzzzzzz
5480260004,lose,Ranked Solo,2021-09-27 22:05:22,36m 9s,10,8,8,2.25:1,Double Kill,empty,Poppy,Grandmaster,empty,Trundle,Zergsting,Fiddlesticks,AØH,Yone,Guuuubs,Kai'Sa,SPOLFCEI,Bard,Fabrik Linus ,Poppy,Ccrazy,Ekko,Boukada,Akali,xKenzuke1,Ezreal,hiro3,Soraka,Weakside Zzzzzzz
5479757107,win,Ranked Solo,2021-09-27 10:12:38,31m 39s,14,3,7,7.00:1,Double Kill,MVP,Camille,Master,empty,Camille,Ccrazy,Trundle,jarda jagr,Galio,BOXDEL NAURA,Sivir,01102018,Bard,BroIia,Volibear,ZONGO LE DOZØ,Viego,FB Rames,Swain,152cm187kg24cm,Xayah,11Lunari Weapons,Nautilus,VGIA Kasing
5479638696,lose,Ranked Solo,2021-09-27 08:10:48,30m 44s,6,7,9,2.14:1,empty,empty,Aatrox,Grandmaster,empty,Qiyana,TwTv Ag0nyPain,Nidalee,Dawning Sun,Darius,WAO RANK 1 ,Lucian,NF Change,Karma,F P Journe,Aatrox,Ccrazy,Shaco,Desperate Shaco,Akali,Oggman,Draven,666 reverse 999,Thresh,NanamiHakuya
5479634416,lose,Ranked Solo,2021-09-27 07:33:37,31m 19s,10,7,8,2.57:1,Double Kill,empty,Camille,Grandmaster,empty,Jax,ˇ sao,Master Yi,Sinerias Mental,Orianna,todo esta aqui,Lucian,OLA MESΑ,Lulu,VGIA Kasing,Camille,Ccrazy,Lee Sin,jbdutchowns,Cassiopeia,Sτoπεd Snαke,Miss Fortune,01102018,Amumu,CG Nio
5479578841,lose,Ranked Solo,2021-09-27 06:53:21,29m 1s,9,3,9,6.00:1,Double Kill,ACE,Poppy,Grandmaster,empty,Poppy,Ccrazy,Graves,Temporal Warden,Cassiopeia,Sτoπεd Snαke,Lucian,IZI Nolan,Nami,CG Nio,Darius,ˇ sao,Kayn,Kusa o Miko,Orianna,todo esta aqui,Wukong,UOL Doedalo,Senna,VGIA Kasing
