gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490492426,win,Ranked Solo,2021-10-04 09:04:50,31m 37s,12,4,13,6.25:1,Double Kill,MVP,Kennen,Master,empty,Kog'Maw,byeeeeeee,Zed,Win or Valhalla,Kennen,GS 5,Varus,ToasterM8,Thresh,tibor,Jax,5454545454,Viego,Monsieur Oui,Ryze,burek enjoyer,Karthus,efiL,Yuumi,Synnit m8
5490451124,lose,Ranked Solo,2021-10-04 08:26:51,27m 18s,5,5,5,2.00:1,ACE,empty,Kalista,Master,empty,Gnar,Νight Drive,Elise,Win or Valhalla,Vi,Twopan,Lucian,Pοl,Blitzcrank,Jellyglitter,Kalista,GS 5,Jarvan IV,Cambodian Ranger,Katarina,sari,Sivir,Myw the king,Yuumi,whitelikewhite
5490377500,win,Ranked Solo,2021-10-04 07:50:58,25m 0s,7,5,7,2.80:1,empty,empty,Ryze,Master,empty,Gnar,Νight Drive,Lee Sin,Spotıfy Abuser,Ryze,GS 5,Aphelios,11235,Sona,Jae,Aatrox,future memories,Volibear,Win or Valhalla,LeBlanc,PD Lynx,Ezreal,Jellyglitter,Rakan,colden1
5488429798,win,Ranked Solo,2021-10-03 07:05:18,26m 29s,1,6,11,2.00:1,empty,empty,Gangplank,Master,empty,Gangplank,GS 5,Ekko,Like a n1nja,Yone,00N Shaolin,Seraphine,1roNN,Soraka,TDC Mega,Sylas,NG Dawn,Ivern,raptus bloom,Warwick,LangKezZ,Lucian,2021Worlds0150,Nami,2021Worlds0057
5488472201,win,Ranked Solo,2021-10-03 06:21:34,21m 49s,3,6,8,1.83:1,empty,empty,Jayce,Diamond 1,empty,Jayce,GS 5,Kha'Zix,Stopfeedanimals,Vel'Koz,Azzapp,Vayne,ENTUZJASTA MFKI,Soraka,Black Sabbath,Fiora,lennylennylenny,Lillia,JUNGLEKINGDOM123,Aatrox,sadfsaf,Ezreal,EDG Killaki ,Twitch,hentaimaster43
5488308449,win,Ranked Solo,2021-10-03 05:50:34,28m 32s,5,6,10,2.50:1,empty,empty,Kennen,Diamond 1,empty,Riven, Terrºr,Hecarim,Doaenel Hecarim,Kog'Maw,sign me already,Jhin,little pony buse,Nautilus,CORONA EQUALS 5G,Kennen,GS 5,Gwen,sadfsaf,Graves,Abdu Roz1k ,Xayah,GALA mashallah,Shaco,hentaimaster43
5488280265,win,Ranked Solo,2021-10-03 05:06:37,20m 26s,11,2,3,7.00:1,Double Kill,MVP,Jayce,Master,empty,Jayce,GS 5,Graves,DEEBO SAMUEL,Ahri,spellbonks,Ezreal,RAAD SAN,Amumu,OLWAYSS,Irelia,RokasLTU,Qiyana,VLADO VAFLATTA,Kassadin,JcZr,Jhin,AST Kadaver,Zyra,ºKokomiº
5488237093,win,Ranked Solo,2021-10-03 04:40:52,25m 54s,10,4,7,4.25:1,Double Kill,empty,Kennen,Master,empty,Fiora,NG Dawn,Kindred,unlucky jgl gap,Ekko,Sl0tMach1n3,Draven,TwTv daudr9,Leona,TurtleShock v2,Tryndamere,sign me already,Lillia,JUNGLEKINGDOM123,Kennen,GS 5,Lucian,Giant Monster,Yuumi,ºKokomiº
5488224238,win,Ranked Solo,2021-10-03 04:10:04,15m 34s,10,1,1,11.00:1,Double Kill,empty,Jayce,Master,empty,Jayce,GS 5,Talon,fatefully,LeBlanc,sign me already,Vayne,Dekkon,Thresh,colden1,Malphite,4cB CBuH,Jarvan IV,wayne rooney10,Twisted Fate,DarkFury III,Ezreal,Fearless Ravenno,Yuumi,ºKokomiº
5488128309,lose,Ranked Solo,2021-10-03 03:44:38,32m 16s,4,11,7,1.00:1,empty,empty,Graves,Master,empty,Nasus,Carnarius v2,Elise,Kudy,Twisted Fate,piepinson,Jhin,Νihilitas,Brand,RnS,Graves,GS 5,Ekko,ISSE G,LeBlanc,RRRRRXXXX7II,Lucian,Fìndus,Nami,TànyaTheMadness
5488153419,lose,Ranked Solo,2021-10-03 03:02:47,21m 0s,1,8,0,0.13:1,empty,empty,Ryze,Master,empty,LeBlanc,J Χ J Χ C ,Lee Sin,woman steam ship,Riven,ΚyM,Lucian,JAMES HUNT,Nami,Belikov,Ryze,GS 5,Kha'Zix,RnS,Zed,gtrik,Xayah,Naxyy,Rakan,EU Katarina Gosu
5488069724,lose,Ranked Solo,2021-10-03 02:36:09,21m 26s,1,8,2,0.38:1,empty,empty,Jax,Master,empty,Jax,GS 5,Vi,RostKur,Sylas,Araxic c Basa6u,Kai'Sa,New Pretty Dawn,Amumu,samo mute all,Camille,dragon enjoyer,Kayn,Chaοs,Malzahar,RHS Yvraine,Jhin,KUNKKAPONKA,Maokai,θΘθΘθ
5488063439,win,Ranked Solo,2021-10-03 02:03:46,33m 36s,10,2,4,7.00:1,Double Kill,MVP,Lee Sin,Diamond 1,empty,Graves,Nuevo Chimbote,Hecarim,Špatný hráč1,Vladimir,UNΛVERAGE,Karthus,Tamara Lautari,Thresh,Teta Derecha,Lee Sin,GS 5,Diana,Düt düüüüüüt,LeBlanc,FB Kunduz1,Kai'Sa,New Pretty Dawn,Amumu,Heimskáut réfur
