gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488398052,lose,Ranked Solo,2021-10-03 06:40:18,19m 54s,1,4,0,0.25:1,empty,empty,Aphelios,Master,empty,Camille,Fuxº,Qiyana,Gnome mage,Syndra,i click circles,Aphelios,was mistake,Thresh,Nicooø,Irelia,SpiritualKind,Rammus,lGetFed uGetRekt,Jax,Aurael Quintus,Twitch,twtv billiee,Lulu,Steun
5488382573,win,Ranked Solo,2021-10-03 06:10:24,24m 33s,11,6,12,3.83:1,Double Kill,MVP,Draven,Master,empty,Yone,AhmadMZW,Kayn,VLCY Venaks,Vayne,yuekai is pig,Ashe,WeS Kodo,Rakan,Gottschalck,Akali,Magical Doremi,Evelynn,Tricacole,Akshan,Veers,Draven,was mistake,Nautilus,TN Splinter
5488327413,lose,Ranked Solo,2021-10-03 05:38:52,19m 8s,4,6,1,0.83:1,ACE,empty,Lucian,Diamond 1,empty,Riven,NARΙU,Jarvan IV,IHASCAEK,Ekko,KC GREG,Karthus,Magnumdongus,Nami,FYN Schëdden   ,Yone,Beyza Gemici,Evelynn,great server,Graves,I Want My Cigar,Lucian,was mistake,Leona,smieć
5488079414,win,Ranked Solo,2021-10-03 02:44:57,27m 27s,11,8,5,2.00:1,Double Kill,empty,Lucian,Diamond 1,empty,Darius,Petit Gentleman,Kayn,4G3ZR,Yone,8967FREEDOM1004,Jhin,PanSiurak,Brand,QQ321321,Urgot,Bengidiyomke,Ekko,jarejoel,Kayle,lynchian dream,Lucian,was mistake,Nami,fpsslash
5488006222,win,Ranked Solo,2021-10-03 02:04:45,24m 31s,1,4,20,5.25:1,empty,empty,Thresh,Diamond 3,empty,Akali,Vogue Merry,Xin Zhao,NowFin92zz,Graves,Qiao Ling,Ziggs,LØDA,Amumu,Cant WlN XD,Fiora,4es Pocat,Karthus,Full clear angle,Qiyana,i dont lane,Kalista,Entaihat,Thresh,was mistake
5486926769,lose,Ranked Solo,2021-10-02 05:42:04,21m 37s,2,6,2,0.67:1,empty,empty,Ezreal,Diamond 3,empty,Renekton,OŁ MI BRACHU,Evelynn,Unfavoured,Tryndamere,no fap day 1,Jhin,humzh,Janna,2986,Sylas,yuekai is pig,Hecarim,I Am Doaenel,Kassadin,Ånger Management,Ezreal,was mistake,Yuumi,Sinerias Mental
5486921448,win,Ranked Solo,2021-10-02 05:12:25,24m 26s,8,4,10,4.50:1,empty,empty,Lucian,Diamond 2,empty,Vladimir,gyomei style,Graves,DPRAARWGLD,Nunu & Willump,LOW ELO PURGER,Vayne,Alar Rfmd,Kai'Sa,Silence Your Ego,Tryndamere,ønce againn,Talon,ındecısıve,Vex,DIKU Daddel,Lucian,was mistake,Braum,AweZolf
5486540037,win,Ranked Solo,2021-10-02 04:40:45,16m 45s,0,0,1,Perfect,empty,empty,Lucian,Diamond 4,empty,Tryndamere,ρee,Evelynn,18 yo jungle god,Graves,SKT Guápo,Caitlyn,D4ff,Leona,irfansj,Warwick,dodge lose 3 lp,Karthus,Full clear angle,Irelia,i dont lane,Lucian,was mistake,Soraka,f0ke
5486424269,lose,Ranked Solo,2021-10-02 03:12:29,23m 19s,9,10,2,1.10:1,Double Kill,ACE,Lucian,Diamond 3,empty,Diana,AwakenºSharingan,Kha'Zix,ßOKU NO MID,Sett,AeolusEos,Ezreal,PBA Veck,Bard,VE Fyzer0,Aurelion Sol,Dosage,Zed,Epic,Yasuo,Rugemanee,Lucian,was mistake,Nami,BRANDVARM JANNA
5486279570,win,Ranked Solo,2021-10-02 02:40:22,26m 59s,10,4,3,3.25:1,Double Kill,empty,Lucian,Diamond 1,empty,Aatrox,WeS Akirei,Poppy,sucuXD,LeBlanc,4 Dogs 1 Zoe,Lucian,was mistake,Soraka,f0ke,Riven,hâte ît here,Nidalee,ill Nam,Tryndamere,Elusivez,Ezreal,AD GaP UwU,Bard,2 1
