gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488576222,lose,Ranked Solo,2021-10-03 08:00:20,19m 50s,0,8,0,0.00:1,empty,empty,Gnar,Grandmaster,empty,Gnar,Zergsting,Qiyana,bobber kong,Sylas,Tu po zi wo,Miss Fortune,Achuu,Amumu,KwK AlVaRo710,Aatrox,Gabbo,Rammus,BR Lord Semi,Zed,Po Gap,Seraphine,NF Change,Karthus,LIMIT12345
5488523259,win,Ranked Solo,2021-10-03 07:31:06,27m 40s,2,4,13,3.75:1,empty,empty,Malphite,Grandmaster,empty,Gragas,lets get itt,Graves,Doinbibi,Yone,Po Gap,Ezreal,NF Change,Galio,Efias,Malphite,Zergsting,Xin Zhao,ismaaa,Vex,Chamana1,Vayne,WTX Scripter,Amumu,KwK AlVaRo710
5488356674,win,Ranked Solo,2021-10-03 05:43:38,24m 11s,7,6,11,3.00:1,empty,empty,Amumu,Grandmaster,empty,Aatrox,Gaëthan1,Lee Sin,asdfghjklqwe,Ryze,Doinbibi,Kalista,HoIyPhoenîx,Amumu,Zergsting,Renekton,masked gamer XD,Talon,jungle dream,Syndra,TC Hú Táo,Draven,DIGESTHUMANFLESH,Rell,TESLA OPTIMUS
5488069325,win,Ranked Solo,2021-10-03 02:49:38,36m 54s,6,14,20,1.86:1,MVP,empty,Pantheon,Grandmaster,empty,Gnar,H ι r o,Xin Zhao,Hejdå Sverige,Ryze,Saulius 10,Draven,DIGESTHUMANFLESH,Pantheon,Zergsting,Yone,ssimpli,Kha'Zix,VictimOfBotDif,LeBlanc,FB Kunduz,Karthus,twtchtvELOSANTA,Thresh,Catstyle5
5488064700,win,Ranked Solo,2021-10-03 02:05:33,27m 2s,2,5,7,1.80:1,empty,empty,Vel'Koz,Grandmaster,empty,Shen,Akrowz,Zed,NattyNatt,Corki,Saulius 10,Karthus,twtchtvELOSANTA,Nami,Tw KristijanKing,Irelia,Venour,Graves,kanaaa,Syndra,maybe f keys ,Caitlyn,Sebeks,Vel'Koz,Zergsting
5488011549,win,Ranked Solo,2021-10-03 01:33:40,26m 37s,1,6,15,2.67:1,empty,empty,Blitzcrank,Grandmaster,empty,Urgot,NieUfamCiJezu12,Qiyana,123Tarzan,Xerath,GODZILLA66666666,Draven,Fatihcan,Nami,BroIia,Aatrox,TwTv Naayil ,Lee Sin,blrzr,Twisted Fate,Lotus Δ Ψ,Tristana,SPOLFCEI,Blitzcrank,Zergsting
5487652624,lose,Ranked Solo,2021-10-02 20:47:51,21m 46s,2,3,13,5.00:1,ACE,empty,Pyke,Grandmaster,empty,Pantheon,JingleDingle,Nidalee,Nathan der Weise,Viego,The On3Sh0t,Kalista,ch1maera,Pyke,Zergsting,Kennen,me like solobolo,Lee Sin,khanzir slayer,Graves,Markoon,Miss Fortune,DEVN,Nami,schifosoemerdoso
5487611279,win,Ranked Solo,2021-10-02 20:18:41,15m 39s,6,3,4,3.33:1,empty,empty,Sylas,Grandmaster,empty,Shen,bausffs movement,Lillia,asdfghjklqwe,Yone,SL0WDEATH,Ezreal,yzxcv,Nami,schifosoemerdoso,Trundle,FrozenHuntsman,Zed,Cinkrofffffffff,Galio,The On3Sh0t,Samira,MrCaptainSexy,Sylas,Zergsting
5487278475,win,Ranked Solo,2021-10-02 10:07:44,26m 24s,5,8,6,1.38:1,Triple Kill,empty,Sylas,Grandmaster,empty,Malphite,EllamCompany,Rammus,BR Lord Semi,Sett,Suirotas,Lucian,II Anyone,Nami,Damgos,Yone,XLeQu,Lee Sin,Ütani Gran Hur,Sylas,Zergsting,Brand,G 2 3 H 1 Z U ,Blitzcrank,Frank Horrigan
5487267033,win,Ranked Solo,2021-10-02 09:30:43,15m 18s,0,2,8,4.00:1,empty,empty,Shen,Master,empty,Shen,Zergsting,Ekko,Balyy,Jayce,BOXDEL NAURA,Jinx,CREØN,Thresh,Damgos,Ornn,Stumpyyy,Qiyana,357159,Anivia,Fressko,Lucian,Frank Horrigan,Janna,Celterr1
5487245718,lose,Ranked Solo,2021-10-02 09:08:02,15m 28s,1,5,1,0.40:1,empty,empty,Jhin,Master,empty,Renekton,dont be yikes,Taliyah,Aurora time,Irelia,B99 PERALTHAR,Miss Fortune,CREØN,Janna,Celterr1,Poppy,Stumpyyy,Ekko,Maxlore,Sett,sajatoruu,Jhin,Zergsting,Leona,Roulette
5487203566,lose,Ranked Solo,2021-10-02 08:38:28,23m 50s,6,8,15,2.63:1,Double Kill,ACE,Pyke,Grandmaster,empty,Soraka,Looca,Kha'Zix,better bot win1,Sylas,sajatoruu,Draven,Cutepatootie,Rakan,BroIia,Sion,Stumpyyy,Jarvan IV,Fαllεn,Kassadin,Maxlore,Lucian,mol4at doma,Pyke,Zergsting
5485979441,win,Ranked Solo,2021-10-01 22:44:42,26m 24s,2,0,25,Perfect,empty,empty,Yuumi,Grandmaster,empty,Kayn,coverunder,Fiddlesticks,I Got This,Vladimir,Elite500,Ezreal,11Lunari Weapons,Braum,A41G Kampex,Irelia,dofaminu,Kha'Zix,LMAO OmulFinn,Ekko,FPX Peanut,Lucian,Switzerstar,Yuumi,Zergsting
5485991486,win,Ranked Solo,2021-10-01 21:20:36,23m 31s,2,2,10,6.00:1,empty,empty,Amumu,Grandmaster,empty,Camille,FIX SOL0Q,Talon,Loumuis,Tristana,Sboi155,Vex,Ryuin,Thresh,Chouineur 1,Fiora,papi oscαr,Kayn,Kusa o Miko,Sylas,SlXTEN,Ezreal,Rharesh,Amumu,Zergsting
