gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488965517,win,Ranked Solo,2021-10-03 19:42:29,26m 37s,6,2,10,8.00:1,MVP,empty,Camille,Master,empty,Ryze,TOYOTA 86 TRUENO,Zed,Kimchi3,Malzahar,broder jonsen,Tristana,lIllIlllIlIIl,Braum,NNForsaken,Camille,Star is coming,Qiyana,Orange Killer,Sylas,nesiseka,Draven,n 456,Ekko,wow cold
5488643655,win,Ranked Solo,2021-10-03 08:51:50,13m 32s,3,0,5,Perfect,empty,empty,Camille,Master,empty,Yone,VININE Rafunzel,Jarvan IV,LEO BRICHTA,Ezreal,DM Fandar,Ziggs,CrimzOnSlayer,Yuumi,ºKokomiº,Camille,Star is coming,Ekko,Orange Killer,Pantheon,GG Gaboesh,Lucian,pretty thoughts1,Nami,Brøøk
5488513220,lose,Ranked Solo,2021-10-03 07:15:28,16m 56s,0,4,3,0.75:1,empty,empty,Camille,Master,empty,Gangplank,Raxes,Talon,some new tools ,Ziggs,iDømi,Ashe,IcelandWalrus,Lulu,ukaL jgl acc,Camille,Star is coming,Lee Sin,Jublebest,Twisted Fate,FB Kunduz1,Lucian,onii chan uwuu,Nami,towhat
5487910763,win,Ranked Solo,2021-10-03 00:21:18,29m 58s,5,5,8,2.60:1,Double Kill,empty,Gragas,Master,empty,Gnar,BitSu EnJoYeR,Nidalee,twitchtv finnry,Ahri,J5 Portischen,Lucian,FliiZee v2,Rakan,Joo1,Jinx,Benji  GGD,Graves,Orange Killer,Sylas,رجل,Gragas,Star is coming,Maokai,Dainank
5487861790,lose,Ranked Solo,2021-10-02 23:36:12,37m 24s,9,6,5,2.33:1,Double Kill,ACE,Camille,Diamond 1,empty,Jax,HZOOMB,Graves,a world of love,Syndra,Rimtuolis,Twitch,Akanania,Thresh,Tesumi,Camille,Star is coming,Lee Sin,Orange Killer,Lux,plsbuffmarksman,Lucian,IcelandWalrus,Lulu,MercilessTom1
5487728072,win,Ranked Solo,2021-10-02 22:45:34,20m 15s,13,4,9,5.50:1,Double Kill,MVP,Irelia,Diamond 2,empty,Irelia,Star is coming,Jarvan IV,Full clear angle,Katarina,i dont lane,Draven,Nautiskelija,Amumu,Doctor Cosmos,Fiora,skarlikeskar,Xin Zhao,Ma définition,Anivia,Arkeos,Miss Fortune,Corki Azir,Braum,DivStiller
5487536072,win,Ranked Solo,2021-10-02 19:43:13,22m 1s,8,3,9,5.67:1,Triple Kill,MVP,Renekton,Master,empty,Riven,little sun,Evelynn,Geliyooom,LeBlanc,UK ADC SHEEESH,Lucian,Xenxo,Nami,NN SereK,Renekton,Star is coming,Talon,wayos Blitzy,Zed,speed of life,Ziggs,Yi Xin Jing Tu,Thresh,Postkassen
5487186636,win,Ranked Solo,2021-10-02 09:16:31,32m 14s,10,6,16,4.33:1,MVP,empty,Lee Sin,Master,empty,Tryndamere,FakboiMrHolst,Hecarim,R3ìzy1,Taliyah,Mohe dance hall,Kai'Sa,2021Worlds0150,Leona,KaioKen x11,Kled,Sakurajima Mai 3,Lee Sin,Star is coming,Vayne,puzzleman69,Karthus,boycott nestle,Amumu,wow cold
5487192711,win,Ranked Solo,2021-10-02 08:34:13,30m 4s,12,3,9,7.00:1,Double Kill,MVP,Camille,Master,empty,Camille,Star is coming,Evelynn,By Lumens,Yone,CorronaSupp,Vayne,nekr0shade,Lulu,wow cold,Akali,cirodalA,Xin Zhao,TWICE DubChaeng,Ekko,Fadel Castro,Ezreal,IcelandWalrus,Yuumi,Soraï1
5485878849,lose,Ranked Solo,2021-10-01 20:54:04,30m 58s,2,8,9,1.38:1,ACE,empty,Irelia,Master,empty,Riven,ghostfade136,Kha'Zix,E D Ê N ,Heimerdinger,dongr,Cassiopeia,autopilot pls,Rakan,Narukya,Irelia,Star is coming,Nidalee,KoreanDestroyALL,Qiyana,White Whales,Ezreal,bvffi,Yuumi,IlIIllIIIlllIIlI
