gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488574875,lose,Ranked Solo,2021-10-03 07:56:14,26m 45s,20,11,2,2.00:1,Quadra Kill,ACE,Lee Sin,Master,empty,Gragas,João Campello,Lee Sin,White Whales,Lissandra,FB Kunduz1,Tristana,CPH B0XS,Nami,TànyaTheMadness,Sion,Tanre,Xin Zhao,GG Gaboesh,LeBlanc,Sarnonne,Lucian,League Enjoyer 1,Nautilus,WeS Alb
5488552102,win,Ranked Solo,2021-10-03 07:20:56,21m 24s,16,3,4,6.67:1,Double Kill,MVP,Diana,Master,empty,Fiora,King Α D ,Diana,White Whales,Yasuo,Dillen,Ezreal,thriice,Yuumi,Ward addict,Cassiopeia,NothingIsX,Qiyana,Who is Candice,Vex,SWEelle,Kai'Sa,Teddyx6,Soraka,Cerul
5487912298,lose,Ranked Solo,2021-10-03 00:31:36,29m 18s,9,5,7,3.20:1,ACE,empty,Ekko,Master,empty,Cho'Gath,tomem1,Lee Sin,Freakyplayer1,Yone,Frensy,Cassiopeia,Azzam,Zyra,Die Athanasia,Gangplank,NO EGO BOT ME1V9,Karthus,II BÃRVØK II,Ekko,White Whales,Lucian,Its Jay,Rakan,Monin
5487864882,win,Ranked Solo,2021-10-02 23:52:05,31m 55s,18,7,9,3.86:1,Triple Kill,MVP,Diana,Master,empty,Irelia,8x8 TOP,Kha'Zix,Mussiah,LeBlanc,SYK Taron ,Lucian,kinda hate it,Yuumi,Sofia Ellar,Jax,demotion,Diana,White Whales,Qiyana,Minjang,Miss Fortune,ROAR Dorksong,Amumu,PSV Mahonix
5487785150,lose,Ranked Solo,2021-10-02 23:11:04,3m 16s,2,0,0,Perfect,empty,empty,Lee Sin,Master,empty,Yasuo,ForgivenBladeTv,Kha'Zix,Mussiah,Qiyana,Minjang,Vex,l Am Batman ,Wukong,BOZO BigStick,Irelia,8x8 TOP,Lee Sin,White Whales,Karma,Hello Sunset,Sylas,Snus enjoyer1,Caitlyn,fat woe
5487748169,win,Ranked Solo,2021-10-02 23:00:55,30m 22s,12,7,11,3.29:1,Double Kill,empty,Ekko,Master,empty,Yone,nugurii wannabe,Xin Zhao,meraiel,Viktor,Dîamante,Jinx,UK ADC SHEEESH,Thresh,BalleBob,Jayce,8x8 TOP,Ekko,White Whales,Qiyana,Minjang,Caitlyn,fat woe,Bard,Clebard humide
5487556800,lose,Ranked Solo,2021-10-02 20:02:08,29m 35s,6,11,13,1.73:1,empty,empty,Qiyana,Master,empty,Riven,Leks GO,Kha'Zix,i wont get mad,Ekko,Hαze,Miss Fortune,TOG Zavee,Amumu,gotigo,Sett,Xaymiar,Qiyana,White Whales,Vex,Kobben,Twitch,Wentworth MilIer,Yuumi,losin to improve
5487235920,lose,Ranked Solo,2021-10-02 09:24:19,31m 27s,10,7,12,3.14:1,empty,empty,Lee Sin,Diamond 1,empty,Wukong,ThemanaZ100,Lee Sin,White Whales,Qiyana,Built A Kingdom,Jinx,DONT PICK BARD,Lulu,qwerasdfzxcbvcxz,Irelia,BEST RIVEN PT,Ekko,Tush Keissi F4m,Fizz,Dual Monarchy,Ezreal,LaggerNxD,Heimerdinger,Dong
5487241306,lose,Ranked Solo,2021-10-02 08:39:18,35m 25s,10,12,14,2.00:1,empty,empty,Qiyana,Master,empty,Graves,HSFFFFFFFFFF,Qiyana,White Whales,Orianna,1k LP mid inc,Tristana,boycott nestle,Pyke,FNC Jeko,Cho'Gath,RZF Bakhaen,Lee Sin,Kimchi3,Twisted Fate,Fearless Ravenno,Lucian,Giant Monster,Lulu,Aloru
5485878849,lose,Ranked Solo,2021-10-01 20:54:04,30m 58s,13,11,7,1.82:1,Double Kill,empty,Qiyana,Master,empty,Riven,ghostfade136,Kha'Zix,E D Ê N ,Heimerdinger,dongr,Cassiopeia,autopilot pls,Rakan,Narukya,Irelia,Star is coming,Nidalee,KoreanDestroyALL,Qiyana,White Whales,Ezreal,bvffi,Yuumi,IlIIllIIIlllIIlI
