gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490501229,lose,Ranked Solo,2021-10-04 08:41:01,23m 33s,3,4,10,3.25:1,empty,empty,Amumu,Master,empty,Gnar,borcigendale,Ekko,MΑRΤ,Irelia,2021Worlds0019,Miss Fortune,Nero Forte,Bard,Tiramolla,Graves,toLyeV,Talon,daIe manin,Sylas,S11Tian,Jinx,Chocklad Toppen,Amumu,ACKERMÁN
5490363071,win,Ranked Solo,2021-10-04 07:16:19,32m 32s,3,7,16,2.71:1,empty,empty,Leona,Master,empty,Wukong,Yuujin1,Qiyana,Sawyorr,Karthus,C9 Veigar,Miss Fortune,TOPSHOTTA99,Braum,Keria fanboy acc,Jax,Kimchi warrior1,Nocturne,Cambodian Ranger,Zoe,CannonMinion4u,Kai'Sa,141414ADADAD,Leona,ACKERMÁN
5490336129,win,Ranked Solo,2021-10-04 06:38:34,29m 21s,3,3,9,4.00:1,empty,empty,Graves,Master,empty,Sylas,BèAnn,Lee Sin,Mandag Unchained,Aatrox,Sack,Jhin,DokyoTrift,Nami,Keria fanboy acc,Rengar,Sssuperset,Graves,ACKERMÁN,Seraphine,Mister Pearl,Lucian,Homeless Qu4rtzo,Amumu,samo mute all
5490237644,win,Ranked Solo,2021-10-04 05:40:12,23m 16s,1,3,11,4.00:1,empty,empty,Amumu,Master,empty,Aatrox,Sack,Lee Sin,WeS Trizzy,Orianna,Cart00nCharacter,Draven,Dinner first,Amumu,ACKERMÁN,Jayce,Kimchi3,Kindred,معزة,Twisted Fate,icelandxuechan,Jinx,Viper sama,Soraka,Erilarion
5490202555,win,Ranked Solo,2021-10-04 05:06:46,27m 48s,0,1,20,20.00:1,empty,empty,Yuumi,Master,empty,Darius,Wintęr,Kayn,manumatador,LeBlanc,woshilqs,Lucian,dzc,Bard,Vicky Leandros,Riven,S11 Bad,Nidalee,S11Tian,Azir,Viikingr,Ezreal,Xenxo,Yuumi,ACKERMÁN
5490067136,win,Ranked Solo,2021-10-04 04:32:59,29m 39s,1,5,19,4.00:1,empty,empty,Nami,Diamond 1,empty,Aatrox,R174 ZZ RMS,Nidalee,asdgfdjui,Anivia,God Han Wenqing ,Aphelios,Mistr E,Thresh,Atypicalthresh,Akali,Nuguri auf Wish,Lillia,Nidalee is uwu,Talon,woshilqs,Lucian,CocaCola Monster,Nami,ACKERMÁN
5488948049,win,ARAM,2021-10-03 19:49:22,15m 44s,26,8,14,5.00:1,Penta Kill,empty,Samira,empty,empty,Samira,ACKERMÁN,Lulu,MaxweI,Poppy,TheCookieMafia,Lucian,Tegrídy Randy,Lillia,Enji TgL,Nunu & Willump,Pixel Boiii,Akshan,PEL Salva,Maokai,TriFFtNix,Fiddlesticks,HakenAnDerSache,Ezreal,SFe CaptainPoro
5488944043,win,Ranked Solo,2021-10-03 19:22:17,23m 16s,5,0,11,Perfect,MVP,empty,Amumu,Master,empty,Trundle,SiemaTuBoczek,Graves,Baldwin lV,Syndra,Ialala,Xayah,eX Chonky,Vel'Koz,MiyuGODVelk,Fiora,Ou TheLady Ou,Qiyana,Squid Player 456,Ekko,SGE Missclick,Xerath,Khal Suppo,Amumu,ACKERMÁN
5488585632,lose,Ranked Solo,2021-10-03 09:15:53,30m 54s,1,6,17,3.00:1,empty,empty,Rakan,Master,empty,Jayce,leavemeaIone2,Ekko,SLARDAR KINGDOM,Sylas,Genius Monster,Lucian,LDNU Aklass,Nami,Ramona Flowers,Aatrox,Mädchen,Hecarim,Doaenel Hecarim,Kog'Maw,byeeeeeee,Kai'Sa,kalp sparzmı,Rakan,ACKERMÁN
5488569293,lose,Ranked Solo,2021-10-03 08:35:21,37m 9s,3,10,14,1.70:1,empty,empty,Amumu,Master,empty,Fiora,Mädchen,Nidalee,Let it go Elsa,Ziggs,Traypo,Tristana,2021Worlds0076,Amumu,ACKERMÁN,Azir,2021Worlds0113,Rek'Sai,Hero of Ferelden,Kog'Maw,byeeeeeee,Draven,Black Sabbath,Leona,Dean v3
5488574331,lose,Ranked Solo,2021-10-03 07:51:52,26m 46s,2,4,17,4.75:1,ACE,empty,Nami,Master,empty,Fiora,Thel1ttletiger,Lee Sin,1v9wheneveriwąnt,Sylas,Demon Pun1sher,Lucian,2021Worlds0171,Nami,ACKERMÁN,Jayce,Headache Man,Taliyah,S11Tian,Yone,byeeeeeee,Aphelios,dzc,Lulu,Kandoomagic
5488531107,lose,Ranked Solo,2021-10-03 07:17:18,27m 21s,2,5,18,4.00:1,ACE,empty,Amumu,Master,empty,Gangplank,Kimchi warrior1,Lee Sin,WeS Trizzy,Katarina,Lianhuaboy77,Aphelios,dzc,Amumu,ACKERMÁN,Sett,Not nexo rdy,Talon,tempsjgjlgslchok,Zed,S11Tian,Ezreal,StephenChe,Yuumi,Heimskáut réfur
5487632218,win,ARAM,2021-10-02 20:35:32,18m 50s,19,11,20,3.55:1,Quadra Kill,empty,Miss Fortune,empty,empty,Mordekaiser,YouTubeSterb3N,Graves,xPuTTYx,LeBlanc,SFPMU SANTO,Yorick,Eazy E,Vex,Pughy,Miss Fortune,ACKERMÁN,Pyke,Keanu Of Rivia,Amumu,hagelslagg,Xerath,dark booomm,Volibear,kraken301
