gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4051471785,win,Ranked Solo,2021-09-25 03:20:31,10m 11s,1,1,5,6.00:1,empty,empty,Amumu,Grandmaster,empty,Poppy,BOBtimer,Talon,Eclipse,Galio,Nim Chimpsky,Miss Fortune,Kyriu,Amumu,ACKÈRMAN,Jax,saku fan,Graves,rjsdndgod,Vayne,IllIlllllIllllIl,Lucian,Asyc,Trundle,Call Lin
4051357112,lose,Ranked Solo,2021-09-25 02:30:01,26m 31s,3,5,10,2.60:1,ACE,empty,Blitzcrank,Grandmaster,empty,Garen,I am Súnlight,Lee Sin,Kennywaløl,Sylas,thats fervor,Sona,Tempos,Karma,Yi Du Zi Qi,Gnar,ICARRYBOTCOPIUM,Karthus,IllIlllllIllllIl,Qiyana,ZeroSzu3,Kog'Maw,dog2,Blitzcrank,ACKÈRMAN
4051346242,win,Ranked Solo,2021-09-25 01:58:44,15m 29s,0,0,16,Perfect,empty,empty,Alistar,Grandmaster,empty,Gangplank,Solarbacca,Nunu & Willump,villain arc,Fiora,jjkingg,Taliyah,Tos8719,Blitzcrank,kaka 1021,Aatrox,Dragoon,Graves,JungIe is weak,Zed,Sayhoon,Kog'Maw,dog2,Alistar,ACKÈRMAN
4051344221,lose,Ranked Solo,2021-09-25 01:37:30,23m 37s,0,4,11,2.75:1,ACE,empty,Blitzcrank,Grandmaster,empty,Tryndamere,saku fan,Nidalee,JungIe is weak,Viktor,seal on top,Varus,Nightstar,Blitzcrank,ACKÈRMAN,Gangplank,Solarbacca,Graves,rjsdndgod,Corki,tft couch,Jhin,Classiq,Bard,BerserkerBV
4050281159,win,Ranked Solo,2021-09-23 15:55:30,25m 29s,6,6,26,5.33:1,MVP,empty,Thresh,Grandmaster,empty,Fiora,love draco,Lillia,izuyui,Ryze,Saicos Left Nut,Jhin,ßazz B,Thresh,ACKÈRMAN,Camille,GSDFQWASD,Shaco,Chase v9,Ekko,Delights Garden,Aphelios,SentientAI,Sett,TheOddOrange
4050229796,win,ARAM,2021-09-23 15:21:22,15m 0s,11,7,23,4.86:1,Triple Kill,empty,Kalista,empty,empty,Kalista,ACKÈRMAN,Aurelion Sol,Vélkóz,Seraphine,339tomatotown,Rengar,Snake1314,Nidalee,parrks,Katarina,Not Gebos,Lee Sin,SweatWet,Karma,Kage2324,Jhin,Mr Only,Twitch,38º6
4049921314,lose,Ranked Solo,2021-09-23 09:14:07,32m 53s,5,9,18,2.56:1,Double Kill,empty,Amumu,Grandmaster,empty,Rengar,Deformed Jungle,Zac,KryRa,Kog'Maw,ControlMageEGirl,Draven,dog2,Amumu,ACKÈRMAN,Yone,PoopSwag69,Jarvan IV,bye im gosu,Ryze,smart play,Swain,Scyrnn,Leona,duoking1
4049825261,win,Ranked Solo,2021-09-23 08:03:52,24m 58s,13,2,12,12.50:1,Triple Kill,empty,Jarvan IV,Grandmaster,empty,Renekton,Mataz,Lee Sin,neukda3,Akali,Ru Ci Bái,Karthus,TwitchTv Jugttv,Alistar,Businessman47,Aatrox,Ricky Làfleur,Jarvan IV,ACKÈRMAN,Karma,Zyko,Aphelios,Laserholic,Galio,DanasaurLoL
4049113273,win,Ranked Solo,2021-09-22 14:29:42,30m 24s,0,6,11,1.83:1,empty,empty,Ekko,Grandmaster,empty,Gnar,roguebunny0,Lee Sin,perryjg,LeBlanc,Cozy Milli,Xayah,Kral Luger,Brand,Saicos Left Nut,Urgot,concept x,Fiddlesticks,MaIthaeI,Tristana,Delights Garden,Ezreal,TEAMLUKEE,Ekko,ACKÈRMAN
4048999214,lose,Ranked Solo,2021-09-22 12:35:42,23m 28s,2,3,6,2.67:1,empty,empty,Lee Sin,Grandmaster,empty,Singed,wx   nadp0910,Lee Sin,ACKÈRMAN,Zed,Sweet Tangerine,Miss Fortune,MONSTER CHAD GOD,Ekko,Busio JNG,Camille,MASSGAINER44,Karthus,naejunhaogu,Fiora,Bejjj,Jhin,Disconnector,Amumu,Gweiss
4049022840,win,Ranked Solo,2021-09-22 12:01:09,27m 12s,3,2,13,8.00:1,MVP,empty,Ekko,Grandmaster,empty,Irelia,DAMIIMAD,Kayn,DarbBarf,Sylas,IllIlllllIllllIl,Miss Fortune,Disconnector,Amumu,Gweiss,Urgot,QUANTE,Kha'Zix,lgneous,Vayne,Enthralled,Lucian,Good Boi,Ekko,ACKÈRMAN
4048947108,win,Ranked Solo,2021-09-22 11:22:06,30m 16s,1,6,19,3.33:1,empty,empty,Amumu,Grandmaster,empty,Shen,Falling,Lee Sin,Sheiden3,Rumble,timal,Jhin,Lukeee,Karma,Qitong,Kayle,Avano,Talon,naejunhaogu,Zoe,rjsdndgod,Lucian,TL Yeon,Amumu,ACKÈRMAN
4048760928,win,Ranked Solo,2021-09-22 07:22:45,25m 42s,7,3,5,4.00:1,Double Kill,empty,Zed,Grandmaster,empty,Kled,CaptBear,Lee Sin,Lukeee,Yasuo,IceCreamPaintJob,Draven,TyChee,Soraka,Fated Temper,Riven,love draco,Zed,ACKÈRMAN,Ekko,Le Kachu,Xayah,Doublelift,Rakan,Zyko
4048698088,win,Ranked Solo,2021-09-22 06:47:27,24m 28s,2,2,23,12.50:1,empty,empty,Rakan,Grandmaster,empty,Nocturne,Luv Dark,Hecarim,DORARARARARARARA,LeBlanc,fiufiu,Aphelios,Saicos Left Nut,Rakan,ACKÈRMAN,Irelia,Dark Wingdom,Volibear,weakside crab,Zed,Le Kachu,Jhin,Classiq,Thresh,Jan Błachowicz
4048695972,lose,Ranked Solo,2021-09-22 06:17:34,20m 51s,4,3,5,3.00:1,ACE,empty,Ekko,Grandmaster,empty,Irelia,fiufiu,Taliyah,rdyuser13,Sett,Le Kachu,Draven,THE Jons,Ekko,ACKÈRMAN,Jax,ICARRYBOTCOPIUM,Nunu & Willump,villain arc,Cassiopeia,lose,Miss Fortune,hotaze,Sona,Classiq
