gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
1141393338,lose,Ranked Solo,2021-09-23 13:34:01,15m 28s,0,4,2,0.50:1,empty,empty,Twisted Fate,Master,empty,Nasus,Pöche,Fiddlesticks,Bonaldo,Twisted Fate,Brayaron,Jhin,LGN GriD,Soraka,Obbi,Sylas,El Anónimo,Nocturne,C A N V A SS,Anivia,Hörö,Graves,FBGG Kozmar,Thresh,LNC Shiri
1141391279,win,Ranked Solo,2021-09-23 13:11:43,10m 18s,4,1,2,6.00:1,Double Kill,empty,Vayne,Master,empty,Vayne,Brayaron,Nocturne,Kaigen,Sylas,Natsume,Caitlyn,Ł ı n,Morgana,Esposa De Daeasy,Yone,PentaRiCa,Hecarim,andathy6,Irelia,NuKe x,Tristana,P42 CATAN,Yuumi,GataRompeHogäres
1141336867,win,Ranked Solo,2021-09-23 12:53:58,32m 36s,17,9,17,3.78:1,Double Kill,MVP,Kalista,Diamond 1,empty,Katarina,IV Sphinx XX,Master Yi,Skinless Jinx,Sylas,Lumyel,Kai'Sa,Acetaminofe,Soraka,WhySoTilted,Kalista,Brayaron,Amumu,Piksteria,Zed,Yuya,Varus,Legolaz,Lulu,Oalbest
1141223074,win,Ranked Solo,2021-09-23 07:27:17,26m 35s,12,5,1,2.60:1,Double Kill,MVP,Irelia,Diamond 2,empty,Gangplank,Duca la bazuca,Diana,NOC Hang,Sylas,manubetter,Varus,Chodzvon,Amumu,orypcvr,Irelia,Brayaron,Fiddlesticks,Bonaldo,Cassiopeia,serpentine,Jhin,Chipi 2019,Sona,Obbi
1141220679,win,Ranked Solo,2021-09-23 06:47:22,15m 49s,7,0,1,Perfect,Double Kill,empty,Fiora,Diamond 1,empty,Kled,Drago254,Zac,va por ti emily,Yasuo,TRYHARDER123,Miss Fortune,eTuZzATyrone,Soraka,Obbi,Fiora,Brayaron,Jax,KaynbeciI,Akshan,HKO Astronyx,Tristana,Chodzvon,Amumu,orypcvr
1141177485,win,Ranked Solo,2021-09-23 06:22:28,29m 39s,7,4,8,3.75:1,Double Kill,MVP,Ryze,Diamond 1,empty,Ryze,Brayaron,Volibear,TTV iMadDai ,Akshan,FORZAMILAN219811,Tristana,Fazz,Nami,Sin D2,Sett,Ruben007,Viego,Un Radiador,Azir,OverlordAzir,Aphelios,Otp Ruisu,Lulu,Morawi
1141174461,lose,Ranked Solo,2021-09-23 05:38:58,24m 22s,9,5,2,2.20:1,ACE,empty,Sylas,Diamond 2,empty,Gnar,Ruben007,Rek'Sai,Yuto Sakaki,Katarina,Celia Claire,Vayne,BebeDragon,Thresh,Mjõlnir,Sylas,Brayaron,Ekko,Maggattcito,Ahri,M4sterDe4th,Aphelios,Otp Ruisu,Blitzcrank,Fstylen
1140898038,win,Ranked Solo,2021-09-22 16:38:32,25m 31s,13,5,4,3.40:1,Double Kill,MVP,Yone,Diamond 2,empty,Yone,Brayaron,Kayn,Stygian Nymph,Sylas,Belsabé,Aphelios,GatoSteMen,Bard,BK Gisa,Shen,McMuffin,Fiddlesticks,alquimist789,Renekton,Darius,Kai'Sa,IBO,Xerath,Lorado
1140835648,win,Ranked Solo,2021-09-22 12:24:18,25m 18s,16,5,7,4.60:1,Triple Kill,MVP,Kalista,Master,empty,Kalista,Brayaron,Fiddlesticks,Ricarditoxo14,Qiyana,linlaxx,Urgot,Zëz,Pyke,MASHIDIOS,Fiora,Avherno,Kha'Zix,Clausses,Xerath,Symphony,Draven,Coend,Zac,Gragasaki
1140778267,win,Ranked Solo,2021-09-22 11:19:08,21m 33s,12,4,7,4.75:1,Double Kill,empty,Sylas,Diamond 2,empty,Sylas,Brayaron,Trundle,LFT Urbandx,LeBlanc,1517 ,Caitlyn,Homicide,Sona,CLOUD9,Aatrox,XXxxTUGFAxxXX,Amumu,Kaftiel,Yasuo,4 Ineptos y Yo,Ziggs,DOKKAEBI,Nami,LoboMolotov
1140801981,lose,Ranked Solo,2021-09-22 10:47:09,27m 58s,1,9,2,0.33:1,empty,empty,Yone,Master,empty,Riven,TACO MIENDOXD69,Fiddlesticks,Bonaldo,Galio,Call Me Mundo,Jhin,Viktor Vun Doom,Yuumi,average mıdlaner,Dr. Mundo,LLEGO EI UBER,Evelynn,menace,Yone,Brayaron,Ezreal,PatatitaTriste,Bard,Violet Ever
