gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490511921,lose,Ranked Solo,2021-10-04 08:56:39,24m 33s,6,5,7,2.60:1,ACE,empty,Kennen,Master,empty,Kennen,Nuevo Chimbote,Rek'Sai,A Seal,Tryndamere,OMG ITS BOKU,Lucian,Λrthur,Nami,LanPeiFang,Darius,AngryBros,Lee Sin,taetsu,Ryze,cirodalA,Ezreal,Sambrotta,Zyra, Rampant Growth
5490429901,lose,Ranked Solo,2021-10-04 08:26:54,20m 19s,3,5,2,1.00:1,ACE,empty,Aatrox,Master,empty,Aatrox,Nuevo Chimbote,Kha'Zix,buff my role,Twisted Fate,cirodalA,Lucian,kinda hate it,Thresh,Spaceberry,Zed,Hrafnagud,Ekko,eva002,Graves,Restless Warrior,Samira,Wakeside,Nami,whatafaaaail
5490387601,win,Ranked Solo,2021-10-04 07:55:24,25m 0s,6,2,4,5.00:1,Double Kill,empty,Aatrox,Master,empty,Akshan,DOINB AMOGUS SUS,Graves,Cansada,Katarina,Chocolate Robot,Vayne,WatchMyFeathers,Lulu,PijaczPiwa1410,Aatrox,Nuevo Chimbote,Fiddlesticks,SakisOAplitos,Vex,Zherathor,Lucian,Liuggis,Soraka,Karaflopapis
5490355708,win,Ranked Solo,2021-10-04 07:21:08,18m 25s,8,1,6,14.00:1,Triple Kill,MVP,Sylas,Diamond 2,empty,Darius,S E N Y U 21,Nidalee,Nidalee is uwu,Ekko,Helia le bg,Miss Fortune,tempqfbvdnlqyznr,Amumu,Fiven,Wukong,Ikkitousen 1013,Lee Sin,LNG uneasy,Sylas,Nuevo Chimbote,Draven,humzh,Janna,dont help me
5490145390,win,Ranked Solo,2021-10-04 05:13:08,27m 3s,13,4,8,5.25:1,Triple Kill,MVP,Jayce,Master,empty,Aatrox,Suao,Ekko,Faith of Azura,Fizz,Satikuti,Lucian,league lover1,Nami,Kαze,Jayce,Nuevo Chimbote,Xin Zhao,RDL Dacreq,Anivia,Potsdam uni,Miss Fortune,iRazer,Zilean,Agent b
5490087594,win,Ranked Solo,2021-10-04 04:36:58,27m 25s,9,4,6,3.75:1,Double Kill,empty,Jax,Master,empty,Malphite,Super Troll King,Ivern,Hooded Menace,Irelia,rdmt,Sivir,Kyung57,Taliyah,734444,Jax,Nuevo Chimbote,Lee Sin,JG1409,Anivia,Potsdam uni,Ziggs,MakarnaSalatası,Pyke,2 1
5489827260,lose,URF,2021-10-04 02:34:13,21m 44s,6,16,11,1.06:1,empty,empty,Jhin,empty,empty,Jhin,Nuevo Chimbote,Ivern,Lyrą,Rengar,ChillinCandy,Lillia,IChrizzle,Hecarim,ichikata,Pantheon,Dymon9999,Janna,NightxNurse,Jhin,Joe Ia Menace,Ahri,Pépé Diabétique,Darius,luca9200
5489558627,lose,Ranked Solo,2021-10-04 02:00:06,40m 51s,7,11,11,1.64:1,empty,empty,Gragas,Master,empty,Gragas,Nuevo Chimbote,Kha'Zix,Valams1,Vel'Koz,LeoKujo,Kai'Sa,tempvvunswgcsqgc,Nautilus,Coirentyvon,Tryndamere,Bozo le cl0wn,Viego,Rekt by my cat,Swain,Paintuu,Lucian,rip bladee,Morgana,Zoexcellent
5488313322,lose,Ranked Solo,2021-10-03 05:14:56,24m 45s,9,11,3,1.09:1,empty,empty,Graves,Master,empty,Graves,Nuevo Chimbote,Evelynn,Areels2,Sylas,White Steel Eel,Miss Fortune,Negative Gaming,Rakan,PurePerfect,Aatrox,demotion,Qiyana,TacticaI Rage,Viktor,Sphericity,Ashe,No IV Arrogance,Zilean,Lifelike
5488227551,lose,Ranked Solo,2021-10-03 04:42:51,26m 45s,7,8,4,1.38:1,Triple Kill,empty,Renekton,Master,empty,Renekton,Nuevo Chimbote,Nunu & Willump,Jáximus,Katarina,Erisu,Jinx,Viel Glück,Vex,Herodfc,Camille,EL PLAN 2022,Kha'Zix,Choolji,Sylas,White Steel Eel,Draven,Sphericity,Amumu,Genius Monster
