gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490263128,lose,Ranked Solo,2021-10-04 06:04:05,29m 2s,11,9,7,2.00:1,Double Kill,ACE,Aatrox,Master,empty,Swain,Tanre,Kha'Zix,RnS,Yone,krane,Lucian,Μirror,Nami,ŚCIERWO,Aatrox,sushicat2,Nunu & Willump,MANE ReNo,Anivia,Políko,Kog'Maw,K157,Soraka,Yenzae
5490226807,win,Ranked Solo,2021-10-04 05:27:18,21m 35s,5,4,4,2.25:1,empty,empty,Jayce,Master,empty,Aatrox,Strafe124,Graves,FNC Grapy,Lissandra,Skylìnè,Miss Fortune,Tai Lung Gap,Nami,Terminaattori51,Jayce,sushicat2,Kha'Zix,i wont get mad,Katarina,Te Sale Caro,Kog'Maw,K157,Amumu,RHS Careves
5490230543,win,Ranked Solo,2021-10-04 04:56:09,19m 20s,2,4,0,0.50:1,empty,empty,Jayce,Master,empty,Jayce,sushicat2,Diana,DereBeyi Yunus,Kassadin,BaybayPandaToyz,Tristana,si yi kai huo,Nami,Martintang3,Aatrox,VEC Dale,Kha'Zix,Grail,Aurelion Sol,WatchR,Lucian,Νihilitas,Soraka,le bot incident
5490078604,lose,Ranked Solo,2021-10-04 04:29:41,16m 12s,0,6,0,0.00:1,empty,empty,Graves,Master,empty,Tryndamere,TRZE,Nunu & Willump,MANE ReNo,Fizz,Dual Monarchy,Ezreal,PVE Chilenare,Rakan,Ruggers,Graves,sushicat2,Evelynn,PERMA LOSERSQ,Irelia,kníght zz,Lucian,Kyarh,Thresh,FoulApe
5488915384,win,Ranked Solo,2021-10-03 19:26:12,24m 35s,13,5,2,3.00:1,Double Kill,MVP,Graves,Diamond 2,empty,Camille,LEOMESAQ,Taliyah,Break A Kingdom,Qiyana,Built A Kingdom,Ziggs,epic gamer99,Pyke,IlIIlIIlIIlIIlII,Graves,sushicat2,Jarvan IV,KAWAII BAAAKA,LeBlanc,aglayan goril,Tristana,H4wkshot,Janna,sixteen yo sup
5488184484,win,Ranked Solo,2021-10-03 04:16:40,28m 7s,1,10,6,0.70:1,empty,empty,Graves,Master,empty,Darius,Lanıus,Karthus,i sushi,Garen,Aurael Quintus,Lucian,Elavia,Lulu,Fan Szpaka,Graves,sushicat2,Zed,Ic3Te4,Vladimir,UNΛVERAGE,Tristana,Lindenberg,Yuumi,Mizzey
5487338171,lose,Ranked Solo,2021-10-02 14:17:06,28m 21s,4,8,5,1.13:1,empty,empty,Gnar,Master,empty,Gnar,sushicat2,Talon,ALIY4H,Syndra,déces,Draven,n 456,Alistar,BayMax Bard,Irelia,Beeeeen voyons,Lee Sin,Algoria,Akali,Play Date To You,Ziggs,LBJLBJLBJLBJ1111,Bard,Nico Senpaii
5487308466,lose,Ranked Solo,2021-10-02 13:41:33,20m 11s,0,6,1,0.17:1,empty,empty,Aatrox,Master,empty,Akali,HylanDaddy,Lillia,Heąrtbreaker,Yone,Arron5,Twitch,Laa7ch ,Janna,Travii,Aatrox,sushicat2,Hecarim,enemy2good,Anivia,FNC Jeko,Samira,Bíg Daddy,Pyke,BayMax Bard
5486799778,win,Ranked Solo,2021-10-02 05:56:39,31m 5s,8,8,16,3.00:1,empty,empty,Aatrox,Master,empty,Fiora,Iove camiIIe,Lee Sin,humala jumala,Anivia,james unexpected,Yasuo,L9 BARACK OBAMA,Janna,im going nowhere,Aatrox,sushicat2,Ekko,S11Tian,Yone,sako meile gydo,Caitlyn,fat fam,Leona,heal ad plz
5486812275,lose,Ranked Solo,2021-10-02 04:56:43,15m 13s,2,4,1,0.75:1,empty,empty,Jayce,Master,empty,Vayne,SlaviN 77,Viego,Hummelu,Malzahar,QuePasaCatetos,Kai'Sa,New Pretty Dawn,Galio,GREATSUPPORT,Jayce,sushicat2,Lillia,Chouineur 4,Twisted Fate,11010111010,Jinx,CenterC,Soraka,EagIee
