gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4049232591,lose,Ranked Solo,2021-09-22 16:27:44,30m 34s,8,7,2,1.43:1,ACE,empty,Tryndamere,Master,empty,Tryndamere,sushícat1,Hecarim,Yi Kuai Shao Rou,Seraphine,4rch,Ashe,C9 Avril,Thresh,park so dam fan,Singed,Hedonisten1,Kha'Zix,Zach Khazix,Yasuo,Avinxx,Aphelios,Flåshh,Lulu,TTizzle830
4048696847,win,Ranked Solo,2021-09-22 06:24:44,16m 17s,5,2,3,4.00:1,empty,empty,Fiora,Master,empty,Sett,ivyivyivyivy,Kayn,the ëlephant,Kayle,fClXmCeleste,Kai'Sa,Panda Is God,Rell,denosor,Fiora,sushícat1,Rengar,Of The Lethani,Sylas,ToastyAlex,Varus,Desmiano,Zyra,Legweak
4046966056,lose,Ranked Solo,2021-09-20 07:22:13,26m 16s,5,7,5,1.43:1,empty,empty,Zed,Master,empty,Darius,saku fan,Taliyah,07 13 2003,Ekko,Trashuö,Lucian,Levitate,Blitzcrank,JB is back,Gangplank,malekumplank,Zed,sushícat1,Twisted Fate,evertan,Twitch,Pupupu2,Braum,Potter07
4046923991,lose,Ranked Solo,2021-09-20 06:48:47,26m 0s,4,8,1,0.63:1,ACE,empty,Jayce,Master,empty,Akali,KingArtLeywin,Taric,lightrocket2,Akshan,CloudNguyen,Jhin,Flouffe,Soraka,Ring Men,Jayce,sushícat1,Rumble,dumpa,Kha'Zix,swooshy,Ezreal,Levitate,Karthus,Pupupu2
4046911352,win,Ranked Solo,2021-09-20 06:16:05,19m 36s,2,2,4,3.00:1,empty,empty,Kayle,Master,empty,Zac,UltraFoxy,Ekko,Candylicious,Lucian,Juke Jouster,Aphelios,remmacs,Karma,MëowMix,Kayle,sushícat1,Qiyana,100C1oser,Irelia,Anticípation,Xerath,Asexual,Thresh,Heroux4
4039307611,lose,Ranked Solo,2021-09-12 06:54:01,25m 46s,6,7,4,1.43:1,empty,empty,Gwen,Grandmaster,empty,Gwen,sushícat1,Trundle,Sybr,Zed,Shupian,Vayne,NeWebY,Veigar,Latence,Sejuani,BOBtimer,Lee Sin,New1Gold,Ekko,IlIllllIlllI,Miss Fortune,My name07,Sona,Solaria
4039313598,lose,Ranked Solo,2021-09-12 06:21:09,30m 34s,1,5,3,0.80:1,empty,empty,Camille,Diamond 1,empty,Camille,sushícat1,Nidalee,omg lol,Annie,SteelCityWarrior,Aphelios,TwTv PickleVayne,Thresh,Garrett Meyerson,Mordekaiser,Mdtiowe,Jarvan IV,zzz soloq ,Ahri,Shiphtur,Draven,LAROl,Zilean,YourLastLaugh
4039330655,lose,Ranked Solo,2021-09-12 05:42:16,16m 38s,7,2,2,4.50:1,ACE,empty,Akali,Master,empty,Graves,1ove Are,Shyvana,TOXICCLOUTCHASER,Akali,sushícat1,Jinx,Muslim Salesman,Thresh,CIyde,Sett,Lumiñous,Taliyah,toreshi,Galio,Sybr,Varus,TEAMLUKEE,Blitzcrank,Crimsonating
4039135114,win,Ranked Solo,2021-09-12 01:11:35,34m 55s,13,4,5,4.50:1,Double Kill,MVP,Gwen,Master,empty,Dr. Mundo,zzz soloq ,Evelynn,sheiden fan1,Zyra,DorkLS,Kai'Sa,Shorthop,Leona,Tutorially,Gwen,sushícat1,Lillia,ROCK CANNIBAL,Jhin,Emended,Tristana,oota,Xerath,JB is back
4039122662,win,Ranked Solo,2021-09-12 00:22:01,26m 43s,3,5,5,1.60:1,empty,empty,Gwen,Master,empty,Akali,Raveydemon,Shyvana,Devil deGrey13,Yone,mute all be safe,Aphelios,DigitalStain,Yuumi,Tutorially,Gwen,sushícat1,Kha'Zix,Markvoops,Irelia,Zethal,Varus,Smiling Devil,Pantheon,VULCANCOREGWEISS
