gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490461875,lose,Ranked Solo,2021-10-04 08:37:21,22m 59s,2,5,3,1.00:1,Double Kill,empty,Lucian,Master,empty,Wukong,FeelMyLamppost,Hecarim,Strivett,Akali,IlIIIllIllIIlIlI,Ezreal,Bulvator,Senna,WoppaChobba,Riven,NaturalSwagger,Lillia,Verdal,Fizz,TWMNx ,Lucian,xXMENINOXx69,Yuumi,TIAGO PZK
5490359348,win,Ranked Solo,2021-10-04 08:07:16,28m 22s,3,2,5,4.00:1,empty,empty,Lucian,Master,empty,Camille,skarlikeskar,Lillia,Fìndus,Fizz,Reflexion1,Lucian,xXMENINOXx69,Rakan,S11 Support KEKW,Dr. Mundo,FengDere,Evelynn,Actwa,Yone,IlIIIllIllIIlIlI,Draven,JacekMiłośćPL,Thresh,Joo1
5490364817,lose,Ranked Solo,2021-10-04 07:29:38,31m 29s,13,14,18,2.21:1,Double Kill,empty,Karthus,Master,empty,Camille,gicke,Rengar,Vate,Ekko,Kaperii,Ezreal,CT 0292,Rakan,S11 Support KEKW,Dr. Mundo,ImpostorDiff,Taliyah,Rugpyn,Yasuo,Yikes a Yas Main,Karthus,xXMENINOXx69,Leona,Michlit
5490400809,win,Ranked Solo,2021-10-04 06:51:02,18m 15s,8,1,6,14.00:1,Double Kill,empty,Ezreal,Master,empty,Jayce,Gumadruxy,Xin Zhao,Vate,Zed,TwTv Kibbylol,Aphelios,asyris ad acc,Thresh,S11 Support KEKW,Sion,ImpostorDiff,Nidalee,baba tireurennu,Talon,Sailly,Ezreal,xXMENINOXx69,Nami,TD Gimme
5490325847,lose,Ranked Solo,2021-10-04 06:26:26,26m 24s,1,5,10,2.20:1,empty,empty,Senna,Master,empty,Talon,Honeyβadger,Ekko,Lowkey Loerke,Galio,ADC must beAlone,Miss Fortune,Twtv KappaBeetle,Senna,xXMENINOXx69,Dr. Mundo,ImpostorDiff,Lee Sin,I want winner,Zed,TwTv Kibbylol,Ziggs,TEST ACC12,Amumu,EWS Stixxl
5490323272,win,Ranked Solo,2021-10-04 05:54:13,10m 19s,2,0,2,Perfect,MVP,empty,Lucian,Master,empty,Cassiopeia,NothingIsX,Talon,meraiel,Galio,Honeyβadger,Lucian,xXMENINOXx69,Soraka,Gottschalck,Irelia,SpiritualKind,Evelynn,Verdal,Jax,zlAndree,Ziggs,IllusionOP,Bard,Karaflopapis
5488679172,lose,Ranked Solo,2021-10-03 10:53:45,30m 52s,9,4,8,4.25:1,Double Kill,ACE,Senna,Master,empty,Irelia,PwaN P,Nocturne,nazı yani,LeBlanc,TRG Nakhla,Vayne,nekr0shade,Lulu,DeepEnding,Gnar,TwTv NMB Jordan,Evelynn,Amys Bloke,Cassiopeia,1k LP mid inc,Jinx,1k soon,Senna,xXMENINOXx69
5488648613,lose,Ranked Solo,2021-10-03 10:15:58,31m 2s,9,7,7,2.29:1,Double Kill,empty,Karthus,Master,empty,Jax,5454545454,Kha'Zix,Win or Valhalla,Zoe,Nico Senpaii,Karthus,xXMENINOXx69,Shen,Riley B,Riven,Vertigo vincet,Rek'Sai,panties sniƒfer,Twisted Fate,protågonist,Lucian,kcvawsreiuyopdgz,Yuumi,ºKokomiº
5488617270,win,Ranked Solo,2021-10-03 09:38:34,27m 6s,15,4,9,6.00:1,Triple Kill,empty,Karthus,Diamond 1,empty,Vayne,vitorov6,Talon,some new tools ,Malzahar,Nicholai ,Karthus,xXMENINOXx69,Nami,Mariah Angeliq,Camille,tbh just kill me,Shaco,X7X7X7X7X7X7X7,Zoe,strong mental,Ezreal,tempqfbvdnlqyznr,Senna,TwTv iiTzLanorax
5488586045,win,Ranked Solo,2021-10-03 09:04:58,15m 24s,1,1,5,6.00:1,empty,empty,Karthus,Master,empty,Yone,DARK MELOUNZER,Hecarim,jupezz,Vladimir,Sulli xqhrt,Jhin,Nicholai ,Soraka,OFFSET Chovy,Diana,Dillen,Lee Sin,FB Kunduz1,Yasuo,Q spammer,Karthus,xXMENINOXx69,Bard,Mariah Angeliq
5488579016,lose,Ranked Solo,2021-10-03 08:37:44,31m 37s,8,6,6,2.33:1,Double Kill,ACE,Karthus,Master,empty,Sett,Zolazy,Xin Zhao,Vedoluinim,Yasuo,Haskko,Karthus,xXMENINOXx69,Blitzcrank,LuckyCritOmg,Cassiopeia,PSG Helper,Viego,dhskv,Kayle,always prio wave,Jhin,FB Genosect,Seraphine,GOD ALGORITHM
5488575262,win,Ranked Solo,2021-10-03 07:59:02,27m 1s,7,4,10,4.25:1,Double Kill,empty,Jhin,Master,empty,Vladimir,can i mua u,Kayn,Idenshi v9,Yasuo,Hielah,Lucian,no one cares tbh,Janna,Robert McCall,Jayce,2021Worlds0127,Zed,404 fighteser,Anivia,SWEelle,Jhin,xXMENINOXx69,Xerath,Fiven
5488516026,lose,Ranked Solo,2021-10-03 07:22:45,3m 14s,1,0,1,Perfect,empty,empty,Karthus,Master,empty,Gangplank,Totyz,Evelynn,EVΣ,Nami,Wescker,Lucian,no one cares tbh,Yone,Haskko,Kled,quick thinking,Viego,IOIOIOlOlOI,Galio,Honeyβadger,Karthus,xXMENINOXx69,Leona,GREATSUPPORT
5488482219,win,Ranked Solo,2021-10-03 07:12:56,25m 11s,1,3,6,2.33:1,empty,empty,Ziggs,Master,empty,Gangplank,Mikey Tοman,Kha'Zix,Ali Koksal,Yone,Senjo Hitagi,Ziggs,xXMENINOXx69,Amumu,scopata,Nasus,Unchiu Ocaust,Ekko,Baldzer,Tryndamere,otidekonqurekata,Miss Fortune,RoyGooode,Alistar,chasing my way
5488192818,win,Ranked Solo,2021-10-03 04:01:56,23m 48s,10,4,17,6.75:1,empty,empty,Karthus,Master,empty,Yorick,Krykey,Xin Zhao,reset my blue,Karthus,xXMENINOXx69,Draven,älskar hästkuk,Thresh,Chovy supp acc,Sett,tomem1,Jarvan IV,Killbull,Anivia,minstebror,Twitch,Can1ski ,Xerath,Emotions LFT
5488166903,win,Ranked Solo,2021-10-03 03:28:32,20m 37s,10,1,6,16.00:1,Triple Kill,empty,Ezreal,Master,empty,Shen,Kharn unchained,Lee Sin,Grail,Zoe,Jack Of DiamonD,Ezreal,xXMENINOXx69,Vel'Koz,IlIIllIIIlllIIlI,Gangplank,tomem1,Kindred,cam bardak oIsun,Sylas,Sècrèt,Vayne,Effortless,Alistar,Chovy supp acc
5488133159,win,Ranked Solo,2021-10-03 03:02:37,26m 45s,4,4,21,6.25:1,empty,empty,Lulu,Diamond 1,empty,Malphite,Bloom1,Fiddlesticks,Guzzie Smurf,Yone,justin221,Tristana,Effortless,Lulu,xXMENINOXx69,Fiora,ιyx is my piggy,Evelynn,DurexSen,Zed,wIMay,Jinx,KOREAN KITING,Vel'Koz,IlIIllIIIlllIIlI
5487999902,win,Ranked Solo,2021-10-03 02:30:13,27m 6s,11,5,9,4.00:1,Double Kill,empty,Lucian,Diamond 1,empty,Teemo,Korvmannen,Jarvan IV,VIP JonnyREcco,Vex,Cvprisun,Lucian,xXMENINOXx69,Nami,Aîro,Gangplank,ovhqva,Elise,IVIoore,Zoe,HJP,Tristana,Nybat,Pyke,BikeRiderTony54
5488053269,lose,Ranked Solo,2021-10-03 01:56:23,28m 54s,6,9,6,1.33:1,empty,empty,Karthus,Diamond 1,empty,Aatrox,ACE Alucard,Lee Sin,pink chroma,Yasuo,flameking1,Karthus,xXMENINOXx69,Amumu,WeGucciBoi,Tahm Kench,Spiritasd,Elise,IVIoore,Zed,ovhqva,Ezreal,Champion6a,Taliyah,Screws
5487980860,win,Ranked Solo,2021-10-03 01:19:19,21m 43s,2,5,8,2.00:1,empty,empty,Karthus,Master,empty,Draven,skarlikeskar,Kha'Zix,Yi wang,Veigar,PartyPancake,Twitch,YLClyde,Rakan,Bombshell Blonde,Aatrox,Keine ist wie Du,Zac,sylvemadness,Vel'Koz,Geliog,Karthus,xXMENINOXx69,Pyke,pyke4132
5487265046,win,Ranked Solo,2021-10-02 09:21:27,32m 53s,2,4,7,2.25:1,empty,empty,Ezreal,Master,empty,Camille,NO EGO BOT ME1V9,Nunu & Willump,SunnyMoschino,Veigar,Kidioten,Lucian,Rodolfo El Buzo,Janna,KEKW supp,Gwen,Lokat,Talon,jisu jiangping,Ryze,WoppaChobba,Ezreal,xXMENINOXx69,Nami,Sewayx
5487261956,lose,Ranked Solo,2021-10-02 08:42:59,29m 38s,9,9,13,2.44:1,Double Kill,ACE,Aphelios,Master,empty,Aatrox,Bobsik,Zac,Dzierżoniowianin,Malzahar,MITRIX Alpha,Kai'Sa,I    W    G    P,Nautilus,KEKW supp,Camille,Envour,Qiyana,Chedier,Vex,Lodrian,Aphelios,xXMENINOXx69,Shaco,Terminaattori51
5487130362,lose,Ranked Solo,2021-10-02 08:04:15,15m 44s,1,5,2,0.60:1,ACE,empty,Seraphine,Master,empty,Anivia,SWEelle,Trundle,DOGIES,Vladimir,Sulli xqhrt,Jinx,humzh,Shaco,Terminaattori51,Fiora,Bobsik,Udyr,SXI1,Graves,Selva Difference,Seraphine,xXMENINOXx69,Karma,Chovy supp acc
5487125542,lose,Ranked Solo,2021-10-02 07:42:09,32m 9s,2,12,13,1.25:1,empty,empty,Ezreal,Diamond 1,empty,Urgot,Ζass,Kayn,DenDanskeKayn,Seraphine,The Umbral Star,Talon,734444,Amumu,twoj stary mamut,Wukong,Alex4fun,Shyvana,Eskimotuutti,Kassadin,Sushi24,Ezreal,xXMENINOXx69,Alistar,Sobek Freshman
5487076775,win,Ranked Solo,2021-10-02 06:50:33,30m 57s,5,7,12,2.43:1,empty,empty,Ezreal,Master,empty,Kayle,whité princé,Kayn,BicycleEnY,Irelia,BLBLBLBLBL ,Ezreal,xXMENINOXx69,Zyra, Rampant Growth,Sylas,Silk,Kha'Zix,hâte u all,Akali,LetMe1v2Plz,Lucian,unicornman27,Nami,GM Edvard
5486960500,lose,Ranked Solo,2021-10-02 06:10:12,41m 52s,11,4,13,6.00:1,Double Kill,ACE,Caitlyn,Master,empty,Camille,Totyz,Zed,VoooDoooD,Akali,Cunobarath,Caitlyn,xXMENINOXx69,Morgana,CorronaSupp,Jax,HIVE reptilezero,Kha'Zix,BicycleEnY,Fizz,Paintuu,Karthus,jhinsamiradraven,Soraka,Everfrost King
5486852635,lose,Ranked Solo,2021-10-02 05:18:09,28m 15s,11,5,9,4.00:1,ACE,empty,Jhin,Diamond 1,empty,Shen,stuffilicious,Diana,Jodomund,Yasuo,ImFurby,Jhin,xXMENINOXx69,Amumu,Painlolz,Tryndamere,Dakdraxye,Ekko,GRAVĚs,Annie,Kidioten,Draven,älskar hästkuk,Blitzcrank,Fławłess
5486436075,win,Ranked Solo,2021-10-02 03:21:28,18m 40s,3,4,5,2.00:1,empty,empty,Ezreal,Master,empty,Sylas,Undercover AnT,Kayn,TRChallanger 1,Nasus,Carnarius v2,Vayne,Jodomund,Lulu,Long time no int,Irelia,MUTANT Z TOPU,Rek'Sai,Puur wit,LeBlanc,5306305 ,Ezreal,xXMENINOXx69,Yuumi,Ethixcy
5486422297,lose,Ranked Solo,2021-10-02 02:57:07,23m 6s,1,5,3,0.80:1,empty,empty,Ezreal,Master,empty,Wukong,ThemanaZ100,Kha'Zix,Deadshot,Vex,SWEelle,Ezreal,xXMENINOXx69,Karma,Long time no int,Aatrox,Nuevo Chimbote,Rek'Sai,have some water,Sylas,OFFSET Chovy,Miss Fortune,ROAR Dorksong,Pyke,TwTv Valenjin
5486226925,win,Ranked Solo,2021-10-02 02:08:38,24m 43s,3,7,6,1.29:1,empty,empty,Aphelios,Master,empty,Riven,oogabooga chally,Xin Zhao,Okupant,Xerath,Rimtuolis,Jhin,DJany,Blitzcrank,Kenty Domas,Aphelios,xXMENINOXx69,Kayn,Subzior,Fiora,Crepek,Ahri,Haskko,Amumu,GM Edvard
