gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490461875,lose,Ranked Solo,2021-10-04 08:37:21,22m 59s,1,6,7,1.33:1,empty,empty,Yuumi,Master,empty,Wukong,FeelMyLamppost,Hecarim,Strivett,Akali,IlIIIllIllIIlIlI,Ezreal,Bulvator,Senna,WoppaChobba,Riven,NaturalSwagger,Lillia,Verdal,Fizz,TWMNx ,Lucian,xXMENINOXx69,Yuumi,TIAGO PZK
5490428037,win,Ranked Solo,2021-10-04 08:04:50,20m 38s,16,1,2,18.00:1,Quadra Kill,MVP,Lucian,Master,empty,Malphite,cowkayn,Ekko,Pain Love Death,Fizz,TWMNx ,Xayah,Bulvator,Rakan,unzebeel2,Kennen,Exile Myself,Kha'Zix,Μaverick,Kassadin,NewWorld enjoyer,Lucian,TIAGO PZK,Nautilus,fstvjzcgv
5490366741,lose,Ranked Solo,2021-10-04 07:38:47,23m 14s,1,8,12,1.63:1,empty,empty,Yuumi,Master,empty,Tahm Kench,KILL COMMAND,Talon,Destru v69,Viktor,hifriendy,Twitch,fat woe,Lulu,NOV4 Kellie,Riven,Enframe,Kayn,RageOfTheQueen,Sylas,MIDKING SQ,Seraphine,ADC Spieler,Yuumi,TIAGO PZK
5490402013,win,Ranked Solo,2021-10-04 07:08:22,27m 43s,9,6,8,2.83:1,Double Kill,empty,Lucian,Diamond 1,empty,Riven,riχ,Jarvan IV,IHASCAEK,Wukong,Sissel,Lucian,TIAGO PZK,Nami,Janka,Darius,DiggerWacks,Lee Sin,SCÞ 096,LeBlanc,MIDKING SQ,Caitlyn,Abeille 4,Thresh,AVIS djulo
5490259818,lose,Ranked Solo,2021-10-04 06:35:22,20m 30s,2,5,4,1.20:1,empty,empty,Aphelios,Master,empty,Riven,Curse abuser,Qiyana,DelamSiSvacinku,Vex,Februar,Aphelios,TIAGO PZK,Thresh,AVIS djulo,Camille,tomem1,Nidalee,lenny smurf acc,Tryndamere,Te Sale Caro,Syndra,BadBloX,Janna,Taylοr
5490314936,win,Ranked Solo,2021-10-04 06:08:41,16m 12s,1,2,5,3.00:1,empty,empty,Aphelios,Master,empty,Urgot,Tobias El Etéreo,Nidalee,Synthool,Yasuo,Februar,Aphelios,TIAGO PZK,Thresh,AVIS djulo,Riven,Curse abuser,Graves,seven        ˇ ,Katarina,OnlyBusiness1234,Kog'Maw,Season 6 kingdom,Zilean,sexyanimecatgirl
5490241358,lose,Ranked Solo,2021-10-04 05:46:53,26m 21s,7,9,3,1.11:1,empty,empty,Lucian,Master,empty,Vayne,SlaviN 77,Ivern,SakisOAplitos,Sylas,Fabibοu,Lucian,TIAGO PZK,Yuumi,IncognitoZ,Camille,dan1hl,Evelynn,katarinazedzed1,Yone,Mikey Tοman,Miss Fortune,Sjedow2,Leona,yiqixuemaojiao
5490174652,lose,Ranked Solo,2021-10-04 05:15:12,27m 30s,8,11,10,1.64:1,Double Kill,empty,Ashe,Master,empty,Camille,dan1hl,Kindred,OR Apodo,Vayne,SlaviN 77,Ashe,TIAGO PZK,Sett,Kât l ï Äm,Kennen,Qíshì9,Ekko,reset my blue,Graves,404 fighteser,Draven,Fix the systems,Bard,Zuı
5490077902,win,ARAM,2021-10-04 04:24:55,17m 31s,7,6,16,3.83:1,empty,empty,Gnar,empty,empty,Shen,curly german,Zed,lucaß,Azir,iFurtix,Brand,TimeForTea,Miss Fortune,GąΓεη,Gnar,TIAGO PZK,Urgot,Ina Garten,Kha'Zix,Ree Drummond,Annie,Failwin,Gangplank,Atomo
5490071278,lose,ARAM,2021-10-04 04:02:58,32m 35s,12,17,22,2.00:1,Triple Kill,empty,Cassiopeia,empty,empty,Viego,Kuramateras,Zyra,TaramaXXL,Corki,Me llamo Yahel ,Ezreal,Nightshade974,Thresh,Bibiri,Cassiopeia,TIAGO PZK,Syndra,nihilistic koala,Braum,M0v1e,Varus,KonDominik666,Zac,TheRealGo0dlife
