gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4055329737,win,ARAM,2021-09-28 12:04:48,21m 2s,17,9,24,4.56:1,Quadra Kill,empty,Jinx,empty,empty,Viego,Mixmau5,Gnar,Nessa12,Dr. Mundo,Cheesebob8,Lux,SLAM DUNKED,Braum,Ruukashi,Miss Fortune,frutilla,Kayle,XxXLAMATADORAXxX,Jinx,haseuhuehaeu,Master Yi,Draguy1,Zilean,Biceptimus Prime
4048277783,lose,Ranked Solo,2021-09-21 13:32:41,20m 0s,3,8,3,0.75:1,ACE,empty,Draven,Diamond 3,empty,Tryndamere,Hieejp,Kindred,Best Of You,Cassiopeia,99LEO,Draven,haseuhuehaeu,Leona,Kaiwing1,Tahm Kench,111111111111111X,Fiddlesticks,Ivern xdd,Talon,emo yue,Samira,JustinOtter,Alistar,Get N Or Get Out
4048283598,lose,Ranked Solo,2021-09-21 13:03:55,22m 48s,6,7,2,1.14:1,ACE,empty,Ezreal,Diamond 2,empty,Amumu,Le July,Hecarim,Jgoo,Viktor,yikes its over,Samira,SQKSQ Bottom,Alistar,Get N Or Get Out,Tryndamere,duel 1v1,Xin Zhao,L9 DABABY CAR,Galio,JustinOtter,Ezreal,haseuhuehaeu,Janna,NTT JUYOUSO
4048208160,lose,Ranked Solo,2021-09-21 12:35:27,32m 46s,5,11,10,1.36:1,empty,empty,Kalista,Master,empty,Akali,Arrogant,Kha'Zix,Paradoxy,Anivia,Corgi the Pig,Kalista,haseuhuehaeu,Thresh,Garrett Meyerson,Amumu,Le July,Kindred,Best Of You,Kayle,SKT T1 Oppa,Jhin,relegatedd,Pyke,Exıt Life
4048251762,lose,Ranked Solo,2021-09-21 11:55:12,26m 14s,3,14,5,0.57:1,empty,empty,Pyke,Master,empty,Camille,Camëow,Lee Sin,Hispanic Prince,Taliyah,KiteAzure,Ezreal,ACE EzreaI,Janna,The Conquest,Gangplank,Thats a Stretch,Jarvan IV,Corgi the Pig,Akshan,Jaze,Vayne,Urason,Pyke,haseuhuehaeu
4047635342,lose,Ranked Solo,2021-09-20 17:13:49,15m 23s,3,7,0,0.43:1,empty,empty,Kalista,Diamond 1,empty,Fiora,T0NT,Kindred,Yun Qi Bao Bao,Taliyah,LiI Ní Nì,Tristana,LA NiBa,Yuumi,Wellplay,Sett,Asesh,Amumu,Scuffed,Lee Sin,kimjun03,Kalista,haseuhuehaeu,Rakan,Dictraction
4047691800,lose,Ranked Solo,2021-09-20 16:52:56,27m 11s,5,11,6,1.00:1,Double Kill,ACE,Kalista,Master,empty,Shen,Ballion,Graves,how do i feel,Syndra,Trisend333,Vayne,G G M,Veigar,VoItage,Jax,T0NT,Fiddlesticks,Mélos,Yone,Avinxx,Kalista,haseuhuehaeu,Pyke,WX ORAL SEX
4044445779,win,Ranked Solo,2021-09-17 13:50:53,34m 33s,12,9,11,2.56:1,Double Kill,MVP,Lucian,Diamond 1,empty,Jax,RainCX,Nidalee,stepee2,Qiyana,Qiyana10,Vayne,I Love Mandu,Morgana,You Got Snared,Pantheon,Alphanias,Evelynn,JXV16,Yone,PaPiRuiz,Lucian,haseuhuehaeu,Amumu,GennieRose
4044479803,lose,Ranked Solo,2021-09-17 13:06:27,30m 4s,10,12,10,1.67:1,Double Kill,empty,Kalista,Diamond 1,empty,Singed,1 shower a week,Kha'Zix,BIueRainn,Lux,ReyReyy,Ashe,why fletch lol,Soraka,mieuk,Gnar,WEXWEXWEX1,Volibear,Shoopman,Zilean,Azul Phoenix,Kalista,haseuhuehaeu,Rakan,DarkDragon48
4044356418,lose,Ranked Solo,2021-09-17 12:26:56,19m 35s,1,7,2,0.43:1,empty,empty,Lucian,Master,empty,Shen,Falling,Taric,lightrocket2,LeBlanc,Blazze,Lucian,haseuhuehaeu,Morgana,Rositajonez,Rengar,Spećtra,Fiddlesticks,Mańgo,Twisted Fate,evertan,Draven,Wolzie,Blitzcrank,handytaco
4044307752,win,Ranked Solo,2021-09-17 11:46:24,38m 9s,16,11,14,2.73:1,Triple Kill,empty,Aphelios,Diamond 3,empty,Sion,sickducke,Evelynn,Aqua Is Yummy,Zed,Kophi,Draven,Zap Rowsdower,Senna,Stupid fat queer,Jax,Deadangel560,Graves,evyyozj,Sylas,friendlyguylive,Aphelios,haseuhuehaeu,Thresh,Potter07
