gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4031654283,win,Ranked Solo,2021-09-04 12:21:07,24m 45s,2,5,12,2.80:1,empty,empty,Gragas,Challenger,empty,Fiora,Dark Wingdom,Kayn,perryjg,Ekko,trdblaster,Senna,abigbroomstick,Leona,Zyko,Sett,concept x,Viego,naejunhaogu,Qiyana,            Tçº ,Ziggs,Sketchdreams,Gragas,codystar
4030666216,win,Ranked Solo,2021-09-03 10:07:49,31m 52s,1,7,13,2.00:1,empty,empty,Rakan,Grandmaster,empty,Jayce,Swip3rR DISCIPLE,Ekko,wx mjm978244659,Zoe,Pekin Woof,Ezreal,Johnsun123,Sona,The Tank Man,Wukong,JungIe is weak,Kha'Zix,آدم,LeBlanc,insanityxd,Kai'Sa,Doublelift,Rakan,codystar
4030074483,lose,Ranked Solo,2021-09-02 14:06:45,30m 28s,1,11,14,1.36:1,empty,empty,Rakan,Grandmaster,empty,Tryndamere,wirfjaiji,Graves,Kłaus,Gangplank,Shrimp Cpt,Ziggs,HappyBeePlayer,Ahri,Proosia,Lillia,Dragoon,Fiddlesticks,The Exceed,Yone,Shower D0G,Lucian,Yoshi,Rakan,codystar
4028620635,lose,Ranked Solo,2021-09-01 06:58:01,38m 1s,2,8,10,1.50:1,empty,empty,Karma,Grandmaster,empty,Tryndamere,TwoVital,Kha'Zix,LeenK LCS,LeBlanc,DARK WlNGS,Sivir,Sauce a gank,Zilean,Tempos,Malphite,First Kyu,Graves,onlyzz,Karma,codystar,Ziggs,Zeyzal5,Senna,abigbroomstick
4026891562,win,Ranked Solo,2021-08-30 10:51:46,21m 23s,3,3,20,7.67:1,Double Kill,empty,Rakan,Grandmaster,empty,Camille,Swip3rR DISCIPLE,Evelynn,Yi Du Zi Qi,Ryze,TSM FTX Takeover,Lucian,Saicos Left Nut,Yuumi,abigbroomstick,Rumble,Went,Kha'Zix,Sheiden3,Pyke,Davemon,Kai'Sa,REDGOD SEVEN,Rakan,codystar
4021039849,lose,Ranked Solo,2021-08-24 12:22:45,28m 18s,11,5,5,3.20:1,Double Kill,ACE,Sylas,Challenger,empty,Fiora,TwoVital,Kindred,LeenK LCS,Seraphine,Qitong,Caitlyn,Good Boi,Bard,TSM FTX Donbray,Ornn,LastDanceDF,Viego,naejunhaogu,Sylas,codystar,Ezreal,PATH TO TOP,Karma,Oh ill Nam
4019647906,lose,Ranked Solo,2021-08-23 10:16:41,30m 53s,7,6,6,2.17:1,Double Kill,empty,Viego,Grandmaster,empty,Sion,itsLëoK,Rumble,GKyrios,Viego,codystar,Kai'Sa,Catch meee,Sett,ask 4 soundcloud,Gangplank,Sikoram,Kindred,LeenK LCS,Sylas,pizzaman007,Ashe,HaaaZe,Trundle,From Rank1
4015119203,lose,Ranked Solo,2021-08-19 05:50:39,24m 31s,3,8,5,1.00:1,empty,empty,Irelia,Grandmaster,empty,Malphite,Saicos Left Nut,Trundle,winstxn,Irelia,codystar,Jhin,ßazz B,Rakan,milqu,Camille,Tiger and Fish,Volibear,mochi LFT 2022 ,Riven,GeneralSn1per,Aphelios,bury your past,Thresh,SkyTec
4015054654,lose,Ranked Solo,2021-08-19 03:00:43,23m 58s,0,10,6,0.60:1,empty,empty,Thresh,Challenger,empty,Gangplank,qufl,Olaf,winstxn,Pyke,Davemon,Syndra,PATH TO TOP,Leona,Jozyy,Wukong,YAPPING EBOY,Gragas,ASDA Crusader,Yasuo,Tempt1597,Ziggs,YUNQl,Thresh,codystar
4014539573,lose,Ranked Solo,2021-08-18 12:47:33,23m 0s,3,2,5,4.00:1,ACE,empty,LeBlanc,Challenger,empty,Maokai,concept x,Nidalee,Josedeodo123,Irelia,stayawayz,Jhin,Sauce a gank,Trundle,CIyde,Fiora,pig tank,Kindred,LeenK LCS,LeBlanc,codystar,Varus,RAHEEN123,Taric,mla3
